taskNumber,yaxis,xaxis,zaxis,force
0,-59.39,0.0,-278.53,0.0
0,-72.7,-23.55,-262.14,-0.0
0,-72.7,-23.55,-262.14,-0.0
0,-72.7,-23.55,-262.14,-0.0
0,-72.7,-23.55,-262.14,-0.0
0,-72.7,-23.55,-262.14,-0.0
0,-72.7,-23.55,-262.14,-0.0
0,-68.61,-18.43,-277.5,-0.0
0,-68.61,-18.43,-277.5,-0.0
0,-68.61,-18.43,-277.5,-0.0
0,-68.61,-18.43,-277.5,-0.0
0,-68.61,-18.43,-277.5,-0.0
0,-66.56,-26.62,-270.34,-0.1
0,-66.56,-26.62,-270.34,-0.1
0,-66.56,-26.62,-270.34,-0.1
0,-66.56,-26.62,-270.34,-0.1
0,-66.56,-26.62,-270.34,-0.1
0,-66.56,-26.62,-270.34,-0.1
0,-62.46,-17.41,-262.14,-0.1
0,-62.46,-17.41,-262.14,-0.1
0,-62.46,-17.41,-262.14,-0.1
0,-62.46,-17.41,-262.14,-0.1
0,-62.46,-17.41,-262.14,-0.1
0,-62.46,-17.41,-262.14,-0.1
0,-45.06,-16.38,-287.74,-0.0
0,-45.06,-16.38,-287.74,-0.0
0,-45.06,-16.38,-287.74,-0.0
0,-45.06,-16.38,-287.74,-0.0
0,-45.06,-16.38,-287.74,-0.0
0,-55.3,-16.38,-271.36,-0.0
0,-55.3,-16.38,-271.36,-0.0
0,-55.3,-16.38,-271.36,-0.0
0,-55.3,-16.38,-271.36,-0.0
0,-55.3,-16.38,-271.36,-0.0
0,-55.3,-16.38,-271.36,-0.0
0,-73.73,5.12,-249.86,-0.1
0,-73.73,5.12,-249.86,-0.1
0,-73.73,5.12,-249.86,-0.1
0,-73.73,5.12,-249.86,-0.1
0,-73.73,5.12,-249.86,-0.1
0,-45.06,14.34,-318.46,-0.1
0,-45.06,14.34,-318.46,-0.1
0,-45.06,14.34,-318.46,-0.1
0,-45.06,14.34,-318.46,-0.1
0,-45.06,14.34,-318.46,-0.1
0,-45.06,14.34,-318.46,-0.1
0,54.27,-87.04,-209.92,-0.0
0,54.27,-87.04,-209.92,-0.0
0,54.27,-87.04,-209.92,-0.0
0,54.27,-87.04,-209.92,-0.0
0,54.27,-87.04,-209.92,-0.0
0,102.4,-52.22,-195.58,-0.1
0,102.4,-52.22,-195.58,-0.1
0,102.4,-52.22,-195.58,-0.1
0,102.4,-52.22,-195.58,-0.1
0,102.4,-52.22,-195.58,-0.1
0,102.4,-52.22,-195.58,-0.1
0,155.65,-45.06,-246.78,-0.1
0,155.65,-45.06,-246.78,-0.1
0,155.65,-45.06,-246.78,-0.1
0,155.65,-45.06,-246.78,-0.1
0,155.65,-45.06,-246.78,-0.1
0,155.65,-45.06,-246.78,-0.1
0,130.05,-11.26,-167.94,-0.1
0,130.05,-11.26,-167.94,-0.1
0,130.05,-11.26,-167.94,-0.1
0,130.05,-11.26,-167.94,-0.1
0,130.05,-11.26,-167.94,-0.1
0,134.14,7.17,-159.74,-0.1
0,134.14,7.17,-159.74,-0.1
0,134.14,7.17,-159.74,-0.1
0,134.14,7.17,-159.74,-0.1
0,134.14,7.17,-159.74,-0.1
0,134.14,7.17,-159.74,-0.1
0,130.05,7.17,-177.15,-0.1
0,130.05,7.17,-177.15,-0.1
0,130.05,7.17,-177.15,-0.1
0,130.05,7.17,-177.15,-0.1
0,130.05,7.17,-177.15,-0.1
0,220.16,-34.82,-205.82,3.5
