taskNumber,yaxis,xaxis,zaxis,force
0,67.58,-70.66,-262.14,0.3
0,69.63,-69.63,-250.88,0.2
0,69.63,-69.63,-250.88,0.2
0,69.63,-69.63,-250.88,0.2
0,69.63,-69.63,-250.88,0.2
0,69.63,-69.63,-250.88,0.2
0,67.58,-67.58,-240.64,0.2
0,67.58,-67.58,-240.64,0.2
0,67.58,-67.58,-240.64,0.2
0,67.58,-67.58,-240.64,0.2
0,67.58,-67.58,-240.64,0.2
0,67.58,-67.58,-240.64,0.2
0,71.68,-61.44,-248.83,0.2
0,71.68,-61.44,-248.83,0.2
0,71.68,-61.44,-248.83,0.2
0,71.68,-61.44,-248.83,0.2
0,71.68,-61.44,-248.83,0.2
0,72.7,-64.51,-246.78,0.1
0,72.7,-64.51,-246.78,0.1
0,72.7,-64.51,-246.78,0.1
0,72.7,-64.51,-246.78,0.1
0,72.7,-64.51,-246.78,0.1
0,72.7,-64.51,-246.78,0.1
0,75.78,-65.54,-249.86,0.1
0,75.78,-65.54,-249.86,0.1
0,75.78,-65.54,-249.86,0.1
0,75.78,-65.54,-249.86,0.1
0,75.78,-65.54,-249.86,0.1
0,75.78,-65.54,-249.86,0.1
0,74.75,-68.61,-248.83,0.1
0,74.75,-68.61,-248.83,0.1
0,74.75,-68.61,-248.83,0.1
0,74.75,-68.61,-248.83,0.1
0,74.75,-68.61,-248.83,0.1
0,68.61,-60.42,-242.69,0.1
0,68.61,-60.42,-242.69,0.1
0,68.61,-60.42,-242.69,0.1
0,68.61,-60.42,-242.69,0.1
0,68.61,-60.42,-242.69,0.1
0,68.61,-60.42,-242.69,0.1
0,79.87,-70.66,-189.44,0.2
0,79.87,-70.66,-189.44,0.2
0,79.87,-70.66,-189.44,0.2
0,79.87,-70.66,-189.44,0.2
0,79.87,-70.66,-189.44,0.2
0,110.59,-67.58,-241.66,0.1
0,110.59,-67.58,-241.66,0.1
0,110.59,-67.58,-241.66,0.1
0,110.59,-67.58,-241.66,0.1
0,110.59,-67.58,-241.66,0.1
0,110.59,-67.58,-241.66,0.1
0,120.83,-38.91,-257.02,0.1
0,120.83,-38.91,-257.02,0.1
0,120.83,-38.91,-257.02,0.1
0,120.83,-38.91,-257.02,0.1
