SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.9217639,-55.0,0.9142857,-54.0,1.2121685,136.0,1.0140845,8.0,0.989721,-7.0,1.2603232,145.0,1.1923077,105.0,0.9159836,-41.0,1.1223832,76.0,p45_r-15
0.9217639,-55.0,0.9142857,-54.0,1.2121685,136.0,1.0140845,8.0,0.989721,-7.0,1.2603232,145.0,1.1923077,105.0,0.9159836,-41.0,1.1223832,76.0,p45_r-15
0.9217639,-55.0,0.9142857,-54.0,1.2121685,136.0,1.0140845,8.0,0.989721,-7.0,1.2621185,146.0,1.1923077,105.0,0.9159836,-41.0,1.1223832,76.0,p45_r-15
0.9217639,-55.0,0.9142857,-54.0,1.2121685,136.0,1.0158451,9.0,0.99412626,-4.0,1.2639139,147.0,1.1996337,109.0,0.9159836,-41.0,1.1223832,76.0,p45_r-15
0.9189189,-57.0,0.9079365,-58.0,1.2090484,134.0,1.0105634,6.0,0.99265784,-5.0,1.2657092,148.0,1.1941392,106.0,0.90368855,-47.0,1.1191627,74.0,p45_r-15
0.9189189,-57.0,0.9063492,-59.0,1.2090484,134.0,1.0105634,6.0,0.9911894,-6.0,1.2657092,148.0,1.1941392,106.0,0.90368855,-47.0,1.1191627,74.0,p45_r-15
0.9203414,-56.0,0.9031746,-61.0,1.2090484,134.0,1.0088028,5.0,0.98678416,-9.0,1.2603232,145.0,1.1941392,106.0,0.897541,-50.0,1.1143317,71.0,p45_r-15
0.9203414,-56.0,0.9031746,-61.0,1.2090484,134.0,1.0105634,6.0,0.98678416,-9.0,1.2603232,145.0,1.1959707,107.0,0.897541,-50.0,1.1143317,71.0,p45_r-15
0.9217639,-55.0,0.9047619,-60.0,1.2121685,136.0,1.0158451,9.0,0.98678416,-9.0,1.2639139,147.0,1.2014652,110.0,0.90163934,-48.0,1.1143317,71.0,p45_r-15
0.92318636,-54.0,0.9047619,-60.0,1.2121685,136.0,1.0158451,9.0,0.98678416,-9.0,1.2639139,147.0,1.2051282,112.0,0.90163934,-48.0,1.1143317,71.0,p45_r-15
0.92318636,-54.0,0.9047619,-60.0,1.2090484,134.0,1.0158451,9.0,0.98678416,-9.0,1.2639139,147.0,1.2051282,112.0,0.90163934,-48.0,1.1143317,71.0,p45_r-15
0.92745376,-51.0,0.9095238,-57.0,1.2152886,138.0,1.012324,7.0,0.98531574,-10.0,1.2585279,144.0,1.1978022,108.0,0.90163934,-48.0,1.1143317,71.0,p45_r-15
0.92745376,-51.0,0.9111111,-56.0,1.2152886,138.0,1.012324,7.0,0.98678416,-9.0,1.2639139,147.0,1.1978022,108.0,0.90368855,-47.0,1.1143317,71.0,p45_r-15
