SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.925636,-38.0,0.9754816,-14.0,1.0366242,23.0,1.055336,28.0,1.0225226,15.0,1.0227273,13.0,1.133829,72.0,0.9481707,-34.0,1.0458168,23.0,p15_r15
0.925636,-38.0,0.9754816,-14.0,1.0366242,23.0,1.055336,28.0,1.0225226,15.0,1.0227273,13.0,1.1356877,73.0,0.9481707,-34.0,1.0458168,23.0,p15_r15
0.91193736,-45.0,0.97197896,-16.0,1.0366242,23.0,1.055336,28.0,1.0255256,17.0,1.027972,16.0,1.133829,72.0,0.94207317,-38.0,1.0478088,24.0,p15_r15
0.9080235,-47.0,0.96672505,-19.0,1.0350318,22.0,1.055336,28.0,1.021021,14.0,1.0227273,13.0,1.133829,72.0,0.9405488,-39.0,1.0478088,24.0,p15_r15
0.9080235,-47.0,0.96672505,-19.0,1.0350318,22.0,1.055336,28.0,1.021021,14.0,1.0227273,13.0,1.133829,72.0,0.9390244,-40.0,1.0438247,22.0,p15_r15
0.9080235,-47.0,0.96497375,-20.0,1.0350318,22.0,1.055336,28.0,1.021021,14.0,1.0227273,13.0,1.133829,72.0,0.9375,-41.0,1.0438247,22.0,p15_r15
0.9080235,-47.0,0.96322244,-21.0,1.0350318,22.0,1.055336,28.0,1.021021,14.0,1.0227273,13.0,1.133829,72.0,0.9375,-41.0,1.0438247,22.0,p15_r15
0.9080235,-47.0,0.96322244,-21.0,1.0366242,23.0,1.055336,28.0,1.021021,14.0,1.0244756,14.0,1.1375464,74.0,0.9375,-41.0,1.0438247,22.0,p15_r15
0.9080235,-47.0,0.96497375,-20.0,1.0366242,23.0,1.055336,28.0,1.021021,14.0,1.0244756,14.0,1.141264,76.0,0.9375,-41.0,1.0438247,22.0,p15_r15
0.9080235,-47.0,0.96497375,-20.0,1.0366242,23.0,1.055336,28.0,1.0225226,15.0,1.0244756,14.0,1.141264,76.0,0.9375,-41.0,1.0438247,22.0,p15_r15
0.91193736,-45.0,0.96497375,-20.0,1.0382166,24.0,1.055336,28.0,1.0225226,15.0,1.0262238,15.0,1.1449814,78.0,0.9375,-41.0,1.0438247,22.0,p15_r15
0.9080235,-47.0,0.96322244,-21.0,1.0382166,24.0,1.055336,28.0,1.0225226,15.0,1.0262238,15.0,1.1449814,78.0,0.9359756,-42.0,1.0478088,24.0,p15_r15
0.9080235,-47.0,0.96322244,-21.0,1.0366242,23.0,1.055336,28.0,1.0225226,15.0,1.0262238,15.0,1.1449814,78.0,0.9359756,-42.0,1.0438247,22.0,p15_r15
