SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.8437956,-107.0,1.2551929,172.0,1.845173,464.0,0.7289157,-180.0,0.7440585,-140.0,0.90613025,-49.0,1.0392157,26.0,1.1503268,92.0,1.128388,90.0,3
0.8437956,-107.0,1.2537092,171.0,1.845173,464.0,0.7289157,-180.0,0.7440585,-140.0,0.90613025,-49.0,1.0392157,26.0,1.1486928,91.0,1.128388,90.0,3
0.8437956,-107.0,1.2537092,171.0,1.845173,464.0,0.7289157,-180.0,0.7440585,-140.0,0.90613025,-49.0,1.0392157,26.0,1.1486928,91.0,1.128388,90.0,3
0.8452555,-106.0,1.2551929,172.0,1.845173,464.0,0.7289157,-180.0,0.7550274,-134.0,0.9137931,-45.0,1.0392157,26.0,1.1503268,92.0,1.1369473,96.0,3
0.84817517,-104.0,1.2566766,173.0,1.845173,464.0,0.7379518,-174.0,0.7806216,-120.0,0.9329502,-35.0,1.0331825,22.0,1.1388888,85.0,1.1440799,101.0,3
0.8510949,-102.0,1.2581602,174.0,1.845173,464.0,0.74698794,-168.0,0.7897623,-115.0,0.9329502,-35.0,1.0331825,22.0,1.1388888,85.0,1.1440799,101.0,3
0.8540146,-100.0,1.2581602,174.0,1.845173,464.0,0.75301206,-164.0,0.7897623,-115.0,0.9329502,-35.0,1.0331825,22.0,1.1388888,85.0,1.1455064,102.0,3
0.8540146,-100.0,1.2581602,174.0,1.845173,464.0,0.7545181,-163.0,0.7915905,-114.0,0.9329502,-35.0,1.0331825,22.0,1.1388888,85.0,1.146933,103.0,3
0.8540146,-100.0,1.2596439,175.0,1.845173,464.0,0.75301206,-164.0,0.797075,-111.0,0.9367816,-33.0,1.0301659,20.0,1.133987,82.0,1.146933,103.0,3
0.8540146,-100.0,1.2551929,172.0,1.845173,464.0,0.75301206,-164.0,0.7897623,-115.0,0.9367816,-33.0,1.0301659,20.0,1.124183,76.0,1.1455064,102.0,3
