SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
-98.0,-101.0,-132.0,-73.0,-180.0,-471.0,80.0,-94.0,-167.0,p15_r0
-97.0,-101.0,-131.0,-73.0,-180.0,-471.0,80.0,-94.0,-167.0,p15_r0
-98.0,-105.0,-132.0,-74.0,-193.0,-476.0,80.0,-96.0,-167.0,p15_r0
-98.0,-109.0,-132.0,-77.0,-193.0,-477.0,80.0,-96.0,-167.0,p15_r0
-102.0,-126.0,-139.0,-85.0,-205.0,-515.0,74.0,-103.0,-184.0,p15_r0
-102.0,-127.0,-139.0,-85.0,-205.0,-515.0,73.0,-103.0,-184.0,p15_r0
-101.0,-126.0,-139.0,-85.0,-204.0,-514.0,73.0,-102.0,-184.0,p15_r0
-100.0,-126.0,-139.0,-85.0,-200.0,-513.0,74.0,-102.0,-184.0,p15_r0
-99.0,-126.0,-139.0,-85.0,-196.0,-512.0,74.0,-102.0,-184.0,p15_r0
-98.0,-126.0,-138.0,-85.0,-193.0,-511.0,74.0,-102.0,-184.0,p15_r0
-98.0,-126.0,-137.0,-84.0,-189.0,-506.0,74.0,-101.0,-191.0,p15_r0
-98.0,-126.0,-137.0,-84.0,-189.0,-506.0,74.0,-101.0,-192.0,p15_r0
-98.0,-126.0,-139.0,-84.0,-189.0,-506.0,73.0,-101.0,-193.0,p15_r0
-98.0,-126.0,-139.0,-85.0,-189.0,-506.0,73.0,-101.0,-193.0,p15_r0
-98.0,-126.0,-139.0,-85.0,-189.0,-506.0,73.0,-101.0,-193.0,p15_r0
-96.0,-126.0,-137.0,-85.0,-183.0,-503.0,73.0,-101.0,-192.0,p15_r0
-95.0,-125.0,-137.0,-84.0,-183.0,-498.0,73.0,-101.0,-192.0,p15_r0
-95.0,-125.0,-137.0,-84.0,-183.0,-498.0,73.0,-101.0,-192.0,p15_r0
-95.0,-125.0,-136.0,-84.0,-180.0,-498.0,73.0,-101.0,-192.0,p15_r0
-96.0,-128.0,-134.0,-86.0,-180.0,-495.0,72.0,-104.0,-193.0,p15_r0
-96.0,-133.0,-135.0,-89.0,-183.0,-498.0,71.0,-104.0,-197.0,p15_r0
-99.0,-134.0,-136.0,-90.0,-189.0,-500.0,68.0,-104.0,-199.0,p15_r0
-101.0,-134.0,-137.0,-92.0,-189.0,-503.0,68.0,-105.0,-200.0,p15_r0
-102.0,-136.0,-137.0,-98.0,-190.0,-505.0,66.0,-105.0,-200.0,p15_r0
-101.0,-136.0,-137.0,-98.0,-190.0,-503.0,68.0,-105.0,-200.0,p15_r0
-101.0,-136.0,-136.0,-98.0,-189.0,-503.0,68.0,-105.0,-200.0,p15_r0
-101.0,-136.0,-136.0,-98.0,-189.0,-503.0,68.0,-105.0,-200.0,p15_r0
-101.0,-136.0,-136.0,-98.0,-186.0,-503.0,68.0,-105.0,-200.0,p15_r0
-103.0,-138.0,-137.0,-101.0,-189.0,-504.0,68.0,-106.0,-201.0,p15_r0
-104.0,-138.0,-138.0,-102.0,-191.0,-506.0,65.0,-107.0,-201.0,p15_r0
-105.0,-140.0,-140.0,-103.0,-191.0,-506.0,65.0,-108.0,-202.0,p15_r0
-105.0,-141.0,-140.0,-103.0,-191.0,-506.0,65.0,-108.0,-203.0,p15_r0
-106.0,-141.0,-141.0,-103.0,-191.0,-506.0,65.0,-109.0,-203.0,p15_r0
-106.0,-141.0,-140.0,-103.0,-189.0,-504.0,65.0,-109.0,-203.0,p15_r0
-105.0,-141.0,-140.0,-103.0,-184.0,-498.0,65.0,-109.0,-203.0,p15_r0
-105.0,-141.0,-140.0,-102.0,-182.0,-496.0,65.0,-109.0,-203.0,p15_r0
-105.0,-141.0,-139.0,-102.0,-182.0,-496.0,65.0,-109.0,-203.0,p15_r0
-108.0,-142.0,-140.0,-101.0,-189.0,-504.0,64.0,-109.0,-203.0,p15_r0
-108.0,-142.0,-142.0,-103.0,-191.0,-507.0,63.0,-110.0,-204.0,p15_r0
-109.0,-146.0,-142.0,-104.0,-193.0,-507.0,62.0,-110.0,-207.0,p15_r0
-110.0,-146.0,-144.0,-105.0,-193.0,-507.0,61.0,-116.0,-208.0,p15_r0
-110.0,-146.0,-146.0,-107.0,-193.0,-507.0,61.0,-116.0,-208.0,p15_r0
-110.0,-146.0,-146.0,-106.0,-191.0,-507.0,61.0,-116.0,-208.0,p15_r0
-110.0,-146.0,-146.0,-106.0,-189.0,-505.0,61.0,-116.0,-208.0,p15_r0
-109.0,-146.0,-145.0,-106.0,-189.0,-505.0,61.0,-116.0,-208.0,p15_r0
-109.0,-146.0,-145.0,-105.0,-186.0,-504.0,61.0,-116.0,-208.0,p15_r0
-108.0,-144.0,-144.0,-106.0,-183.0,-505.0,62.0,-116.0,-208.0,p15_r0
-109.0,-144.0,-146.0,-106.0,-183.0,-505.0,61.0,-116.0,-210.0,p15_r0
-109.0,-146.0,-146.0,-107.0,-183.0,-505.0,61.0,-117.0,-213.0,p15_r0
-111.0,-146.0,-147.0,-107.0,-183.0,-505.0,61.0,-117.0,-213.0,p15_r0
