SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
1.0834782,48.0,1.097444,61.0,0.86851853,-71.0,0.91757387,-53.0,0.9546436,-21.0,1.0430267,29.0,1.0297203,17.0,1.0700935,30.0,0.8280992,-104.0,0
1.0765218,44.0,1.0958467,60.0,0.86851853,-71.0,0.91290826,-56.0,0.937365,-29.0,1.037092,25.0,1.0297203,17.0,1.0700935,30.0,0.8264463,-105.0,0
1.1182609,68.0,1.1214057,76.0,0.9,-54.0,0.9191291,-52.0,0.95680344,-20.0,1.0281899,19.0,1.0384616,22.0,1.0700935,30.0,0.7818182,-132.0,0
1.12,69.0,1.1246006,78.0,0.90185183,-53.0,0.9222395,-50.0,0.9589633,-19.0,1.037092,25.0,1.0384616,22.0,1.0771028,33.0,0.78512394,-130.0,0
1.1234783,71.0,1.126198,79.0,0.90555555,-51.0,0.93001556,-45.0,0.96328294,-17.0,1.0385756,26.0,1.0419581,24.0,1.0771028,33.0,0.78677684,-129.0,0
1.1269565,73.0,1.126198,79.0,0.90555555,-51.0,0.9393468,-39.0,0.9784017,-10.0,1.045994,31.0,1.0419581,24.0,1.0817757,35.0,0.78677684,-129.0,0
1.1426086,82.0,1.1389776,87.0,0.9111111,-48.0,0.94401246,-36.0,0.98704106,-6.0,1.0474777,32.0,1.0367132,21.0,1.0864486,37.0,0.78677684,-129.0,0
1.1373913,79.0,1.1277956,80.0,0.90925926,-49.0,0.94401246,-36.0,0.98704106,-6.0,1.0474777,32.0,1.0367132,21.0,1.0864486,37.0,0.78512394,-130.0,0
1.1373913,79.0,1.1389776,87.0,0.90555555,-51.0,0.9502333,-32.0,0.9935205,-3.0,1.0489614,33.0,1.027972,16.0,1.0771028,33.0,0.7785124,-134.0,0
1.133913,77.0,1.1389776,87.0,0.90555555,-51.0,0.9502333,-32.0,0.9935205,-3.0,1.0489614,33.0,1.027972,16.0,1.0747664,32.0,0.7785124,-134.0,0
1.1373913,79.0,1.14377,90.0,0.90555555,-51.0,0.9580093,-27.0,0.9935205,-3.0,1.0519288,35.0,1.027972,16.0,1.0747664,32.0,0.7785124,-134.0,0
1.1460869,84.0,1.1485623,93.0,0.90555555,-51.0,0.962675,-24.0,0.9935205,-3.0,1.0534124,36.0,1.027972,16.0,1.0771028,33.0,0.7801653,-133.0,0
1.1460869,84.0,1.1485623,93.0,0.90555555,-51.0,0.962675,-24.0,0.99568033,-2.0,1.0534124,36.0,1.027972,16.0,1.0771028,33.0,0.7818182,-132.0,0
1.1513044,87.0,1.1485623,93.0,0.9074074,-50.0,0.962675,-24.0,1.0,0.0,1.0534124,36.0,1.027972,16.0,1.0771028,33.0,0.7818182,-132.0,0
1.1460869,84.0,1.1501597,94.0,0.90555555,-51.0,0.9642302,-23.0,0.99784017,-1.0,1.0534124,36.0,1.0227273,13.0,1.0794393,34.0,0.78347105,-131.0,0
1.1426086,82.0,1.1485623,93.0,0.90555555,-51.0,0.962675,-24.0,0.99568033,-2.0,1.0519288,35.0,1.0227273,13.0,1.0747664,32.0,0.78347105,-131.0,0
1.1426086,82.0,1.14377,90.0,0.9037037,-52.0,0.962675,-24.0,0.99568033,-2.0,1.0519288,35.0,1.020979,12.0,1.0747664,32.0,0.7818182,-132.0,0
1.1426086,82.0,1.14377,90.0,0.9037037,-52.0,0.962675,-24.0,0.99568033,-2.0,1.0519288,35.0,1.020979,12.0,1.0747664,32.0,0.7818182,-132.0,0
1.1426086,82.0,1.14377,90.0,0.90185183,-53.0,0.962675,-24.0,0.99136066,-4.0,1.0519288,35.0,1.020979,12.0,1.0747664,32.0,0.7818182,-132.0,0
1.1426086,82.0,1.14377,90.0,0.9037037,-52.0,0.962675,-24.0,0.99136066,-4.0,1.0519288,35.0,1.0227273,13.0,1.0794393,34.0,0.78347105,-131.0,0
1.1791304,103.0,1.140575,88.0,0.9314815,-37.0,0.91290826,-56.0,1.0043197,2.0,1.0697329,47.0,0.98426574,-9.0,1.0186915,8.0,0.61487603,-233.0,0
1.1826087,105.0,1.1453674,91.0,0.9314815,-37.0,0.91757387,-53.0,1.0064795,3.0,1.0712166,48.0,0.98426574,-9.0,1.0186915,8.0,0.61487603,-233.0,0
1.186087,107.0,1.1485623,93.0,0.9314815,-37.0,0.9237947,-49.0,1.0172787,8.0,1.0727003,49.0,0.98426574,-9.0,1.021028,9.0,0.61487603,-233.0,0
1.1982609,114.0,1.1629393,102.0,0.9314815,-37.0,0.93157077,-44.0,1.0215982,10.0,1.0860534,58.0,0.98426574,-9.0,1.021028,9.0,0.61487603,-233.0,0
1.2,115.0,1.1629393,102.0,0.9203704,-43.0,0.93157077,-44.0,1.023758,11.0,1.0905044,61.0,0.9597902,-23.0,1.021028,9.0,0.57520664,-257.0,0
1.2,115.0,1.1629393,102.0,0.9203704,-43.0,0.93001556,-45.0,1.023758,11.0,1.0905044,61.0,0.9597902,-23.0,1.021028,9.0,0.57520664,-257.0,0
1.2156522,124.0,1.1789137,112.0,0.9037037,-52.0,0.88802487,-72.0,1.0259179,12.0,1.120178,81.0,0.9702797,-17.0,1.0490655,21.0,0.59338844,-246.0,0
1.2069565,119.0,1.1757189,110.0,0.9037037,-52.0,0.88802487,-72.0,1.0194384,9.0,1.120178,81.0,0.9702797,-17.0,1.046729,20.0,0.59173554,-247.0,0
1.2052174,118.0,1.1741214,109.0,0.9037037,-52.0,0.88180405,-76.0,1.0172787,8.0,1.1172106,79.0,0.9667832,-19.0,1.0397196,17.0,0.59008265,-248.0,0
1.2034782,117.0,1.1677316,105.0,0.90185183,-53.0,0.88024884,-77.0,1.0151188,7.0,1.1172106,79.0,0.96503496,-20.0,1.0397196,17.0,0.59008265,-248.0,0
1.2052174,118.0,1.1677316,105.0,0.9037037,-52.0,0.88024884,-77.0,1.0151188,7.0,1.1172106,79.0,0.9667832,-19.0,1.0397196,17.0,0.59008265,-248.0,0
1.2052174,118.0,1.1677316,105.0,0.9037037,-52.0,0.88024884,-77.0,1.0151188,7.0,1.1172106,79.0,0.9667832,-19.0,1.0397196,17.0,0.59008265,-248.0,0
1.2052174,118.0,1.1677316,105.0,0.9037037,-52.0,0.88024884,-77.0,1.0151188,7.0,1.1172106,79.0,0.9685315,-18.0,1.0397196,17.0,0.59008265,-248.0,0
1.2052174,118.0,1.1677316,105.0,0.9037037,-52.0,0.88024884,-77.0,1.0151188,7.0,1.1172106,79.0,0.9685315,-18.0,1.0397196,17.0,0.59008265,-248.0,0
1.2052174,118.0,1.1629393,102.0,0.9,-54.0,0.86314154,-88.0,1.0086393,4.0,1.1172106,79.0,0.9685315,-18.0,1.0420561,18.0,0.58677685,-250.0,0
1.2034782,117.0,1.1629393,102.0,0.9,-54.0,0.86314154,-88.0,1.0064795,3.0,1.115727,78.0,0.9667832,-19.0,1.0397196,17.0,0.58677685,-250.0,0
1.2034782,117.0,1.1629393,102.0,0.8981481,-55.0,0.86314154,-88.0,1.0043197,2.0,1.115727,78.0,0.96503496,-20.0,1.0397196,17.0,0.58677685,-250.0,0
1.2017391,116.0,1.1629393,102.0,0.8981481,-55.0,0.8600311,-90.0,1.0021598,1.0,1.115727,78.0,0.95804197,-24.0,1.0350467,15.0,0.58677685,-250.0,0
1.2017391,116.0,1.1629393,102.0,0.8981481,-55.0,0.8600311,-90.0,0.99784017,-1.0,1.115727,78.0,0.9562937,-25.0,1.0350467,15.0,0.58347106,-252.0,0
1.2017391,116.0,1.1629393,102.0,0.8981481,-55.0,0.8600311,-90.0,0.99784017,-1.0,1.115727,78.0,0.9562937,-25.0,1.0350467,15.0,0.58347106,-252.0,0
1.2034782,117.0,1.1645367,103.0,0.8981481,-55.0,0.8600311,-90.0,1.0021598,1.0,1.1172106,79.0,0.9562937,-25.0,1.0350467,15.0,0.58347106,-252.0,0
1.2034782,117.0,1.1645367,103.0,0.9,-54.0,0.8600311,-90.0,1.0021598,1.0,1.1186943,80.0,0.95804197,-24.0,1.0350467,15.0,0.58347106,-252.0,0
1.2034782,117.0,1.1629393,102.0,0.89444447,-57.0,0.86314154,-88.0,1.0043197,2.0,1.1216617,82.0,0.951049,-28.0,1.0420561,18.0,0.58677685,-250.0,0
1.2069565,119.0,1.1661342,104.0,0.89444447,-57.0,0.86936235,-84.0,1.0086393,4.0,1.1261128,85.0,0.9527972,-27.0,1.046729,20.0,0.58842975,-249.0,0
1.2104348,121.0,1.1661342,104.0,0.89444447,-57.0,0.87091756,-83.0,1.0107992,5.0,1.1305639,88.0,0.9527972,-27.0,1.0514019,22.0,0.59173554,-247.0,0
1.2104348,121.0,1.169329,106.0,0.89444447,-57.0,0.87713844,-79.0,1.0107992,5.0,1.1305639,88.0,0.9527972,-27.0,1.0514019,22.0,0.59173554,-247.0,0
1.2104348,121.0,1.169329,106.0,0.89444447,-57.0,0.88024884,-77.0,1.012959,6.0,1.1305639,88.0,0.951049,-28.0,1.0537384,23.0,0.60330576,-240.0,0
1.2104348,121.0,1.169329,106.0,0.89444447,-57.0,0.88024884,-77.0,1.012959,6.0,1.1305639,88.0,0.9493007,-29.0,1.0514019,22.0,0.60330576,-240.0,0
