SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.8097826,-105.0,0.9434931,-33.0,0.7171904,-153.0,0.32888147,-402.0,0.3064182,-335.0,0.9420601,-27.0,0.9959514,-2.0,1.200313,128.0,0.71428573,-158.0,5
0.79710144,-112.0,0.93835616,-36.0,0.7171904,-153.0,0.32888147,-402.0,0.3064182,-335.0,0.9420601,-27.0,0.9939271,-3.0,1.1971831,126.0,0.71428573,-158.0,5
0.79710144,-112.0,0.92979455,-41.0,0.7171904,-153.0,0.32888147,-402.0,0.3064182,-335.0,0.93991417,-28.0,0.9939271,-3.0,1.1940532,124.0,0.71428573,-158.0,5
0.79710144,-112.0,0.92979455,-41.0,0.7171904,-153.0,0.3305509,-401.0,0.3167702,-330.0,0.9420601,-27.0,0.9959514,-2.0,1.1940532,124.0,0.71428573,-158.0,5
0.7789855,-122.0,0.9109589,-52.0,0.7134935,-155.0,0.32387313,-405.0,0.3126294,-332.0,0.9270386,-34.0,0.9959514,-2.0,1.1737089,111.0,0.72875226,-150.0,5
0.77355075,-125.0,0.9041096,-56.0,0.7116451,-156.0,0.32387313,-405.0,0.3126294,-332.0,0.9227468,-36.0,0.9959514,-2.0,1.1737089,111.0,0.72875226,-150.0,5
0.7789855,-122.0,0.9041096,-56.0,0.7116451,-156.0,0.32387313,-405.0,0.3126294,-332.0,0.9227468,-36.0,0.9959514,-2.0,1.1737089,111.0,0.73417723,-147.0,5
0.7789855,-122.0,0.9041096,-56.0,0.7116451,-156.0,0.32387313,-405.0,0.3167702,-330.0,0.9227468,-36.0,0.9959514,-2.0,1.1737089,111.0,0.73417723,-147.0,5
0.77355075,-125.0,0.9023973,-57.0,0.7060998,-159.0,0.32387313,-405.0,0.3167702,-330.0,0.9055794,-44.0,0.9959514,-2.0,1.1580595,101.0,0.74864376,-139.0,5
0.7717391,-126.0,0.89897263,-59.0,0.7042514,-160.0,0.32220367,-406.0,0.3167702,-330.0,0.8991416,-47.0,0.9959514,-2.0,1.1580595,101.0,0.74864376,-139.0,5
0.76811594,-128.0,0.89726025,-60.0,0.70240295,-161.0,0.32220367,-406.0,0.3167702,-330.0,0.8991416,-47.0,0.9959514,-2.0,1.1517997,97.0,0.74864376,-139.0,5
0.7663044,-129.0,0.8955479,-61.0,0.70240295,-161.0,0.32220367,-406.0,0.3167702,-330.0,0.8991416,-47.0,0.9959514,-2.0,1.1455399,93.0,0.74864376,-139.0,5
0.7663044,-129.0,0.8938356,-62.0,0.70240295,-161.0,0.32220367,-406.0,0.3146998,-331.0,0.8991416,-47.0,0.9939271,-3.0,1.143975,92.0,0.74864376,-139.0,5
0.7663044,-129.0,0.8938356,-62.0,0.70240295,-161.0,0.32220367,-406.0,0.3167702,-330.0,0.8991416,-47.0,0.9959514,-2.0,1.143975,92.0,0.74864376,-139.0,5
0.76811594,-128.0,0.8955479,-61.0,0.7042514,-160.0,0.32387313,-405.0,0.3188406,-329.0,0.9034335,-45.0,0.9959514,-2.0,1.1455399,93.0,0.7504521,-138.0,5
0.7663044,-129.0,0.8955479,-61.0,0.70240295,-161.0,0.33222038,-400.0,0.33126295,-323.0,0.90128756,-46.0,1.0,0.0,1.1377152,88.0,0.75768536,-134.0,5
0.77355075,-125.0,0.89897263,-59.0,0.6987061,-163.0,0.33222038,-400.0,0.32505175,-326.0,0.89055794,-51.0,1.0020243,1.0,1.1361502,87.0,0.755877,-135.0,5
0.7807971,-121.0,0.885274,-67.0,0.70055455,-162.0,0.34056762,-395.0,0.3498965,-314.0,0.87982833,-56.0,1.0040486,2.0,1.1236306,79.0,0.77938515,-122.0,5
0.7753623,-124.0,0.885274,-67.0,0.6968577,-164.0,0.34056762,-395.0,0.3498965,-314.0,0.87982833,-56.0,1.0040486,2.0,1.115806,74.0,0.77938515,-122.0,5
0.7753623,-124.0,0.885274,-67.0,0.6968577,-164.0,0.34056762,-395.0,0.3498965,-314.0,0.87982833,-56.0,1.0040486,2.0,1.114241,73.0,0.77938515,-122.0,5
0.7753623,-124.0,0.885274,-67.0,0.6968577,-164.0,0.34056762,-395.0,0.35817805,-310.0,0.8862661,-53.0,1.0040486,2.0,1.115806,74.0,0.77938515,-122.0,5
0.7753623,-124.0,0.885274,-67.0,0.6968577,-164.0,0.34056762,-395.0,0.36024845,-309.0,0.888412,-52.0,1.0040486,2.0,1.115806,74.0,0.77938515,-122.0,5
0.7753623,-124.0,0.885274,-67.0,0.6987061,-163.0,0.34056762,-395.0,0.36231884,-308.0,0.888412,-52.0,1.0060729,3.0,1.115806,74.0,0.77938515,-122.0,5
0.7753623,-124.0,0.885274,-67.0,0.6987061,-163.0,0.34223706,-394.0,0.36438924,-307.0,0.888412,-52.0,1.0060729,3.0,1.115806,74.0,0.7811935,-121.0,5
