SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.69034606,-170.0,0.5503356,-268.0,1.2671614,144.0,0.8133803,-106.0,0.86206895,-64.0,1.0694444,40.0,1.0121704,6.0,0.5228951,-323.0,1.1015762,58.0,3
0.69034606,-170.0,0.5503356,-268.0,1.2634509,142.0,0.8133803,-106.0,0.8534483,-68.0,1.0677084,39.0,1.0121704,6.0,0.5184638,-326.0,1.1015762,58.0,3
0.69034606,-170.0,0.5503356,-268.0,1.257885,139.0,0.8133803,-106.0,0.8534483,-68.0,1.0520834,30.0,1.0121704,6.0,0.5184638,-326.0,1.1015762,58.0,3
0.69581056,-167.0,0.5520134,-267.0,1.257885,139.0,0.818662,-103.0,0.8534483,-68.0,1.0520834,30.0,1.0162271,8.0,0.5184638,-326.0,1.1033275,59.0,3
0.7304189,-148.0,0.59563756,-241.0,1.2467532,133.0,0.8133803,-106.0,0.875,-58.0,1.0381944,22.0,1.0243407,12.0,0.5184638,-326.0,1.1173381,67.0,3
0.7304189,-148.0,0.590604,-244.0,1.2430427,131.0,0.8133803,-106.0,0.875,-58.0,1.0364584,21.0,1.0243407,12.0,0.5184638,-326.0,1.1173381,67.0,3
0.7304189,-148.0,0.590604,-244.0,1.2411873,130.0,0.8116197,-107.0,0.875,-58.0,1.0347222,20.0,1.0243407,12.0,0.5184638,-326.0,1.1103327,63.0,3
0.7304189,-148.0,0.590604,-244.0,1.2393321,129.0,0.8116197,-107.0,0.8663793,-62.0,1.0329862,19.0,1.0223124,11.0,0.5169867,-327.0,1.1103327,63.0,3
0.72131145,-153.0,0.58389264,-248.0,1.2337662,126.0,0.8116197,-107.0,0.86206895,-64.0,1.0329862,19.0,1.0223124,11.0,0.5140325,-329.0,1.1103327,63.0,3
0.72131145,-153.0,0.57550335,-253.0,1.2244898,121.0,0.8116197,-107.0,0.86206895,-64.0,1.0329862,19.0,1.0263692,13.0,0.5140325,-329.0,1.1313485,75.0,3
