SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
-93.0,-90.0,-169.0,-226.0,-159.0,-277.0,19.0,-48.0,-125.0,1
-93.0,-89.0,-169.0,-226.0,-159.0,-277.0,19.0,-44.0,-125.0,1
-91.0,-87.0,-180.0,-231.0,-164.0,-276.0,16.0,-42.0,-135.0,1
-90.0,-85.0,-180.0,-230.0,-164.0,-276.0,17.0,-42.0,-134.0,1
-90.0,-87.0,-182.0,-231.0,-163.0,-276.0,18.0,-44.0,-133.0,1
-90.0,-87.0,-183.0,-231.0,-163.0,-276.0,18.0,-44.0,-133.0,1
-90.0,-90.0,-183.0,-231.0,-163.0,-276.0,18.0,-45.0,-133.0,1
-90.0,-90.0,-183.0,-231.0,-163.0,-276.0,18.0,-45.0,-135.0,1
-90.0,-90.0,-183.0,-231.0,-163.0,-276.0,18.0,-45.0,-135.0,1
-90.0,-90.0,-183.0,-230.0,-160.0,-272.0,18.0,-45.0,-133.0,1
-89.0,-90.0,-182.0,-228.0,-158.0,-272.0,20.0,-45.0,-133.0,1
-89.0,-87.0,-182.0,-224.0,-158.0,-271.0,23.0,-44.0,-132.0,1
-88.0,-87.0,-180.0,-224.0,-157.0,-271.0,25.0,-44.0,-131.0,1
-89.0,-87.0,-182.0,-222.0,-158.0,-270.0,23.0,-42.0,-128.0,1
-89.0,-90.0,-182.0,-227.0,-158.0,-271.0,23.0,-45.0,-128.0,1
-97.0,-101.0,-195.0,-229.0,-162.0,-285.0,19.0,-61.0,-130.0,1
-97.0,-101.0,-195.0,-228.0,-162.0,-284.0,19.0,-61.0,-130.0,1
-96.0,-101.0,-194.0,-228.0,-161.0,-284.0,20.0,-58.0,-129.0,1
-96.0,-101.0,-194.0,-227.0,-160.0,-284.0,20.0,-58.0,-129.0,1
-93.0,-101.0,-192.0,-227.0,-159.0,-284.0,20.0,-58.0,-129.0,1
-95.0,-101.0,-194.0,-226.0,-160.0,-284.0,21.0,-58.0,-129.0,1
-95.0,-104.0,-194.0,-229.0,-160.0,-284.0,21.0,-59.0,-129.0,1
-95.0,-104.0,-194.0,-229.0,-162.0,-284.0,20.0,-59.0,-130.0,1
-95.0,-107.0,-194.0,-237.0,-162.0,-285.0,20.0,-61.0,-130.0,1
-96.0,-107.0,-195.0,-237.0,-162.0,-285.0,19.0,-61.0,-131.0,1
-95.0,-104.0,-194.0,-237.0,-160.0,-285.0,20.0,-59.0,-130.0,1
-90.0,-101.0,-194.0,-229.0,-159.0,-284.0,21.0,-59.0,-129.0,1
-90.0,-101.0,-191.0,-229.0,-158.0,-284.0,21.0,-59.0,-128.0,1
-90.0,-101.0,-191.0,-229.0,-158.0,-284.0,21.0,-59.0,-128.0,1
-94.0,-107.0,-190.0,-234.0,-160.0,-287.0,19.0,-62.0,-128.0,1
-95.0,-110.0,-194.0,-237.0,-161.0,-287.0,18.0,-63.0,-128.0,1
-96.0,-111.0,-197.0,-237.0,-163.0,-288.0,18.0,-63.0,-128.0,1
-97.0,-112.0,-197.0,-238.0,-163.0,-288.0,18.0,-63.0,-130.0,1
-97.0,-112.0,-197.0,-238.0,-164.0,-288.0,18.0,-65.0,-132.0,1
-97.0,-112.0,-197.0,-238.0,-163.0,-288.0,18.0,-65.0,-130.0,1
-96.0,-112.0,-194.0,-238.0,-161.0,-288.0,18.0,-63.0,-130.0,1
-95.0,-112.0,-194.0,-238.0,-161.0,-287.0,18.0,-63.0,-129.0,1
-95.0,-112.0,-194.0,-238.0,-161.0,-287.0,18.0,-63.0,-129.0,1
-97.0,-112.0,-194.0,-242.0,-163.0,-288.0,18.0,-64.0,-128.0,1
-97.0,-113.0,-197.0,-242.0,-164.0,-288.0,18.0,-67.0,-131.0,1
-97.0,-113.0,-197.0,-243.0,-164.0,-288.0,16.0,-67.0,-132.0,1
-97.0,-113.0,-197.0,-243.0,-165.0,-288.0,16.0,-67.0,-133.0,1
-98.0,-116.0,-197.0,-243.0,-165.0,-290.0,16.0,-67.0,-134.0,1
-97.0,-115.0,-197.0,-240.0,-161.0,-288.0,14.0,-67.0,-132.0,1
-95.0,-113.0,-196.0,-236.0,-161.0,-288.0,16.0,-65.0,-132.0,1
-90.0,-111.0,-196.0,-232.0,-161.0,-288.0,16.0,-65.0,-132.0,1
-90.0,-104.0,-196.0,-233.0,-161.0,-283.0,14.0,-61.0,-135.0,1
-90.0,-104.0,-196.0,-233.0,-162.0,-283.0,14.0,-65.0,-136.0,1
-90.0,-104.0,-196.0,-234.0,-162.0,-286.0,13.0,-65.0,-137.0,1
-90.0,-104.0,-196.0,-234.0,-162.0,-286.0,12.0,-65.0,-139.0,1
-45.0,-18.0,278.0,-179.0,-177.0,-165.0,23.0,97.0,-135.0,3
-46.0,-19.0,278.0,-179.0,-179.0,-165.0,23.0,96.0,-135.0,3
-46.0,-21.0,278.0,-181.0,-179.0,-165.0,23.0,94.0,-135.0,3
-46.0,-19.0,286.0,-181.0,-179.0,-163.0,23.0,94.0,-135.0,3
-46.0,-19.0,291.0,-181.0,-179.0,-162.0,24.0,94.0,-135.0,3
-46.0,-19.0,291.0,-179.0,-179.0,-161.0,24.0,96.0,-135.0,3
-45.0,-18.0,293.0,-179.0,-179.0,-159.0,25.0,97.0,-135.0,3
-45.0,-18.0,294.0,-182.0,-179.0,-155.0,24.0,98.0,-137.0,3
-45.0,-18.0,294.0,-182.0,-179.0,-155.0,24.0,98.0,-137.0,3
-45.0,-18.0,294.0,-183.0,-180.0,-155.0,24.0,98.0,-137.0,3
-45.0,-18.0,294.0,-184.0,-180.0,-155.0,24.0,98.0,-137.0,3
-45.0,-18.0,294.0,-184.0,-180.0,-155.0,24.0,98.0,-137.0,3
-43.0,-18.0,294.0,-184.0,-180.0,-155.0,25.0,99.0,-134.0,3
-43.0,-15.0,294.0,-183.0,-180.0,-152.0,27.0,102.0,-133.0,3
-42.0,-15.0,294.0,-183.0,-180.0,-147.0,27.0,103.0,-133.0,3
-42.0,-15.0,294.0,-182.0,-180.0,-144.0,28.0,105.0,-133.0,3
-41.0,-11.0,294.0,-183.0,-179.0,-144.0,29.0,107.0,-132.0,3
-41.0,-11.0,294.0,-183.0,-180.0,-144.0,27.0,107.0,-134.0,3
-41.0,-11.0,294.0,-183.0,-180.0,-144.0,27.0,107.0,-134.0,3
-41.0,-11.0,294.0,-183.0,-183.0,-144.0,26.0,107.0,-137.0,3
-41.0,-15.0,294.0,-187.0,-183.0,-144.0,26.0,107.0,-137.0,3
-41.0,-11.0,294.0,-183.0,-183.0,-141.0,27.0,110.0,-137.0,3
-40.0,-11.0,294.0,-183.0,-183.0,-139.0,27.0,112.0,-137.0,3
-40.0,-11.0,294.0,-183.0,-183.0,-139.0,27.0,112.0,-137.0,3
-39.0,-11.0,294.0,-183.0,-183.0,-139.0,27.0,114.0,-137.0,3
-45.0,-15.0,294.0,-191.0,-185.0,-134.0,31.0,108.0,-135.0,3
-45.0,-14.0,294.0,-190.0,-185.0,-133.0,32.0,110.0,-135.0,3
-44.0,-14.0,294.0,-190.0,-185.0,-132.0,33.0,114.0,-135.0,3
-45.0,-9.0,294.0,-192.0,-189.0,-132.0,33.0,115.0,-140.0,3
-45.0,-14.0,294.0,-193.0,-190.0,-133.0,32.0,112.0,-140.0,3
-45.0,-15.0,294.0,-193.0,-192.0,-133.0,32.0,112.0,-143.0,3
-45.0,-15.0,294.0,-199.0,-192.0,-133.0,31.0,112.0,-143.0,3
-45.0,-15.0,294.0,-199.0,-192.0,-133.0,31.0,112.0,-143.0,3
-45.0,-15.0,294.0,-199.0,-192.0,-133.0,31.0,115.0,-143.0,3
-45.0,-14.0,294.0,-199.0,-192.0,-133.0,31.0,115.0,-143.0,3
-43.0,-11.0,294.0,-195.0,-192.0,-133.0,31.0,115.0,-143.0,3
-43.0,-11.0,294.0,-195.0,-192.0,-133.0,32.0,115.0,-143.0,3
-43.0,-9.0,294.0,-195.0,-192.0,-133.0,31.0,114.0,-141.0,3
-45.0,-12.0,294.0,-196.0,-194.0,-133.0,31.0,113.0,-141.0,3
-45.0,-13.0,294.0,-197.0,-194.0,-134.0,31.0,110.0,-143.0,3
-46.0,-13.0,294.0,-197.0,-194.0,-134.0,31.0,108.0,-143.0,3
-46.0,-13.0,294.0,-197.0,-194.0,-135.0,31.0,108.0,-146.0,3
-45.0,-12.0,294.0,-197.0,-194.0,-134.0,32.0,110.0,-143.0,3
-45.0,-12.0,294.0,-197.0,-194.0,-134.0,32.0,113.0,-143.0,3
-44.0,-10.0,294.0,-197.0,-194.0,-133.0,33.0,113.0,-143.0,3
-43.0,-9.0,294.0,-197.0,-194.0,-133.0,33.0,114.0,-143.0,3
-42.0,-8.0,294.0,-197.0,-196.0,-133.0,33.0,119.0,-146.0,3
-42.0,-8.0,294.0,-197.0,-200.0,-133.0,33.0,119.0,-147.0,3
-42.0,-8.0,294.0,-200.0,-200.0,-133.0,33.0,119.0,-147.0,3
-42.0,-8.0,294.0,-200.0,-200.0,-133.0,33.0,119.0,-147.0,3
-18.0,35.0,-101.0,-180.0,-164.0,-272.0,-13.0,145.0,-200.0,6
-22.0,37.0,-104.0,-175.0,-160.0,-257.0,-10.0,139.0,-187.0,6
-22.0,33.0,-104.0,-184.0,-160.0,-276.0,-10.0,125.0,-187.0,6
-19.0,33.0,-111.0,-188.0,-161.0,-267.0,-7.0,115.0,-194.0,6
-19.0,33.0,-114.0,-188.0,-162.0,-267.0,-7.0,115.0,-195.0,6
-19.0,29.0,-114.0,-189.0,-162.0,-268.0,-7.0,115.0,-195.0,6
-19.0,29.0,-116.0,-189.0,-164.0,-268.0,-7.0,115.0,-195.0,6
-19.0,29.0,-116.0,-190.0,-164.0,-268.0,-7.0,115.0,-195.0,6
-18.0,29.0,-114.0,-190.0,-162.0,-268.0,-4.0,115.0,-195.0,6
-18.0,33.0,-114.0,-189.0,-162.0,-268.0,-2.0,116.0,-194.0,6
-17.0,33.0,-112.0,-188.0,-162.0,-268.0,-1.0,117.0,-194.0,6
-17.0,35.0,-111.0,-188.0,-161.0,-267.0,-1.0,119.0,-192.0,6
-17.0,33.0,-111.0,-188.0,-160.0,-266.0,1.0,117.0,-190.0,6
-18.0,33.0,-111.0,-188.0,-160.0,-266.0,1.0,117.0,-194.0,6
-18.0,32.0,-111.0,-189.0,-160.0,-268.0,1.0,115.0,-194.0,6
-14.0,36.0,-105.0,-187.0,-155.0,-268.0,3.0,110.0,-194.0,6
-13.0,36.0,-104.0,-186.0,-155.0,-268.0,3.0,113.0,-194.0,6
-10.0,37.0,-104.0,-186.0,-155.0,-266.0,3.0,114.0,-194.0,6
-10.0,37.0,-103.0,-186.0,-154.0,-266.0,3.0,114.0,-193.0,6
-9.0,37.0,-103.0,-183.0,-154.0,-265.0,3.0,116.0,-191.0,6
-8.0,37.0,-103.0,-183.0,-154.0,-266.0,3.0,114.0,-190.0,6
-10.0,37.0,-105.0,-183.0,-155.0,-266.0,3.0,114.0,-193.0,6
-10.0,36.0,-105.0,-186.0,-155.0,-266.0,3.0,114.0,-193.0,6
-10.0,36.0,-106.0,-186.0,-158.0,-266.0,3.0,114.0,-193.0,6
-10.0,36.0,-106.0,-187.0,-158.0,-267.0,3.0,114.0,-193.0,6
-9.0,37.0,-106.0,-186.0,-158.0,-266.0,3.0,114.0,-193.0,6
-8.0,37.0,-106.0,-186.0,-157.0,-266.0,4.0,114.0,-193.0,6
-8.0,37.0,-106.0,-186.0,-157.0,-266.0,4.0,114.0,-193.0,6
-7.0,37.0,-105.0,-183.0,-155.0,-266.0,4.0,116.0,-193.0,6
-5.0,37.0,-106.0,-183.0,-154.0,-268.0,4.0,114.0,-194.0,6
-8.0,36.0,-106.0,-186.0,-154.0,-269.0,2.0,113.0,-194.0,6
-8.0,36.0,-106.0,-186.0,-157.0,-269.0,2.0,111.0,-194.0,6
-8.0,36.0,-107.0,-186.0,-157.0,-269.0,2.0,111.0,-194.0,6
-9.0,36.0,-109.0,-186.0,-157.0,-269.0,0.0,111.0,-194.0,6
-9.0,36.0,-109.0,-186.0,-157.0,-269.0,2.0,111.0,-194.0,6
-8.0,36.0,-109.0,-184.0,-157.0,-269.0,3.0,111.0,-194.0,6
-7.0,36.0,-109.0,-184.0,-157.0,-269.0,3.0,112.0,-193.0,6
-6.0,36.0,-107.0,-184.0,-156.0,-269.0,4.0,112.0,-193.0,6
-7.0,36.0,-109.0,-184.0,-159.0,-270.0,3.0,112.0,-195.0,6
-7.0,36.0,-111.0,-184.0,-159.0,-270.0,0.0,112.0,-196.0,6
-6.0,36.0,-109.0,-184.0,-159.0,-270.0,3.0,112.0,-195.0,6
-6.0,36.0,-109.0,-183.0,-159.0,-269.0,3.0,113.0,-194.0,6
-5.0,36.0,-106.0,-183.0,-157.0,-269.0,4.0,114.0,-194.0,6
-4.0,37.0,-106.0,-181.0,-157.0,-266.0,4.0,115.0,-194.0,6
-3.0,36.0,-105.0,-179.0,-154.0,-269.0,4.0,116.0,-191.0,6
-5.0,36.0,-109.0,-179.0,-157.0,-269.0,2.0,116.0,-195.0,6
-5.0,36.0,-109.0,-180.0,-157.0,-269.0,2.0,116.0,-195.0,6
-5.0,36.0,-111.0,-180.0,-158.0,-270.0,1.0,116.0,-198.0,6
-5.0,35.0,-111.0,-183.0,-159.0,-272.0,1.0,116.0,-201.0,6
-4.0,36.0,-111.0,-182.0,-159.0,-272.0,1.0,117.0,-201.0,6
-44.0,-49.0,120.0,-148.0,-175.0,-237.0,-23.0,117.0,-209.0,8
-44.0,-49.0,120.0,-148.0,-175.0,-237.0,-23.0,117.0,-209.0,8
-42.0,-48.0,120.0,-148.0,-174.0,-235.0,-21.0,117.0,-207.0,8
-42.0,-46.0,120.0,-142.0,-174.0,-233.0,-20.0,117.0,-205.0,8
-33.0,-25.0,133.0,-137.0,-169.0,-204.0,-5.0,112.0,-186.0,8
-32.0,-24.0,149.0,-135.0,-169.0,-203.0,-4.0,112.0,-186.0,8
-27.0,-24.0,153.0,-135.0,-169.0,-199.0,-3.0,113.0,-186.0,8
-23.0,-24.0,154.0,-134.0,-169.0,-197.0,-3.0,113.0,-186.0,8
-23.0,-24.0,154.0,-134.0,-169.0,-195.0,-2.0,113.0,-182.0,8
-29.0,-24.0,154.0,-134.0,-172.0,-194.0,-2.0,110.0,-184.0,8
-31.0,-26.0,150.0,-135.0,-173.0,-197.0,-2.0,108.0,-184.0,8
-32.0,-27.0,149.0,-135.0,-173.0,-197.0,-2.0,107.0,-184.0,8
-32.0,-28.0,149.0,-135.0,-173.0,-197.0,-2.0,105.0,-184.0,8
-32.0,-28.0,148.0,-135.0,-173.0,-201.0,-2.0,105.0,-184.0,8
-25.0,-23.0,175.0,-139.0,-158.0,-187.0,4.0,115.0,-181.0,8
-25.0,-25.0,175.0,-145.0,-165.0,-187.0,3.0,115.0,-183.0,8
-25.0,-27.0,175.0,-152.0,-172.0,-187.0,0.0,115.0,-186.0,8
-25.0,-25.0,177.0,-152.0,-172.0,-187.0,0.0,121.0,-186.0,8
-27.0,-26.0,177.0,-155.0,-179.0,-177.0,-1.0,121.0,-184.0,8
-27.0,-26.0,177.0,-155.0,-176.0,-176.0,2.0,121.0,-179.0,8
-30.0,-25.0,177.0,-155.0,-179.0,-174.0,-1.0,118.0,-180.0,8
-30.0,-27.0,174.0,-155.0,-179.0,-175.0,-1.0,118.0,-180.0,8
-34.0,-27.0,171.0,-155.0,-179.0,-175.0,-1.0,117.0,-180.0,8
-34.0,-27.0,171.0,-155.0,-179.0,-175.0,-1.0,116.0,-180.0,8
-34.0,-27.0,171.0,-155.0,-179.0,-175.0,-1.0,116.0,-180.0,8
-34.0,-25.0,174.0,-155.0,-179.0,-174.0,6.0,117.0,-175.0,8
-34.0,-25.0,174.0,-154.0,-176.0,-170.0,6.0,118.0,-172.0,8
-30.0,-25.0,176.0,-154.0,-173.0,-168.0,6.0,118.0,-172.0,8
-30.0,-24.0,176.0,-153.0,-173.0,-167.0,6.0,118.0,-169.0,8
-30.0,-23.0,177.0,-152.0,-172.0,-168.0,7.0,116.0,-167.0,8
-34.0,-23.0,177.0,-152.0,-173.0,-168.0,6.0,115.0,-167.0,8
-34.0,-25.0,174.0,-154.0,-173.0,-168.0,6.0,112.0,-167.0,8
-35.0,-25.0,174.0,-156.0,-173.0,-168.0,5.0,107.0,-167.0,8
-36.0,-25.0,177.0,-156.0,-173.0,-168.0,6.0,107.0,-167.0,8
-36.0,-23.0,181.0,-156.0,-173.0,-165.0,6.0,107.0,-165.0,8
-36.0,-24.0,182.0,-163.0,-181.0,-163.0,1.0,103.0,-172.0,8
-37.0,-24.0,182.0,-167.0,-186.0,-163.0,1.0,103.0,-172.0,8
-37.0,-24.0,184.0,-167.0,-186.0,-162.0,1.0,103.0,-168.0,8
-37.0,-23.0,184.0,-167.0,-186.0,-161.0,2.0,103.0,-167.0,8
-37.0,-23.0,184.0,-167.0,-186.0,-161.0,5.0,103.0,-166.0,8
-37.0,-23.0,184.0,-167.0,-182.0,-159.0,5.0,103.0,-163.0,8
-36.0,-19.0,196.0,-169.0,-186.0,-147.0,9.0,98.0,-154.0,8
-36.0,-17.0,202.0,-167.0,-186.0,-145.0,9.0,98.0,-154.0,8
-35.0,-13.0,209.0,-169.0,-186.0,-137.0,9.0,99.0,-158.0,8
-35.0,-13.0,208.0,-173.0,-190.0,-137.0,6.0,99.0,-159.0,8
-39.0,-15.0,201.0,-177.0,-204.0,-140.0,6.0,96.0,-158.0,8
-39.0,-17.0,201.0,-177.0,-204.0,-140.0,4.0,96.0,-158.0,8
-39.0,-17.0,201.0,-177.0,-204.0,-140.0,4.0,96.0,-159.0,8
-39.0,-17.0,201.0,-178.0,-204.0,-144.0,4.0,96.0,-162.0,8
-39.0,-15.0,201.0,-177.0,-204.0,-140.0,4.0,97.0,-162.0,8
-3.0,46.0,-70.0,-189.0,-165.0,-205.0,3.0,126.0,-190.0,9
-3.0,47.0,-70.0,-189.0,-165.0,-205.0,3.0,133.0,-190.0,9
-3.0,47.0,-70.0,-189.0,-165.0,-205.0,3.0,136.0,-190.0,9
-4.0,44.0,-102.0,-190.0,-177.0,-205.0,-1.0,133.0,-200.0,9
-4.0,43.0,-103.0,-192.0,-180.0,-207.0,-3.0,133.0,-202.0,9
-4.0,41.0,-103.0,-192.0,-180.0,-208.0,-5.0,133.0,-204.0,9
-4.0,41.0,-104.0,-192.0,-183.0,-209.0,-5.0,133.0,-204.0,9
