SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
-42.0,349.0,-179.0,-171.0,-235.0,-76.0,66.0,221.0,-211.0,6
-42.0,350.0,-179.0,-169.0,-235.0,-75.0,66.0,222.0,-211.0,6
-40.0,350.0,-176.0,-169.0,-234.0,-75.0,66.0,228.0,-211.0,6
-40.0,350.0,-176.0,-169.0,-234.0,-74.0,66.0,229.0,-211.0,6
-43.0,350.0,-185.0,-174.0,-236.0,-75.0,65.0,228.0,-210.0,6
-45.0,350.0,-185.0,-178.0,-244.0,-75.0,61.0,226.0,-215.0,6
-45.0,350.0,-185.0,-181.0,-245.0,-75.0,60.0,226.0,-215.0,6
-45.0,349.0,-185.0,-187.0,-245.0,-75.0,60.0,224.0,-215.0,6
-45.0,349.0,-186.0,-188.0,-245.0,-76.0,59.0,222.0,-215.0,6
-45.0,350.0,-185.0,-187.0,-245.0,-76.0,60.0,224.0,-215.0,6
-45.0,350.0,-185.0,-184.0,-245.0,-76.0,60.0,226.0,-215.0,6
-45.0,350.0,-185.0,-184.0,-245.0,-75.0,61.0,226.0,-215.0,6
-45.0,350.0,-185.0,-184.0,-245.0,-75.0,61.0,228.0,-215.0,6
-45.0,350.0,-190.0,-183.0,-252.0,-75.0,60.0,228.0,-219.0,6
-45.0,350.0,-191.0,-187.0,-253.0,-76.0,59.0,228.0,-221.0,6
-46.0,350.0,-193.0,-188.0,-256.0,-76.0,59.0,228.0,-221.0,6
-47.0,350.0,-193.0,-188.0,-256.0,-76.0,59.0,228.0,-221.0,6
-47.0,350.0,-193.0,-188.0,-256.0,-76.0,59.0,228.0,-223.0,6
-47.0,350.0,-190.0,-188.0,-250.0,-76.0,61.0,228.0,-220.0,6
-47.0,350.0,-187.0,-188.0,-246.0,-75.0,62.0,228.0,-219.0,6
-47.0,350.0,-185.0,-187.0,-250.0,-75.0,61.0,228.0,-216.0,6
-47.0,350.0,-185.0,-188.0,-250.0,-75.0,61.0,226.0,-216.0,6
-47.0,350.0,-186.0,-188.0,-250.0,-75.0,60.0,226.0,-220.0,6
-47.0,350.0,-186.0,-188.0,-250.0,-75.0,60.0,226.0,-220.0,6
-49.0,350.0,-186.0,-188.0,-250.0,-75.0,60.0,225.0,-220.0,6
-49.0,350.0,-185.0,-188.0,-248.0,-75.0,61.0,225.0,-216.0,6
-49.0,350.0,-185.0,-187.0,-244.0,-74.0,62.0,226.0,-213.0,6
-47.0,350.0,-175.0,-187.0,-244.0,-74.0,62.0,226.0,-212.0,6
-47.0,350.0,-174.0,-185.0,-235.0,-71.0,62.0,226.0,-210.0,6
-46.0,350.0,-172.0,-187.0,-234.0,-74.0,62.0,226.0,-207.0,6
-49.0,350.0,-172.0,-187.0,-234.0,-74.0,62.0,221.0,-211.0,6
-49.0,347.0,-172.0,-188.0,-234.0,-76.0,62.0,221.0,-211.0,6
-49.0,347.0,-175.0,-188.0,-244.0,-76.0,61.0,221.0,-212.0,6
-49.0,347.0,-175.0,-189.0,-244.0,-76.0,61.0,221.0,-212.0,6
-48.0,350.0,-175.0,-188.0,-244.0,-75.0,61.0,225.0,-212.0,6
-46.0,350.0,-172.0,-188.0,-244.0,-75.0,61.0,226.0,-212.0,6
-46.0,350.0,-172.0,-187.0,-244.0,-75.0,61.0,226.0,-212.0,6
-46.0,350.0,-172.0,-186.0,-244.0,-75.0,61.0,226.0,-212.0,6
-50.0,350.0,-177.0,-187.0,-238.0,-78.0,59.0,225.0,-213.0,6
-52.0,350.0,-179.0,-189.0,-239.0,-79.0,57.0,217.0,-213.0,6
-52.0,348.0,-179.0,-190.0,-239.0,-79.0,56.0,213.0,-213.0,6
-51.0,348.0,-177.0,-190.0,-239.0,-78.0,56.0,213.0,-207.0,6
-51.0,348.0,-171.0,-190.0,-238.0,-71.0,57.0,213.0,-203.0,6
-51.0,348.0,-170.0,-190.0,-234.0,-71.0,58.0,215.0,-201.0,6
-51.0,349.0,-165.0,-190.0,-234.0,-70.0,59.0,217.0,-200.0,6
-50.0,350.0,-170.0,-190.0,-233.0,-70.0,58.0,215.0,-199.0,6
-51.0,348.0,-170.0,-195.0,-233.0,-70.0,56.0,212.0,-199.0,6
-52.0,348.0,-170.0,-196.0,-237.0,-70.0,56.0,211.0,-199.0,6
-52.0,348.0,-170.0,-196.0,-237.0,-71.0,56.0,211.0,-199.0,6
-52.0,348.0,-175.0,-196.0,-237.0,-73.0,56.0,211.0,-201.0,6
