SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
-81.0,-91.0,-75.0,-284.0,-78.0,-75.0,-15.0,-14.0,-127.0,5
-84.0,-91.0,-75.0,-284.0,-78.0,-75.0,-15.0,-14.0,-127.0,5
-87.0,-91.0,-75.0,-286.0,-78.0,-76.0,-15.0,-14.0,-127.0,5
-87.0,-91.0,-75.0,-290.0,-78.0,-76.0,-15.0,-16.0,-127.0,5
-87.0,-91.0,-75.0,-290.0,-78.0,-76.0,-15.0,-16.0,-127.0,5
-87.0,-88.0,-75.0,-289.0,-73.0,-75.0,-14.0,-16.0,-120.0,5
-87.0,-86.0,-74.0,-289.0,-67.0,-72.0,-12.0,-16.0,-116.0,5
-87.0,-85.0,-73.0,-289.0,-67.0,-70.0,-10.0,-14.0,-112.0,5
-97.0,-80.0,-66.0,-299.0,-66.0,-68.0,-14.0,-13.0,-120.0,5
-94.0,-80.0,-66.0,-298.0,-65.0,-68.0,-13.0,-13.0,-119.0,5
-94.0,-79.0,-65.0,-298.0,-65.0,-68.0,-13.0,-11.0,-116.0,5
-94.0,-79.0,-65.0,-298.0,-65.0,-68.0,-11.0,-10.0,-116.0,5
-94.0,-81.0,-66.0,-299.0,-62.0,-68.0,-11.0,-9.0,-119.0,5
-94.0,-81.0,-66.0,-299.0,-62.0,-68.0,-13.0,-9.0,-120.0,5
-94.0,-81.0,-66.0,-300.0,-65.0,-68.0,-13.0,-9.0,-120.0,5
-94.0,-81.0,-69.0,-300.0,-66.0,-68.0,-13.0,-9.0,-120.0,5
-94.0,-81.0,-69.0,-300.0,-66.0,-69.0,-13.0,-9.0,-122.0,5
-94.0,-85.0,-69.0,-300.0,-65.0,-69.0,-9.0,-9.0,-120.0,5
-94.0,-81.0,-69.0,-300.0,-64.0,-68.0,-7.0,-8.0,-120.0,5
-94.0,-81.0,-69.0,-299.0,-61.0,-68.0,-7.0,-8.0,-120.0,5
-94.0,-81.0,-69.0,-299.0,-59.0,-68.0,-7.0,-8.0,-115.0,5
-92.0,-81.0,-68.0,-299.0,-57.0,-68.0,-6.0,-6.0,-114.0,5
-94.0,-82.0,-68.0,-296.0,-56.0,-68.0,-4.0,-8.0,-115.0,5
-98.0,-84.0,-69.0,-296.0,-56.0,-68.0,-4.0,-8.0,-115.0,5
-101.0,-84.0,-69.0,-296.0,-56.0,-68.0,-4.0,-8.0,-117.0,5
-101.0,-84.0,-69.0,-299.0,-59.0,-68.0,-4.0,-8.0,-117.0,5
-102.0,-84.0,-69.0,-299.0,-59.0,-69.0,-4.0,-8.0,-118.0,5
-101.0,-84.0,-69.0,-296.0,-56.0,-69.0,-4.0,-8.0,-117.0,5
-100.0,-82.0,-69.0,-296.0,-53.0,-68.0,-4.0,-8.0,-115.0,5
-98.0,-82.0,-69.0,-295.0,-53.0,-68.0,-3.0,-8.0,-114.0,5
-98.0,-82.0,-68.0,-295.0,-53.0,-68.0,-2.0,-7.0,-113.0,5
-98.0,-82.0,-69.0,-292.0,-53.0,-69.0,-3.0,-6.0,-114.0,5
-98.0,-84.0,-69.0,-292.0,-53.0,-69.0,-4.0,-6.0,-117.0,5
-98.0,-85.0,-69.0,-292.0,-53.0,-72.0,-4.0,-6.0,-117.0,5
-98.0,-85.0,-69.0,-292.0,-53.0,-72.0,-4.0,-6.0,-118.0,5
-98.0,-89.0,-69.0,-292.0,-53.0,-72.0,-4.0,-6.0,-118.0,5
-94.0,-85.0,-69.0,-291.0,-53.0,-72.0,-3.0,-6.0,-117.0,5
-94.0,-84.0,-69.0,-289.0,-51.0,-70.0,0.0,-4.0,-117.0,5
-91.0,-82.0,-69.0,-289.0,-48.0,-69.0,4.0,-4.0,-115.0,5
-91.0,-82.0,-69.0,-289.0,-50.0,-69.0,4.0,-4.0,-115.0,5
-91.0,-82.0,-69.0,-289.0,-50.0,-69.0,4.0,-4.0,-115.0,5
-91.0,-82.0,-69.0,-289.0,-50.0,-69.0,2.0,-4.0,-115.0,5
-91.0,-82.0,-69.0,-289.0,-50.0,-69.0,2.0,-4.0,-115.0,5
-90.0,-81.0,-69.0,-286.0,-48.0,-69.0,2.0,-3.0,-114.0,5
-88.0,-81.0,-69.0,-285.0,-46.0,-69.0,2.0,-1.0,-110.0,5
-88.0,-81.0,-69.0,-283.0,-44.0,-65.0,4.0,-1.0,-109.0,5
-88.0,-79.0,-69.0,-282.0,-42.0,-65.0,5.0,-1.0,-109.0,5
-93.0,-81.0,-69.0,-281.0,-43.0,-69.0,4.0,-1.0,-112.0,5
-101.0,-87.0,-71.0,-283.0,-40.0,-73.0,1.0,-1.0,-112.0,5
-101.0,-87.0,-71.0,-281.0,-40.0,-73.0,4.0,2.0,-112.0,5
