SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
-146.0,-145.0,-70.0,-198.0,-139.0,-134.0,-165.0,-93.0,-96.0,0
-159.0,-146.0,-69.0,-228.0,-140.0,-132.0,-162.0,-91.0,-95.0,0
-160.0,-147.0,-69.0,-232.0,-141.0,-134.0,-162.0,-91.0,-95.0,0
-164.0,-148.0,-72.0,-233.0,-144.0,-134.0,-167.0,-91.0,-96.0,0
-164.0,-148.0,-73.0,-240.0,-145.0,-139.0,-172.0,-91.0,-96.0,0
-164.0,-149.0,-73.0,-240.0,-145.0,-139.0,-174.0,-96.0,-97.0,0
-164.0,-148.0,-72.0,-233.0,-144.0,-139.0,-174.0,-91.0,-97.0,0
-164.0,-148.0,-69.0,-232.0,-144.0,-134.0,-174.0,-91.0,-97.0,0
-142.0,-140.0,-96.0,-217.0,-141.0,-147.0,-176.0,-81.0,-102.0,0
-142.0,-140.0,-97.0,-217.0,-141.0,-147.0,-176.0,-81.0,-103.0,0
-143.0,-142.0,-97.0,-217.0,-141.0,-147.0,-176.0,-82.0,-103.0,0
-143.0,-142.0,-96.0,-209.0,-140.0,-146.0,-172.0,-82.0,-102.0,0
-142.0,-142.0,-96.0,-193.0,-135.0,-146.0,-170.0,-81.0,-102.0,0
-140.0,-140.0,-91.0,-193.0,-133.0,-145.0,-170.0,-81.0,-101.0,0
-134.0,-140.0,-91.0,-188.0,-133.0,-145.0,-169.0,-81.0,-101.0,0
-133.0,-143.0,-97.0,-184.0,-135.0,-147.0,-168.0,-81.0,-103.0,0
-140.0,-143.0,-99.0,-184.0,-135.0,-151.0,-168.0,-81.0,-103.0,0
-140.0,-143.0,-102.0,-193.0,-135.0,-151.0,-168.0,-83.0,-103.0,0
-140.0,-144.0,-103.0,-193.0,-136.0,-152.0,-168.0,-83.0,-103.0,0
-140.0,-145.0,-104.0,-193.0,-136.0,-153.0,-170.0,-83.0,-103.0,0
-138.0,-144.0,-104.0,-184.0,-136.0,-153.0,-168.0,-83.0,-99.0,0
-137.0,-144.0,-104.0,-183.0,-135.0,-153.0,-168.0,-82.0,-99.0,0
-133.0,-143.0,-104.0,-181.0,-135.0,-153.0,-168.0,-81.0,-99.0,0
-128.0,-143.0,-104.0,-179.0,-135.0,-153.0,-168.0,-81.0,-99.0,0
-122.0,-142.0,-115.0,-166.0,-135.0,-159.0,-170.0,-81.0,-101.0,0
-122.0,-142.0,-118.0,-166.0,-135.0,-159.0,-170.0,-81.0,-103.0,0
-122.0,-142.0,-120.0,-166.0,-135.0,-159.0,-173.0,-81.0,-104.0,0
-122.0,-142.0,-123.0,-166.0,-136.0,-159.0,-176.0,-81.0,-105.0,0
-122.0,-143.0,-127.0,-166.0,-136.0,-160.0,-177.0,-81.0,-107.0,0
-112.0,-142.0,-127.0,-157.0,-136.0,-160.0,-177.0,-77.0,-107.0,0
-112.0,-142.0,-127.0,-152.0,-135.0,-160.0,-176.0,-75.0,-107.0,0
-103.0,-142.0,-124.0,-152.0,-135.0,-160.0,-176.0,-70.0,-107.0,0
-96.0,-139.0,-123.0,-145.0,-135.0,-159.0,-173.0,-70.0,-108.0,0
-98.0,-139.0,-123.0,-145.0,-135.0,-161.0,-175.0,-72.0,-108.0,0
-102.0,-139.0,-123.0,-145.0,-135.0,-161.0,-180.0,-72.0,-110.0,0
-102.0,-139.0,-123.0,-145.0,-135.0,-161.0,-181.0,-72.0,-111.0,0
-98.0,-139.0,-118.0,-145.0,-134.0,-159.0,-180.0,-70.0,-110.0,0
-98.0,-138.0,-104.0,-145.0,-131.0,-159.0,-180.0,-68.0,-108.0,0
-97.0,-138.0,-96.0,-145.0,-131.0,-156.0,-179.0,-68.0,-108.0,0
-97.0,-138.0,-94.0,-145.0,-131.0,-151.0,-178.0,-68.0,-108.0,0
-99.0,-138.0,-92.0,-158.0,-131.0,-150.0,-175.0,-68.0,-108.0,0
-103.0,-138.0,-92.0,-162.0,-132.0,-150.0,-175.0,-73.0,-108.0,0
-104.0,-140.0,-92.0,-168.0,-132.0,-150.0,-175.0,-73.0,-108.0,0
-106.0,-141.0,-92.0,-171.0,-132.0,-150.0,-176.0,-73.0,-108.0,0
-107.0,-141.0,-92.0,-174.0,-132.0,-150.0,-176.0,-75.0,-108.0,0
-106.0,-141.0,-86.0,-174.0,-131.0,-146.0,-175.0,-73.0,-108.0,0
-106.0,-140.0,-86.0,-174.0,-130.0,-146.0,-175.0,-73.0,-107.0,0
-106.0,-140.0,-86.0,-171.0,-129.0,-146.0,-175.0,-73.0,-107.0,0
-106.0,-140.0,-86.0,-168.0,-129.0,-146.0,-172.0,-73.0,-107.0,0
-111.0,-138.0,-96.0,-162.0,-128.0,-156.0,-171.0,-74.0,-107.0,0
