SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.65045047,-194.0,0.6654611,-185.0,0.9878893,-7.0,1.5989305,336.0,1.1052631,74.0,1.3804348,245.0,0.81626016,-113.0,1.2415026,135.0,0.44237918,-300.0,U13_F1_p15_r-15
0.65045047,-194.0,0.6636528,-186.0,0.98442906,-9.0,1.5918003,332.0,1.1052631,74.0,1.3804348,245.0,0.8113821,-116.0,1.2415026,135.0,0.44237918,-300.0,U13_F1_p15_r-15
0.65045047,-194.0,0.67450273,-180.0,0.98615915,-8.0,1.57041,320.0,1.0910385,64.0,1.3633541,234.0,0.81626016,-113.0,1.2343471,131.0,0.4479554,-297.0,U13_F1_p15_r-15
0.65045047,-194.0,0.67811936,-178.0,0.9878893,-7.0,1.5757576,323.0,1.0910385,64.0,1.3633541,234.0,0.81626016,-113.0,1.2343471,131.0,0.4479554,-297.0,U13_F1_p15_r-15
0.65225226,-193.0,0.67811936,-178.0,0.9878893,-7.0,1.5757576,323.0,1.0910385,64.0,1.3633541,234.0,0.81626016,-113.0,1.2343471,131.0,0.4479554,-297.0,U13_F1_p15_r-15
0.6576577,-190.0,0.67992765,-177.0,0.982699,-10.0,1.5686275,319.0,1.0881934,62.0,1.3540373,228.0,0.8178862,-112.0,1.2325581,130.0,0.44981414,-296.0,U13_F1_p15_r-15
0.6576577,-190.0,0.6726944,-181.0,0.97923875,-12.0,1.5418894,304.0,1.0796586,56.0,1.3478261,224.0,0.8211382,-110.0,1.2271914,127.0,0.44423792,-299.0,U13_F1_p15_r-15
0.6576577,-190.0,0.6726944,-181.0,0.97923875,-12.0,1.5490196,308.0,1.081081,57.0,1.3493788,225.0,0.8211382,-110.0,1.2271914,127.0,0.44609666,-298.0,U13_F1_p15_r-15
0.6576577,-190.0,0.6726944,-181.0,0.97923875,-12.0,1.5490196,308.0,1.081081,57.0,1.3524845,227.0,0.8211382,-110.0,1.2289803,128.0,0.44609666,-298.0,U13_F1_p15_r-15
0.65045047,-194.0,0.6654611,-185.0,0.97923875,-12.0,1.5525846,310.0,1.081081,57.0,1.3493788,225.0,0.8178862,-112.0,1.2271914,127.0,0.44609666,-298.0,U13_F1_p15_r-15
0.65045047,-194.0,0.6636528,-186.0,0.97750866,-13.0,1.5525846,310.0,1.0796586,56.0,1.3493788,225.0,0.8178862,-112.0,1.2271914,127.0,0.44237918,-300.0,U13_F1_p15_r-15
0.65045047,-194.0,0.6636528,-186.0,0.9757785,-14.0,1.5508021,309.0,1.0796586,56.0,1.3462733,223.0,0.8178862,-112.0,1.2236136,125.0,0.44237918,-300.0,U13_F1_p15_r-15
0.6486486,-195.0,0.6636528,-186.0,0.9757785,-14.0,1.5508021,309.0,1.0796586,56.0,1.3462733,223.0,0.8178862,-112.0,1.2236136,125.0,0.44237918,-300.0,U13_F1_p15_r-15
0.6486486,-195.0,0.6636528,-186.0,0.97404844,-15.0,1.5508021,309.0,1.0782361,55.0,1.3462733,223.0,0.8178862,-112.0,1.2218246,124.0,0.44237918,-300.0,U13_F1_p15_r-15
0.65045047,-194.0,0.6654611,-185.0,0.97404844,-15.0,1.5508021,309.0,1.0782361,55.0,1.3462733,223.0,0.8178862,-112.0,1.2218246,124.0,0.44237918,-300.0,U13_F1_p15_r-15
0.65405405,-192.0,0.6654611,-185.0,0.97404844,-15.0,1.5508021,309.0,1.0796586,56.0,1.3462733,223.0,0.8178862,-112.0,1.2218246,124.0,0.44237918,-300.0,U13_F1_p15_r-15
0.65585583,-191.0,0.6654611,-185.0,0.97404844,-15.0,1.5508021,309.0,1.0796586,56.0,1.3462733,223.0,0.8195122,-111.0,1.2218246,124.0,0.44423792,-299.0,U13_F1_p15_r-15
0.66126126,-188.0,0.6708861,-182.0,0.9757785,-14.0,1.5508021,309.0,1.0796586,56.0,1.3462733,223.0,0.8227642,-109.0,1.2236136,125.0,0.44609666,-298.0,U13_F1_p15_r-15
0.66126126,-188.0,0.6726944,-181.0,0.97404844,-15.0,1.5347594,300.0,1.0782361,55.0,1.3400621,219.0,0.82601625,-107.0,1.2218246,124.0,0.4479554,-297.0,U13_F1_p15_r-15
0.66126126,-188.0,0.6726944,-181.0,0.97231835,-16.0,1.5347594,300.0,1.0768137,54.0,1.3400621,219.0,0.82601625,-107.0,1.2218246,124.0,0.44423792,-299.0,U13_F1_p15_r-15
0.66126126,-188.0,0.6726944,-181.0,0.9705882,-17.0,1.5329769,299.0,1.0768137,54.0,1.333851,215.0,0.82601625,-107.0,1.2218246,124.0,0.44423792,-299.0,U13_F1_p15_r-15
0.66126126,-188.0,0.6726944,-181.0,0.9705882,-17.0,1.5204991,292.0,1.0768137,54.0,1.3307453,213.0,0.8227642,-109.0,1.2182468,122.0,0.44423792,-299.0,U13_F1_p15_r-15
0.6666667,-185.0,0.676311,-179.0,0.97231835,-16.0,1.5294118,297.0,1.0782361,55.0,1.3385093,218.0,0.82439023,-108.0,1.2218246,124.0,0.44981414,-296.0,U13_F1_p15_r-15
0.6666667,-185.0,0.676311,-179.0,0.97231835,-16.0,1.5276293,296.0,1.0768137,54.0,1.333851,215.0,0.82439023,-108.0,1.2218246,124.0,0.4479554,-297.0,U13_F1_p15_r-15
0.6666667,-185.0,0.676311,-179.0,0.97231835,-16.0,1.5258467,295.0,1.0739686,52.0,1.3322982,214.0,0.82439023,-108.0,1.2218246,124.0,0.4479554,-297.0,U13_F1_p15_r-15
0.6666667,-185.0,0.676311,-179.0,0.9705882,-17.0,1.5240642,294.0,1.0697013,49.0,1.3307453,213.0,0.82439023,-108.0,1.216458,121.0,0.4479554,-297.0,U13_F1_p15_r-15
0.6666667,-185.0,0.676311,-179.0,0.9705882,-17.0,1.5151515,289.0,1.0682788,48.0,1.3276397,211.0,0.82439023,-108.0,1.216458,121.0,0.4479554,-297.0,U13_F1_p15_r-15
0.6666667,-185.0,0.67992765,-177.0,0.97231835,-16.0,1.5151515,289.0,1.0682788,48.0,1.3276397,211.0,0.82439023,-108.0,1.216458,121.0,0.44981414,-296.0,U13_F1_p15_r-15
