SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.28699553,-477.0,0.88762444,-79.0,1.3195488,170.0,0.53258425,-208.0,0.03583618,-565.0,1.6799337,410.0,1.521021,347.0,1.3613446,215.0,1.5256025,349.0,U4_F3_p90_r0
0.27204782,-487.0,0.8847795,-81.0,1.3176692,169.0,0.51235956,-217.0,0.0,-586.0,1.6799337,410.0,1.521021,347.0,1.3647059,217.0,1.5256025,349.0,U4_F3_p90_r0
0.27055305,-488.0,0.8847795,-81.0,1.3176692,169.0,0.51235956,-217.0,0.027303753,-570.0,1.6799337,410.0,1.521021,347.0,1.3579832,213.0,1.5256025,349.0,U4_F3_p90_r0
0.27055305,-488.0,0.88335705,-82.0,1.3139098,167.0,0.51235956,-217.0,0.0,-586.0,1.6799337,410.0,1.521021,347.0,1.3512605,209.0,1.5256025,349.0,U4_F3_p90_r0
0.26307923,-493.0,0.88335705,-82.0,1.3139098,167.0,0.51235956,-217.0,0.025597269,-571.0,1.6799337,410.0,1.521021,347.0,1.3512605,209.0,1.5256025,349.0,U4_F3_p90_r0
0.26307923,-493.0,0.88335705,-82.0,1.3120301,166.0,0.51235956,-217.0,0.025597269,-571.0,1.6799337,410.0,1.521021,347.0,1.3512605,209.0,1.5256025,349.0,U4_F3_p90_r0
0.27055305,-488.0,0.8847795,-81.0,1.3139098,167.0,0.51235956,-217.0,0.030716723,-568.0,1.6799337,410.0,1.521021,347.0,1.3512605,209.0,1.5256025,349.0,U4_F3_p90_r0
0.25112107,-501.0,0.8805121,-84.0,1.3176692,169.0,0.48988765,-227.0,0.018771332,-575.0,1.6799337,410.0,1.521021,347.0,1.3512605,209.0,1.5256025,349.0,U4_F3_p90_r0
0.25112107,-501.0,0.8805121,-84.0,1.3176692,169.0,0.48988765,-227.0,0.0,-586.0,1.6799337,410.0,1.521021,347.0,1.3512605,209.0,1.5256025,349.0,U4_F3_p90_r0
0.25112107,-501.0,0.8805121,-84.0,1.3176692,169.0,0.48988765,-227.0,0.0,-586.0,1.6799337,410.0,1.521021,347.0,1.3512605,209.0,1.5256025,349.0,U4_F3_p90_r0
0.25112107,-501.0,0.88335705,-82.0,1.3195488,170.0,0.48988765,-227.0,0.0,-586.0,1.6799337,410.0,1.521021,347.0,1.3512605,209.0,1.5256025,349.0,U4_F3_p90_r0
0.25112107,-501.0,0.886202,-80.0,1.3233082,172.0,0.48988765,-227.0,0.0,-586.0,1.6799337,410.0,1.521021,347.0,1.3529412,210.0,1.5256025,349.0,U4_F3_p90_r0
0.23617339,-511.0,0.88335705,-82.0,1.3270676,174.0,0.48764044,-228.0,0.018771332,-575.0,1.6799337,410.0,1.521021,347.0,1.3512605,209.0,1.5256025,349.0,U4_F3_p90_r0
0.23617339,-511.0,0.8805121,-84.0,1.3270676,174.0,0.48764044,-228.0,0.018771332,-575.0,1.6799337,410.0,1.521021,347.0,1.3495798,208.0,1.5256025,349.0,U4_F3_p90_r0
0.23617339,-511.0,0.8790896,-85.0,1.3270676,174.0,0.48539326,-229.0,0.0,-586.0,1.6799337,410.0,1.521021,347.0,1.3495798,208.0,1.5256025,349.0,U4_F3_p90_r0
0.22869955,-516.0,0.8790896,-85.0,1.3270676,174.0,0.48314607,-230.0,0.0,-586.0,1.6799337,410.0,1.521021,347.0,1.3495798,208.0,1.5256025,349.0,U4_F3_p90_r0
0.22720478,-517.0,0.8776671,-86.0,1.3270676,174.0,0.47865167,-232.0,0.034129694,-566.0,1.6799337,410.0,1.521021,347.0,1.3478992,207.0,1.5256025,349.0,U4_F3_p90_r0
0.22869955,-516.0,0.8776671,-86.0,1.3270676,174.0,0.48314607,-230.0,0.037542664,-564.0,1.6799337,410.0,1.521021,347.0,1.3495798,208.0,1.5256025,349.0,U4_F3_p90_r0
0.23617339,-511.0,0.8790896,-85.0,1.3270676,174.0,0.48314607,-230.0,0.018771332,-575.0,1.6799337,410.0,1.521021,347.0,1.3512605,209.0,1.5256025,349.0,U4_F3_p90_r0
0.23617339,-511.0,0.8790896,-85.0,1.3289474,175.0,0.48314607,-230.0,0.018771332,-575.0,1.6799337,410.0,1.521021,347.0,1.3512605,209.0,1.5256025,349.0,U4_F3_p90_r0
0.23617339,-511.0,0.8790896,-85.0,1.3289474,175.0,0.48539326,-229.0,0.020477816,-574.0,1.6799337,410.0,1.521021,347.0,1.3512605,209.0,1.5256025,349.0,U4_F3_p90_r0
0.23766816,-510.0,0.8805121,-84.0,1.3270676,174.0,0.48314607,-230.0,0.027303753,-570.0,1.6799337,410.0,1.521021,347.0,1.3512605,209.0,1.5256025,349.0,U4_F3_p90_r0
0.23766816,-510.0,0.8805121,-84.0,1.3270676,174.0,0.4808989,-231.0,0.018771332,-575.0,1.6799337,410.0,1.521021,347.0,1.3495798,208.0,1.5256025,349.0,U4_F3_p90_r0
0.23766816,-510.0,0.87624466,-87.0,1.3270676,174.0,0.4808989,-231.0,0.018771332,-575.0,1.6799337,410.0,1.521021,347.0,1.3478992,207.0,1.5256025,349.0,U4_F3_p90_r0
0.23766816,-510.0,0.87624466,-87.0,1.3270676,174.0,0.4808989,-231.0,0.018771332,-575.0,1.6799337,410.0,1.521021,347.0,1.3478992,207.0,1.5256025,349.0,U4_F3_p90_r0
0.23766816,-510.0,0.87624466,-87.0,1.3270676,174.0,0.4808989,-231.0,0.018771332,-575.0,1.6799337,410.0,1.521021,347.0,1.3445379,205.0,1.5256025,349.0,U4_F3_p90_r0
0.23916294,-509.0,0.8776671,-86.0,1.3270676,174.0,0.4808989,-231.0,0.025597269,-571.0,1.6799337,410.0,1.521021,347.0,1.3445379,205.0,1.5256025,349.0,U4_F3_p90_r0
0.24364723,-506.0,0.8776671,-86.0,1.3289474,175.0,0.4808989,-231.0,0.025597269,-571.0,1.6799337,410.0,1.521021,347.0,1.3478992,207.0,1.5256025,349.0,U4_F3_p90_r0
0.2929746,-473.0,0.886202,-80.0,1.3327068,177.0,0.4966292,-224.0,0.15017065,-498.0,1.6799337,410.0,1.521021,347.0,1.3327731,198.0,1.5256025,349.0,U4_F3_p90_r0
0.2929746,-473.0,0.886202,-80.0,1.3345865,178.0,0.4966292,-224.0,0.15017065,-498.0,1.6799337,410.0,1.521021,347.0,1.3327731,198.0,1.5256025,349.0,U4_F3_p90_r0
0.29596412,-471.0,0.886202,-80.0,1.3345865,178.0,0.4988764,-223.0,0.15017065,-498.0,1.6799337,410.0,1.521021,347.0,1.3361344,200.0,1.5256025,349.0,U4_F3_p90_r0
0.29895365,-469.0,0.88762444,-79.0,1.3345865,178.0,0.4988764,-223.0,0.15017065,-498.0,1.6799337,410.0,1.521021,347.0,1.3361344,200.0,1.5256025,349.0,U4_F3_p90_r0
0.29596412,-471.0,0.886202,-80.0,1.3345865,178.0,0.49213484,-226.0,0.1331058,-508.0,1.6799337,410.0,1.521021,347.0,1.3361344,200.0,1.5256025,349.0,U4_F3_p90_r0
0.29596412,-471.0,0.886202,-80.0,1.3327068,177.0,0.48764044,-228.0,0.1331058,-508.0,1.6799337,410.0,1.521021,347.0,1.3361344,200.0,1.5256025,349.0,U4_F3_p90_r0
0.29596412,-471.0,0.886202,-80.0,1.3327068,177.0,0.48539326,-229.0,0.1331058,-508.0,1.6799337,410.0,1.521021,347.0,1.3361344,200.0,1.5256025,349.0,U4_F3_p90_r0
