SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.4245614,-328.0,0.027472528,-531.0,1.1975498,129.0,0.8869048,-57.0,1.2869823,194.0,1.2844311,190.0,0.89847714,-60.0,1.0357143,22.0,1.2964427,150.0,p15_r15
0.41403508,-334.0,0.0,-546.0,1.1960183,128.0,0.8869048,-57.0,1.2855029,193.0,1.2844311,190.0,0.8967851,-61.0,1.0340909,21.0,1.2924901,148.0,p15_r15
0.41403508,-334.0,0.0,-546.0,1.1960183,128.0,0.8869048,-57.0,1.2855029,193.0,1.2829342,189.0,0.8950931,-62.0,1.0324675,20.0,1.2924901,148.0,p15_r15
0.4105263,-336.0,0.0,-546.0,1.1960183,128.0,0.8869048,-57.0,1.2855029,193.0,1.2829342,189.0,0.8950931,-62.0,1.0308442,19.0,1.2924901,148.0,p15_r15
0.4105263,-336.0,0.0,-546.0,1.194487,127.0,0.88492066,-58.0,1.2810651,190.0,1.2814372,188.0,0.8950931,-62.0,1.0292208,18.0,1.2924901,148.0,p15_r15
0.4105263,-336.0,0.0,-546.0,1.194487,127.0,0.88492066,-58.0,1.2855029,193.0,1.2829342,189.0,0.8950931,-62.0,1.0308442,19.0,1.2924901,148.0,p15_r15
0.4105263,-336.0,0.0,-546.0,1.194487,127.0,0.8869048,-57.0,1.2855029,193.0,1.2829342,189.0,0.8950931,-62.0,1.0308442,19.0,1.2924901,148.0,p15_r15
0.4105263,-336.0,0.0,-546.0,1.194487,127.0,0.8888889,-56.0,1.2855029,193.0,1.2829342,189.0,0.8950931,-62.0,1.0308442,19.0,1.2924901,148.0,p15_r15
0.4105263,-336.0,0.0,-546.0,1.194487,127.0,0.8888889,-56.0,1.2855029,193.0,1.2829342,189.0,0.8950931,-62.0,1.0324675,20.0,1.2924901,148.0,p15_r15
0.40701753,-338.0,0.0,-546.0,1.1929556,126.0,0.890873,-55.0,1.2810651,190.0,1.2814372,188.0,0.89170897,-64.0,1.0308442,19.0,1.2924901,148.0,p15_r15
0.40526316,-339.0,0.0,-546.0,1.1914243,125.0,0.890873,-55.0,1.2810651,190.0,1.2799401,187.0,0.8900169,-65.0,1.025974,16.0,1.2885375,146.0,p15_r15
0.40175438,-341.0,0.0,-546.0,1.1914243,125.0,0.890873,-55.0,1.2810651,190.0,1.2799401,187.0,0.8900169,-65.0,1.025974,16.0,1.2885375,146.0,p15_r15
0.38245615,-352.0,0.0,-546.0,1.179173,117.0,0.89484125,-53.0,1.2766272,187.0,1.2709581,181.0,0.857868,-84.0,1.0081168,5.0,1.2826087,143.0,p15_r15
0.38245615,-352.0,0.0,-546.0,1.179173,117.0,0.8968254,-52.0,1.2766272,187.0,1.2709581,181.0,0.857868,-84.0,1.0081168,5.0,1.2826087,143.0,p15_r15
0.3859649,-350.0,0.0,-546.0,1.179173,117.0,0.8968254,-52.0,1.2810651,190.0,1.2709581,181.0,0.857868,-84.0,1.0097402,6.0,1.2826087,143.0,p15_r15
0.3859649,-350.0,0.0,-546.0,1.1807045,118.0,0.8968254,-52.0,1.2810651,190.0,1.2709581,181.0,0.857868,-84.0,1.0097402,6.0,1.284585,144.0,p15_r15
0.3859649,-350.0,0.0,-546.0,1.1807045,118.0,0.89880955,-51.0,1.2810651,190.0,1.2709581,181.0,0.8595601,-83.0,1.0097402,6.0,1.2865613,145.0,p15_r15
0.3877193,-349.0,0.0,-546.0,1.179173,117.0,0.8968254,-52.0,1.2810651,190.0,1.2709581,181.0,0.8612521,-82.0,1.012987,8.0,1.284585,144.0,p15_r15
0.3859649,-350.0,0.0,-546.0,1.1776416,116.0,0.8968254,-52.0,1.2810651,190.0,1.2709581,181.0,0.857868,-84.0,1.0081168,5.0,1.284585,144.0,p15_r15
0.38245615,-352.0,0.0,-546.0,1.1776416,116.0,0.8968254,-52.0,1.2766272,187.0,1.2709581,181.0,0.857868,-84.0,1.0081168,5.0,1.284585,144.0,p15_r15
0.38245615,-352.0,0.0,-546.0,1.1761103,115.0,0.8968254,-52.0,1.2766272,187.0,1.2709581,181.0,0.85617596,-85.0,1.0081168,5.0,1.284585,144.0,p15_r15
0.38245615,-352.0,0.0,-546.0,1.1745789,114.0,0.8968254,-52.0,1.2751479,186.0,1.2709581,181.0,0.8544839,-86.0,1.0081168,5.0,1.284585,144.0,p15_r15
0.38421053,-351.0,0.0,-546.0,1.1761103,115.0,0.8968254,-52.0,1.2751479,186.0,1.2709581,181.0,0.85617596,-85.0,1.0081168,5.0,1.284585,144.0,p15_r15
0.3859649,-350.0,0.0,-546.0,1.1761103,115.0,0.8968254,-52.0,1.2751479,186.0,1.2709581,181.0,0.85617596,-85.0,1.012987,8.0,1.284585,144.0,p15_r15
0.3859649,-350.0,0.0,-546.0,1.1761103,115.0,0.8968254,-52.0,1.2766272,187.0,1.2709581,181.0,0.85617596,-85.0,1.012987,8.0,1.284585,144.0,p15_r15
0.3877193,-349.0,0.0,-546.0,1.1776416,116.0,0.8968254,-52.0,1.2766272,187.0,1.2709581,181.0,0.857868,-84.0,1.012987,8.0,1.284585,144.0,p15_r15
