SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.69631904,-198.0,1.3787314,203.0,0.8300537,-95.0,1.0370967,23.0,1.0091743,6.0,1.0410765,29.0,1.5365853,264.0,0.9726688,-17.0,1.8702929,416.0,p45_r-15
0.6993865,-196.0,1.4235075,227.0,0.8318426,-94.0,1.0403225,25.0,1.0107033,7.0,1.0538243,38.0,1.5772358,284.0,0.9726688,-17.0,1.9205021,440.0,p45_r-15
0.6978528,-197.0,1.4160448,223.0,0.8389982,-90.0,1.0419354,26.0,1.0091743,6.0,1.0410765,29.0,1.558943,275.0,0.97588426,-15.0,1.9184101,439.0,p45_r-15
0.6978528,-197.0,1.4160448,223.0,0.83542037,-92.0,1.0419354,26.0,1.0091743,6.0,1.0410765,29.0,1.558943,275.0,0.97588426,-15.0,1.9184101,439.0,p45_r-15
0.6978528,-197.0,1.4104477,220.0,0.83542037,-92.0,1.0419354,26.0,1.0091743,6.0,1.0410765,29.0,1.5528455,272.0,0.9710611,-18.0,1.9184101,439.0,p45_r-15
0.6978528,-197.0,1.4104477,220.0,0.83542037,-92.0,1.0419354,26.0,1.0091743,6.0,1.0410765,29.0,1.5528455,272.0,0.9710611,-18.0,1.9184101,439.0,p45_r-15
0.6993865,-196.0,1.4141791,222.0,0.83542037,-92.0,1.0419354,26.0,1.0107033,7.0,1.0538243,38.0,1.558943,275.0,0.9710611,-18.0,1.9246862,442.0,p45_r-15
0.6993865,-196.0,1.4160448,223.0,0.83542037,-92.0,1.0419354,26.0,1.0107033,7.0,1.0538243,38.0,1.558943,275.0,0.9726688,-17.0,1.9246862,442.0,p45_r-15
0.6993865,-196.0,1.4160448,223.0,0.83542037,-92.0,1.0419354,26.0,1.0107033,7.0,1.0538243,38.0,1.558943,275.0,0.9726688,-17.0,1.9246862,442.0,p45_r-15
0.6978528,-197.0,1.4104477,220.0,0.83363146,-93.0,1.0403225,25.0,1.0091743,6.0,1.0481586,34.0,1.5528455,272.0,0.97588426,-15.0,1.8995816,430.0,p45_r-15
0.69631904,-198.0,1.3899254,209.0,0.8300537,-95.0,1.0387096,24.0,1.0030581,2.0,1.0396601,28.0,1.5365853,264.0,0.9726688,-17.0,1.8870293,424.0,p45_r-15
0.69631904,-198.0,1.3899254,209.0,0.8300537,-95.0,1.0387096,24.0,1.0030581,2.0,1.0396601,28.0,1.5365853,264.0,0.9726688,-17.0,1.8870293,424.0,p45_r-15
0.69631904,-198.0,1.3899254,209.0,0.8300537,-95.0,1.0387096,24.0,1.0030581,2.0,1.0396601,28.0,1.5365853,264.0,0.9726688,-17.0,1.8870293,424.0,p45_r-15
0.69631904,-198.0,1.3899254,209.0,0.8300537,-95.0,1.0387096,24.0,1.0045872,3.0,1.0410765,29.0,1.5426829,267.0,0.97588426,-15.0,1.8891213,425.0,p45_r-15
0.69631904,-198.0,1.391791,210.0,0.8300537,-95.0,1.0370967,23.0,1.0061162,4.0,1.0424929,30.0,1.5365853,264.0,0.97588426,-15.0,1.8933054,427.0,p45_r-15
0.69631904,-198.0,1.391791,210.0,0.8300537,-95.0,1.0370967,23.0,1.0061162,4.0,1.0424929,30.0,1.5365853,264.0,0.97427654,-16.0,1.8933054,427.0,p45_r-15
0.6947853,-199.0,1.391791,210.0,0.8300537,-95.0,1.0354838,22.0,1.0030581,2.0,1.0424929,30.0,1.5365853,264.0,0.97427654,-16.0,1.8933054,427.0,p45_r-15
0.69325155,-200.0,1.391791,210.0,0.8300537,-95.0,1.0354838,22.0,1.0030581,2.0,1.0424929,30.0,1.5365853,264.0,0.97427654,-16.0,1.8933054,427.0,p45_r-15
0.69325155,-200.0,1.391791,210.0,0.8300537,-95.0,1.0354838,22.0,1.0030581,2.0,1.0424929,30.0,1.5365853,264.0,0.97427654,-16.0,1.8933054,427.0,p45_r-15
0.6947853,-199.0,1.3992537,214.0,0.8300537,-95.0,1.0354838,22.0,1.0045872,3.0,1.0467422,33.0,1.5406504,266.0,0.97427654,-16.0,1.8995816,430.0,p45_r-15
