SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
1.4697509,264.0,0.5109034,-314.0,1.4739777,255.0,0.035656404,-595.0,1.0998594,71.0,0.6034483,-207.0,0.97047246,-15.0,0.7488922,-170.0,1.1908257,104.0,U10_F5_p45_r45
1.4697509,264.0,0.51246107,-313.0,1.4795539,258.0,0.035656404,-595.0,1.1026723,73.0,0.6034483,-207.0,0.97047246,-15.0,0.75036925,-169.0,1.1908257,104.0,U10_F5_p45_r45
1.475089,267.0,0.5109034,-314.0,1.4739777,255.0,0.0,-617.0,1.1026723,73.0,0.6034483,-207.0,0.96653545,-17.0,0.75036925,-169.0,1.1889908,103.0,U10_F5_p45_r45
1.475089,267.0,0.50934577,-315.0,1.4535316,244.0,0.0,-617.0,1.1026723,73.0,0.59195405,-213.0,0.96259844,-19.0,0.7488922,-170.0,1.1889908,103.0,U10_F5_p45_r45
1.475089,267.0,0.50934577,-315.0,1.4535316,244.0,0.0,-617.0,1.1026723,73.0,0.5900383,-214.0,0.96259844,-19.0,0.74593794,-172.0,1.1889908,103.0,U10_F5_p45_r45
1.475089,267.0,0.50934577,-315.0,1.4498141,242.0,0.0,-617.0,1.1026723,73.0,0.5900383,-214.0,0.96259844,-19.0,0.73855245,-177.0,1.1889908,103.0,U10_F5_p45_r45
1.475089,267.0,0.50934577,-315.0,1.4479554,241.0,0.0,-617.0,1.1026723,73.0,0.5900383,-214.0,0.96259844,-19.0,0.73855245,-177.0,1.1889908,103.0,U10_F5_p45_r45
1.4786477,269.0,0.5109034,-314.0,1.4498141,242.0,0.0,-617.0,1.1054852,75.0,0.59195405,-213.0,0.96653545,-17.0,0.73855245,-177.0,1.1926606,105.0,U10_F5_p45_r45
1.475089,267.0,0.52180684,-307.0,1.4516729,243.0,0.0,-617.0,1.0942335,67.0,0.59195405,-213.0,0.98031497,-10.0,0.73412114,-180.0,1.1981652,108.0,U10_F5_p45_r45
1.4733096,266.0,0.52024925,-308.0,1.4516729,243.0,0.0,-617.0,1.0942335,67.0,0.5900383,-214.0,0.97440946,-13.0,0.73412114,-180.0,1.1981652,108.0,U10_F5_p45_r45
1.4715302,265.0,0.52024925,-308.0,1.4516729,243.0,0.0,-617.0,1.092827,66.0,0.5804598,-219.0,0.97440946,-13.0,0.73412114,-180.0,1.1981652,108.0,U10_F5_p45_r45
1.4644128,261.0,0.52024925,-308.0,1.4516729,243.0,0.0,-617.0,1.0900141,64.0,0.5766283,-221.0,0.97047246,-15.0,0.73412114,-180.0,1.1963303,107.0,U10_F5_p45_r45
1.4644128,261.0,0.52024925,-308.0,1.4516729,243.0,0.0,-617.0,1.0900141,64.0,0.5766283,-221.0,0.97047246,-15.0,0.7355982,-179.0,1.1963303,107.0,U10_F5_p45_r45
1.4644128,261.0,0.52180684,-307.0,1.4516729,243.0,0.0,-617.0,1.0900141,64.0,0.5804598,-219.0,0.97047246,-15.0,0.73855245,-177.0,1.1963303,107.0,U10_F5_p45_r45
1.4644128,261.0,0.52180684,-307.0,1.4553903,245.0,0.0,-617.0,1.0900141,64.0,0.5804598,-219.0,0.97244096,-14.0,0.73855245,-177.0,1.1963303,107.0,U10_F5_p45_r45
1.4644128,261.0,0.52180684,-307.0,1.4553903,245.0,0.0,-617.0,1.0900141,64.0,0.5900383,-214.0,0.97244096,-14.0,0.74150664,-175.0,1.1963303,107.0,U10_F5_p45_r45
1.460854,259.0,0.52180684,-307.0,1.4516729,243.0,0.014586709,-608.0,1.0886075,63.0,0.5804598,-219.0,0.97244096,-14.0,0.74150664,-175.0,1.1944954,106.0,U10_F5_p45_r45
1.4572954,257.0,0.52024925,-308.0,1.4516729,243.0,0.016207455,-607.0,1.0886075,63.0,0.5804598,-219.0,0.97047246,-15.0,0.74150664,-175.0,1.1944954,106.0,U10_F5_p45_r45
1.460854,259.0,0.51713395,-310.0,1.4460967,240.0,0.0,-617.0,1.0900141,64.0,0.5804598,-219.0,0.98031497,-10.0,0.7355982,-179.0,1.1981652,108.0,U10_F5_p45_r45
1.4626335,260.0,0.51713395,-310.0,1.4460967,240.0,0.0,-617.0,1.0942335,67.0,0.5804598,-219.0,0.9822835,-9.0,0.7355982,-179.0,1.2,109.0,U10_F5_p45_r45
1.460854,259.0,0.5155763,-311.0,1.4312267,232.0,0.0,-617.0,1.0942335,67.0,0.5766283,-221.0,0.98031497,-10.0,0.7282127,-184.0,1.2055045,112.0,U10_F5_p45_r45
1.455516,256.0,0.5140187,-312.0,1.4312267,232.0,0.0,-617.0,1.0942335,67.0,0.57471263,-222.0,0.98031497,-10.0,0.7267356,-185.0,1.2055045,112.0,U10_F5_p45_r45
1.455516,256.0,0.51246107,-313.0,1.429368,231.0,0.0,-617.0,1.0942335,67.0,0.57471263,-222.0,0.98031497,-10.0,0.7267356,-185.0,1.2055045,112.0,U10_F5_p45_r45
1.455516,256.0,0.50934577,-315.0,1.4144981,223.0,0.0,-617.0,1.0942335,67.0,0.57471263,-222.0,0.97440946,-13.0,0.7193501,-190.0,1.2055045,112.0,U10_F5_p45_r45
