SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.22485207,-393.0,0.93858266,-39.0,0.60485023,-277.0,0.11015737,-622.0,0.75247526,-50.0,0.8952654,-73.0,1.243513,122.0,0.6979866,-180.0,0.5031746,-313.0,U14_F3_p15_r-15
0.23274162,-389.0,0.93858266,-39.0,0.60627675,-276.0,0.11015737,-622.0,0.76237625,-48.0,0.89670014,-72.0,1.243513,122.0,0.6979866,-180.0,0.5063492,-311.0,U14_F3_p15_r-15
0.23274162,-389.0,0.9401575,-38.0,0.60770327,-275.0,0.09298999,-634.0,0.76237625,-48.0,0.89670014,-72.0,1.241517,121.0,0.69630873,-181.0,0.5031746,-313.0,U14_F3_p15_r-15
0.22485207,-393.0,0.9338583,-42.0,0.60627675,-276.0,0.087267525,-638.0,0.75247526,-50.0,0.8952654,-73.0,1.237525,119.0,0.68791944,-186.0,0.4984127,-316.0,U14_F3_p15_r-15
0.22879684,-391.0,0.9354331,-41.0,0.60770327,-275.0,0.087267525,-638.0,0.75247526,-50.0,0.89670014,-72.0,1.2395209,120.0,0.68791944,-186.0,0.5,-315.0,U14_F3_p15_r-15
0.23274162,-389.0,0.93858266,-39.0,0.60770327,-275.0,0.087267525,-638.0,0.76237625,-48.0,0.89670014,-72.0,1.2395209,120.0,0.68791944,-186.0,0.5031746,-313.0,U14_F3_p15_r-15
0.21104537,-400.0,0.9354331,-41.0,0.60770327,-275.0,0.05293276,-662.0,0.7673267,-47.0,0.90387374,-67.0,1.243513,122.0,0.6912752,-184.0,0.51111114,-308.0,U14_F3_p15_r-15
0.21104537,-400.0,0.93228346,-43.0,0.60770327,-275.0,0.051502146,-663.0,0.7673267,-47.0,0.90387374,-67.0,1.243513,122.0,0.6912752,-184.0,0.51111114,-308.0,U14_F3_p15_r-15
0.17357002,-419.0,0.9275591,-46.0,0.5991441,-281.0,0.055793993,-660.0,0.76237625,-48.0,0.9096126,-63.0,1.2834331,142.0,0.70469797,-176.0,0.5222222,-301.0,U14_F3_p15_r-15
0.16962525,-421.0,0.9275591,-46.0,0.5991441,-281.0,0.055793993,-660.0,0.7574257,-49.0,0.9096126,-63.0,1.2794411,140.0,0.70469797,-176.0,0.51746035,-304.0,U14_F3_p15_r-15
0.17159763,-420.0,0.9275591,-46.0,0.5991441,-281.0,0.055793993,-660.0,0.7574257,-49.0,0.9096126,-63.0,1.2794411,140.0,0.70469797,-176.0,0.51746035,-304.0,U14_F3_p15_r-15
0.17357002,-419.0,0.9275591,-46.0,0.6005706,-280.0,0.061516453,-656.0,0.7574257,-49.0,0.9096126,-63.0,1.2794411,140.0,0.70469797,-176.0,0.51746035,-304.0,U14_F3_p15_r-15
