SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.95102686,-31.0,0.0,-507.0,1.6286174,391.0,1.4140128,260.0,0.0,-551.0,1.0535169,35.0,0.82730925,-86.0,0.87096775,-88.0,0.3670669,-369.0,p45_r-15
0.9589257,-26.0,0.0,-507.0,1.6286174,391.0,1.4156051,261.0,0.0,-551.0,1.0535169,35.0,0.8333333,-83.0,0.872434,-87.0,0.37049744,-367.0,p45_r-15
0.9589257,-26.0,0.0,-507.0,1.6286174,391.0,1.4156051,261.0,0.0,-551.0,1.0611621,40.0,0.8333333,-83.0,0.872434,-87.0,0.37221268,-366.0,p45_r-15
0.96050555,-25.0,0.0,-507.0,1.6286174,391.0,1.4156051,261.0,0.0,-551.0,1.0611621,40.0,0.8353414,-82.0,0.872434,-87.0,0.37221268,-366.0,p45_r-15
0.9620853,-24.0,0.0,-507.0,1.6286174,391.0,1.4171975,262.0,0.0,-551.0,1.0688074,45.0,0.8333333,-83.0,0.8739003,-86.0,0.37564322,-364.0,p45_r-15
0.9589257,-26.0,0.0,-507.0,1.6286174,391.0,1.4156051,261.0,0.0,-551.0,1.0688074,45.0,0.8313253,-84.0,0.8739003,-86.0,0.36878216,-368.0,p45_r-15
0.9589257,-26.0,0.0,-507.0,1.6286174,391.0,1.4156051,261.0,0.0,-551.0,1.0688074,45.0,0.8313253,-84.0,0.8739003,-86.0,0.3670669,-369.0,p45_r-15
0.9589257,-26.0,0.0,-507.0,1.6286174,391.0,1.4156051,261.0,0.0,-551.0,1.0688074,45.0,0.8313253,-84.0,0.8739003,-86.0,0.3670669,-369.0,p45_r-15
0.9526066,-30.0,0.0,-507.0,1.6286174,391.0,1.4156051,261.0,0.0,-551.0,1.0688074,45.0,0.8313253,-84.0,0.872434,-87.0,0.3670669,-369.0,p45_r-15
0.9589257,-26.0,0.0,-507.0,1.6286174,391.0,1.4156051,261.0,0.0,-551.0,1.0733945,48.0,0.8333333,-83.0,0.8739003,-86.0,0.36878216,-368.0,p45_r-15
0.96682465,-21.0,0.0,-507.0,1.6286174,391.0,1.4171975,262.0,0.0,-551.0,1.0779817,51.0,0.8433735,-78.0,0.8797654,-82.0,0.34991422,-379.0,p45_r-15
0.96682465,-21.0,0.0,-507.0,1.6286174,391.0,1.4124204,259.0,0.0,-551.0,1.0779817,51.0,0.8433735,-78.0,0.8797654,-82.0,0.34991422,-379.0,p45_r-15
0.96682465,-21.0,0.0,-507.0,1.6286174,391.0,1.4171975,262.0,0.0,-551.0,1.0810398,53.0,0.8493976,-75.0,0.8797654,-82.0,0.34991422,-379.0,p45_r-15
0.96682465,-21.0,0.0,-507.0,1.6286174,391.0,1.4171975,262.0,0.0,-551.0,1.0810398,53.0,0.85341364,-73.0,0.88123167,-81.0,0.34991422,-379.0,p45_r-15
0.96682465,-21.0,0.0,-507.0,1.6286174,391.0,1.4171975,262.0,0.0,-551.0,1.0840979,55.0,0.85943776,-70.0,0.88123167,-81.0,0.34991422,-379.0,p45_r-15
0.96682465,-21.0,0.0,-507.0,1.6286174,391.0,1.4171975,262.0,0.0,-551.0,1.085627,56.0,0.85943776,-70.0,0.88123167,-81.0,0.34991422,-379.0,p45_r-15
0.9684044,-20.0,0.0,-507.0,1.6286174,391.0,1.4187899,263.0,0.0,-551.0,1.0840979,55.0,0.8493976,-75.0,0.8797654,-82.0,0.34991422,-379.0,p45_r-15
0.9684044,-20.0,0.0,-507.0,1.6286174,391.0,1.4187899,263.0,0.0,-551.0,1.0810398,53.0,0.8493976,-75.0,0.87683284,-84.0,0.34991422,-379.0,p45_r-15
0.96682465,-21.0,0.0,-507.0,1.6286174,391.0,1.4203821,264.0,0.0,-551.0,1.0840979,55.0,0.8514056,-74.0,0.8739003,-86.0,0.32418525,-394.0,p45_r-15
0.96682465,-21.0,0.0,-507.0,1.6286174,391.0,1.4203821,264.0,0.0,-551.0,1.0840979,55.0,0.8514056,-74.0,0.8739003,-86.0,0.32246998,-395.0,p45_r-15
0.96682465,-21.0,0.0,-507.0,1.6286174,391.0,1.4203821,264.0,0.0,-551.0,1.0825688,54.0,0.8514056,-74.0,0.8739003,-86.0,0.32246998,-395.0,p45_r-15
0.9684044,-20.0,0.0,-507.0,1.6286174,391.0,1.4203821,264.0,0.0,-551.0,1.0825688,54.0,0.8514056,-74.0,0.87536657,-85.0,0.32246998,-395.0,p45_r-15
0.9684044,-20.0,0.0,-507.0,1.6286174,391.0,1.4203821,264.0,0.0,-551.0,1.0840979,55.0,0.85542166,-72.0,0.87536657,-85.0,0.32246998,-395.0,p45_r-15
0.9684044,-20.0,0.0,-507.0,1.6286174,391.0,1.4219745,265.0,0.0,-551.0,1.0840979,55.0,0.85943776,-70.0,0.87536657,-85.0,0.32246998,-395.0,p45_r-15
0.9684044,-20.0,0.0,-507.0,1.6286174,391.0,1.4219745,265.0,0.0,-551.0,1.0840979,55.0,0.85943776,-70.0,0.87536657,-85.0,0.32418525,-394.0,p45_r-15
0.9684044,-20.0,0.0,-507.0,1.6286174,391.0,1.4203821,264.0,0.0,-551.0,1.085627,56.0,0.85742974,-71.0,0.8739003,-86.0,0.32418525,-394.0,p45_r-15
0.96682465,-21.0,0.0,-507.0,1.6286174,391.0,1.4203821,264.0,0.0,-551.0,1.0840979,55.0,0.8514056,-74.0,0.872434,-87.0,0.32246998,-395.0,p45_r-15
0.9652449,-22.0,0.0,-507.0,1.6286174,391.0,1.4156051,261.0,0.0,-551.0,1.0840979,55.0,0.8514056,-74.0,0.872434,-87.0,0.32246998,-395.0,p45_r-15
0.96366507,-23.0,0.0,-507.0,1.6286174,391.0,1.4156051,261.0,0.0,-551.0,1.0840979,55.0,0.8493976,-75.0,0.8695015,-89.0,0.32246998,-395.0,p45_r-15
0.96366507,-23.0,0.0,-507.0,1.6286174,391.0,1.4156051,261.0,0.0,-551.0,1.0825688,54.0,0.8473896,-76.0,0.8695015,-89.0,0.3207547,-396.0,p45_r-15
0.96366507,-23.0,0.0,-507.0,1.6286174,391.0,1.4156051,261.0,0.0,-551.0,1.0840979,55.0,0.8473896,-76.0,0.8695015,-89.0,0.3207547,-396.0,p45_r-15
