taskNumber,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
0,97.28,32.77,-248.83,403.7,711.0,1.1232227,78.0,554.0,0.9279732,-43.0,133.0,0.24314442,-414.0,360.0,0.5421687,-304.0,495.0,1.5615141,178.0,394.0,0.7547893,-128.0,520.0,1.0,0.0,555.0,0.7894737,-148.0,345.0,0.6052632,-225.0
0,97.28,32.77,-248.83,403.7,715.0,1.1295419,82.0,554.0,0.9279732,-43.0,133.0,0.24314442,-414.0,360.0,0.5421687,-304.0,496.0,1.5646688,179.0,395.0,0.756705,-127.0,520.0,1.0,0.0,555.0,0.7894737,-148.0,345.0,0.6052632,-225.0
0,97.28,32.77,-247.81,403.4,718.0,1.1342812,85.0,549.0,0.919598,-48.0,131.0,0.23948811,-416.0,356.0,0.53614455,-308.0,495.0,1.5615141,178.0,395.0,0.756705,-127.0,519.0,0.9980769,-1.0,556.0,0.7908962,-147.0,345.0,0.6052632,-225.0
0,97.28,32.77,-247.81,403.4,718.0,1.1342812,85.0,549.0,0.919598,-48.0,130.0,0.23765996,-417.0,356.0,0.53614455,-308.0,495.0,1.5615141,178.0,393.0,0.75287354,-129.0,517.0,0.99423075,-3.0,555.0,0.7894737,-148.0,340.0,0.5964912,-230.0
0,97.28,36.86,-248.83,406.1,718.0,1.1342812,85.0,549.0,0.919598,-48.0,130.0,0.23765996,-417.0,356.0,0.53614455,-308.0,495.0,1.5615141,178.0,393.0,0.75287354,-129.0,516.0,0.99230766,-4.0,552.0,0.78520626,-151.0,338.0,0.5929825,-232.0
0,97.28,36.86,-248.83,406.1,718.0,1.1342812,85.0,545.0,0.9128978,-52.0,130.0,0.23765996,-417.0,356.0,0.53614455,-308.0,495.0,1.5615141,178.0,393.0,0.75287354,-129.0,514.0,0.98846155,-6.0,551.0,0.7837838,-152.0,338.0,0.5929825,-232.0
0,95.23,34.82,-246.78,404.7,719.0,1.1358609,86.0,551.0,0.92294806,-46.0,131.0,0.23948811,-416.0,350.0,0.52710843,-314.0,491.0,1.548896,174.0,393.0,0.75287354,-129.0,520.0,1.0,0.0,554.0,0.7880512,-149.0,345.0,0.6052632,-225.0
0,95.23,34.82,-246.78,404.7,708.0,1.1184834,75.0,551.0,0.92294806,-46.0,131.0,0.23948811,-416.0,350.0,0.52710843,-314.0,491.0,1.548896,174.0,393.0,0.75287354,-129.0,520.0,1.0,0.0,554.0,0.7880512,-149.0,345.0,0.6052632,-225.0
0,97.28,31.74,-247.81,405.5,721.0,1.1390206,88.0,551.0,0.92294806,-46.0,133.0,0.24314442,-414.0,351.0,0.52861446,-313.0,492.0,1.5520505,175.0,393.0,0.75287354,-129.0,520.0,1.0,0.0,554.0,0.7880512,-149.0,345.0,0.6052632,-225.0
0,97.28,31.74,-247.81,405.5,722.0,1.1406003,89.0,549.0,0.919598,-48.0,132.0,0.24131627,-415.0,352.0,0.5301205,-312.0,492.0,1.5520505,175.0,393.0,0.75287354,-129.0,518.0,0.99615383,-2.0,553.0,0.7866287,-150.0,345.0,0.6052632,-225.0
