roll,yaw,pitch,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
82.32,150.55,-56.12,200.7,135.17,15.36,62.2,291.0,0.6178344,-180.0,426.0,0.8606061,-69.0,493.0,0.76911074,-148.0,248.0,0.3604651,-440.0,621.0,1.0114007,7.0,399.0,0.6915078,-178.0,578.0,0.9601329,-24.0,714.0,1.3652008,191.0,520.0,0.77151334,-154.0
82.32,150.55,-56.12,200.7,135.17,15.36,62.2,291.0,0.6178344,-180.0,430.0,0.86868685,-65.0,495.0,0.77223086,-146.0,248.0,0.3604651,-440.0,621.0,1.0114007,7.0,400.0,0.6932409,-177.0,578.0,0.9601329,-24.0,714.0,1.3652008,191.0,520.0,0.77151334,-154.0
82.94,150.0,-56.06,202.75,135.17,18.43,65.9,291.0,0.6178344,-180.0,430.0,0.86868685,-65.0,496.0,0.77379096,-145.0,248.0,0.3604651,-440.0,621.0,1.0114007,7.0,402.0,0.6967071,-175.0,579.0,0.961794,-23.0,714.0,1.3652008,191.0,520.0,0.77151334,-154.0
82.94,150.0,-56.06,202.75,135.17,18.43,65.9,286.0,0.6072187,-185.0,425.0,0.85858583,-70.0,498.0,0.7769111,-143.0,246.0,0.35755813,-442.0,620.0,1.009772,6.0,402.0,0.6967071,-175.0,578.0,0.9601329,-24.0,714.0,1.3652008,191.0,516.0,0.7655786,-158.0
82.77,149.98,-56.29,202.75,135.17,17.41,63.9,286.0,0.6072187,-185.0,427.0,0.86262625,-68.0,502.0,0.7831513,-139.0,243.0,0.35319766,-445.0,620.0,1.009772,6.0,411.0,0.712305,-166.0,578.0,0.9601329,-24.0,710.0,1.3575525,187.0,516.0,0.7655786,-158.0
82.77,149.98,-56.29,202.75,135.17,17.41,63.9,288.0,0.611465,-183.0,432.0,0.8727273,-63.0,502.0,0.7831513,-139.0,245.0,0.35610464,-443.0,621.0,1.0114007,7.0,411.0,0.712305,-166.0,578.0,0.9601329,-24.0,710.0,1.3575525,187.0,516.0,0.7655786,-158.0
82.57,150.09,-56.2,201.73,135.17,16.38,61.8,294.0,0.6242038,-177.0,434.0,0.8767677,-61.0,502.0,0.7831513,-139.0,246.0,0.35755813,-442.0,621.0,1.0114007,7.0,411.0,0.712305,-166.0,578.0,0.9601329,-24.0,710.0,1.3575525,187.0,516.0,0.7655786,-158.0
82.82,149.84,-56.11,202.75,135.17,17.41,59.8,297.0,0.6305733,-174.0,436.0,0.88080806,-59.0,501.0,0.78159124,-140.0,247.0,0.35901162,-441.0,622.0,1.0130293,8.0,411.0,0.712305,-166.0,573.0,0.9518272,-29.0,710.0,1.3575525,187.0,515.0,0.76409495,-159.0
82.82,149.84,-56.11,202.75,135.17,17.41,59.8,295.0,0.626327,-176.0,436.0,0.88080806,-59.0,501.0,0.78159124,-140.0,247.0,0.35901162,-441.0,621.0,1.0114007,7.0,410.0,0.71057194,-167.0,573.0,0.9518272,-29.0,710.0,1.3575525,187.0,515.0,0.76409495,-159.0
82.82,149.84,-56.11,202.75,135.17,17.41,59.8,295.0,0.626327,-176.0,436.0,0.88080806,-59.0,501.0,0.78159124,-140.0,247.0,0.35901162,-441.0,621.0,1.0114007,7.0,409.0,0.7088388,-168.0,573.0,0.9518272,-29.0,709.0,1.3556405,186.0,514.0,0.76261127,-160.0
