roll,yaw,pitch,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
67.88,148.99,-19.45,83.97,219.14,93.18,60.0,621.0,0.87588155,-88.0,509.0,0.82764226,-106.0,430.0,0.84313726,-80.0,406.0,0.81362724,-93.0,596.0,0.85755396,-99.0,515.0,0.82532054,-109.0,447.0,0.76804125,-135.0,494.0,0.8697183,-74.0,584.0,0.89433384,-69.0
67.88,148.99,-19.45,83.97,219.14,93.18,60.0,620.0,0.87447107,-89.0,508.0,0.82601625,-107.0,430.0,0.84313726,-80.0,406.0,0.81362724,-93.0,596.0,0.85755396,-99.0,513.0,0.82211536,-111.0,445.0,0.7646048,-137.0,494.0,0.8697183,-74.0,578.0,0.8851455,-75.0
67.51,149.09,-19.42,84.99,217.09,89.09,64.7,621.0,0.87588155,-88.0,509.0,0.82764226,-106.0,430.0,0.84313726,-80.0,406.0,0.81362724,-93.0,596.0,0.85755396,-99.0,513.0,0.82211536,-111.0,445.0,0.7646048,-137.0,497.0,0.875,-71.0,578.0,0.8851455,-75.0
67.51,149.09,-19.42,84.99,217.09,89.09,64.7,621.0,0.87588155,-88.0,509.0,0.82764226,-106.0,430.0,0.84313726,-80.0,406.0,0.81362724,-93.0,596.0,0.85755396,-99.0,513.0,0.82211536,-111.0,447.0,0.76804125,-135.0,497.0,0.875,-71.0,578.0,0.8851455,-75.0
67.76,148.95,-19.26,80.9,217.09,88.06,66.1,605.0,0.8533145,-104.0,503.0,0.8178862,-112.0,421.0,0.8254902,-89.0,380.0,0.76152307,-119.0,589.0,0.847482,-106.0,505.0,0.8092949,-119.0,445.0,0.7646048,-137.0,497.0,0.875,-71.0,575.0,0.8805513,-78.0
67.76,148.95,-19.26,80.9,217.09,88.06,66.1,609.0,0.8589563,-100.0,505.0,0.8211382,-110.0,424.0,0.83137256,-86.0,382.0,0.76553106,-117.0,590.0,0.8489209,-105.0,506.0,0.8108974,-118.0,452.0,0.7766323,-130.0,501.0,0.8820422,-67.0,580.0,0.88820827,-73.0
67.65,148.93,-19.11,82.94,216.06,88.06,61.4,609.0,0.8589563,-100.0,506.0,0.8227642,-109.0,426.0,0.8352941,-84.0,382.0,0.76553106,-117.0,592.0,0.85179853,-103.0,507.0,0.8125,-117.0,456.0,0.78350514,-126.0,501.0,0.8820422,-67.0,580.0,0.88820827,-73.0
67.65,148.93,-19.11,82.94,216.06,88.06,61.4,609.0,0.8589563,-100.0,506.0,0.8227642,-109.0,427.0,0.8372549,-83.0,382.0,0.76553106,-117.0,594.0,0.85467625,-101.0,508.0,0.8141026,-116.0,457.0,0.78522336,-125.0,501.0,0.8820422,-67.0,581.0,0.8897397,-72.0
67.76,148.9,-19.15,83.97,217.09,89.09,58.5,609.0,0.8589563,-100.0,506.0,0.8227642,-109.0,429.0,0.84117645,-81.0,382.0,0.76553106,-117.0,595.0,0.8561151,-100.0,508.0,0.8141026,-116.0,460.0,0.79037803,-122.0,501.0,0.8820422,-67.0,585.0,0.89586526,-68.0
67.76,148.9,-19.15,83.97,217.09,89.09,58.5,601.0,0.84767276,-108.0,504.0,0.8195122,-111.0,431.0,0.845098,-79.0,372.0,0.74549097,-127.0,596.0,0.85755396,-99.0,514.0,0.82371795,-110.0,459.0,0.7886598,-123.0,491.0,0.8644366,-77.0,585.0,0.89586526,-68.0
67.62,148.84,-19.32,84.99,219.14,91.14,57.6,599.0,0.8448519,-110.0,503.0,0.8178862,-112.0,431.0,0.845098,-79.0,371.0,0.743487,-128.0,596.0,0.85755396,-99.0,514.0,0.82371795,-110.0,459.0,0.7886598,-123.0,491.0,0.8644366,-77.0,584.0,0.89433384,-69.0
67.62,148.84,-19.32,84.99,219.14,91.14,57.6,592.0,0.8349788,-117.0,502.0,0.81626016,-113.0,431.0,0.845098,-79.0,371.0,0.743487,-128.0,594.0,0.85467625,-101.0,510.0,0.8173077,-114.0,457.0,0.78522336,-125.0,490.0,0.8626761,-78.0,581.0,0.8897397,-72.0
