taskNumber,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
0,-10.24,261.12,23.55,100.0,424.0,0.77798164,-121.0,508.0,0.79004663,-135.0,503.0,0.8871252,-64.0,710.0,1.1451613,90.0,707.0,1.0261248,18.0,632.0,0.9634146,-24.0,573.0,0.9862306,-8.0,509.0,0.8641766,-80.0,553.0,0.87777776,-77.0
0,-10.24,261.12,23.55,100.0,444.0,0.8146789,-101.0,509.0,0.79160184,-134.0,505.0,0.89065254,-62.0,715.0,1.1532258,95.0,707.0,1.0261248,18.0,638.0,0.972561,-18.0,573.0,0.9862306,-8.0,509.0,0.8641766,-80.0,566.0,0.8984127,-64.0
0,-11.26,261.12,23.55,102.3,454.0,0.83302754,-91.0,509.0,0.79160184,-134.0,506.0,0.89241624,-61.0,728.0,1.1741935,108.0,709.0,1.0290276,20.0,653.0,0.99542683,-3.0,576.0,0.99139416,-5.0,510.0,0.86587435,-79.0,584.0,0.92698413,-46.0
0,-11.26,261.12,23.55,102.3,454.0,0.83302754,-91.0,512.0,0.7962675,-131.0,506.0,0.89241624,-61.0,728.0,1.1741935,108.0,712.0,1.0333817,23.0,654.0,0.9969512,-2.0,577.0,0.9931153,-4.0,510.0,0.86587435,-79.0,584.0,0.92698413,-46.0
0,-11.26,261.12,23.55,102.3,458.0,0.84036696,-87.0,514.0,0.7993779,-129.0,509.0,0.8977072,-58.0,728.0,1.1741935,108.0,714.0,1.0362844,25.0,654.0,0.9969512,-2.0,580.0,0.99827886,-1.0,511.0,0.8675721,-78.0,584.0,0.92698413,-46.0
0,-10.24,260.1,24.58,103.1,463.0,0.8495413,-82.0,519.0,0.80715394,-124.0,510.0,0.8994709,-57.0,731.0,1.1790322,111.0,715.0,1.0377358,26.0,653.0,0.99542683,-3.0,580.0,0.99827886,-1.0,510.0,0.86587435,-79.0,585.0,0.9285714,-45.0
0,-10.24,260.1,24.58,103.1,454.0,0.83302754,-91.0,519.0,0.80715394,-124.0,506.0,0.89241624,-61.0,731.0,1.1790322,111.0,715.0,1.0377358,26.0,653.0,0.99542683,-3.0,577.0,0.9931153,-4.0,509.0,0.8641766,-80.0,585.0,0.9285714,-45.0
0,-9.22,260.1,22.53,102.3,454.0,0.83302754,-91.0,519.0,0.80715394,-124.0,506.0,0.89241624,-61.0,731.0,1.1790322,111.0,715.0,1.0377358,26.0,653.0,0.99542683,-3.0,577.0,0.9931153,-4.0,509.0,0.8641766,-80.0,585.0,0.9285714,-45.0
0,-9.22,260.1,22.53,102.3,449.0,0.8238532,-96.0,519.0,0.80715394,-124.0,506.0,0.89241624,-61.0,728.0,1.1741935,108.0,715.0,1.0377358,26.0,653.0,0.99542683,-3.0,577.0,0.9931153,-4.0,508.0,0.8624788,-81.0,585.0,0.9285714,-45.0
0,-9.22,260.1,24.58,103.2,444.0,0.8146789,-101.0,519.0,0.80715394,-124.0,505.0,0.89065254,-62.0,716.0,1.1548387,96.0,715.0,1.0377358,26.0,653.0,0.99542683,-3.0,577.0,0.9931153,-4.0,506.0,0.8590832,-83.0,585.0,0.9285714,-45.0
0,-9.22,260.1,24.58,103.2,444.0,0.8146789,-101.0,520.0,0.8087092,-123.0,506.0,0.89241624,-61.0,716.0,1.1548387,96.0,716.0,1.0391872,27.0,655.0,0.9984756,-1.0,580.0,0.99827886,-1.0,506.0,0.8590832,-83.0,586.0,0.93015873,-44.0
