ID,SG0p,SG0m,SG1p,SG1m,SG2p,SG2m,SG3p,SG3m,SG4p,SG4m,SG5p,SG5m,SG6p,SG6m,SG7p,SG7m,SG8p,SG8m
0,591,0,380,0,0,0,129,0,364,0,475,0,0,107,197,0,0,1489
1,294,0,0,0,0,0,0,394,149,0,848,0,218,0,99,0,0,1787
2,304,0,172,0,0,0,0,747,0,0,519,0,0,0,0,0,0,1912
3,0,0,0,463,0,0,0,1546,0,1056,0,931,300,0,0,500,0,839
4,0,115,0,117,0,0,0,1037,0,1837,0,1579,364,0,0,585,208,678
5,401,66,438,0,52,0,290,0,0,0,0,649,0,421,0,0,0,1699
6,887,0,764,0,141,0,624,0,207,0,242,145,0,1437,387,0,0,1191
7,484,0,340,0,0,0,180,40,0,0,224,0,0,783,87,0,0,1467
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647
0,318,0,177,0,0,0,108,0,282,0,851,0,0,233,245,0,0,2312
1,219,0,78,0,0,63,0,358,186,0,692,0,0,0,129,0,0,2316
2,138,0,92,0,0,0,0,606,0,0,227,0,224,0,27,0,0,2232
3,212,0,158,0,0,0,0,20,0,0,0,0,187,0,0,0,0,2045
4,115,0,203,0,0,0,0,0,0,516,0,536,0,0,0,0,0,981
5,0,0,0,0,0,0,218,0,0,326,0,683,0,858,0,0,0,1584
6,754,0,685,0,0,0,496,0,0,0,268,149,0,1527,270,0,0,1594
7,117,0,0,0,0,0,0,0,115,0,147,0,0,460,314,0,0,2112
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932
0,446,0,142,0,20,0,0,42,154,0,905,0,0,0,196,0,0,2927
1,189,0,72,0,0,73,0,142,0,0,708,0,126,0,0,0,0,3359
2,0,0,0,0,0,0,0,713,0,238,350,0,0,0,0,0,0,3602
3,0,0,0,0,0,0,0,1060,0,936,0,493,0,0,0,178,0,2541
4,0,274,96,216,0,0,0,0,0,0,0,551,0,0,0,105,0,2663
5,0,0,0,0,0,0,0,0,0,152,0,370,0,470,0,0,0,3157
6,264,0,190,0,94,0,40,0,0,0,0,0,0,0,109,0,0,2946
7,135,0,124,0,0,0,104,0,144,0,288,0,0,662,215,0,0,2723
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357
0,119,0,32,0,0,0,0,0,59,0,178,0,0,0,110,0,0,2795
1,0,0,0,0,0,0,0,299,65,0,191,0,0,0,75,0,0,3344
2,0,0,40,0,0,0,0,483,0,0,160,0,0,0,30,0,0,3043
3,0,0,0,0,0,0,0,1629,0,1423,0,602,473,0,0,253,0,2961
4,96,0,80,84,0,0,0,363,0,1063,0,1028,0,0,0,142,0,3158
5,117,0,143,0,0,0,157,0,0,0,0,586,0,0,50,0,0,2948
6,318,0,351,0,0,0,249,0,0,0,144,207,0,408,202,0,0,3365
7,516,0,324,0,0,0,204,0,124,0,726,0,0,903,505,0,0,4591
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662
0,137,0,64,0,0,0,0,0,0,0,407,0,0,0,101,0,0,3283
1,99,0,0,0,0,0,0,456,31,0,218,0,77,0,30,0,0,2900
2,146,0,26,0,0,0,0,461,0,100,70,0,62,0,0,0,0,2422
3,102,0,0,0,0,0,0,1047,0,899,0,0,190,0,0,0,0,2981
4,0,0,145,0,0,0,0,418,0,1074,0,730,0,0,0,147,0,2352
5,98,0,100,0,0,0,20,0,0,0,0,417,0,0,0,0,0,2693
6,0,0,0,0,0,0,0,0,0,0,33,0,0,763,82,0,0,2525
7,171,0,122,0,0,0,84,0,39,0,146,0,0,0,157,0,0,2473
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117
0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,3809
1,0,0,0,0,0,0,0,401,0,250,60,0,0,0,0,0,0,3205
2,0,0,0,0,0,22,0,254,0,0,132,0,0,0,0,0,0,3735
3,178,0,164,0,0,0,0,626,0,560,0,105,155,0,0,0,0,3098
4,154,0,178,0,0,0,0,0,0,0,0,292,0,0,0,0,0,3270
5,0,0,0,0,0,0,0,0,0,409,0,524,0,433,0,0,0,3323
6,0,0,0,0,66,0,136,0,0,0,71,0,0,820,104,0,0,2809
7,60,0,40,0,0,0,0,0,0,0,276,0,0,0,122,0,0,4072
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2547
0,152,0,143,0,0,0,79,0,0,0,471,0,0,100,387,0,0,4604
1,232,0,0,0,0,48,0,500,0,196,502,0,0,0,0,0,0,4511
2,0,0,0,0,0,0,0,708,0,0,144,0,0,0,103,0,0,4242
3,153,0,114,0,0,0,0,93,0,300,0,0,105,0,0,0,0,3481
4,159,0,169,0,0,0,0,0,0,92,0,282,0,0,0,0,0,3200
5,156,0,186,0,0,0,0,0,0,172,0,44,0,338,50,0,0,3347
6,168,0,154,0,0,0,98,0,0,0,0,82,0,0,105,0,0,3150
7,0,0,60,0,0,0,113,0,0,0,183,0,0,645,155,0,0,4467
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388
0,180,0,0,0,0,0,0,0,44,0,612,0,0,0,168,0,0,3342
1,105,0,0,0,0,25,0,232,0,161,161,0,0,0,0,0,0,3621
2,0,0,0,0,0,0,0,281,0,22,66,0,0,0,0,0,0,3444
3,96,0,0,0,0,0,0,375,0,353,0,80,118,0,0,0,0,3421
4,152,0,132,0,0,0,0,265,0,629,0,386,0,0,0,0,0,3753
5,0,0,0,0,0,0,89,0,20,422,0,199,0,504,116,0,0,3027
6,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,3497
7,84,0,0,0,0,0,0,0,0,0,50,0,0,0,48,0,0,3888
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2821
0,219,0,108,0,0,0,26,0,68,0,672,0,0,0,220,0,0,4562
1,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,6874
2,82,0,0,0,0,0,0,0,0,0,60,0,100,0,0,0,0,3991
3,84,0,72,0,0,0,0,255,0,0,0,0,310,0,0,0,0,3612
4,168,0,185,0,0,0,108,0,130,0,0,0,0,0,0,0,0,3832
5,144,0,184,0,0,0,70,0,0,0,0,141,0,0,20,0,0,4300
6,78,0,92,0,60,0,156,0,0,0,54,0,0,352,128,0,0,3827
7,248,0,144,0,0,0,120,0,0,0,399,0,0,483,317,0,0,4537
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2663
