roll,yaw,pitch,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,0.9169139,-56.0,510.0,0.9714286,-15.0,502.0,0.97475725,-13.0,600.0,0.84388185,-111.0,496.0,0.992,-4.0,341.0,0.79859483,-86.0,559.0,0.9270315,-44.0,515.0,0.90192646,-56.0,520.0,0.9403255,-33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0,0.91543025,-57.0,510.0,0.9714286,-15.0,502.0,0.97475725,-13.0,598.0,0.8410689,-113.0,494.0,0.988,-6.0,341.0,0.79859483,-86.0,559.0,0.9270315,-44.0,515.0,0.90192646,-56.0,520.0,0.9403255,-33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,0.91394657,-58.0,508.0,0.96761906,-17.0,502.0,0.97475725,-13.0,598.0,0.8410689,-113.0,493.0,0.986,-7.0,341.0,0.79859483,-86.0,559.0,0.9270315,-44.0,515.0,0.90192646,-56.0,520.0,0.9403255,-33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,0.9124629,-59.0,508.0,0.96761906,-17.0,502.0,0.97475725,-13.0,597.0,0.83966243,-114.0,493.0,0.986,-7.0,340.0,0.7962529,-87.0,559.0,0.9270315,-44.0,515.0,0.90192646,-56.0,520.0,0.9403255,-33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,0.9124629,-59.0,508.0,0.96761906,-17.0,502.0,0.97475725,-13.0,597.0,0.83966243,-114.0,493.0,0.986,-7.0,340.0,0.7962529,-87.0,559.0,0.9270315,-44.0,515.0,0.90192646,-56.0,520.0,0.9403255,-33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,0.91394657,-58.0,509.0,0.9695238,-16.0,502.0,0.97475725,-13.0,597.0,0.83966243,-114.0,494.0,0.988,-6.0,340.0,0.7962529,-87.0,560.0,0.9286899,-43.0,516.0,0.90367776,-55.0,521.0,0.94213384,-32.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0,0.91543025,-57.0,510.0,0.9714286,-15.0,503.0,0.97669905,-12.0,597.0,0.83966243,-114.0,494.0,0.988,-6.0,340.0,0.7962529,-87.0,563.0,0.93366504,-40.0,521.0,0.91243434,-50.0,521.0,0.94213384,-32.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,0.9169139,-56.0,510.0,0.9714286,-15.0,503.0,0.97669905,-12.0,597.0,0.83966243,-114.0,494.0,0.988,-6.0,340.0,0.7962529,-87.0,567.0,0.9402985,-36.0,522.0,0.91418564,-49.0,523.0,0.9457505,-30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,0.9198813,-54.0,511.0,0.97333336,-14.0,503.0,0.97669905,-12.0,597.0,0.83966243,-114.0,494.0,0.988,-6.0,340.0,0.7962529,-87.0,569.0,0.94361526,-34.0,522.0,0.91418564,-49.0,526.0,0.9511754,-27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,0.9169139,-56.0,511.0,0.97333336,-14.0,500.0,0.9708738,-15.0,593.0,0.8340366,-118.0,495.0,0.99,-5.0,337.0,0.7892272,-90.0,569.0,0.94361526,-34.0,523.0,0.91593695,-48.0,523.0,0.9457505,-30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,0.9169139,-56.0,511.0,0.97333336,-14.0,500.0,0.9708738,-15.0,585.0,0.8227848,-126.0,492.0,0.984,-8.0,337.0,0.7892272,-90.0,569.0,0.94361526,-34.0,520.0,0.91068304,-51.0,522.0,0.9439421,-31.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,0.9169139,-56.0,510.0,0.9714286,-15.0,500.0,0.9708738,-15.0,577.0,0.81153303,-134.0,492.0,0.984,-8.0,337.0,0.7892272,-90.0,569.0,0.94361526,-34.0,516.0,0.90367776,-55.0,521.0,0.94213384,-32.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,0.9169139,-56.0,509.0,0.9695238,-16.0,500.0,0.9708738,-15.0,577.0,0.81153303,-134.0,492.0,0.984,-8.0,337.0,0.7892272,-90.0,569.0,0.94361526,-34.0,516.0,0.90367776,-55.0,521.0,0.94213384,-32.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,0.9169139,-56.0,509.0,0.9695238,-16.0,500.0,0.9708738,-15.0,577.0,0.81153303,-134.0,492.0,0.984,-8.0,337.0,0.7892272,-90.0,567.0,0.9402985,-36.0,516.0,0.90367776,-55.0,519.0,0.93851715,-34.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,0.9169139,-56.0,509.0,0.9695238,-16.0,504.0,0.9786408,-11.0,583.0,0.81997186,-128.0,494.0,0.988,-6.0,338.0,0.7915691,-89.0,567.0,0.9402985,-36.0,516.0,0.90367776,-55.0,519.0,0.93851715,-34.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,0.9169139,-56.0,509.0,0.9695238,-16.0,504.0,0.9786408,-11.0,583.0,0.81997186,-128.0,494.0,0.988,-6.0,338.0,0.7915691,-89.0,567.0,0.9402985,-36.0,517.0,0.90542907,-54.0,519.0,0.93851715,-34.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,0.9169139,-56.0,509.0,0.9695238,-16.0,504.0,0.9786408,-11.0,583.0,0.81997186,-128.0,494.0,0.988,-6.0,338.0,0.7915691,-89.0,567.0,0.9402985,-36.0,520.0,0.91068304,-51.0,519.0,0.93851715,-34.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,0.9169139,-56.0,509.0,0.9695238,-16.0,504.0,0.9786408,-11.0,583.0,0.81997186,-128.0,494.0,0.988,-6.0,338.0,0.7915691,-89.0,567.0,0.9402985,-36.0,520.0,0.91068304,-51.0,519.0,0.93851715,-34.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0,0.91543025,-57.0,505.0,0.96190476,-20.0,496.0,0.9631068,-19.0,570.0,0.8016878,-141.0,489.0,0.978,-11.0,327.0,0.765808,-100.0,554.0,0.9187396,-49.0,523.0,0.91593695,-48.0,516.0,0.93309224,-37.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,0.90949553,-61.0,496.0,0.94476193,-29.0,439.0,0.8524272,-76.0,552.0,0.7763713,-159.0,400.0,0.8,-100.0,233.0,0.54566747,-194.0,533.0,0.88391376,-70.0,523.0,0.91593695,-48.0,460.0,0.8318264,-93.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,0.90207714,-66.0,482.0,0.91809523,-43.0,368.0,0.71456313,-147.0,550.0,0.7735584,-161.0,394.0,0.788,-106.0,228.0,0.53395784,-199.0,530.0,0.8789386,-73.0,523.0,0.91593695,-48.0,455.0,0.8227848,-98.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,0.8961424,-70.0,478.0,0.9104762,-47.0,356.0,0.6912621,-159.0,542.0,0.76230663,-169.0,394.0,0.788,-106.0,225.0,0.52693206,-202.0,527.0,0.87396353,-76.0,523.0,0.91593695,-48.0,453.0,0.81916815,-100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,0.8961424,-70.0,473.0,0.9009524,-52.0,348.0,0.67572814,-167.0,541.0,0.76090014,-170.0,394.0,0.788,-106.0,198.0,0.46370023,-229.0,527.0,0.87396353,-76.0,523.0,0.91593695,-48.0,452.0,0.81735986,-101.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,0.8976261,-69.0,475.0,0.9047619,-50.0,348.0,0.67572814,-167.0,541.0,0.76090014,-170.0,394.0,0.788,-106.0,198.0,0.46370023,-229.0,527.0,0.87396353,-76.0,544.0,0.95271456,-27.0,453.0,0.81916815,-100.0
