SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.9632721,-22.0,0.62254024,-211.0,1.0083333,5.0,1.1777457,123.0,1.0412844,27.0,0.64440733,-213.0,0.6178862,-188.0,0.9656357,-20.0,0.5564648,-271.0,p15_r15
0.9699499,-18.0,0.62611806,-209.0,1.0083333,5.0,1.1777457,123.0,1.0412844,27.0,0.6560935,-206.0,0.62398374,-185.0,0.9656357,-20.0,0.5581015,-270.0,p15_r15
0.97328883,-16.0,0.6314848,-206.0,1.0083333,5.0,1.1777457,123.0,1.0412844,27.0,0.6594324,-204.0,0.6504065,-172.0,0.9656357,-20.0,0.5646481,-266.0,p15_r15
0.97328883,-16.0,0.6404293,-201.0,1.0083333,5.0,1.1791908,124.0,1.0412844,27.0,0.68113524,-191.0,0.652439,-171.0,0.9656357,-20.0,0.58428806,-254.0,p15_r15
0.9682805,-19.0,0.64400715,-199.0,0.9916667,-5.0,1.1777457,123.0,1.0351682,23.0,0.6928214,-184.0,0.66056913,-167.0,0.9587629,-24.0,0.58428806,-254.0,p15_r15
0.9682805,-19.0,0.64400715,-199.0,0.96166664,-23.0,1.1777457,123.0,1.0351682,23.0,0.6928214,-184.0,0.66056913,-167.0,0.95704466,-25.0,0.58428806,-254.0,p15_r15
0.9682805,-19.0,0.64400715,-199.0,0.95666665,-26.0,1.1777457,123.0,1.0351682,23.0,0.6928214,-184.0,0.66056913,-167.0,0.9484536,-30.0,0.58428806,-254.0,p15_r15
1.0450752,27.0,0.6887299,-174.0,1.005,3.0,1.1618497,112.0,1.0351682,23.0,0.73956597,-156.0,0.66260165,-166.0,0.9587629,-24.0,0.62193125,-231.0,p15_r15
1.033389,20.0,0.6887299,-174.0,1.0033333,2.0,1.1618497,112.0,1.0321101,21.0,0.7312187,-161.0,0.66260165,-166.0,0.95532644,-26.0,0.62193125,-231.0,p15_r15
1.0217029,13.0,0.6887299,-174.0,0.99333334,-4.0,1.1618497,112.0,1.030581,20.0,0.7295492,-162.0,0.66260165,-166.0,0.9536083,-27.0,0.62193125,-231.0,p15_r15
1.018364,11.0,0.6887299,-174.0,0.9916667,-5.0,1.1618497,112.0,1.030581,20.0,0.7295492,-162.0,0.66260165,-166.0,0.9536083,-27.0,0.62193125,-231.0,p15_r15
