SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
1.247076,169.0,0.8377425,-92.0,0.89879155,-67.0,1.137746,77.0,0.50448835,-276.0,0.58284885,-287.0,1.114,57.0,0.9506173,-32.0,0.6118644,-229.0,p15_r-15
1.247076,169.0,0.8377425,-92.0,0.8957704,-69.0,1.137746,77.0,0.50448835,-276.0,0.58284885,-287.0,1.114,57.0,0.9506173,-32.0,0.6118644,-229.0,p15_r-15
1.247076,169.0,0.8377425,-92.0,0.8957704,-69.0,1.137746,77.0,0.502693,-277.0,0.58284885,-287.0,1.114,57.0,0.9506173,-32.0,0.6118644,-229.0,p15_r-15
1.247076,169.0,0.8377425,-92.0,0.8942598,-70.0,1.137746,77.0,0.502693,-277.0,0.5813953,-288.0,1.114,57.0,0.9506173,-32.0,0.6118644,-229.0,p15_r-15
1.25,171.0,0.83950615,-91.0,0.8942598,-70.0,1.137746,77.0,0.502693,-277.0,0.5813953,-288.0,1.12,60.0,0.9521605,-31.0,0.6118644,-229.0,p15_r-15
1.2573099,176.0,0.8518519,-84.0,0.8957704,-69.0,1.137746,77.0,0.502693,-277.0,0.5813953,-288.0,1.126,63.0,0.9521605,-31.0,0.6152542,-227.0,p15_r-15
1.2076024,142.0,0.72134036,-158.0,0.8851964,-76.0,1.1055456,59.0,0.42010772,-323.0,0.5436047,-314.0,1.12,60.0,0.89506173,-68.0,0.5779661,-249.0,p15_r-15
1.2090644,143.0,0.72134036,-158.0,0.8851964,-76.0,1.1073345,60.0,0.42010772,-323.0,0.5436047,-314.0,1.12,60.0,0.89506173,-68.0,0.579661,-248.0,p15_r-15
1.2090644,143.0,0.72134036,-158.0,0.8851964,-76.0,1.1073345,60.0,0.42010772,-323.0,0.5436047,-314.0,1.12,60.0,0.89506173,-68.0,0.579661,-248.0,p15_r-15
1.2090644,143.0,0.72134036,-158.0,0.8851964,-76.0,1.1073345,60.0,0.42010772,-323.0,0.5436047,-314.0,1.12,60.0,0.89506173,-68.0,0.58474576,-245.0,p15_r-15
1.2090644,143.0,0.72134036,-158.0,0.88670695,-75.0,1.1073345,60.0,0.42010772,-323.0,0.5436047,-314.0,1.12,60.0,0.89506173,-68.0,0.58474576,-245.0,p15_r-15
1.2017543,138.0,0.71428573,-162.0,0.8851964,-76.0,1.1091235,61.0,0.4183124,-324.0,0.5406977,-316.0,1.124,62.0,0.8935185,-69.0,0.58305085,-246.0,p15_r-15
1.2017543,138.0,0.71252203,-163.0,0.8851964,-76.0,1.1091235,61.0,0.41651705,-325.0,0.5392442,-317.0,1.12,60.0,0.8904321,-71.0,0.58305085,-246.0,p15_r-15
1.2017543,138.0,0.70723104,-166.0,0.8851964,-76.0,1.1055456,59.0,0.41651705,-325.0,0.5377907,-318.0,1.118,59.0,0.8888889,-72.0,0.5813559,-247.0,p15_r-15
1.2017543,138.0,0.70723104,-166.0,0.8851964,-76.0,1.1055456,59.0,0.4129264,-327.0,0.5363372,-319.0,1.116,58.0,0.8888889,-72.0,0.579661,-248.0,p15_r-15
1.2017543,138.0,0.70723104,-166.0,0.8851964,-76.0,1.1055456,59.0,0.4129264,-327.0,0.5363372,-319.0,1.112,56.0,0.8888889,-72.0,0.579661,-248.0,p15_r-15
1.2017543,138.0,0.70723104,-166.0,0.8851964,-76.0,1.1073345,60.0,0.4129264,-327.0,0.5377907,-318.0,1.114,57.0,0.8888889,-72.0,0.579661,-248.0,p15_r-15
1.2032164,139.0,0.70723104,-166.0,0.8851964,-76.0,1.1073345,60.0,0.4129264,-327.0,0.5377907,-318.0,1.114,57.0,0.8888889,-72.0,0.579661,-248.0,p15_r-15
1.2032164,139.0,0.70723104,-166.0,0.8851964,-76.0,1.1073345,60.0,0.4129264,-327.0,0.5377907,-318.0,1.114,57.0,0.8888889,-72.0,0.579661,-248.0,p15_r-15
1.2032164,139.0,0.70723104,-166.0,0.8851964,-76.0,1.1073345,60.0,0.4129264,-327.0,0.5392442,-317.0,1.114,57.0,0.8888889,-72.0,0.579661,-248.0,p15_r-15
1.2032164,139.0,0.696649,-172.0,0.88066465,-79.0,1.1019678,57.0,0.41113105,-328.0,0.5377907,-318.0,1.108,54.0,0.8873457,-73.0,0.5762712,-250.0,p15_r-15
1.2017543,138.0,0.6948854,-173.0,0.8791541,-80.0,1.1019678,57.0,0.41113105,-328.0,0.5377907,-318.0,1.108,54.0,0.8873457,-73.0,0.57457626,-251.0,p15_r-15
1.2002923,137.0,0.6931217,-174.0,0.8791541,-80.0,1.1019678,57.0,0.40933573,-329.0,0.5377907,-318.0,1.108,54.0,0.8873457,-73.0,0.57457626,-251.0,p15_r-15
1.2002923,137.0,0.6931217,-174.0,0.8791541,-80.0,1.1001788,56.0,0.40574506,-331.0,0.5377907,-318.0,1.106,53.0,0.8873457,-73.0,0.57288134,-252.0,p15_r-15
1.1973684,135.0,0.6931217,-174.0,0.8791541,-80.0,1.1001788,56.0,0.40574506,-331.0,0.5363372,-319.0,1.106,53.0,0.88271606,-76.0,0.57288134,-252.0,p15_r-15
1.2002923,137.0,0.6931217,-174.0,0.88066465,-79.0,1.1001788,56.0,0.40574506,-331.0,0.5377907,-318.0,1.108,54.0,0.88271606,-76.0,0.57288134,-252.0,p15_r-15
1.2002923,137.0,0.69135803,-175.0,0.8821752,-78.0,1.1001788,56.0,0.40394974,-332.0,0.53488374,-320.0,1.11,55.0,0.88271606,-76.0,0.5694915,-254.0,p15_r-15
1.2002923,137.0,0.69135803,-175.0,0.8821752,-78.0,1.1001788,56.0,0.4021544,-333.0,0.53488374,-320.0,1.11,55.0,0.88271606,-76.0,0.5677966,-255.0,p15_r-15
1.2002923,137.0,0.6895943,-176.0,0.88066465,-79.0,1.1001788,56.0,0.4021544,-333.0,0.53488374,-320.0,1.11,55.0,0.88117284,-77.0,0.5661017,-256.0,p15_r-15
1.2002923,137.0,0.6895943,-176.0,0.88066465,-79.0,1.1019678,57.0,0.4021544,-333.0,0.53488374,-320.0,1.114,57.0,0.88271606,-76.0,0.5661017,-256.0,p15_r-15
1.2002923,137.0,0.69135803,-175.0,0.88066465,-79.0,1.1019678,57.0,0.4021544,-333.0,0.53488374,-320.0,1.114,57.0,0.88271606,-76.0,0.5661017,-256.0,p15_r-15
1.2017543,138.0,0.69135803,-175.0,0.8821752,-78.0,1.1019678,57.0,0.4021544,-333.0,0.53488374,-320.0,1.114,57.0,0.88271606,-76.0,0.5661017,-256.0,p15_r-15
1.2032164,139.0,0.69135803,-175.0,0.8821752,-78.0,1.1055456,59.0,0.4021544,-333.0,0.53488374,-320.0,1.116,58.0,0.88271606,-76.0,0.5661017,-256.0,p15_r-15
1.2105263,144.0,0.6895943,-176.0,0.88066465,-79.0,1.1019678,57.0,0.39856374,-335.0,0.5334302,-321.0,1.114,57.0,0.88117284,-77.0,0.5661017,-256.0,p15_r-15
1.2090644,143.0,0.6895943,-176.0,0.8791541,-80.0,1.1019678,57.0,0.39497307,-337.0,0.5334302,-321.0,1.114,57.0,0.88117284,-77.0,0.56271183,-258.0,p15_r-15
1.2090644,143.0,0.6878307,-177.0,0.8791541,-80.0,1.1019678,57.0,0.3913824,-339.0,0.53197676,-322.0,1.114,57.0,0.88117284,-77.0,0.561017,-259.0,p15_r-15
1.2090644,143.0,0.68606704,-178.0,0.8761329,-82.0,1.1019678,57.0,0.3913824,-339.0,0.53197676,-322.0,1.112,56.0,0.88117284,-77.0,0.561017,-259.0,p15_r-15
1.2090644,143.0,0.68606704,-178.0,0.87462234,-83.0,1.1019678,57.0,0.3913824,-339.0,0.53197676,-322.0,1.112,56.0,0.8796296,-78.0,0.561017,-259.0,p15_r-15
1.2105263,144.0,0.68606704,-178.0,0.8776435,-81.0,1.1037567,58.0,0.39497307,-337.0,0.53197676,-322.0,1.118,59.0,0.88117284,-77.0,0.561017,-259.0,p15_r-15
1.2105263,144.0,0.68606704,-178.0,0.8776435,-81.0,1.1055456,59.0,0.39497307,-337.0,0.53197676,-322.0,1.118,59.0,0.88117284,-77.0,0.561017,-259.0,p15_r-15
1.2149123,147.0,0.67901236,-182.0,0.8776435,-81.0,1.1073345,60.0,0.39497307,-337.0,0.53197676,-322.0,1.12,60.0,0.88117284,-77.0,0.55932206,-260.0,p15_r-15
1.2090644,143.0,0.67724866,-183.0,0.8761329,-82.0,1.1073345,60.0,0.3913824,-339.0,0.5290698,-324.0,1.12,60.0,0.88117284,-77.0,0.55932206,-260.0,p15_r-15
1.2090644,143.0,0.675485,-184.0,0.8761329,-82.0,1.1055456,59.0,0.3913824,-339.0,0.5290698,-324.0,1.12,60.0,0.88117284,-77.0,0.55932206,-260.0,p15_r-15
1.2090644,143.0,0.6719577,-186.0,0.87462234,-83.0,1.1055456,59.0,0.38779175,-341.0,0.5290698,-324.0,1.12,60.0,0.88117284,-77.0,0.55762714,-261.0,p15_r-15
1.2090644,143.0,0.6719577,-186.0,0.87462234,-83.0,1.1037567,58.0,0.38779175,-341.0,0.5290698,-324.0,1.12,60.0,0.88117284,-77.0,0.55762714,-261.0,p15_r-15
1.2090644,143.0,0.6737213,-185.0,0.87462234,-83.0,1.1055456,59.0,0.38779175,-341.0,0.5290698,-324.0,1.12,60.0,0.88117284,-77.0,0.55932206,-260.0,p15_r-15
1.2119883,145.0,0.6737213,-185.0,0.87462234,-83.0,1.1055456,59.0,0.38779175,-341.0,0.5290698,-324.0,1.12,60.0,0.88117284,-77.0,0.55932206,-260.0,p15_r-15
1.2119883,145.0,0.6737213,-185.0,0.87462234,-83.0,1.1055456,59.0,0.3913824,-339.0,0.5290698,-324.0,1.12,60.0,0.88117284,-77.0,0.55932206,-260.0,p15_r-15
1.2119883,145.0,0.6737213,-185.0,0.87462234,-83.0,1.1055456,59.0,0.3913824,-339.0,0.5290698,-324.0,1.12,60.0,0.88117284,-77.0,0.55932206,-260.0,p15_r-15
1.2076024,142.0,0.6666667,-189.0,0.8731118,-84.0,1.1037567,58.0,0.38779175,-341.0,0.5290698,-324.0,1.12,60.0,0.88117284,-77.0,0.55932206,-260.0,p15_r-15
0.99404764,-4.0,0.5117773,-228.0,1.1326531,78.0,1.1181507,69.0,1.212,159.0,1.2523365,162.0,1.0952381,54.0,1.129666,66.0,1.1530944,94.0,p15_r-15
0.99404764,-4.0,0.5117773,-228.0,1.1326531,78.0,1.1181507,69.0,1.212,159.0,1.2523365,162.0,1.0952381,54.0,1.1257367,64.0,1.1514658,93.0,p15_r-15
