SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
1.2215289,142.0,0.7798635,-129.0,2.0099206,509.0,1.326087,165.0,0.6364943,-253.0,1.4554597,317.0,1.1147186,53.0,1.3019608,154.0,1.4723837,325.0,p15_r90
1.2277691,146.0,0.7866894,-125.0,2.0099206,509.0,1.326087,165.0,0.6364943,-253.0,1.4554597,317.0,1.1147186,53.0,1.3019608,154.0,1.4723837,325.0,p15_r90
1.2340094,150.0,0.7883959,-124.0,2.0099206,509.0,1.3063241,155.0,0.67672414,-225.0,1.4554597,317.0,1.1341991,62.0,1.3254902,166.0,1.4723837,325.0,p15_r90
1.2340094,150.0,0.7883959,-124.0,2.0099206,509.0,1.3023715,153.0,0.67672414,-225.0,1.4554597,317.0,1.1341991,62.0,1.3254902,166.0,1.4723837,325.0,p15_r90
1.2340094,150.0,0.7883959,-124.0,2.0099206,509.0,1.298419,151.0,0.67672414,-225.0,1.4554597,317.0,1.1341991,62.0,1.3254902,166.0,1.4723837,325.0,p15_r90
1.2371294,152.0,0.79010236,-123.0,2.0099206,509.0,1.3023715,153.0,0.67672414,-225.0,1.4554597,317.0,1.1385281,64.0,1.3294117,168.0,1.4723837,325.0,p15_r90
1.2542902,163.0,0.7986348,-118.0,2.0099206,509.0,1.312253,158.0,0.6781609,-224.0,1.4554597,317.0,1.1493506,69.0,1.345098,176.0,1.4723837,325.0,p15_r90
1.2464899,158.0,0.79692835,-119.0,2.0099206,509.0,1.312253,158.0,0.67528737,-226.0,1.4554597,317.0,1.1493506,69.0,1.345098,176.0,1.4723837,325.0,p15_r90
1.2464899,158.0,0.79692835,-119.0,2.0099206,509.0,1.312253,158.0,0.67528737,-226.0,1.4554597,317.0,1.1471862,68.0,1.345098,176.0,1.4723837,325.0,p15_r90
1.2433697,156.0,0.79522187,-120.0,2.0099206,509.0,1.312253,158.0,0.67241377,-228.0,1.4554597,317.0,1.1471862,68.0,1.345098,176.0,1.4723837,325.0,p15_r90
1.2433697,156.0,0.79522187,-120.0,2.0099206,509.0,1.312253,158.0,0.67241377,-228.0,1.4554597,317.0,1.1471862,68.0,1.3470588,177.0,1.4723837,325.0,p15_r90
1.2433697,156.0,0.79522187,-120.0,2.0099206,509.0,1.312253,158.0,0.67528737,-226.0,1.4554597,317.0,1.1471862,68.0,1.3509804,179.0,1.4723837,325.0,p15_r90
1.2464899,158.0,0.79692835,-119.0,2.0099206,509.0,1.312253,158.0,0.67528737,-226.0,1.4554597,317.0,1.1471862,68.0,1.3509804,179.0,1.4723837,325.0,p15_r90
1.2542902,163.0,0.7986348,-118.0,2.0099206,509.0,1.312253,158.0,0.67528737,-226.0,1.4554597,317.0,1.1471862,68.0,1.3509804,179.0,1.4723837,325.0,p15_r90
1.2542902,163.0,0.8003413,-117.0,2.0099206,509.0,1.3063241,155.0,0.67241377,-228.0,1.4554597,317.0,1.1471862,68.0,1.3411765,174.0,1.4723837,325.0,p15_r90
1.2542902,163.0,0.8003413,-117.0,2.0099206,509.0,1.2924901,148.0,0.670977,-229.0,1.4554597,317.0,1.1471862,68.0,1.3352941,171.0,1.4723837,325.0,p15_r90
1.2542902,163.0,0.8003413,-117.0,2.0099206,509.0,1.2687747,136.0,0.66810346,-231.0,1.4554597,317.0,1.1428572,66.0,1.3333334,170.0,1.4723837,325.0,p15_r90
1.2542902,163.0,0.8003413,-117.0,2.0099206,509.0,1.2628459,133.0,0.66522986,-233.0,1.4554597,317.0,1.1428572,66.0,1.3294117,168.0,1.4723837,325.0,p15_r90
1.2542902,163.0,0.8003413,-117.0,2.0099206,509.0,1.2509881,127.0,0.6637931,-234.0,1.4554597,317.0,1.1428572,66.0,1.3215686,164.0,1.4723837,325.0,p15_r90
1.2917317,187.0,0.82764506,-101.0,2.0099206,509.0,1.2509881,127.0,0.6637931,-234.0,1.4554597,317.0,1.1428572,66.0,1.3215686,164.0,1.4723837,325.0,p15_r90
1.3354135,215.0,0.85324234,-86.0,2.0099206,509.0,1.2509881,127.0,0.6637931,-234.0,1.4554597,317.0,1.1428572,66.0,1.3215686,164.0,1.4723837,325.0,p15_r90
