SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.6676301,-230.0,0.59600616,-263.0,1.2842536,139.0,0.89068824,-54.0,0.94382024,-35.0,0.91721857,-50.0,0.5970425,-218.0,0.8791423,-62.0,0.9643494,-20.0,p15_r-15
0.6676301,-230.0,0.5975422,-262.0,1.2903886,142.0,0.89068824,-54.0,0.9470305,-33.0,0.9205298,-48.0,0.5970425,-218.0,0.8810916,-61.0,0.969697,-17.0,p15_r-15
0.6719653,-227.0,0.5975422,-262.0,1.2944785,144.0,0.89068824,-54.0,0.94863564,-32.0,0.928808,-43.0,0.5970425,-218.0,0.88304096,-60.0,0.969697,-17.0,p15_r-15
0.6748555,-225.0,0.5975422,-262.0,1.3067485,150.0,0.8987854,-50.0,0.94863564,-32.0,0.9321192,-41.0,0.5970425,-218.0,0.88304096,-60.0,0.969697,-17.0,p15_r-15
0.6748555,-225.0,0.5975422,-262.0,1.3149284,154.0,0.9230769,-38.0,0.94863564,-32.0,0.9337748,-40.0,0.59889096,-217.0,0.8869396,-58.0,0.969697,-17.0,p15_r-15
0.67774564,-223.0,0.5975422,-262.0,1.3108385,152.0,0.9331984,-33.0,0.93900484,-38.0,0.9403973,-36.0,0.6025878,-215.0,0.8888889,-57.0,0.9714795,-16.0,p15_r-15
0.7384393,-181.0,0.54070663,-299.0,1.3762782,184.0,1.0404859,20.0,0.9229534,-48.0,0.8543046,-88.0,0.5785582,-228.0,0.91423005,-44.0,0.89483064,-59.0,p15_r-15
0.7297688,-187.0,0.54070663,-299.0,1.3762782,184.0,1.0364373,18.0,0.9229534,-48.0,0.8543046,-88.0,0.5785582,-228.0,0.91033137,-46.0,0.89483064,-59.0,p15_r-15
0.7297688,-187.0,0.54070663,-299.0,1.3762782,184.0,1.0364373,18.0,0.9229534,-48.0,0.8543046,-88.0,0.5785582,-228.0,0.90448344,-49.0,0.89483064,-59.0,p15_r-15
0.7369942,-182.0,0.5499232,-293.0,1.406953,199.0,1.0404859,20.0,0.929374,-44.0,0.8592715,-85.0,0.59149724,-221.0,0.90448344,-49.0,0.9073084,-52.0,p15_r-15
0.7369942,-182.0,0.5499232,-293.0,1.406953,199.0,1.0425102,21.0,0.929374,-44.0,0.8807947,-72.0,0.60073936,-216.0,0.91033137,-46.0,0.91265595,-49.0,p15_r-15
0.7369942,-182.0,0.5514593,-292.0,1.406953,199.0,1.0425102,21.0,0.929374,-44.0,0.88245034,-71.0,0.60073936,-216.0,0.91033137,-46.0,0.9144385,-48.0,p15_r-15
0.7080925,-202.0,0.546851,-295.0,1.3558282,174.0,0.9797571,-10.0,0.9069021,-58.0,0.87913907,-73.0,0.5859519,-224.0,0.8947368,-54.0,0.90552586,-53.0,p15_r-15
0.70953757,-201.0,0.5437788,-297.0,1.3558282,174.0,0.9797571,-10.0,0.9085072,-57.0,0.8807947,-72.0,0.5878004,-223.0,0.8927875,-55.0,0.9073084,-52.0,p15_r-15
