SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
1.0322108,22.0,1.056872,36.0,0.4567669,-289.0,0.96581197,-20.0,1.0039526,1.0,0.9272468,-51.0,1.2440828,165.0,0.7175141,-150.0,1.0764431,49.0,p15_r-15
1.023426,16.0,1.0537125,34.0,0.4473684,-294.0,0.96410257,-21.0,1.0039526,1.0,0.9215407,-55.0,1.2411243,163.0,0.7024482,-158.0,1.0764431,49.0,p15_r-15
1.023426,16.0,1.0410743,26.0,0.4473684,-294.0,0.95384616,-27.0,0.96837944,-8.0,0.91298145,-61.0,1.2411243,163.0,0.7024482,-158.0,1.0764431,49.0,p15_r-15
1.0204978,14.0,1.0410743,26.0,0.4473684,-294.0,0.95042735,-29.0,0.96837944,-8.0,0.91298145,-61.0,1.2366863,160.0,0.7024482,-158.0,1.0733229,47.0,p15_r-15
1.0248902,17.0,1.0537125,34.0,0.43233082,-302.0,0.94358975,-33.0,0.98418975,-4.0,0.9215407,-55.0,1.2470415,167.0,0.72504705,-146.0,1.0811232,52.0,p15_r-15
1.0248902,17.0,1.0537125,34.0,0.43233082,-302.0,0.94358975,-33.0,0.98418975,-4.0,0.9215407,-55.0,1.2470415,167.0,0.71939737,-149.0,1.0811232,52.0,p15_r-15
1.0395315,27.0,1.0726699,46.0,0.44360903,-296.0,0.9897436,-6.0,0.8379447,-41.0,0.9529244,-33.0,1.2618343,177.0,0.7137476,-152.0,1.1014041,65.0,p15_r-15
1.0395315,27.0,1.0695102,44.0,0.44172934,-297.0,0.9897436,-6.0,0.8379447,-41.0,0.9457917,-38.0,1.260355,176.0,0.70998114,-154.0,1.1014041,65.0,p15_r-15
1.0395315,27.0,1.0695102,44.0,0.44172934,-297.0,0.9897436,-6.0,0.85375494,-37.0,0.9457917,-38.0,1.260355,176.0,0.7137476,-152.0,1.1014041,65.0,p15_r-15
1.0395315,27.0,1.0710901,45.0,0.43609023,-300.0,0.982906,-10.0,0.8498024,-38.0,0.9486448,-36.0,1.2647929,179.0,0.7118644,-153.0,1.1029642,66.0,p15_r-15
1.0366032,25.0,1.0710901,45.0,0.43609023,-300.0,0.982906,-10.0,0.8498024,-38.0,0.9486448,-36.0,1.260355,176.0,0.7118644,-153.0,1.1029642,66.0,p15_r-15
1.0395315,27.0,1.0710901,45.0,0.44172934,-297.0,0.982906,-10.0,0.8498024,-38.0,0.95007133,-35.0,1.2647929,179.0,0.7118644,-153.0,1.1060842,68.0,p15_r-15
1.0409956,28.0,1.0710901,45.0,0.44360903,-296.0,0.982906,-10.0,0.8498024,-38.0,0.95007133,-35.0,1.2647929,179.0,0.7118644,-153.0,1.1060842,68.0,p15_r-15
1.0351391,24.0,1.0726699,46.0,0.43045112,-303.0,0.9948718,-3.0,0.88932806,-28.0,0.95435095,-32.0,1.2662722,180.0,0.7156309,-151.0,1.1029642,66.0,p15_r-15
1.0351391,24.0,1.0726699,46.0,0.43045112,-303.0,0.9965812,-2.0,0.8972332,-26.0,0.95435095,-32.0,1.2677515,181.0,0.7156309,-151.0,1.1045241,67.0,p15_r-15
1.045388,31.0,1.0853081,54.0,0.41917294,-309.0,1.0136752,8.0,0.7351779,-67.0,0.93295294,-47.0,1.2855029,193.0,0.7288136,-144.0,1.1060842,68.0,p15_r-15
1.045388,31.0,1.0884676,56.0,0.42105263,-308.0,1.017094,10.0,0.7509881,-63.0,0.93437946,-46.0,1.2855029,193.0,0.7288136,-144.0,1.1060842,68.0,p15_r-15
1.045388,31.0,1.0900474,57.0,0.42293233,-307.0,1.0205128,12.0,0.7905138,-53.0,0.9400856,-42.0,1.295858,200.0,0.73634654,-140.0,1.1092044,70.0,p15_r-15
1.0468521,32.0,1.0900474,57.0,0.42105263,-308.0,1.017094,10.0,0.7509881,-63.0,0.93723255,-44.0,1.295858,200.0,0.740113,-138.0,1.1092044,70.0,p15_r-15
1.0468521,32.0,1.0900474,57.0,0.42105263,-308.0,1.0153847,9.0,0.7509881,-63.0,0.93723255,-44.0,1.295858,200.0,0.7344633,-141.0,1.1092044,70.0,p15_r-15
1.0468521,32.0,1.0900474,57.0,0.42105263,-308.0,1.0153847,9.0,0.7509881,-63.0,0.93723255,-44.0,1.295858,200.0,0.73258007,-142.0,1.1092044,70.0,p15_r-15
1.0468521,32.0,1.0884676,56.0,0.42105263,-308.0,1.0153847,9.0,0.7509881,-63.0,0.93723255,-44.0,1.2884616,195.0,0.7288136,-144.0,1.1092044,70.0,p15_r-15
1.0468521,32.0,1.0884676,56.0,0.42105263,-308.0,1.0119659,7.0,0.7509881,-63.0,0.93723255,-44.0,1.2884616,195.0,0.7288136,-144.0,1.1092044,70.0,p15_r-15
1.0483162,33.0,1.0963665,61.0,0.42293233,-307.0,1.0222223,13.0,0.8458498,-39.0,0.95007133,-35.0,1.2825444,191.0,0.7419962,-137.0,1.1138846,73.0,p15_r-15
1.0497804,34.0,1.0963665,61.0,0.42293233,-307.0,1.0222223,13.0,0.8498024,-38.0,0.95435095,-32.0,1.2825444,191.0,0.7419962,-137.0,1.1154447,74.0,p15_r-15
1.0512445,35.0,1.0947868,60.0,0.42105263,-308.0,1.0273504,16.0,0.86166006,-35.0,0.95435095,-32.0,1.2825444,191.0,0.7344633,-141.0,1.1138846,73.0,p15_r-15
1.0483162,33.0,1.093207,59.0,0.41729322,-310.0,1.0273504,16.0,0.86166006,-35.0,0.95435095,-32.0,1.2766272,187.0,0.7344633,-141.0,1.1138846,73.0,p15_r-15
1.0483162,33.0,1.0916271,58.0,0.41541353,-311.0,1.0188035,11.0,0.86166006,-35.0,0.95007133,-35.0,1.2766272,187.0,0.7344633,-141.0,1.1138846,73.0,p15_r-15
1.0483162,33.0,1.0916271,58.0,0.41353384,-312.0,1.0188035,11.0,0.8458498,-39.0,0.9443652,-39.0,1.2766272,187.0,0.7344633,-141.0,1.1138846,73.0,p15_r-15
1.0527086,36.0,1.0947868,60.0,0.41729322,-310.0,1.0273504,16.0,0.8458498,-39.0,0.9529244,-33.0,1.2899408,196.0,0.740113,-138.0,1.1154447,74.0,p15_r-15
1.0527086,36.0,1.0963665,61.0,0.42105263,-308.0,1.0273504,16.0,0.85375494,-37.0,0.95435095,-32.0,1.2899408,196.0,0.7419962,-137.0,1.1154447,74.0,p15_r-15
1.0527086,36.0,1.1011058,64.0,0.41541353,-311.0,1.0393163,23.0,0.8063241,-49.0,0.95007133,-35.0,1.306213,207.0,0.75706214,-129.0,1.1185647,76.0,p15_r-15
1.0527086,36.0,1.1011058,64.0,0.41353384,-312.0,1.034188,20.0,0.798419,-51.0,0.9443652,-39.0,1.295858,200.0,0.7495292,-133.0,1.1154447,74.0,p15_r-15
1.0527086,36.0,1.099526,63.0,0.41353384,-312.0,1.034188,20.0,0.798419,-51.0,0.9443652,-39.0,1.2899408,196.0,0.747646,-134.0,1.1154447,74.0,p15_r-15
1.0527086,36.0,1.099526,63.0,0.41165414,-313.0,1.0324787,19.0,0.798419,-51.0,0.9429387,-40.0,1.2899408,196.0,0.7438795,-136.0,1.1138846,73.0,p15_r-15
1.0527086,36.0,1.099526,63.0,0.40789473,-315.0,1.0307692,18.0,0.798419,-51.0,0.9429387,-40.0,1.2899408,196.0,0.7438795,-136.0,1.1138846,73.0,p15_r-15
1.0556369,38.0,1.099526,63.0,0.41165414,-313.0,1.0307692,18.0,0.798419,-51.0,0.9429387,-40.0,1.295858,200.0,0.747646,-134.0,1.1138846,73.0,p15_r-15
1.057101,39.0,1.1011058,64.0,0.41165414,-313.0,1.0307692,18.0,0.798419,-51.0,0.9429387,-40.0,1.295858,200.0,0.7495292,-133.0,1.1154447,74.0,p15_r-15
1.057101,39.0,1.107425,68.0,0.41353384,-312.0,1.0307692,18.0,0.798419,-51.0,0.9429387,-40.0,1.306213,207.0,0.75706214,-129.0,1.1154447,74.0,p15_r-15
1.0585651,40.0,1.1090047,69.0,0.41541353,-311.0,1.0307692,18.0,0.798419,-51.0,0.9429387,-40.0,1.306213,207.0,0.7589454,-128.0,1.1185647,76.0,p15_r-15
1.0585651,40.0,1.107425,68.0,0.41541353,-311.0,1.0256411,15.0,0.798419,-51.0,0.9443652,-39.0,1.295858,200.0,0.75706214,-129.0,1.1154447,74.0,p15_r-15
1.0585651,40.0,1.099526,63.0,0.41541353,-311.0,1.0256411,15.0,0.798419,-51.0,0.9443652,-39.0,1.2899408,196.0,0.7551789,-130.0,1.1154447,74.0,p15_r-15
1.0585651,40.0,1.099526,63.0,0.41541353,-311.0,1.0256411,15.0,0.798419,-51.0,0.9443652,-39.0,1.2810651,190.0,0.7495292,-133.0,1.1154447,74.0,p15_r-15
