SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
1.018018,10.0,0.6238698,-208.0,1.0692042,40.0,0.73083776,-151.0,0.8378378,-114.0,0.75,-161.0,0.9788618,-13.0,0.78533095,-120.0,0.0,-538.0,p15_r0
1.018018,10.0,0.6238698,-208.0,1.0692042,40.0,0.73083776,-151.0,0.8378378,-114.0,0.7468944,-163.0,0.9772358,-14.0,0.78354204,-121.0,0.0,-538.0,p15_r0
1.018018,10.0,0.6256781,-207.0,1.0692042,40.0,0.73083776,-151.0,0.8378378,-114.0,0.75,-161.0,0.9788618,-13.0,0.78354204,-121.0,0.0,-538.0,p15_r0
1.0198199,11.0,0.6256781,-207.0,1.0692042,40.0,0.73083776,-151.0,0.8378378,-114.0,0.7515528,-160.0,0.9788618,-13.0,0.78354204,-121.0,0.0,-538.0,p15_r0
1.0144144,8.0,0.62929475,-205.0,1.048443,28.0,0.6987522,-169.0,0.81507826,-130.0,0.7158385,-183.0,0.9772358,-14.0,0.7728086,-127.0,0.0,-538.0,p15_r0
1.0144144,8.0,0.6347197,-202.0,1.048443,28.0,0.6987522,-169.0,0.81507826,-130.0,0.7204969,-180.0,0.9772358,-14.0,0.7728086,-127.0,0.0,-538.0,p15_r0
1.0108109,6.0,0.6256781,-207.0,1.048443,28.0,0.6934046,-172.0,0.81507826,-130.0,0.7158385,-183.0,0.97073174,-18.0,0.7710197,-128.0,0.0,-538.0,p15_r0
1.0108109,6.0,0.62748647,-206.0,1.048443,28.0,0.6934046,-172.0,0.81507826,-130.0,0.7158385,-183.0,0.97235775,-17.0,0.7710197,-128.0,0.0,-538.0,p15_r0
1.0108109,6.0,0.62748647,-206.0,1.048443,28.0,0.6934046,-172.0,0.81507826,-130.0,0.7158385,-183.0,0.97235775,-17.0,0.7710197,-128.0,0.0,-538.0,p15_r0
1.0108109,6.0,0.62929475,-205.0,1.048443,28.0,0.69518715,-171.0,0.81507826,-130.0,0.7158385,-183.0,0.97235775,-17.0,0.7728086,-127.0,0.0,-538.0,p15_r0
1.0108109,6.0,0.6329114,-203.0,1.048443,28.0,0.69518715,-171.0,0.81507826,-130.0,0.7158385,-183.0,0.9756098,-15.0,0.7728086,-127.0,0.0,-538.0,p15_r0
1.009009,5.0,0.6347197,-202.0,1.0432526,25.0,0.69518715,-171.0,0.81507826,-130.0,0.7049689,-190.0,0.9756098,-15.0,0.7728086,-127.0,0.0,-538.0,p15_r0
1.0072072,4.0,0.6347197,-202.0,1.0415225,24.0,0.6934046,-172.0,0.81507826,-130.0,0.7049689,-190.0,0.9756098,-15.0,0.7710197,-128.0,0.0,-538.0,p15_r0
1.0072072,4.0,0.6347197,-202.0,1.0415225,24.0,0.6898396,-174.0,0.8108108,-133.0,0.7049689,-190.0,0.9756098,-15.0,0.7710197,-128.0,0.0,-538.0,p15_r0
1.0072072,4.0,0.6347197,-202.0,1.0415225,24.0,0.68805707,-175.0,0.8108108,-133.0,0.69875777,-194.0,0.9756098,-15.0,0.7692308,-129.0,0.0,-538.0,p15_r0
1.0072072,4.0,0.6347197,-202.0,1.0415225,24.0,0.68805707,-175.0,0.8079659,-135.0,0.69875777,-194.0,0.97235775,-17.0,0.7692308,-129.0,0.0,-538.0,p15_r0
1.0072072,4.0,0.6347197,-202.0,1.0415225,24.0,0.68805707,-175.0,0.8079659,-135.0,0.69875777,-194.0,0.9756098,-15.0,0.7710197,-128.0,0.0,-538.0,p15_r0
1.0072072,4.0,0.6347197,-202.0,1.0415225,24.0,0.68805707,-175.0,0.8108108,-133.0,0.69875777,-194.0,0.9756098,-15.0,0.7710197,-128.0,0.0,-538.0,p15_r0
1.0072072,4.0,0.6347197,-202.0,1.0432526,25.0,0.68805707,-175.0,0.8108108,-133.0,0.69875777,-194.0,0.9756098,-15.0,0.7710197,-128.0,0.0,-538.0,p15_r0
1.0072072,4.0,0.6347197,-202.0,1.0449827,26.0,0.68805707,-175.0,0.8108108,-133.0,0.7049689,-190.0,0.9756098,-15.0,0.7710197,-128.0,0.0,-538.0,p15_r0
1.0036036,2.0,0.62929475,-205.0,1.0415225,24.0,0.6809269,-179.0,0.8065434,-136.0,0.69409937,-197.0,0.9691057,-19.0,0.76565295,-131.0,0.0,-538.0,p15_r0
1.0036036,2.0,0.6311031,-204.0,1.0415225,24.0,0.6809269,-179.0,0.8065434,-136.0,0.69409937,-197.0,0.9691057,-19.0,0.76744187,-130.0,0.0,-538.0,p15_r0
1.0036036,2.0,0.6329114,-203.0,1.0415225,24.0,0.6809269,-179.0,0.8065434,-136.0,0.69409937,-197.0,0.9691057,-19.0,0.76744187,-130.0,0.0,-538.0,p15_r0
0.9981982,-1.0,0.6329114,-203.0,1.0397924,23.0,0.6755793,-182.0,0.80227596,-139.0,0.6925466,-198.0,0.9691057,-19.0,0.76565295,-131.0,0.0,-538.0,p15_r0
1.0072072,4.0,0.62748647,-206.0,1.0380623,22.0,0.6809269,-179.0,0.79800856,-142.0,0.6785714,-207.0,0.9804878,-12.0,0.76565295,-131.0,0.0,-538.0,p15_r0
1.0072072,4.0,0.62748647,-206.0,1.0397924,23.0,0.6809269,-179.0,0.8008535,-140.0,0.6832298,-204.0,0.9804878,-12.0,0.76565295,-131.0,0.0,-538.0,p15_r0
1.0072072,4.0,0.62748647,-206.0,1.0397924,23.0,0.68270946,-178.0,0.8008535,-140.0,0.6832298,-204.0,0.9804878,-12.0,0.76744187,-130.0,0.0,-538.0,p15_r0
1.009009,5.0,0.62748647,-206.0,1.0397924,23.0,0.6862745,-176.0,0.80227596,-139.0,0.68944097,-200.0,0.9804878,-12.0,0.76744187,-130.0,0.0,-538.0,p15_r0
1.009009,5.0,0.6220615,-209.0,1.0397924,23.0,0.684492,-177.0,0.80227596,-139.0,0.6878882,-201.0,0.9772358,-14.0,0.76744187,-130.0,0.0,-538.0,p15_r0
1.009009,5.0,0.62025315,-210.0,1.0380623,22.0,0.684492,-177.0,0.80227596,-139.0,0.6832298,-204.0,0.9772358,-14.0,0.76744187,-130.0,0.0,-538.0,p15_r0
1.0108109,6.0,0.61844486,-211.0,1.0380623,22.0,0.684492,-177.0,0.799431,-141.0,0.67391306,-210.0,0.9788618,-13.0,0.76386404,-132.0,0.0,-538.0,p15_r0
1.0108109,6.0,0.61844486,-211.0,1.0380623,22.0,0.6809269,-179.0,0.799431,-141.0,0.67391306,-210.0,0.9772358,-14.0,0.76386404,-132.0,0.0,-538.0,p15_r0
1.0108109,6.0,0.61844486,-211.0,1.0397924,23.0,0.6809269,-179.0,0.8008535,-140.0,0.6754658,-209.0,0.9772358,-14.0,0.76386404,-132.0,0.0,-538.0,p15_r0
1.0144144,8.0,0.61844486,-211.0,1.0397924,23.0,0.6809269,-179.0,0.80227596,-139.0,0.6785714,-207.0,0.9772358,-14.0,0.76386404,-132.0,0.0,-538.0,p15_r0
