@relation F5merged

@attribute SG_E0 numeric
@attribute SG_D0 numeric
@attribute SG_E1 numeric
@attribute SG_D1 numeric
@attribute SG_E2 numeric
@attribute SG_D2 numeric
@attribute SG_E3 numeric
@attribute SG_D3 numeric
@attribute SG_E4 numeric
@attribute SG_D4 numeric
@attribute SG_E5 numeric
@attribute SG_D5 numeric
@attribute SG_E6 numeric
@attribute SG_D6 numeric
@attribute SG_E7 numeric
@attribute SG_D7 numeric
@attribute SG_E8 numeric
@attribute SG_D8 numeric
@attribute ID {p15_r-15,p15_r0,p15_r15,p15_r45,p15_r90,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p45_r90,p65_r0,p90_r0}

@data
0.001972,-506,0.88189,-75,0.522111,-335,0,-699,0.826733,-35,0.855093,-101,1.341317,171,0.572148,-255,0.419048,-366,p15_r-15
0.037475,-488,0.88189,-75,0.522111,-335,0,-699,0.826733,-35,0.855093,-101,1.339321,170,0.57047,-256,0.415873,-368,p15_r-15
0,-507,0.88189,-75,0.522111,-335,0,-699,0.826733,-35,0.855093,-101,1.339321,170,0.57047,-256,0.414286,-369,p15_r-15
0,-507,0.88189,-75,0.522111,-335,0,-699,0.826733,-35,0.855093,-101,1.339321,170,0.57047,-256,0.415873,-368,p15_r-15
0.063116,-475,0.885039,-73,0.523538,-334,0,-699,0.841584,-32,0.856528,-100,1.341317,171,0.572148,-255,0.419048,-366,p15_r-15
0.033531,-490,0.886614,-72,0.522111,-335,0,-699,0.836634,-33,0.855093,-101,1.333333,167,0.565436,-259,0.412698,-370,p15_r-15
0.057199,-478,0.886614,-72,0.522111,-335,0,-699,0.836634,-33,0.853659,-102,1.331337,166,0.560403,-262,0.412698,-370,p15_r-15
0,-507,0.886614,-72,0.522111,-335,0,-699,0.826733,-35,0.853659,-102,1.331337,166,0.560403,-262,0.406349,-374,p15_r-15
0,-507,0.885039,-73,0.519258,-337,0,-699,0.836634,-33,0.855093,-101,1.333333,167,0.565436,-259,0.412698,-370,p15_r-15
0,-507,0.885039,-73,0.519258,-337,0,-699,0.836634,-33,0.855093,-101,1.347305,174,0.567114,-258,0.412698,-370,p15_r-15
0,-507,0.88189,-75,0.513552,-341,0,-699,0.826733,-35,0.853659,-102,1.349301,175,0.57047,-256,0.406349,-374,p15_r-15
0,-507,0.877165,-78,0.513552,-341,0,-699,0.821782,-36,0.853659,-102,1.349301,175,0.57047,-256,0.404762,-375,p15_r-15
0,-507,0.877165,-78,0.513552,-341,0,-699,0.821782,-36,0.852224,-103,1.347305,174,0.567114,-258,0.404762,-375,p15_r-15
0.039448,-487,0.88189,-75,0.513552,-341,0,-699,0.821782,-36,0.853659,-102,1.347305,174,0.567114,-258,0.404762,-375,p15_r-15
0.055227,-479,0.883465,-74,0.513552,-341,0,-699,0.821782,-36,0.853659,-102,1.347305,174,0.567114,-258,0.404762,-375,p15_r-15
0.074951,-469,0.883465,-74,0.516405,-339,0,-699,0.826733,-35,0.853659,-102,1.347305,174,0.567114,-258,0.404762,-375,p15_r-15
0.061144,-476,0.885039,-73,0.517832,-338,0,-699,0.826733,-35,0.853659,-102,1.347305,174,0.567114,-258,0.404762,-375,p15_r-15
0.009862,-502,0.883465,-74,0.514979,-340,0,-699,0.787129,-43,0.84505,-108,1.323353,162,0.565436,-259,0.393651,-382,p15_r-15
0.009862,-502,0.883465,-74,0.514979,-340,0,-699,0.782178,-44,0.842181,-110,1.323353,162,0.560403,-262,0.393651,-382,p15_r-15
0.025641,-494,0.883465,-74,0.514979,-340,0,-699,0.787129,-43,0.84505,-108,1.325349,163,0.565436,-259,0.396825,-380,p15_r-15
0.033531,-490,0.883465,-74,0.519258,-337,0,-699,0.787129,-43,0.846485,-107,1.331337,166,0.565436,-259,0.398413,-379,p15_r-15
0.033531,-490,0.883465,-74,0.519258,-337,0,-699,0.79703,-41,0.846485,-107,1.331337,166,0.565436,-259,0.4,-378,p15_r-15
0.035503,-489,0.883465,-74,0.519258,-337,0,-699,0.79703,-41,0.849354,-105,1.331337,166,0.565436,-259,0.4,-378,p15_r-15
0.039448,-487,0.883465,-74,0.517832,-338,0,-699,0.767327,-47,0.846485,-107,1.325349,163,0.558725,-263,0.403175,-376,p15_r-15
0.039448,-487,0.883465,-74,0.517832,-338,0,-699,0.767327,-47,0.846485,-107,1.323353,162,0.557047,-264,0.403175,-376,p15_r-15
0.057199,-478,0.886614,-72,0.520685,-336,0,-699,0.767327,-47,0.846485,-107,1.323353,162,0.557047,-264,0.406349,-374,p15_r-15
0.069034,-472,0.888189,-71,0.522111,-335,0,-699,0.772277,-46,0.846485,-107,1.325349,163,0.558725,-263,0.407937,-373,p15_r-15
0.069034,-472,0.888189,-71,0.522111,-335,0,-699,0.777228,-45,0.846485,-107,1.327345,164,0.560403,-262,0.409524,-372,p15_r-15
0.069034,-472,0.888189,-71,0.522111,-335,0,-699,0.777228,-45,0.850789,-104,1.329341,165,0.562081,-261,0.411111,-371,p15_r-15
0.061144,-476,0.888189,-71,0.517832,-338,0,-699,0.782178,-44,0.850789,-104,1.331337,166,0.563758,-260,0.414286,-369,p15_r-15
0.057199,-478,0.885039,-73,0.517832,-338,0,-699,0.782178,-44,0.850789,-104,1.331337,166,0.563758,-260,0.414286,-369,p15_r-15
0.053254,-480,0.883465,-74,0.517832,-338,0,-699,0.782178,-44,0.850789,-104,1.331337,166,0.563758,-260,0.414286,-369,p15_r-15
0.051282,-481,0.883465,-74,0.516405,-339,0,-699,0.767327,-47,0.850789,-104,1.331337,166,0.563758,-260,0.414286,-369,p15_r-15
0.047337,-483,0.88189,-75,0.516405,-339,0,-699,0.762376,-48,0.84792,-106,1.331337,166,0.563758,-260,0.414286,-369,p15_r-15
0.051282,-481,0.883465,-74,0.516405,-339,0,-699,0.762376,-48,0.84792,-106,1.331337,166,0.565436,-259,0.414286,-369,p15_r-15
0.061144,-476,0.888189,-71,0.517832,-338,0,-699,0.767327,-47,0.850789,-104,1.331337,166,0.565436,-259,0.415873,-368,p15_r-15
0.065089,-474,0.891339,-69,0.517832,-338,0,-699,0.762376,-48,0.850789,-104,1.339321,170,0.565436,-259,0.415873,-368,p15_r-15
0.065089,-474,0.886614,-72,0.517832,-338,0,-699,0.762376,-48,0.846485,-107,1.333333,167,0.558725,-263,0.415873,-368,p15_r-15
0.065089,-474,0.886614,-72,0.517832,-338,0,-699,0.757426,-49,0.846485,-107,1.331337,166,0.558725,-263,0.411111,-371,p15_r-15
0.067061,-473,0.889764,-70,0.522111,-335,0,-699,0.762376,-48,0.846485,-107,1.331337,166,0.558725,-263,0.412698,-370,p15_r-15
0.067061,-473,0.889764,-70,0.522111,-335,0,-699,0.762376,-48,0.846485,-107,1.333333,167,0.563758,-260,0.415873,-368,p15_r-15
0.053254,-480,0.886614,-72,0.517832,-338,0,-699,0.772277,-46,0.849354,-105,1.345309,173,0.568792,-257,0.415873,-368,p15_r-15
0.053254,-480,0.886614,-72,0.517832,-338,0,-699,0.772277,-46,0.853659,-102,1.349301,175,0.575503,-253,0.419048,-366,p15_r-15
0.053254,-480,0.886614,-72,0.517832,-338,0,-699,0.777228,-45,0.853659,-102,1.353293,177,0.575503,-253,0.419048,-366,p15_r-15
0.04142,-486,0.886614,-72,0.517832,-338,0,-699,0.782178,-44,0.853659,-102,1.35529,178,0.577181,-252,0.415873,-368,p15_r-15
0.039448,-487,0.885039,-73,0.517832,-338,0,-699,0.782178,-44,0.853659,-102,1.35529,178,0.577181,-252,0.415873,-368,p15_r-15
0.033531,-490,0.88189,-75,0.517832,-338,0,-699,0.782178,-44,0.852224,-103,1.35529,178,0.577181,-252,0.415873,-368,p15_r-15
0.031558,-491,0.88189,-75,0.517832,-338,0,-699,0.782178,-44,0.852224,-103,1.35529,178,0.577181,-252,0.415873,-368,p15_r-15
0.029586,-492,0.880315,-76,0.517832,-338,0,-699,0.772277,-46,0.852224,-103,1.351297,176,0.575503,-253,0.415873,-368,p15_r-15
0.031558,-491,0.88189,-75,0.517832,-338,0,-699,0.782178,-44,0.852224,-103,1.351297,176,0.577181,-252,0.415873,-368,p15_r-15
0.95977,-28,0.480932,-245,0.749117,-142,0.114519,-433,1.401961,287,1.201201,134,1.341797,175,0.695652,-154,1.39243,197,p15_r-15
0.958333,-29,0.472458,-249,0.74735,-143,0.110429,-435,1.397759,284,1.1997,133,1.341797,175,0.695652,-154,1.388446,195,p15_r-15
0.956897,-30,0.463983,-253,0.74735,-143,0.108384,-436,1.397759,284,1.196697,131,1.339844,174,0.695652,-154,1.388446,195,p15_r-15
0.95546,-31,0.463983,-253,0.743816,-145,0.108384,-436,1.397759,284,1.196697,131,1.337891,173,0.6917,-156,1.388446,195,p15_r-15
0.95546,-31,0.463983,-253,0.74735,-143,0.110429,-435,1.401961,287,1.1997,133,1.337891,173,0.6917,-156,1.388446,195,p15_r-15
0.95546,-31,0.463983,-253,0.74735,-143,0.114519,-433,1.404762,289,1.1997,133,1.337891,173,0.6917,-156,1.388446,195,p15_r-15
0.95546,-31,0.463983,-253,0.74735,-143,0.114519,-433,1.413165,295,1.201201,134,1.337891,173,0.695652,-154,1.388446,195,p15_r-15
0.95546,-31,0.463983,-253,0.74735,-143,0.114519,-433,1.413165,295,1.201201,134,1.337891,173,0.695652,-154,1.388446,195,p15_r-15
0.956897,-30,0.449153,-260,0.74735,-143,0.114519,-433,1.418768,299,1.1997,133,1.335938,172,0.695652,-154,1.388446,195,p15_r-15
0.949713,-35,0.449153,-260,0.74735,-143,0.114519,-433,1.418768,299,1.196697,131,1.324219,166,0.6917,-156,1.388446,195,p15_r-15
0.949713,-35,0.447034,-261,0.74735,-143,0.110429,-435,1.418768,299,1.196697,131,1.324219,166,0.6917,-156,1.388446,195,p15_r-15
0.949713,-35,0.447034,-261,0.74735,-143,0.106339,-437,1.404762,289,1.196697,131,1.324219,166,0.6917,-156,1.388446,195,p15_r-15
0.949713,-35,0.447034,-261,0.74735,-143,0.104294,-438,1.401961,287,1.193694,129,1.324219,166,0.6917,-156,1.388446,195,p15_r-15
0.954023,-32,0.449153,-260,0.749117,-142,0.106339,-437,1.404762,289,1.196697,131,1.326172,167,0.693676,-155,1.390438,196,p15_r-15
0.956897,-30,0.449153,-260,0.749117,-142,0.110429,-435,1.418768,299,1.198198,132,1.328125,168,0.693676,-155,1.390438,196,p15_r-15
0.956897,-30,0.449153,-260,0.749117,-142,0.110429,-435,1.418768,299,1.198198,132,1.328125,168,0.695652,-154,1.390438,196,p15_r-15
0.956897,-30,0.45339,-258,0.75265,-140,0.112474,-434,1.418768,299,1.1997,133,1.328125,168,0.695652,-154,1.390438,196,p15_r-15
0.954023,-32,0.449153,-260,0.754417,-139,0.114519,-433,1.418768,299,1.201201,134,1.326172,167,0.6917,-156,1.390438,196,p15_r-15
0.954023,-32,0.447034,-261,0.754417,-139,0.110429,-435,1.418768,299,1.198198,132,1.326172,167,0.6917,-156,1.390438,196,p15_r-15
0.954023,-32,0.447034,-261,0.754417,-139,0.110429,-435,1.418768,299,1.198198,132,1.326172,167,0.687747,-158,1.390438,196,p15_r-15
0.954023,-32,0.447034,-261,0.754417,-139,0.110429,-435,1.418768,299,1.198198,132,1.326172,167,0.681818,-161,1.390438,196,p15_r-15
0.954023,-32,0.447034,-261,0.754417,-139,0.110429,-435,1.418768,299,1.198198,132,1.324219,166,0.679842,-162,1.386454,194,p15_r-15
0.954023,-32,0.449153,-260,0.757951,-137,0.110429,-435,1.418768,299,1.201201,134,1.324219,166,0.681818,-161,1.390438,196,p15_r-15
