@relation F5merged

@attribute SG_E0 numeric
@attribute SG_D0 numeric
@attribute SG_E1 numeric
@attribute SG_D1 numeric
@attribute SG_E2 numeric
@attribute SG_D2 numeric
@attribute SG_E3 numeric
@attribute SG_D3 numeric
@attribute SG_E4 numeric
@attribute SG_D4 numeric
@attribute SG_E5 numeric
@attribute SG_D5 numeric
@attribute SG_E6 numeric
@attribute SG_D6 numeric
@attribute SG_E7 numeric
@attribute SG_D7 numeric
@attribute SG_E8 numeric
@attribute SG_D8 numeric
@attribute ID {p15_r-15,p15_r0,p15_r15,p15_r45,p15_r90,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0,p90_r0}

@data
0.763006,-164,0.881443,-69,0.986667,-7,0.714286,-188,0.697348,-194,0.440767,-321,0.733558,-158,0.03351,-548,0.755906,-155,p15_r-15
0.763006,-164,0.881443,-69,0.986667,-7,0.714286,-188,0.697348,-194,0.440767,-321,0.733558,-158,0.038801,-545,0.755906,-155,p15_r-15
0.74133,-179,0.864261,-79,0.96381,-19,0.705167,-194,0.687988,-200,0.432056,-326,0.736931,-156,0.038801,-545,0.752756,-157,p15_r-15
0.74133,-179,0.864261,-79,0.96381,-19,0.705167,-194,0.687988,-200,0.432056,-326,0.736931,-156,0.03351,-548,0.752756,-157,p15_r-15
0.74133,-179,0.864261,-79,0.96381,-19,0.705167,-194,0.687988,-200,0.432056,-326,0.736931,-156,0.031746,-549,0.752756,-157,p15_r-15
0.74133,-179,0.872852,-74,0.971429,-15,0.706687,-193,0.687988,-200,0.432056,-326,0.738617,-155,0.031746,-549,0.752756,-157,p15_r-15
0.75289,-171,0.872852,-74,0.971429,-15,0.711246,-190,0.691108,-198,0.433798,-325,0.738617,-155,0.031746,-549,0.754331,-156,p15_r-15
0.683526,-219,0.871134,-75,0.935238,-34,0.708207,-192,0.694228,-196,0.397213,-346,0.730186,-160,0,-567,0.748032,-160,p15_r-15
0.687861,-216,0.871134,-75,0.939048,-32,0.709726,-191,0.694228,-196,0.402439,-343,0.731872,-159,0,-567,0.748032,-160,p15_r-15
0.708093,-202,0.879725,-70,0.950476,-26,0.708207,-192,0.700468,-192,0.416376,-335,0.748735,-149,0,-567,0.752756,-157,p15_r-15
0.709538,-201,0.879725,-70,0.950476,-26,0.703647,-195,0.698908,-193,0.416376,-335,0.743676,-152,0,-567,0.755906,-155,p15_r-15
0.706647,-203,0.876289,-72,0.950476,-26,0.700608,-197,0.698908,-193,0.414634,-336,0.743676,-152,0,-567,0.751181,-158,p15_r-15
0.702312,-206,0.886598,-66,0.95619,-23,0.703647,-195,0.706708,-188,0.428571,-328,0.755481,-145,0,-567,0.754331,-156,p15_r-15
0.705202,-204,0.888316,-65,0.958095,-22,0.703647,-195,0.709828,-186,0.428571,-328,0.755481,-145,0,-567,0.755906,-155,p15_r-15
0.700867,-207,0.888316,-65,0.952381,-25,0.703647,-195,0.709828,-186,0.428571,-328,0.755481,-145,0,-567,0.751181,-158,p15_r-15
0.700867,-207,0.883162,-68,0.950476,-26,0.703647,-195,0.709828,-186,0.426829,-329,0.755481,-145,0,-567,0.751181,-158,p15_r-15
0.699422,-208,0.883162,-68,0.946667,-28,0.703647,-195,0.709828,-186,0.426829,-329,0.755481,-145,0,-567,0.751181,-158,p15_r-15
0.697977,-209,0.883162,-68,0.946667,-28,0.703647,-195,0.708268,-187,0.423345,-331,0.755481,-145,0,-567,0.751181,-158,p15_r-15
0.697977,-209,0.898625,-59,0.942857,-30,0.703647,-195,0.709828,-186,0.426829,-329,0.763912,-140,0,-567,0.755906,-155,p15_r-15
0.697977,-209,0.895189,-61,0.940952,-31,0.697568,-199,0.705148,-189,0.423345,-331,0.763912,-140,0,-567,0.751181,-158,p15_r-15
0.693642,-212,0.895189,-61,0.933333,-35,0.697568,-199,0.700468,-192,0.419861,-333,0.758853,-143,0,-567,0.751181,-158,p15_r-15
0.686416,-217,0.895189,-61,0.931429,-36,0.696049,-200,0.698908,-193,0.414634,-336,0.757167,-144,0,-567,0.751181,-158,p15_r-15
0.663295,-233,0.900344,-58,0.927619,-38,0.697568,-199,0.705148,-189,0.414634,-336,0.758853,-143,0,-567,0.754331,-156,p15_r-15
0.663295,-233,0.900344,-58,0.925714,-39,0.697568,-199,0.705148,-189,0.412892,-337,0.758853,-143,0,-567,0.754331,-156,p15_r-15
0.660405,-235,0.900344,-58,0.921905,-41,0.696049,-200,0.703588,-190,0.412892,-337,0.757167,-144,0,-567,0.752756,-157,p15_r-15
0.669075,-229,0.902062,-57,0.927619,-38,0.702128,-196,0.703588,-190,0.409408,-339,0.757167,-144,0,-567,0.754331,-156,p15_r-15
0.669075,-229,0.915808,-49,0.927619,-38,0.703647,-195,0.705148,-189,0.412892,-337,0.758853,-143,0,-567,0.755906,-155,p15_r-15
0.669075,-229,0.915808,-49,0.927619,-38,0.705167,-194,0.705148,-189,0.412892,-337,0.76054,-142,0,-567,0.755906,-155,p15_r-15
0.660405,-235,0.912371,-51,0.925714,-39,0.705167,-194,0.706708,-188,0.407666,-340,0.758853,-143,0,-567,0.752756,-157,p15_r-15
0.660405,-235,0.912371,-51,0.92381,-40,0.703647,-195,0.706708,-188,0.405923,-341,0.758853,-143,0,-567,0.752756,-157,p15_r-15
0.660405,-235,0.912371,-51,0.92381,-40,0.700608,-197,0.703588,-190,0.404181,-342,0.758853,-143,0,-567,0.752756,-157,p15_r-15
0.660405,-235,0.912371,-51,0.921905,-41,0.700608,-197,0.703588,-190,0.404181,-342,0.758853,-143,0,-567,0.752756,-157,p15_r-15
0.660405,-235,0.912371,-51,0.921905,-41,0.699088,-198,0.703588,-190,0.404181,-342,0.757167,-144,0,-567,0.752756,-157,p15_r-15
0.660405,-235,0.912371,-51,0.921905,-41,0.699088,-198,0.705148,-189,0.405923,-341,0.757167,-144,0,-567,0.752756,-157,p15_r-15
0.660405,-235,0.912371,-51,0.921905,-41,0.700608,-197,0.705148,-189,0.405923,-341,0.758853,-143,0,-567,0.754331,-156,p15_r-15
0.660405,-235,0.905498,-55,0.916191,-44,0.696049,-200,0.703588,-190,0.402439,-343,0.758853,-143,0,-567,0.755906,-155,p15_r-15
0.653179,-240,0.902062,-57,0.916191,-44,0.696049,-200,0.703588,-190,0.400697,-344,0.758853,-143,0,-567,0.755906,-155,p15_r-15
0.651734,-241,0.902062,-57,0.916191,-44,0.696049,-200,0.700468,-192,0.400697,-344,0.755481,-145,0,-567,0.755906,-155,p15_r-15
0.651734,-241,0.902062,-57,0.914286,-45,0.696049,-200,0.700468,-192,0.39547,-347,0.755481,-145,0,-567,0.752756,-157,p15_r-15
0.645954,-245,0.893471,-62,0.902857,-51,0.68693,-206,0.689548,-199,0.37108,-361,0.757167,-144,0,-567,0.744882,-162,p15_r-15
0.643064,-247,0.893471,-62,0.899048,-53,0.68693,-206,0.689548,-199,0.37108,-361,0.757167,-144,0,-567,0.744882,-162,p15_r-15
0.643064,-247,0.893471,-62,0.899048,-53,0.68693,-206,0.684867,-202,0.37108,-361,0.757167,-144,0,-567,0.744882,-162,p15_r-15
0.643064,-247,0.893471,-62,0.899048,-53,0.68693,-206,0.680187,-205,0.369338,-362,0.757167,-144,0,-567,0.744882,-162,p15_r-15
0.645954,-245,0.896907,-60,0.899048,-53,0.68693,-206,0.684867,-202,0.369338,-362,0.757167,-144,0,-567,0.744882,-162,p15_r-15
0.645954,-245,0.896907,-60,0.899048,-53,0.68845,-205,0.687988,-200,0.37108,-361,0.757167,-144,0,-567,0.744882,-162,p15_r-15
0.645954,-245,0.902062,-57,0.891429,-57,0.68693,-206,0.680187,-205,0.364112,-365,0.757167,-144,0,-567,0.741732,-164,p15_r-15
0.643064,-247,0.898625,-59,0.889524,-58,0.68541,-207,0.680187,-205,0.364112,-365,0.757167,-144,0,-567,0.738583,-166,p15_r-15
0.641619,-248,0.898625,-59,0.887619,-59,0.68541,-207,0.678627,-206,0.364112,-365,0.757167,-144,0,-567,0.738583,-166,p15_r-15
0.641619,-248,0.898625,-59,0.887619,-59,0.68541,-207,0.678627,-206,0.364112,-365,0.758853,-143,0,-567,0.738583,-166,p15_r-15
0.617052,-265,0.88488,-67,0.855238,-76,0.680851,-210,0.672387,-210,0.351916,-372,0.753794,-146,0,-567,0.729134,-172,p15_r-15
1.268362,190,0.86733,-80,1.096055,56,0.911071,-49,0.708333,-182,0.544429,-323,0.955157,-30,0.68006,-215,0.634615,-209,p15_r-15
1.266949,189,0.86733,-80,1.092624,54,0.907441,-51,0.708333,-182,0.544429,-323,0.955157,-30,0.678571,-216,0.634615,-209,p15_r-15
1.266949,189,0.86733,-80,1.089194,52,0.907441,-51,0.708333,-182,0.544429,-323,0.955157,-30,0.675595,-218,0.634615,-209,p15_r-15
