SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
1.3761468,205.0,0.81959563,-116.0,0.9435626,-32.0,1.633871,393.0,0.8867925,-78.0,0.91463417,-56.0,1.1428572,83.0,1.0645162,38.0,0.7587302,-152.0,p45_r-15
1.387156,211.0,0.81959563,-116.0,0.94708997,-30.0,1.633871,393.0,0.8867925,-78.0,0.91615856,-55.0,1.1445783,84.0,1.0645162,38.0,0.7587302,-152.0,p45_r-15
1.4311926,235.0,0.82270604,-114.0,0.9488536,-29.0,1.633871,393.0,0.8867925,-78.0,0.91615856,-55.0,1.1462995,85.0,1.0696095,41.0,0.7587302,-152.0,p45_r-15
1.4385321,239.0,0.8289269,-110.0,0.9488536,-29.0,1.633871,393.0,0.8867925,-78.0,0.91615856,-55.0,1.1462995,85.0,1.0713073,42.0,0.7587302,-152.0,p45_r-15
1.4036697,220.0,0.85381025,-94.0,0.9400353,-34.0,1.633871,393.0,0.8679245,-91.0,0.89481705,-69.0,1.1549053,90.0,1.0797963,47.0,0.74761903,-159.0,p45_r-15
1.4036697,220.0,0.85381025,-94.0,0.9400353,-34.0,1.633871,393.0,0.8679245,-91.0,0.8917683,-71.0,1.1549053,90.0,1.0797963,47.0,0.74761903,-159.0,p45_r-15
1.5284404,288.0,0.88180405,-76.0,0.95238096,-27.0,1.633871,393.0,0.86647314,-92.0,0.86890244,-86.0,1.1841652,107.0,1.0967742,57.0,0.731746,-169.0,p45_r-15
1.533945,291.0,0.8911353,-70.0,0.9559083,-25.0,1.633871,393.0,0.8679245,-91.0,0.86890244,-86.0,1.1841652,107.0,1.1001698,59.0,0.731746,-169.0,p45_r-15
1.5394496,294.0,0.89580095,-67.0,0.9559083,-25.0,1.633871,393.0,0.8693759,-90.0,0.86890244,-86.0,1.1910499,111.0,1.1001698,59.0,0.731746,-169.0,p45_r-15
1.5541284,302.0,0.90202177,-63.0,0.9559083,-25.0,1.633871,393.0,0.8693759,-90.0,0.87042683,-85.0,1.1944922,113.0,1.1018676,60.0,0.731746,-169.0,p45_r-15
1.6183486,337.0,0.91135305,-57.0,0.9559083,-25.0,1.633871,393.0,0.8679245,-91.0,0.86737806,-87.0,1.1996558,116.0,1.1103566,65.0,0.715873,-179.0,p45_r-15
1.6238532,340.0,0.91135305,-57.0,0.95767194,-24.0,1.633871,393.0,0.8679245,-91.0,0.86737806,-87.0,1.1996558,116.0,1.1120543,66.0,0.715873,-179.0,p45_r-15
1.6256881,341.0,0.90979785,-58.0,0.95238096,-27.0,1.633871,393.0,0.87518144,-86.0,0.8643293,-89.0,1.2065405,120.0,1.1120543,66.0,0.7222222,-175.0,p45_r-15
