taskNumber,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
0,100.35,7.17,-248.83,302.7,767.0,1.2698675,163.0,304.0,0.62422997,-183.0,569.0,1.0735849,39.0,489.0,0.8489583,-87.0,560.0,0.85106385,-98.0,170.0,0.38724375,-269.0,674.0,1.012012,8.0,579.0,1.0069566,4.0,279.0,0.56938773,-211.0
0,100.35,7.17,-248.83,302.7,767.0,1.2698675,163.0,304.0,0.62422997,-183.0,569.0,1.0735849,39.0,489.0,0.8489583,-87.0,560.0,0.85106385,-98.0,170.0,0.38724375,-269.0,674.0,1.012012,8.0,579.0,1.0069566,4.0,279.0,0.56938773,-211.0
0,96.26,3.07,-249.86,306.8,753.0,1.2466887,149.0,279.0,0.5728953,-208.0,561.0,1.0584905,31.0,480.0,0.8333333,-96.0,551.0,0.837386,-107.0,164.0,0.3735763,-275.0,675.0,1.0135136,9.0,580.0,1.0086956,5.0,272.0,0.55510205,-218.0
0,96.26,3.07,-249.86,306.8,753.0,1.2466887,149.0,279.0,0.5728953,-208.0,560.0,1.0566038,30.0,480.0,0.8333333,-96.0,550.0,0.8358663,-108.0,163.0,0.3712984,-276.0,675.0,1.0135136,9.0,580.0,1.0086956,5.0,272.0,0.55510205,-218.0
0,96.26,1.02,-249.86,306.8,753.0,1.2466887,149.0,285.0,0.5852156,-202.0,539.0,1.0169811,9.0,491.0,0.8524306,-85.0,553.0,0.84042555,-105.0,154.0,0.35079727,-285.0,678.0,1.018018,12.0,591.0,1.0278261,16.0,270.0,0.5510204,-220.0
0,96.26,1.02,-249.86,306.8,764.0,1.2649007,160.0,286.0,0.587269,-201.0,539.0,1.0169811,9.0,491.0,0.8524306,-85.0,554.0,0.8419453,-104.0,155.0,0.35307518,-284.0,682.0,1.024024,16.0,591.0,1.0278261,16.0,271.0,0.55306125,-219.0
0,96.26,4.1,-251.9,304.2,764.0,1.2649007,160.0,289.0,0.59342915,-198.0,539.0,1.0169811,9.0,496.0,0.8611111,-80.0,555.0,0.84346503,-103.0,155.0,0.35307518,-284.0,682.0,1.024024,16.0,591.0,1.0278261,16.0,271.0,0.55306125,-219.0
0,96.26,4.1,-251.9,304.2,764.0,1.2649007,160.0,289.0,0.59342915,-198.0,539.0,1.0169811,9.0,496.0,0.8611111,-80.0,555.0,0.84346503,-103.0,155.0,0.35307518,-284.0,682.0,1.024024,16.0,591.0,1.0278261,16.0,273.0,0.55714285,-217.0
0,95.23,2.05,-252.93,308.1,738.0,1.2218543,134.0,281.0,0.57700205,-206.0,522.0,0.98490566,-8.0,490.0,0.8506944,-86.0,550.0,0.8358663,-108.0,155.0,0.35307518,-284.0,676.0,1.015015,10.0,592.0,1.0295652,17.0,273.0,0.55714285,-217.0
0,95.23,2.05,-252.93,308.1,738.0,1.2218543,134.0,281.0,0.57700205,-206.0,522.0,0.98490566,-8.0,490.0,0.8506944,-86.0,550.0,0.8358663,-108.0,155.0,0.35307518,-284.0,676.0,1.015015,10.0,594.0,1.0330435,19.0,273.0,0.55714285,-217.0
0,95.23,4.1,-253.95,310.9,727.0,1.2036424,123.0,274.0,0.5626283,-213.0,522.0,0.98490566,-8.0,483.0,0.8385417,-93.0,550.0,0.8358663,-108.0,156.0,0.3553531,-283.0,676.0,1.015015,10.0,596.0,1.0365218,21.0,273.0,0.55714285,-217.0
0,95.23,4.1,-253.95,310.9,727.0,1.2036424,123.0,273.0,0.56057495,-214.0,522.0,0.98490566,-8.0,483.0,0.8385417,-93.0,548.0,0.83282673,-110.0,156.0,0.3553531,-283.0,676.0,1.015015,10.0,596.0,1.0365218,21.0,273.0,0.55714285,-217.0
0,95.23,4.1,-253.95,310.9,727.0,1.2036424,123.0,273.0,0.56057495,-214.0,522.0,0.98490566,-8.0,483.0,0.8385417,-93.0,548.0,0.83282673,-110.0,155.0,0.35307518,-284.0,676.0,1.015015,10.0,596.0,1.0365218,21.0,273.0,0.55714285,-217.0
0,95.23,5.12,-251.9,309.5,727.0,1.2036424,123.0,273.0,0.56057495,-214.0,522.0,0.98490566,-8.0,482.0,0.8368056,-94.0,547.0,0.831307,-111.0,155.0,0.35307518,-284.0,674.0,1.012012,8.0,592.0,1.0295652,17.0,273.0,0.55714285,-217.0
0,95.23,5.12,-251.9,309.5,727.0,1.2036424,123.0,273.0,0.56057495,-214.0,522.0,0.98490566,-8.0,482.0,0.8368056,-94.0,548.0,0.83282673,-110.0,155.0,0.35307518,-284.0,674.0,1.012012,8.0,592.0,1.0295652,17.0,274.0,0.55918366,-216.0
0,95.23,5.12,-251.9,309.5,727.0,1.2036424,123.0,274.0,0.5626283,-213.0,522.0,0.98490566,-8.0,483.0,0.8385417,-93.0,549.0,0.83434653,-109.0,156.0,0.3553531,-283.0,674.0,1.012012,8.0,592.0,1.0295652,17.0,275.0,0.56122446,-215.0
0,94.21,5.12,-252.93,303.6,727.0,1.2036424,123.0,274.0,0.5626283,-213.0,522.0,0.98490566,-8.0,483.0,0.8385417,-93.0,550.0,0.8358663,-108.0,156.0,0.3553531,-283.0,675.0,1.0135136,9.0,595.0,1.0347826,20.0,275.0,0.56122446,-215.0
0,94.21,5.12,-252.93,303.6,731.0,1.2102649,127.0,274.0,0.5626283,-213.0,522.0,0.98490566,-8.0,483.0,0.8385417,-93.0,550.0,0.8358663,-108.0,156.0,0.3553531,-283.0,675.0,1.0135136,9.0,595.0,1.0347826,20.0,275.0,0.56122446,-215.0
0,95.23,4.1,-252.93,302.4,687.0,1.1374172,83.0,273.0,0.56057495,-214.0,507.0,0.95660377,-23.0,480.0,0.8333333,-96.0,545.0,0.82826746,-113.0,158.0,0.35990888,-281.0,671.0,1.0075076,5.0,588.0,1.0226086,13.0,279.0,0.56938773,-211.0
0,95.23,4.1,-252.93,302.4,687.0,1.1374172,83.0,273.0,0.56057495,-214.0,507.0,0.95660377,-23.0,480.0,0.8333333,-96.0,545.0,0.82826746,-113.0,157.0,0.35763097,-282.0,671.0,1.0075076,5.0,588.0,1.0226086,13.0,277.0,0.5653061,-213.0
0,95.23,6.14,-250.88,309.6,672.0,1.1125828,68.0,272.0,0.55852157,-215.0,504.0,0.9509434,-26.0,479.0,0.8315972,-97.0,545.0,0.82826746,-113.0,157.0,0.35763097,-282.0,671.0,1.0075076,5.0,584.0,1.0156522,9.0,277.0,0.5653061,-213.0
0,95.23,6.14,-250.88,309.6,667.0,1.1043047,63.0,272.0,0.55852157,-215.0,503.0,0.9490566,-27.0,479.0,0.8315972,-97.0,544.0,0.8267477,-114.0,157.0,0.35763097,-282.0,671.0,1.0075076,5.0,584.0,1.0156522,9.0,277.0,0.5653061,-213.0
0,95.23,6.14,-250.88,309.6,667.0,1.1043047,63.0,271.0,0.5564682,-216.0,501.0,0.945283,-29.0,479.0,0.8315972,-97.0,544.0,0.8267477,-114.0,157.0,0.35763097,-282.0,671.0,1.0075076,5.0,584.0,1.0156522,9.0,277.0,0.5653061,-213.0
0,93.18,5.12,-252.93,307.3,667.0,1.1043047,63.0,272.0,0.55852157,-215.0,501.0,0.945283,-29.0,479.0,0.8315972,-97.0,544.0,0.8267477,-114.0,157.0,0.35763097,-282.0,671.0,1.0075076,5.0,585.0,1.0173913,10.0,279.0,0.56938773,-211.0
0,94.21,5.12,-254.98,303.0,670.0,1.1092715,66.0,272.0,0.55852157,-215.0,501.0,0.945283,-29.0,480.0,0.8333333,-96.0,544.0,0.8267477,-114.0,158.0,0.35990888,-281.0,672.0,1.009009,6.0,588.0,1.0226086,13.0,280.0,0.5714286,-210.0
0,94.21,5.12,-254.98,303.0,670.0,1.1092715,66.0,272.0,0.55852157,-215.0,501.0,0.945283,-29.0,480.0,0.8333333,-96.0,544.0,0.8267477,-114.0,159.0,0.3621868,-280.0,673.0,1.0105106,7.0,588.0,1.0226086,13.0,280.0,0.5714286,-210.0
0,95.23,3.07,-253.95,310.1,696.0,1.1523179,92.0,270.0,0.5544148,-217.0,494.0,0.9320755,-36.0,480.0,0.8333333,-96.0,539.0,0.81914896,-119.0,156.0,0.3553531,-283.0,673.0,1.0105106,7.0,603.0,1.0486957,28.0,271.0,0.55306125,-219.0
0,95.23,3.07,-253.95,310.1,696.0,1.1523179,92.0,268.0,0.550308,-219.0,494.0,0.9320755,-36.0,479.0,0.8315972,-97.0,537.0,0.8161094,-121.0,156.0,0.3553531,-283.0,672.0,1.009009,6.0,598.0,1.04,23.0,270.0,0.5510204,-220.0
0,97.28,3.07,-250.88,307.9,692.0,1.1456953,88.0,271.0,0.5564682,-216.0,484.0,0.91320753,-46.0,481.0,0.8350694,-95.0,536.0,0.8145897,-122.0,150.0,0.34168565,-289.0,672.0,1.009009,6.0,602.0,1.0469565,27.0,268.0,0.5469388,-222.0
0,97.28,3.07,-250.88,307.9,692.0,1.1456953,88.0,271.0,0.5564682,-216.0,484.0,0.91320753,-46.0,481.0,0.8350694,-95.0,537.0,0.8161094,-121.0,151.0,0.34396356,-288.0,672.0,1.009009,6.0,602.0,1.0469565,27.0,268.0,0.5469388,-222.0
0,97.28,3.07,-250.88,307.9,692.0,1.1456953,88.0,274.0,0.5626283,-213.0,484.0,0.91320753,-46.0,481.0,0.8350694,-95.0,537.0,0.8161094,-121.0,151.0,0.34396356,-288.0,672.0,1.009009,6.0,602.0,1.0469565,27.0,269.0,0.5489796,-221.0
0,95.23,2.05,-250.88,307.2,695.0,1.1506623,91.0,272.0,0.55852157,-215.0,479.0,0.9037736,-51.0,483.0,0.8385417,-93.0,537.0,0.8161094,-121.0,150.0,0.34168565,-289.0,673.0,1.0105106,7.0,603.0,1.0486957,28.0,268.0,0.5469388,-222.0
0,96.26,4.1,-251.9,302.9,687.0,1.1374172,83.0,272.0,0.55852157,-215.0,478.0,0.9018868,-52.0,483.0,0.8385417,-93.0,537.0,0.8161094,-121.0,149.0,0.33940774,-290.0,672.0,1.009009,6.0,601.0,1.0452174,26.0,268.0,0.5469388,-222.0
0,96.26,4.1,-251.9,302.9,687.0,1.1374172,83.0,272.0,0.55852157,-215.0,472.0,0.89056605,-58.0,481.0,0.8350694,-95.0,536.0,0.8145897,-122.0,149.0,0.33940774,-290.0,672.0,1.009009,6.0,600.0,1.0434783,25.0,268.0,0.5469388,-222.0
0,91.14,2.05,-256.0,301.4,683.0,1.1307946,79.0,276.0,0.5667351,-211.0,432.0,0.81509435,-98.0,483.0,0.8385417,-93.0,531.0,0.80699086,-127.0,146.0,0.33257404,-293.0,671.0,1.0075076,5.0,600.0,1.0434783,25.0,268.0,0.5469388,-222.0
0,91.14,2.05,-256.0,301.4,683.0,1.1307946,79.0,274.0,0.5626283,-213.0,432.0,0.81509435,-98.0,483.0,0.8385417,-93.0,529.0,0.8039514,-129.0,143.0,0.3257403,-296.0,671.0,1.0075076,5.0,600.0,1.0434783,25.0,268.0,0.5469388,-222.0
0,93.18,1.02,-250.88,303.2,685.0,1.1341059,81.0,276.0,0.5667351,-211.0,432.0,0.81509435,-98.0,484.0,0.8402778,-92.0,531.0,0.80699086,-127.0,143.0,0.3257403,-296.0,673.0,1.0105106,7.0,602.0,1.0469565,27.0,271.0,0.55306125,-219.0
0,93.18,1.02,-250.88,303.2,685.0,1.1341059,81.0,277.0,0.5687885,-210.0,432.0,0.81509435,-98.0,484.0,0.8402778,-92.0,531.0,0.80699086,-127.0,145.0,0.33029613,-294.0,673.0,1.0105106,7.0,602.0,1.0469565,27.0,271.0,0.55306125,-219.0
0,94.21,3.07,-252.93,305.2,677.0,1.1208609,73.0,280.0,0.57494867,-207.0,417.0,0.78679246,-113.0,484.0,0.8402778,-92.0,528.0,0.8024316,-130.0,143.0,0.3257403,-296.0,672.0,1.009009,6.0,599.0,1.0417391,24.0,272.0,0.55510205,-218.0
0,94.21,3.07,-252.93,305.2,677.0,1.1208609,73.0,280.0,0.57494867,-207.0,416.0,0.7849057,-114.0,484.0,0.8402778,-92.0,527.0,0.80091184,-131.0,141.0,0.32118452,-298.0,672.0,1.009009,6.0,599.0,1.0417391,24.0,271.0,0.55306125,-219.0
0,92.16,2.05,-254.98,307.6,713.0,1.1804636,109.0,280.0,0.57494867,-207.0,408.0,0.76981133,-122.0,495.0,0.859375,-81.0,526.0,0.7993921,-132.0,130.0,0.29612756,-309.0,681.0,1.0225226,15.0,606.0,1.053913,31.0,267.0,0.544898,-223.0
0,92.16,2.05,-254.98,307.6,712.0,1.178808,108.0,280.0,0.57494867,-207.0,408.0,0.76981133,-122.0,495.0,0.859375,-81.0,525.0,0.79787236,-133.0,130.0,0.29612756,-309.0,681.0,1.0225226,15.0,605.0,1.052174,30.0,267.0,0.544898,-223.0
0,93.18,5.12,-251.9,310.9,713.0,1.1804636,109.0,281.0,0.57700205,-206.0,408.0,0.76981133,-122.0,495.0,0.859375,-81.0,526.0,0.7993921,-132.0,130.0,0.29612756,-309.0,681.0,1.0225226,15.0,605.0,1.052174,30.0,268.0,0.5469388,-222.0
0,93.18,5.12,-251.9,310.9,713.0,1.1804636,109.0,283.0,0.5811088,-204.0,408.0,0.76981133,-122.0,495.0,0.859375,-81.0,527.0,0.80091184,-131.0,130.0,0.29612756,-309.0,681.0,1.0225226,15.0,605.0,1.052174,30.0,269.0,0.5489796,-221.0
0,93.18,5.12,-251.9,310.9,713.0,1.1804636,109.0,284.0,0.5831622,-203.0,408.0,0.76981133,-122.0,495.0,0.859375,-81.0,527.0,0.80091184,-131.0,131.0,0.29840547,-308.0,681.0,1.0225226,15.0,605.0,1.052174,30.0,269.0,0.5489796,-221.0
0,93.18,1.02,-251.9,309.1,713.0,1.1804636,109.0,284.0,0.5831622,-203.0,415.0,0.7830189,-115.0,496.0,0.8611111,-80.0,527.0,0.80091184,-131.0,131.0,0.29840547,-308.0,681.0,1.0225226,15.0,605.0,1.052174,30.0,269.0,0.5489796,-221.0
0,93.18,1.02,-251.9,309.1,715.0,1.1837748,111.0,285.0,0.5852156,-202.0,409.0,0.7716981,-121.0,499.0,0.8663194,-77.0,527.0,0.80091184,-131.0,131.0,0.29840547,-308.0,681.0,1.0225226,15.0,604.0,1.0504348,29.0,270.0,0.5510204,-220.0
