taskNumber,yaxis,xaxis,zaxis,force,SG0,SG_E0,SG_D0,SG1,SG_E1,SG_D1,SG2,SG_E2,SG_D2,SG3,SG_E3,SG_D3,SG4,SG_E4,SG_D4,SG5,SG_E5,SG_D5,SG6,SG_E6,SG_D6,SG7,SG_E7,SG_D7,SG8,SG_E8,SG_D8
0,-8.19,262.14,0.0,303.6,372.0,0.5839874,-265.0,374.0,0.60912055,-240.0,174.0,0.3493976,-324.0,412.0,0.6348228,-237.0,123.0,0.32453826,-256.0,322.0,0.5,-322.0,848.0,1.2867981,189.0,419.0,0.76599634,-128.0,597.0,0.9072948,-61.0
0,-8.19,262.14,0.0,303.6,372.0,0.5839874,-265.0,373.0,0.60749185,-241.0,172.0,0.34538153,-326.0,411.0,0.63328195,-238.0,123.0,0.32453826,-256.0,322.0,0.5,-322.0,848.0,1.2867981,189.0,419.0,0.76599634,-128.0,597.0,0.9072948,-61.0
0,-8.19,263.17,0.0,303.6,372.0,0.5839874,-265.0,374.0,0.60912055,-240.0,174.0,0.3493976,-324.0,411.0,0.63328195,-238.0,123.0,0.32453826,-256.0,322.0,0.5,-322.0,852.0,1.292868,193.0,419.0,0.76599634,-128.0,599.0,0.91033435,-59.0
0,-8.19,263.17,0.0,303.6,372.0,0.5839874,-265.0,374.0,0.60912055,-240.0,174.0,0.3493976,-324.0,411.0,0.63328195,-238.0,123.0,0.32453826,-256.0,322.0,0.5,-322.0,853.0,1.2943854,194.0,419.0,0.76599634,-128.0,599.0,0.91033435,-59.0
0,-8.19,263.17,0.0,302.5,372.0,0.5839874,-265.0,374.0,0.60912055,-240.0,174.0,0.3493976,-324.0,411.0,0.63328195,-238.0,124.0,0.32717678,-255.0,322.0,0.5,-322.0,853.0,1.2943854,194.0,419.0,0.76599634,-128.0,600.0,0.9118541,-58.0
0,-8.19,263.17,0.0,302.5,372.0,0.5839874,-265.0,374.0,0.60912055,-240.0,174.0,0.3493976,-324.0,411.0,0.63328195,-238.0,124.0,0.32717678,-255.0,322.0,0.5,-322.0,853.0,1.2943854,194.0,419.0,0.76599634,-128.0,600.0,0.9118541,-58.0
0,-9.22,264.19,0.0,301.9,370.0,0.58084774,-267.0,371.0,0.6042345,-243.0,171.0,0.3433735,-327.0,409.0,0.6302003,-240.0,123.0,0.32453826,-256.0,321.0,0.4984472,-323.0,851.0,1.2913505,192.0,418.0,0.7641682,-129.0,599.0,0.91033435,-59.0
0,-9.22,264.19,0.0,301.9,370.0,0.58084774,-267.0,369.0,0.6009772,-245.0,171.0,0.3433735,-327.0,409.0,0.6302003,-240.0,123.0,0.32453826,-256.0,320.0,0.49689442,-324.0,851.0,1.2913505,192.0,417.0,0.76234,-130.0,599.0,0.91033435,-59.0
0,-9.22,263.17,-2.05,301.9,370.0,0.58084774,-267.0,369.0,0.6009772,-245.0,169.0,0.33935744,-329.0,409.0,0.6302003,-240.0,122.0,0.32189974,-257.0,320.0,0.49689442,-324.0,851.0,1.2913505,192.0,417.0,0.76234,-130.0,599.0,0.91033435,-59.0
0,-9.22,263.17,-2.05,301.9,370.0,0.58084774,-267.0,369.0,0.6009772,-245.0,169.0,0.33935744,-329.0,409.0,0.6302003,-240.0,121.0,0.31926122,-258.0,319.0,0.49534163,-325.0,851.0,1.2913505,192.0,417.0,0.76234,-130.0,599.0,0.91033435,-59.0
