@relation datamerged

@attribute SG_E0 numeric
@attribute SG_D0 numeric
@attribute SG_E1 numeric
@attribute SG_D1 numeric
@attribute SG_E2 numeric
@attribute SG_D2 numeric
@attribute SG_E3 numeric
@attribute SG_D3 numeric
@attribute SG_E4 numeric
@attribute SG_D4 numeric
@attribute SG_E5 numeric
@attribute SG_D5 numeric
@attribute SG_E6 numeric
@attribute SG_D6 numeric
@attribute SG_E7 numeric
@attribute SG_D7 numeric
@attribute SG_E8 numeric
@attribute SG_D8 numeric
@attribute ID {p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0}

@data
1.239044,120,0.73855,-137,0.744373,-159,1.143984,73,1.381226,199,0.919697,-53,0.691684,-152,0.41443,-349,0.617845,-227,p15_r-15
1.239044,120,0.740458,-136,0.750804,-155,1.143984,73,1.381226,199,0.919697,-53,0.693712,-151,0.416107,-348,0.621212,-225,p15_r-15
1.239044,120,0.742366,-135,0.770097,-143,1.143984,73,1.381226,199,0.919697,-53,0.699797,-148,0.426175,-342,0.624579,-223,p15_r-15
1.231076,116,0.748092,-132,0.77492,-140,1.126233,64,1.369732,193,0.913636,-57,0.705882,-145,0.439597,-334,0.624579,-223,p15_r-15
1.161355,81,0.765267,-123,0.771704,-142,0.998028,-1,1.287356,150,0.884849,-76,0.726166,-135,0.486577,-306,0.631313,-219,p15_r-15
1.161355,81,0.767176,-122,0.773312,-141,0.998028,-1,1.291188,152,0.884849,-76,0.726166,-135,0.486577,-306,0.631313,-219,p15_r-15
1.155379,78,0.765267,-123,0.77492,-140,0.990138,-5,1.287356,150,0.884849,-76,0.720081,-138,0.483221,-308,0.627946,-221,p15_r-15
1.151394,76,0.759542,-126,0.771704,-142,0.974359,-13,1.287356,150,0.883333,-77,0.720081,-138,0.483221,-308,0.627946,-221,p15_r-15
1.145418,73,0.759542,-126,0.762058,-148,0.968442,-16,1.279694,146,0.878788,-80,0.720081,-138,0.483221,-308,0.627946,-221,p15_r-15
1.141434,71,0.751908,-130,0.750804,-155,0.960552,-20,1.275862,144,0.878788,-80,0.720081,-138,0.483221,-308,0.627946,-221,p15_r-15
1.141434,71,0.751908,-130,0.73955,-162,0.952663,-24,1.272031,142,0.878788,-80,0.720081,-138,0.483221,-308,0.627946,-221,p15_r-15
1.121514,61,0.75,-131,0.778135,-138,0.980276,-10,1.270115,141,0.890909,-72,0.693712,-151,0.466443,-318,0.62963,-220,p15_r-15
1.121514,61,0.753817,-129,0.778135,-138,0.980276,-10,1.270115,141,0.892424,-71,0.693712,-151,0.474832,-313,0.63468,-217,p15_r-15
1.121514,61,0.755725,-128,0.778135,-138,0.980276,-10,1.270115,141,0.892424,-71,0.697769,-149,0.474832,-313,0.636364,-216,p15_r-15
1.121514,61,0.76145,-125,0.779743,-137,0.980276,-10,1.270115,141,0.892424,-71,0.697769,-149,0.484899,-307,0.636364,-216,p15_r-15
1.111554,56,0.76145,-125,0.778135,-138,0.960552,-20,1.258621,135,0.890909,-72,0.701826,-147,0.488255,-305,0.639731,-214,p15_r-15
1.111554,56,0.76145,-125,0.778135,-138,0.946746,-27,1.249042,130,0.889394,-73,0.697769,-149,0.488255,-305,0.639731,-214,p15_r-15
1.109562,55,0.76145,-125,0.778135,-138,0.942801,-29,1.247127,129,0.889394,-73,0.697769,-149,0.488255,-305,0.639731,-214,p15_r-15
1.103586,52,0.76145,-125,0.778135,-138,0.940828,-30,1.247127,129,0.889394,-73,0.697769,-149,0.488255,-305,0.639731,-214,p15_r-15
1.103586,52,0.76145,-125,0.778135,-138,0.938856,-31,1.243295,127,0.889394,-73,0.697769,-149,0.488255,-305,0.636364,-216,p15_r-15
1.103586,52,0.763359,-124,0.781351,-136,0.938856,-31,1.243295,127,0.889394,-73,0.701826,-147,0.494966,-301,0.639731,-214,p15_r-15
1.103586,52,0.767176,-122,0.784566,-134,0.938856,-31,1.243295,127,0.889394,-73,0.701826,-147,0.496644,-300,0.639731,-214,p15_r-15
1.103586,52,0.769084,-121,0.786174,-133,0.938856,-31,1.247127,129,0.889394,-73,0.707911,-144,0.506711,-294,0.641414,-213,p15_r-15
1.103586,52,0.772901,-119,0.786174,-133,0.938856,-31,1.247127,129,0.889394,-73,0.713996,-141,0.508389,-293,0.648148,-209,p15_r-15
1.099602,50,0.769084,-121,0.786174,-133,0.903353,-49,1.231801,121,0.883333,-77,0.713996,-141,0.515101,-289,0.649832,-208,p15_r-15
1.09761,49,0.769084,-121,0.781351,-136,0.899408,-51,1.226054,118,0.881818,-78,0.713996,-141,0.515101,-289,0.649832,-208,p15_r-15
1.079681,40,0.769084,-121,0.778135,-138,0.885602,-58,1.220307,115,0.880303,-79,0.713996,-141,0.515101,-289,0.649832,-208,p15_r-15
1.069721,35,0.769084,-121,0.778135,-138,0.879684,-61,1.206897,108,0.880303,-79,0.713996,-141,0.515101,-289,0.649832,-208,p15_r-15
1.069721,35,0.769084,-121,0.77492,-140,0.871795,-65,1.20115,105,0.878788,-80,0.713996,-141,0.515101,-289,0.649832,-208,p15_r-15
1.069721,35,0.772901,-119,0.778135,-138,0.879684,-61,1.20115,105,0.880303,-79,0.713996,-141,0.528524,-281,0.656566,-204,p15_r-15
1.071713,36,0.772901,-119,0.778135,-138,0.881657,-60,1.20115,105,0.881818,-78,0.713996,-141,0.528524,-281,0.656566,-204,p15_r-15
1.079681,40,0.774809,-118,0.778135,-138,0.885602,-58,1.206897,108,0.881818,-78,0.713996,-141,0.528524,-281,0.658249,-203,p15_r-15
1.083665,42,0.774809,-118,0.781351,-136,0.899408,-51,1.214559,112,0.881818,-78,0.713996,-141,0.528524,-281,0.658249,-203,p15_r-15
1.155379,78,0.753817,-129,0.83119,-105,1.021696,11,1.302682,158,0.90303,-64,0.68357,-156,0.422819,-344,0.626263,-222,p15_r-15
1.155379,78,0.759542,-126,0.83119,-105,1.021696,11,1.302682,158,0.90303,-64,0.711968,-142,0.459732,-322,0.631313,-219,p15_r-15
1.155379,78,0.772901,-119,0.83119,-105,1.021696,11,1.302682,158,0.907576,-61,0.724138,-136,0.513423,-290,0.639731,-214,p15_r-15
1.139442,70,0.782443,-114,0.827974,-107,0.936884,-32,1.266284,139,0.90303,-64,0.726166,-135,0.515101,-289,0.644781,-211,p15_r-15
1.121514,61,0.782443,-114,0.824759,-109,0.930967,-35,1.254789,133,0.9,-66,0.726166,-135,0.515101,-289,0.644781,-211,p15_r-15
1.11753,59,0.782443,-114,0.807074,-120,0.913215,-44,1.249042,130,0.9,-66,0.726166,-135,0.515101,-289,0.644781,-211,p15_r-15
1.113546,57,0.782443,-114,0.807074,-120,0.903353,-49,1.247127,129,0.895455,-69,0.726166,-135,0.515101,-289,0.644781,-211,p15_r-15
1.099602,50,0.782443,-114,0.803859,-122,0.891519,-55,1.235632,123,0.895455,-69,0.726166,-135,0.515101,-289,0.644781,-211,p15_r-15
1.099602,50,0.782443,-114,0.803859,-122,0.891519,-55,1.235632,123,0.895455,-69,0.726166,-135,0.541946,-273,0.651515,-207,p15_r-15
1.099602,50,0.782443,-114,0.803859,-122,0.893491,-54,1.235632,123,0.895455,-69,0.732252,-132,0.541946,-273,0.653199,-206,p15_r-15
1.099602,50,0.782443,-114,0.803859,-122,0.893491,-54,1.235632,123,0.89697,-68,0.732252,-132,0.545302,-271,0.653199,-206,p15_r-15
1.105578,53,0.784351,-113,0.803859,-122,0.893491,-54,1.235632,123,0.9,-66,0.732252,-132,0.548658,-269,0.654882,-205,p15_r-15
1.099602,50,0.782443,-114,0.789389,-131,0.881657,-60,1.216475,113,0.89697,-68,0.732252,-132,0.548658,-269,0.658249,-203,p15_r-15
1.099602,50,0.782443,-114,0.787781,-132,0.871795,-65,1.214559,112,0.895455,-69,0.732252,-132,0.548658,-269,0.658249,-203,p15_r-15
1.095618,48,0.782443,-114,0.782958,-135,0.869823,-66,1.212644,111,0.895455,-69,0.732252,-132,0.548658,-269,0.658249,-203,p15_r-15
1.085657,43,0.782443,-114,0.779743,-137,0.86785,-67,1.210728,110,0.895455,-69,0.732252,-132,0.548658,-269,0.658249,-203,p15_r-15
1.081673,41,0.774809,-118,0.776527,-139,0.865878,-68,1.208812,109,0.895455,-69,0.732252,-132,0.548658,-269,0.658249,-203,p15_r-15
1.003205,2,0.989114,-7,0.826645,-108,0.820116,-93,0.965217,-24,1.040925,23,1.013636,9,1.085239,41,1.059249,41,p15_r0
1.003205,2,0.989114,-7,0.829856,-106,0.820116,-93,0.965217,-24,1.040925,23,1.013636,9,1.089397,43,1.059249,41,p15_r0
1.003205,2,0.989114,-7,0.829856,-106,0.820116,-93,0.965217,-24,1.040925,23,1.016667,11,1.091476,44,1.059249,41,p15_r0
1.003205,2,0.993779,-4,0.829856,-106,0.820116,-93,0.965217,-24,1.040925,23,1.016667,11,1.091476,44,1.059249,41,p15_r0
1.001603,1,0.989114,-7,0.826645,-108,0.816248,-95,0.96087,-27,1.040925,23,1.018182,12,1.091476,44,1.054913,38,p15_r0
1,0,0.989114,-7,0.82504,-109,0.816248,-95,0.95942,-28,1.040925,23,1.016667,11,1.091476,44,1.054913,38,p15_r0
1,0,0.989114,-7,0.82504,-109,0.816248,-95,0.95942,-28,1.039146,22,1.016667,11,1.089397,43,1.054913,38,p15_r0
1,0,0.989114,-7,0.823435,-110,0.816248,-95,0.95942,-28,1.039146,22,1.009091,6,1.089397,43,1.054913,38,p15_r0
1,0,0.987558,-8,0.823435,-110,0.812379,-97,0.95942,-28,1.039146,22,1.009091,6,1.085239,41,1.054913,38,p15_r0
1,0,0.989114,-7,0.823435,-110,0.812379,-97,0.95942,-28,1.039146,22,1.012121,8,1.085239,41,1.054913,38,p15_r0
1.001603,1,0.989114,-7,0.823435,-110,0.812379,-97,0.95942,-28,1.039146,22,1.012121,8,1.085239,41,1.054913,38,p15_r0
