@relation 0.8datamerged

@attribute SG_E0 numeric
@attribute SG_D0 numeric
@attribute SG_E1 numeric
@attribute SG_D1 numeric
@attribute SG_E2 numeric
@attribute SG_D2 numeric
@attribute SG_E3 numeric
@attribute SG_D3 numeric
@attribute SG_E4 numeric
@attribute SG_D4 numeric
@attribute SG_E5 numeric
@attribute SG_D5 numeric
@attribute SG_E6 numeric
@attribute SG_D6 numeric
@attribute SG_E7 numeric
@attribute SG_D7 numeric
@attribute SG_E8 numeric
@attribute SG_D8 numeric
@attribute ID {p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0}

@data
1.109562,55,0.753817,-129,0.768489,-144,0.883629,-59,1.216475,113,0.895455,-69,0.687627,-154,0.474832,-313,0.646465,-210,p15_r-15
1.109562,55,0.75,-131,0.768489,-144,0.883629,-59,1.199234,104,0.893939,-70,0.687627,-154,0.474832,-313,0.644781,-211,p15_r-15
1.101594,51,0.748092,-132,0.766881,-145,0.877712,-62,1.199234,104,0.892424,-71,0.687627,-154,0.474832,-313,0.644781,-211,p15_r-15
1.101594,51,0.75,-131,0.766881,-145,0.877712,-62,1.199234,104,0.893939,-70,0.687627,-154,0.479866,-310,0.646465,-210,p15_r-15
1.101594,51,0.75,-131,0.766881,-145,0.877712,-62,1.199234,104,0.893939,-70,0.687627,-154,0.484899,-307,0.646465,-210,p15_r-15
1.101594,51,0.751908,-130,0.766881,-145,0.877712,-62,1.199234,104,0.893939,-70,0.687627,-154,0.491611,-303,0.648148,-209,p15_r-15
1.105578,53,0.751908,-130,0.768489,-144,0.877712,-62,1.199234,104,0.893939,-70,0.687627,-154,0.491611,-303,0.648148,-209,p15_r-15
1.105578,53,0.75,-131,0.766881,-145,0.883629,-59,1.199234,104,0.895455,-69,0.691684,-152,0.479866,-310,0.646465,-210,p15_r-15
1.105578,53,0.748092,-132,0.758842,-150,0.871795,-65,1.199234,104,0.893939,-70,0.689655,-153,0.479866,-310,0.644781,-211,p15_r-15
1.101594,51,0.748092,-132,0.757235,-151,0.871795,-65,1.197318,103,0.893939,-70,0.685598,-155,0.479866,-310,0.643098,-212,p15_r-15
1.095618,48,0.748092,-132,0.757235,-151,0.871795,-65,1.197318,103,0.893939,-70,0.685598,-155,0.47651,-312,0.641414,-213,p15_r-15
1.095618,48,0.746183,-133,0.750804,-155,0.871795,-65,1.197318,103,0.893939,-70,0.68357,-156,0.47651,-312,0.638047,-215,p15_r-15
1.101594,51,0.748092,-132,0.757235,-151,0.871795,-65,1.199234,104,0.895455,-69,0.68357,-156,0.47651,-312,0.641414,-213,p15_r-15
1.105578,53,0.748092,-132,0.758842,-150,0.883629,-59,1.206897,108,0.89697,-68,0.685598,-155,0.479866,-310,0.643098,-212,p15_r-15
1.109562,55,0.748092,-132,0.766881,-145,0.901381,-50,1.212644,111,0.89697,-68,0.685598,-155,0.479866,-310,0.643098,-212,p15_r-15
1.109562,55,0.748092,-132,0.766881,-145,0.903353,-49,1.212644,111,0.898485,-67,0.685598,-155,0.479866,-310,0.643098,-212,p15_r-15
1.113546,57,0.748092,-132,0.766881,-145,0.901381,-50,1.214559,112,0.898485,-67,0.687627,-154,0.479866,-310,0.644781,-211,p15_r-15
1.113546,57,0.748092,-132,0.766881,-145,0.901381,-50,1.212644,111,0.898485,-67,0.68357,-156,0.479866,-310,0.641414,-213,p15_r-15
1.113546,57,0.748092,-132,0.766881,-145,0.901381,-50,1.212644,111,0.89697,-68,0.68357,-156,0.473154,-314,0.641414,-213,p15_r-15
1.109562,55,0.748092,-132,0.765273,-146,0.901381,-50,1.212644,111,0.89697,-68,0.68357,-156,0.468121,-317,0.638047,-215,p15_r-15
1.109562,55,0.746183,-133,0.762058,-148,0.901381,-50,1.212644,111,0.89697,-68,0.68357,-156,0.466443,-318,0.636364,-216,p15_r-15
1.109562,55,0.748092,-132,0.762058,-148,0.907298,-47,1.212644,111,0.89697,-68,0.68357,-156,0.468121,-317,0.638047,-215,p15_r-15
