SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
-62.0,-199.0,-92.0,-193.0,-93.0,-179.0,7.0,-52.0,-109.0,p15_r-15
-61.0,-199.0,-90.0,-193.0,-90.0,-179.0,7.0,-51.0,-107.0,p15_r-15
-61.0,-199.0,-90.0,-193.0,-90.0,-179.0,15.0,-50.0,-106.0,p15_r-15
-60.0,-199.0,-90.0,-193.0,-88.0,-179.0,15.0,-50.0,-106.0,p15_r-15
-61.0,-200.0,-91.0,-196.0,-90.0,-179.0,14.0,-50.0,-106.0,p15_r-15
-61.0,-203.0,-94.0,-197.0,-92.0,-180.0,14.0,-52.0,-109.0,p15_r-15
-62.0,-204.0,-95.0,-200.0,-94.0,-181.0,10.0,-52.0,-109.0,p15_r-15
-63.0,-206.0,-95.0,-203.0,-94.0,-181.0,8.0,-53.0,-109.0,p15_r-15
-63.0,-207.0,-95.0,-203.0,-94.0,-181.0,7.0,-53.0,-109.0,p15_r-15
-63.0,-206.0,-95.0,-202.0,-93.0,-181.0,8.0,-53.0,-109.0,p15_r-15
-62.0,-206.0,-94.0,-200.0,-93.0,-181.0,8.0,-53.0,-109.0,p15_r-15
-62.0,-206.0,-94.0,-200.0,-93.0,-180.0,8.0,-53.0,-109.0,p15_r-15
-62.0,-206.0,-91.0,-199.0,-92.0,-180.0,8.0,-53.0,-108.0,p15_r-15
-63.0,-208.0,-94.0,-199.0,-90.0,-180.0,7.0,-53.0,-109.0,p15_r-15
-65.0,-208.0,-94.0,-200.0,-93.0,-180.0,6.0,-55.0,-109.0,p15_r-15
-69.0,-208.0,-94.0,-200.0,-94.0,-180.0,6.0,-55.0,-109.0,p15_r-15
-69.0,-209.0,-94.0,-200.0,-94.0,-181.0,5.0,-55.0,-109.0,p15_r-15
-69.0,-209.0,-94.0,-202.0,-94.0,-181.0,4.0,-55.0,-109.0,p15_r-15
-69.0,-209.0,-94.0,-202.0,-94.0,-181.0,5.0,-55.0,-109.0,p15_r-15
-69.0,-209.0,-93.0,-202.0,-94.0,-181.0,5.0,-55.0,-109.0,p15_r-15
-69.0,-209.0,-93.0,-202.0,-94.0,-181.0,5.0,-55.0,-109.0,p15_r-15
-69.0,-209.0,-93.0,-202.0,-94.0,-181.0,5.0,-55.0,-109.0,p15_r-15
-73.0,-215.0,-94.0,-209.0,-96.0,-184.0,4.0,-55.0,-109.0,p15_r-15
-75.0,-215.0,-94.0,-211.0,-96.0,-186.0,3.0,-58.0,-109.0,p15_r-15
-75.0,-215.0,-94.0,-211.0,-99.0,-186.0,2.0,-59.0,-109.0,p15_r-15
-75.0,-217.0,-94.0,-211.0,-99.0,-187.0,2.0,-60.0,-109.0,p15_r-15
-77.0,-217.0,-95.0,-213.0,-99.0,-188.0,2.0,-60.0,-110.0,p15_r-15
-77.0,-217.0,-95.0,-212.0,-99.0,-187.0,2.0,-59.0,-109.0,p15_r-15
-77.0,-217.0,-95.0,-211.0,-99.0,-187.0,3.0,-59.0,-109.0,p15_r-15
-77.0,-217.0,-95.0,-211.0,-98.0,-187.0,3.0,-59.0,-108.0,p15_r-15
-77.0,-217.0,-95.0,-211.0,-96.0,-186.0,3.0,-59.0,-108.0,p15_r-15
-79.0,-217.0,-96.0,-209.0,-95.0,-187.0,4.0,-58.0,-108.0,p15_r-15
-79.0,-220.0,-96.0,-209.0,-95.0,-187.0,3.0,-58.0,-108.0,p15_r-15
-80.0,-221.0,-98.0,-209.0,-95.0,-187.0,3.0,-60.0,-108.0,p15_r-15
-80.0,-221.0,-98.0,-211.0,-98.0,-188.0,3.0,-62.0,-108.0,p15_r-15
-80.0,-221.0,-99.0,-211.0,-100.0,-188.0,3.0,-62.0,-109.0,p15_r-15
-80.0,-221.0,-98.0,-209.0,-98.0,-188.0,3.0,-62.0,-108.0,p15_r-15
-80.0,-221.0,-96.0,-209.0,-93.0,-188.0,2.0,-64.0,-110.0,p15_r-15
-79.0,-220.0,-95.0,-207.0,-90.0,-188.0,2.0,-63.0,-110.0,p15_r-15
-78.0,-217.0,-94.0,-207.0,-90.0,-188.0,3.0,-62.0,-110.0,p15_r-15
-76.0,-217.0,-94.0,-206.0,-84.0,-185.0,3.0,-61.0,-110.0,p15_r-15
-73.0,-213.0,-94.0,-205.0,-77.0,-184.0,2.0,-60.0,-109.0,p15_r-15
-73.0,-213.0,-94.0,-205.0,-82.0,-184.0,2.0,-60.0,-111.0,p15_r-15
-73.0,-213.0,-94.0,-205.0,-82.0,-184.0,-1.0,-60.0,-112.0,p15_r-15
-73.0,-213.0,-94.0,-205.0,-82.0,-184.0,-1.0,-60.0,-112.0,p15_r-15
-73.0,-213.0,-94.0,-205.0,-82.0,-184.0,-1.0,-62.0,-112.0,p15_r-15
-65.0,-204.0,-80.0,-199.0,-71.0,-178.0,2.0,-60.0,-111.0,p15_r-15
-65.0,-204.0,-80.0,-199.0,-72.0,-178.0,2.0,-62.0,-111.0,p15_r-15
-67.0,-206.0,-80.0,-200.0,-74.0,-181.0,2.0,-64.0,-111.0,p15_r-15
-71.0,-211.0,-84.0,-200.0,-76.0,-184.0,2.0,-64.0,-111.0,p15_r-15
-99.0,-244.0,-198.0,-158.0,-149.0,-283.0,-13.0,-80.0,-147.0,p15_r0
-99.0,-244.0,-198.0,-159.0,-149.0,-284.0,-13.0,-80.0,-147.0,p15_r0
-102.0,-244.0,-198.0,-161.0,-149.0,-284.0,-13.0,-80.0,-147.0,p15_r0
-102.0,-246.0,-198.0,-161.0,-149.0,-284.0,-14.0,-81.0,-147.0,p15_r0
-102.0,-246.0,-198.0,-161.0,-149.0,-284.0,-14.0,-81.0,-147.0,p15_r0
-101.0,-246.0,-198.0,-161.0,-147.0,-284.0,-13.0,-80.0,-147.0,p15_r0
-100.0,-246.0,-198.0,-161.0,-147.0,-284.0,-12.0,-80.0,-147.0,p15_r0
-100.0,-246.0,-194.0,-161.0,-146.0,-284.0,-11.0,-80.0,-146.0,p15_r0
-99.0,-246.0,-193.0,-161.0,-143.0,-283.0,-11.0,-79.0,-145.0,p15_r0
-100.0,-246.0,-193.0,-164.0,-146.0,-284.0,-12.0,-80.0,-145.0,p15_r0
-100.0,-247.0,-194.0,-164.0,-146.0,-284.0,-12.0,-80.0,-145.0,p15_r0
-100.0,-248.0,-194.0,-170.0,-146.0,-287.0,-12.0,-81.0,-145.0,p15_r0
-100.0,-248.0,-194.0,-170.0,-146.0,-287.0,-12.0,-82.0,-145.0,p15_r0
-100.0,-248.0,-194.0,-173.0,-147.0,-287.0,-12.0,-82.0,-146.0,p15_r0
-98.0,-248.0,-193.0,-170.0,-146.0,-287.0,-11.0,-81.0,-146.0,p15_r0
-98.0,-248.0,-193.0,-170.0,-146.0,-287.0,-10.0,-81.0,-145.0,p15_r0
-97.0,-248.0,-193.0,-170.0,-146.0,-287.0,-9.0,-81.0,-145.0,p15_r0
