@relation T2datamerged

@attribute SG_D0 numeric
@attribute SG_D1 numeric
@attribute SG_D2 numeric
@attribute SG_D3 numeric
@attribute SG_D4 numeric
@attribute SG_D5 numeric
@attribute SG_D6 numeric
@attribute SG_D7 numeric
@attribute SG_D8 numeric
@attribute ID {p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0}

@data
-9,-35,-45,-6,-33,-28,116,32,34,p15_r-15
-9,-33,-45,-6,-33,-28,117,32,36,p15_r-15
-11,-35,-44,-5,-33,-28,117,30,34,p15_r-15
-10,-35,-41,-3,-30,-28,117,30,34,p15_r-15
-9,-35,-41,-3,-26,-27,117,32,35,p15_r-15
-6,-35,-41,-2,-26,-23,117,32,35,p15_r-15
-5,-35,-40,-2,-24,-23,118,32,36,p15_r-15
-5,-35,-38,-2,-24,-25,117,33,36,p15_r-15
-5,-35,-38,-3,-26,-28,117,32,36,p15_r-15
-6,-36,-41,-3,-28,-29,117,32,35,p15_r-15
-8,-38,-41,-4,-28,-30,117,32,35,p15_r-15
-10,-38,-43,-5,-30,-31,117,32,35,p15_r-15
-10,-38,-43,-5,-30,-31,119,33,36,p15_r-15
-10,-38,-43,-5,-28,-31,119,34,36,p15_r-15
-10,-38,-43,-5,-28,-31,119,34,37,p15_r-15
-10,-38,-43,-5,-28,-31,120,34,38,p15_r-15
-12,-42,-45,-11,-33,-31,120,35,39,p15_r-15
-12,-46,-46,-12,-33,-33,120,32,39,p15_r-15
-12,-46,-46,-12,-33,-33,120,32,39,p15_r-15
-13,-46,-46,-12,-33,-33,119,32,38,p15_r-15
-13,-46,-46,-12,-33,-33,117,32,38,p15_r-15
-13,-46,-45,-11,-29,-33,117,32,39,p15_r-15
-12,-46,-42,-8,-27,-31,119,32,39,p15_r-15
-12,-44,-39,-7,-24,-28,119,32,39,p15_r-15
-12,-42,-38,-6,-24,-27,120,32,39,p15_r-15
-12,-44,-38,-7,-24,-28,120,34,39,p15_r-15
-12,-46,-39,-7,-24,-30,119,34,39,p15_r-15
-13,-47,-40,-9,-25,-30,119,34,39,p15_r-15
-16,-47,-44,-11,-25,-30,119,34,39,p15_r-15
-16,-47,-45,-11,-25,-30,119,34,39,p15_r-15
-16,-47,-44,-11,-24,-29,120,34,41,p15_r-15
-14,-46,-40,-10,-20,-28,120,34,41,p15_r-15
-13,-44,-39,-9,-20,-28,120,34,41,p15_r-15
-13,-41,-38,-7,-18,-21,122,34,42,p15_r-15
-12,-41,-38,-7,-14,-21,121,34,42,p15_r-15
-12,-41,-38,-7,-14,-22,120,34,42,p15_r-15
