SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.9505929,-25.0,0.9186992,-40.0,0.7978495,-94.0,0.8522073,-77.0,0.90077823,-51.0,1.0410256,24.0,1.1515712,82.0,0.98650676,-9.0,1.0985916,56.0,p15_r-15
0.9505929,-25.0,0.9186992,-40.0,0.7978495,-94.0,0.8522073,-77.0,0.90077823,-51.0,1.0410256,24.0,1.1534196,83.0,0.98650676,-9.0,1.0985916,56.0,p15_r-15
0.9505929,-25.0,0.9186992,-40.0,0.7978495,-94.0,0.8522073,-77.0,0.90077823,-51.0,1.0410256,24.0,1.1571164,85.0,0.98650676,-9.0,1.0985916,56.0,p15_r-15
0.9130435,-44.0,0.902439,-48.0,0.7741935,-105.0,0.84644914,-80.0,0.8404669,-82.0,1.0051283,3.0,1.1571164,85.0,0.98650676,-9.0,1.0950705,54.0,p15_r-15
0.9130435,-44.0,0.902439,-48.0,0.7741935,-105.0,0.84644914,-80.0,0.8404669,-82.0,1.0051283,3.0,1.1552681,84.0,0.98650676,-9.0,1.0915493,52.0,p15_r-15
0.9130435,-44.0,0.8902439,-54.0,0.7741935,-105.0,0.840691,-83.0,0.8404669,-82.0,1.0051283,3.0,1.1552681,84.0,0.9835082,-11.0,1.0915493,52.0,p15_r-15
0.9130435,-44.0,0.8902439,-54.0,0.772043,-106.0,0.840691,-83.0,0.8404669,-82.0,1.0051283,3.0,1.1552681,84.0,0.9835082,-11.0,1.0915493,52.0,p15_r-15
0.9130435,-44.0,0.8902439,-54.0,0.76989245,-107.0,0.840691,-83.0,0.8404669,-82.0,1.0051283,3.0,1.1552681,84.0,0.982009,-12.0,1.0915493,52.0,p15_r-15
0.9268775,-37.0,0.902439,-48.0,0.772043,-106.0,0.84644914,-80.0,0.8463035,-79.0,1.0085471,5.0,1.1571164,85.0,0.9835082,-11.0,1.0950705,54.0,p15_r-15
0.94071144,-30.0,0.902439,-48.0,0.7741935,-105.0,0.8502879,-78.0,0.8579767,-73.0,1.0136752,8.0,1.1589649,86.0,0.98650676,-9.0,1.0950705,54.0,p15_r-15
