@relation T4datamerged

@attribute SG_E0 numeric
@attribute SG_D0 numeric
@attribute SG_E1 numeric
@attribute SG_D1 numeric
@attribute SG_E2 numeric
@attribute SG_D2 numeric
@attribute SG_E3 numeric
@attribute SG_D3 numeric
@attribute SG_E4 numeric
@attribute SG_D4 numeric
@attribute SG_E5 numeric
@attribute SG_D5 numeric
@attribute SG_E6 numeric
@attribute SG_D6 numeric
@attribute SG_E7 numeric
@attribute SG_D7 numeric
@attribute SG_E8 numeric
@attribute SG_D8 numeric
@attribute ID {p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0}

@data
0.839779,-87,0.727447,-142,0.804412,-133,1.06654,35,0.727848,-129,0.9,-58,1.036304,22,0.930736,-48,1.066532,33,p15_r-15
0.837937,-88,0.721689,-145,0.801471,-135,1.068441,36,0.7173,-134,0.898276,-59,1.034653,21,0.930736,-48,1.070565,35,p15_r-15
0.837937,-88,0.71977,-146,0.801471,-135,1.068441,36,0.71308,-136,0.894828,-61,1.031353,19,0.929293,-49,1.070565,35,p15_r-15
0.837937,-88,0.71785,-147,0.794118,-140,1.068441,36,0.706751,-139,0.893103,-62,1.031353,19,0.929293,-49,1.070565,35,p15_r-15
0.836096,-89,0.715931,-148,0.794118,-140,1.068441,36,0.702532,-141,0.889655,-64,1.031353,19,0.929293,-49,1.070565,35,p15_r-15
0.834254,-90,0.714012,-149,0.791177,-142,1.068441,36,0.700422,-142,0.887931,-65,1.031353,19,0.929293,-49,1.070565,35,p15_r-15
0.834254,-90,0.714012,-149,0.791177,-142,1.072243,38,0.700422,-142,0.887931,-65,1.034653,21,0.929293,-49,1.070565,35,p15_r-15
0.834254,-90,0.714012,-149,0.794118,-140,1.076046,40,0.700422,-142,0.887931,-65,1.039604,24,0.930736,-48,1.078629,39,p15_r-15
0.834254,-90,0.714012,-149,0.794118,-140,1.079848,42,0.700422,-142,0.887931,-65,1.039604,24,0.930736,-48,1.078629,39,p15_r-15
0.834254,-90,0.714012,-149,0.795588,-139,1.081749,43,0.700422,-142,0.887931,-65,1.044555,27,0.930736,-48,1.082661,41,p15_r-15
0.823204,-96,0.710173,-151,0.794118,-140,1.089354,47,0.691983,-146,0.884483,-67,1.046205,28,0.930736,-48,1.082661,41,p15_r-15
0.812155,-102,0.698656,-157,0.794118,-140,1.089354,47,0.685654,-149,0.882759,-68,1.039604,24,0.929293,-49,1.078629,39,p15_r-15
0.812155,-102,0.698656,-157,0.794118,-140,1.089354,47,0.683544,-150,0.882759,-68,1.039604,24,0.929293,-49,1.078629,39,p15_r-15
0.812155,-102,0.698656,-157,0.794118,-140,1.093156,49,0.683544,-150,0.882759,-68,1.046205,28,0.929293,-49,1.080645,40,p15_r-15
0.812155,-102,0.706334,-153,0.794118,-140,1.098859,52,0.683544,-150,0.882759,-68,1.046205,28,0.930736,-48,1.082661,41,p15_r-15
0.813996,-101,0.706334,-153,0.795588,-139,1.098859,52,0.685654,-149,0.882759,-68,1.049505,30,0.932179,-47,1.084678,42,p15_r-15
0.813996,-101,0.706334,-153,0.795588,-139,1.102662,54,0.685654,-149,0.882759,-68,1.051155,31,0.933622,-46,1.086694,43,p15_r-15
0.812155,-102,0.694818,-159,0.797059,-138,1.104563,55,0.681435,-151,0.882759,-68,1.052805,32,0.935065,-45,1.092742,46,p15_r-15
0.808471,-104,0.694818,-159,0.794118,-140,1.104563,55,0.677215,-153,0.882759,-68,1.052805,32,0.935065,-45,1.08871,44,p15_r-15
