SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
44.0,-161.0,-193.0,-63.0,97.0,-81.0,-180.0,-323.0,-235.0,p15_r-15
48.0,-161.0,-193.0,-47.0,98.0,-81.0,-180.0,-323.0,-235.0,p15_r-15
50.0,-161.0,-190.0,-47.0,98.0,-81.0,-180.0,-323.0,-235.0,p15_r-15
53.0,-163.0,-193.0,-48.0,97.0,-82.0,-186.0,-342.0,-241.0,p15_r-15
48.0,-167.0,-197.0,-56.0,94.0,-82.0,-187.0,-345.0,-241.0,p15_r-15
48.0,-167.0,-197.0,-56.0,94.0,-82.0,-187.0,-347.0,-243.0,p15_r-15
48.0,-168.0,-197.0,-56.0,94.0,-82.0,-188.0,-350.0,-243.0,p15_r-15
48.0,-168.0,-197.0,-56.0,94.0,-82.0,-189.0,-352.0,-243.0,p15_r-15
50.0,-168.0,-197.0,-52.0,96.0,-82.0,-188.0,-352.0,-243.0,p15_r-15
53.0,-168.0,-193.0,-48.0,97.0,-82.0,-188.0,-352.0,-243.0,p15_r-15
57.0,-168.0,-192.0,-38.0,106.0,-82.0,-188.0,-352.0,-243.0,p15_r-15
59.0,-167.0,-188.0,-31.0,106.0,-79.0,-188.0,-350.0,-243.0,p15_r-15
59.0,-168.0,-187.0,-33.0,109.0,-82.0,-187.0,-352.0,-242.0,p15_r-15
57.0,-168.0,-192.0,-33.0,104.0,-82.0,-189.0,-352.0,-246.0,p15_r-15
57.0,-171.0,-192.0,-38.0,104.0,-83.0,-189.0,-354.0,-246.0,p15_r-15
51.0,-171.0,-196.0,-38.0,101.0,-83.0,-189.0,-354.0,-247.0,p15_r-15
51.0,-172.0,-196.0,-42.0,101.0,-85.0,-189.0,-358.0,-247.0,p15_r-15
57.0,-171.0,-196.0,-38.0,103.0,-84.0,-189.0,-358.0,-247.0,p15_r-15
57.0,-171.0,-196.0,-35.0,103.0,-84.0,-188.0,-354.0,-247.0,p15_r-15
57.0,-171.0,-196.0,-33.0,103.0,-84.0,-188.0,-353.0,-247.0,p15_r-15
57.0,-171.0,-196.0,-33.0,103.0,-84.0,-188.0,-352.0,-246.0,p15_r-15
51.0,-177.0,-208.0,-38.0,96.0,-86.0,-187.0,-347.0,-247.0,p15_r-15
51.0,-178.0,-211.0,-43.0,96.0,-88.0,-188.0,-347.0,-249.0,p15_r-15
51.0,-178.0,-212.0,-43.0,96.0,-88.0,-190.0,-351.0,-250.0,p15_r-15
51.0,-180.0,-212.0,-43.0,96.0,-88.0,-190.0,-353.0,-250.0,p15_r-15
51.0,-180.0,-212.0,-43.0,93.0,-90.0,-191.0,-353.0,-250.0,p15_r-15
51.0,-179.0,-211.0,-38.0,96.0,-88.0,-190.0,-351.0,-250.0,p15_r-15
51.0,-179.0,-209.0,-38.0,96.0,-87.0,-190.0,-351.0,-250.0,p15_r-15
52.0,-178.0,-209.0,-36.0,96.0,-87.0,-190.0,-351.0,-250.0,p15_r-15
55.0,-178.0,-209.0,-34.0,96.0,-87.0,-190.0,-347.0,-250.0,p15_r-15
53.0,-180.0,-208.0,-32.0,98.0,-86.0,-192.0,-347.0,-251.0,p15_r-15
53.0,-180.0,-208.0,-32.0,98.0,-88.0,-192.0,-347.0,-251.0,p15_r-15
53.0,-180.0,-208.0,-36.0,98.0,-88.0,-192.0,-347.0,-251.0,p15_r-15
53.0,-180.0,-208.0,-37.0,98.0,-88.0,-192.0,-347.0,-251.0,p15_r-15
52.0,-181.0,-208.0,-37.0,98.0,-88.0,-192.0,-347.0,-251.0,p15_r-15
53.0,-181.0,-207.0,-36.0,100.0,-88.0,-189.0,-346.0,-251.0,p15_r-15
53.0,-180.0,-207.0,-33.0,101.0,-86.0,-189.0,-346.0,-251.0,p15_r-15
54.0,-180.0,-207.0,-33.0,102.0,-86.0,-189.0,-346.0,-251.0,p15_r-15
56.0,-180.0,-205.0,-32.0,103.0,-86.0,-189.0,-345.0,-251.0,p15_r-15
56.0,-182.0,-201.0,-31.0,103.0,-86.0,-188.0,-346.0,-251.0,p15_r-15
56.0,-182.0,-201.0,-31.0,103.0,-86.0,-188.0,-351.0,-252.0,p15_r-15
56.0,-182.0,-201.0,-31.0,103.0,-89.0,-189.0,-355.0,-253.0,p15_r-15
56.0,-182.0,-201.0,-31.0,103.0,-90.0,-192.0,-358.0,-255.0,p15_r-15
56.0,-182.0,-201.0,-31.0,103.0,-91.0,-193.0,-359.0,-256.0,p15_r-15
56.0,-182.0,-194.0,-30.0,108.0,-90.0,-192.0,-359.0,-256.0,p15_r-15
60.0,-182.0,-194.0,-30.0,109.0,-90.0,-190.0,-358.0,-256.0,p15_r-15
60.0,-182.0,-192.0,-27.0,111.0,-90.0,-190.0,-358.0,-256.0,p15_r-15
62.0,-182.0,-192.0,-26.0,114.0,-90.0,-189.0,-358.0,-256.0,p15_r-15
63.0,-181.0,-191.0,-22.0,114.0,-91.0,-190.0,-363.0,-257.0,p15_r-15
63.0,-183.0,-191.0,-26.0,114.0,-91.0,-190.0,-365.0,-259.0,p15_r-15
