SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
276.0,88.0,-81.0,1.0,160.0,157.0,-44.0,-47.0,-71.0,p65_r0
280.0,89.0,-81.0,2.0,161.0,158.0,-44.0,-47.0,-68.0,p65_r0
280.0,85.0,-85.0,-4.0,160.0,160.0,-50.0,-52.0,-78.0,p65_r0
280.0,82.0,-88.0,-4.0,159.0,160.0,-50.0,-53.0,-78.0,p65_r0
277.0,82.0,-89.0,-4.0,159.0,159.0,-50.0,-53.0,-78.0,p65_r0
277.0,82.0,-89.0,-4.0,159.0,160.0,-50.0,-52.0,-77.0,p65_r0
277.0,82.0,-89.0,-4.0,159.0,160.0,-48.0,-52.0,-75.0,p65_r0
277.0,82.0,-89.0,-4.0,159.0,160.0,-47.0,-51.0,-75.0,p65_r0
277.0,82.0,-89.0,-4.0,159.0,160.0,-47.0,-51.0,-75.0,p65_r0
272.0,81.0,-88.0,-4.0,158.0,160.0,-47.0,-53.0,-74.0,p65_r0
272.0,80.0,-92.0,-4.0,156.0,160.0,-47.0,-53.0,-74.0,p65_r0
268.0,76.0,-94.0,-4.0,153.0,158.0,-47.0,-53.0,-75.0,p65_r0
268.0,76.0,-92.0,-3.0,156.0,158.0,-46.0,-53.0,-75.0,p65_r0
269.0,77.0,-92.0,-2.0,156.0,158.0,-45.0,-50.0,-74.0,p65_r0
269.0,77.0,-90.0,-2.0,156.0,160.0,-44.0,-50.0,-72.0,p65_r0
271.0,77.0,-89.0,0.0,157.0,160.0,-44.0,-49.0,-72.0,p65_r0
269.0,75.0,-89.0,1.0,157.0,160.0,-44.0,-49.0,-71.0,p65_r0
267.0,75.0,-89.0,1.0,157.0,160.0,-44.0,-49.0,-71.0,p65_r0
267.0,74.0,-89.0,1.0,157.0,160.0,-44.0,-49.0,-71.0,p65_r0
267.0,72.0,-89.0,1.0,157.0,160.0,-44.0,-50.0,-71.0,p65_r0
266.0,72.0,-89.0,-1.0,157.0,160.0,-44.0,-50.0,-71.0,p65_r0
267.0,72.0,-89.0,-1.0,157.0,160.0,-43.0,-49.0,-71.0,p65_r0
269.0,74.0,-89.0,1.0,157.0,160.0,-42.0,-49.0,-70.0,p65_r0
269.0,74.0,-88.0,1.0,157.0,160.0,-42.0,-49.0,-70.0,p65_r0
271.0,74.0,-88.0,1.0,158.0,160.0,-41.0,-49.0,-70.0,p65_r0
273.0,73.0,-87.0,2.0,158.0,160.0,-42.0,-49.0,-69.0,p65_r0
269.0,73.0,-87.0,2.0,157.0,160.0,-43.0,-50.0,-69.0,p65_r0
268.0,70.0,-89.0,4.0,156.0,159.0,-42.0,-50.0,-69.0,p65_r0
268.0,70.0,-89.0,5.0,156.0,159.0,-42.0,-50.0,-69.0,p65_r0
265.0,68.0,-89.0,5.0,157.0,158.0,-40.0,-49.0,-68.0,p65_r0
265.0,68.0,-92.0,5.0,157.0,158.0,-40.0,-49.0,-68.0,p65_r0
265.0,68.0,-92.0,4.0,155.0,158.0,-40.0,-49.0,-69.0,p65_r0
263.0,65.0,-92.0,1.0,154.0,158.0,-40.0,-49.0,-69.0,p65_r0
262.0,63.0,-93.0,-2.0,154.0,157.0,-40.0,-49.0,-69.0,p65_r0
262.0,63.0,-92.0,-2.0,154.0,157.0,-40.0,-49.0,-69.0,p65_r0
262.0,63.0,-92.0,1.0,154.0,157.0,-37.0,-49.0,-69.0,p65_r0
262.0,63.0,-92.0,1.0,154.0,157.0,-34.0,-47.0,-68.0,p65_r0
262.0,63.0,-92.0,1.0,154.0,157.0,-34.0,-45.0,-66.0,p65_r0
245.0,62.0,-92.0,-2.0,153.0,157.0,-33.0,-45.0,-66.0,p65_r0
245.0,62.0,-92.0,-3.0,153.0,156.0,-33.0,-45.0,-66.0,p65_r0
244.0,62.0,-92.0,-3.0,150.0,156.0,-33.0,-45.0,-66.0,p65_r0
243.0,59.0,-92.0,-3.0,150.0,156.0,-33.0,-45.0,-66.0,p65_r0
240.0,56.0,-93.0,-3.0,147.0,156.0,-33.0,-45.0,-67.0,p65_r0
243.0,56.0,-93.0,-3.0,150.0,156.0,-32.0,-43.0,-66.0,p65_r0
243.0,59.0,-92.0,-3.0,150.0,156.0,-29.0,-42.0,-63.0,p65_r0
243.0,59.0,-92.0,-3.0,150.0,156.0,-28.0,-40.0,-62.0,p65_r0
243.0,59.0,-92.0,-3.0,150.0,156.0,-28.0,-40.0,-61.0,p65_r0
232.0,56.0,-89.0,-4.0,147.0,155.0,-28.0,-40.0,-60.0,p65_r0
232.0,54.0,-92.0,-4.0,146.0,154.0,-28.0,-40.0,-60.0,p65_r0
227.0,48.0,-92.0,-6.0,144.0,152.0,-28.0,-42.0,-60.0,p65_r0
