SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.8952772,-51.0,0.9030612,-57.0,1.2462462,164.0,0.9611993,-22.0,0.85045046,-83.0,0.8560606,-95.0,0.97307,-15.0,0.91348976,-59.0,0.88830715,-64.0,p15_r45
0.8952772,-51.0,0.9030612,-57.0,1.2462462,164.0,0.962963,-21.0,0.85045046,-83.0,0.8575758,-94.0,0.97307,-15.0,0.91348976,-59.0,0.88830715,-64.0,p15_r45
0.88501024,-56.0,0.9030612,-57.0,1.2462462,164.0,0.9611993,-22.0,0.85045046,-83.0,0.8606061,-92.0,0.9748654,-14.0,0.9120235,-60.0,0.88830715,-64.0,p15_r45
0.88501024,-56.0,0.9030612,-57.0,1.2462462,164.0,0.9611993,-22.0,0.85045046,-83.0,0.8606061,-92.0,0.9748654,-14.0,0.9120235,-60.0,0.88830715,-64.0,p15_r45
0.88295686,-57.0,0.9013606,-58.0,1.2417418,161.0,0.95767194,-24.0,0.85045046,-83.0,0.8590909,-93.0,0.9712747,-16.0,0.90909094,-62.0,0.88830715,-64.0,p15_r45
0.8788501,-59.0,0.9013606,-58.0,1.2417418,161.0,0.95767194,-24.0,0.84864867,-84.0,0.8590909,-93.0,0.9712747,-16.0,0.90909094,-62.0,0.88830715,-64.0,p15_r45
0.8788501,-59.0,0.9013606,-58.0,1.2417418,161.0,0.95767194,-24.0,0.84864867,-84.0,0.8590909,-93.0,0.9712747,-16.0,0.90909094,-62.0,0.88830715,-64.0,p15_r45
0.8788501,-59.0,0.9013606,-58.0,1.2417418,161.0,0.95767194,-24.0,0.84864867,-84.0,0.8590909,-93.0,0.9712747,-16.0,0.90909094,-62.0,0.88830715,-64.0,p15_r45
0.8788501,-59.0,0.9013606,-58.0,1.2417418,161.0,0.95767194,-24.0,0.85045046,-83.0,0.8651515,-89.0,0.9712747,-16.0,0.90909094,-62.0,0.8900524,-63.0,p15_r45
0.8788501,-59.0,0.9013606,-58.0,1.2417418,161.0,0.95943564,-23.0,0.85045046,-83.0,0.8681818,-87.0,0.9748654,-14.0,0.9105572,-61.0,0.89354277,-61.0,p15_r45
0.8809035,-58.0,0.9030612,-57.0,1.2447448,163.0,0.95943564,-23.0,0.85045046,-83.0,0.8681818,-87.0,0.97666067,-13.0,0.9120235,-60.0,0.8987784,-58.0,p15_r45
0.8809035,-58.0,0.9030612,-57.0,1.2447448,163.0,0.95943564,-23.0,0.85225224,-82.0,0.869697,-86.0,0.978456,-12.0,0.9120235,-60.0,0.904014,-55.0,p15_r45
0.88295686,-57.0,0.9013606,-58.0,1.2462462,164.0,0.95943564,-23.0,0.85405403,-81.0,0.8727273,-84.0,0.98204666,-10.0,0.9120235,-60.0,0.9075044,-53.0,p15_r45
0.88295686,-57.0,0.9013606,-58.0,1.2462462,164.0,0.95943564,-23.0,0.85405403,-81.0,0.8712121,-85.0,0.9802514,-11.0,0.9120235,-60.0,0.9075044,-53.0,p15_r45
0.86652976,-65.0,0.89285713,-63.0,1.2732732,182.0,0.9664903,-19.0,0.8468468,-85.0,0.8909091,-72.0,1.0071813,4.0,0.9017595,-67.0,0.90924954,-52.0,p15_r45
0.86652976,-65.0,0.89285713,-63.0,1.2747748,183.0,0.96825397,-18.0,0.8468468,-85.0,0.8909091,-72.0,1.0089767,5.0,0.9017595,-67.0,0.91099477,-51.0,p15_r45
0.85215604,-72.0,0.89115644,-64.0,1.2747748,183.0,0.96825397,-18.0,0.84324324,-87.0,0.8909091,-72.0,1.0089767,5.0,0.8973607,-70.0,0.90924954,-52.0,p15_r45
0.85215604,-72.0,0.8894558,-65.0,1.2732732,182.0,0.96825397,-18.0,0.84324324,-87.0,0.8909091,-72.0,1.0089767,5.0,0.8958944,-71.0,0.90924954,-52.0,p15_r45
0.8234086,-86.0,0.86564624,-79.0,1.2822822,188.0,0.9770723,-13.0,0.83963966,-89.0,0.9318182,-45.0,1.0359067,20.0,0.8797654,-82.0,0.9249564,-43.0,p15_r45
0.8234086,-86.0,0.86564624,-79.0,1.2837838,189.0,0.9770723,-13.0,0.83963966,-89.0,0.9318182,-45.0,1.0359067,20.0,0.8797654,-82.0,0.92844677,-41.0,p15_r45
0.8275154,-84.0,0.86904764,-77.0,1.2837838,189.0,0.978836,-12.0,0.83963966,-89.0,0.9318182,-45.0,1.0359067,20.0,0.8797654,-82.0,0.92844677,-41.0,p15_r45
0.83572894,-80.0,0.86904764,-77.0,1.2837838,189.0,0.978836,-12.0,0.83963966,-89.0,0.9318182,-45.0,1.037702,21.0,0.88123167,-81.0,0.92844677,-41.0,p15_r45
0.8377823,-79.0,0.86904764,-77.0,1.2837838,189.0,0.978836,-12.0,0.84144145,-88.0,0.9318182,-45.0,1.037702,21.0,0.88123167,-81.0,0.92844677,-41.0,p15_r45
0.8377823,-79.0,0.86904764,-77.0,1.2837838,189.0,0.978836,-12.0,0.83963966,-89.0,0.9287879,-47.0,1.0359067,20.0,0.88123167,-81.0,0.92844677,-41.0,p15_r45
0.8377823,-79.0,0.86904764,-77.0,1.2837838,189.0,0.978836,-12.0,0.83963966,-89.0,0.92727274,-48.0,1.0359067,20.0,0.88123167,-81.0,0.92844677,-41.0,p15_r45
0.8377823,-79.0,0.86904764,-77.0,1.2837838,189.0,0.9770723,-13.0,0.83963966,-89.0,0.92424244,-50.0,1.0359067,20.0,0.88123167,-81.0,0.92844677,-41.0,p15_r45
0.8377823,-79.0,0.86904764,-77.0,1.2837838,189.0,0.9770723,-13.0,0.83963966,-89.0,0.9227273,-51.0,1.032316,18.0,0.8797654,-82.0,0.92844677,-41.0,p15_r45
0.8439425,-76.0,0.8741497,-74.0,1.2837838,189.0,0.978836,-12.0,0.83963966,-89.0,0.9227273,-51.0,1.032316,18.0,0.88123167,-81.0,0.930192,-40.0,p15_r45
0.85010266,-73.0,0.872449,-75.0,1.2897898,193.0,0.978836,-12.0,0.83423424,-92.0,0.92121214,-52.0,1.021544,12.0,0.8797654,-82.0,0.92844677,-41.0,p15_r45
0.8439425,-76.0,0.86904764,-77.0,1.2897898,193.0,0.978836,-12.0,0.83423424,-92.0,0.92121214,-52.0,1.021544,12.0,0.8782991,-83.0,0.92670155,-42.0,p15_r45
0.8439425,-76.0,0.86904764,-77.0,1.2897898,193.0,0.98059964,-11.0,0.83423424,-92.0,0.92121214,-52.0,1.0233393,13.0,0.8782991,-83.0,0.92844677,-41.0,p15_r45
