SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.976,-15.0,0.9880952,-6.0,1.1040268,62.0,1.0227617,15.0,1.1102204,55.0,1.1062591,73.0,1.0940666,65.0,0.93858266,-39.0,1.0954129,52.0,p15_r-15
0.9776,-14.0,0.9880952,-6.0,1.1040268,62.0,1.0227617,15.0,1.1122245,56.0,1.1062591,73.0,1.0940666,65.0,0.9401575,-38.0,1.0954129,52.0,p15_r-15
0.968,-20.0,0.99007934,-5.0,1.1107383,66.0,1.0151745,10.0,1.1242485,62.0,1.117904,81.0,1.1013025,70.0,0.93858266,-39.0,1.0972477,53.0,p15_r-15
0.968,-20.0,0.99007934,-5.0,1.114094,68.0,1.0151745,10.0,1.1242485,62.0,1.117904,81.0,1.1013025,70.0,0.93858266,-39.0,1.0972477,53.0,p15_r-15
0.9712,-18.0,0.99206346,-4.0,1.114094,68.0,1.0151745,10.0,1.1242485,62.0,1.117904,81.0,1.1013025,70.0,0.93858266,-39.0,1.0972477,53.0,p15_r-15
0.9712,-18.0,1.0039682,2.0,1.114094,68.0,1.003035,2.0,1.1162325,58.0,1.091703,63.0,1.0911722,63.0,0.9354331,-41.0,1.093578,51.0,p15_r-15
0.9712,-18.0,1.0039682,2.0,1.1107383,66.0,1.0015174,1.0,1.1162325,58.0,1.0873363,60.0,1.0853835,59.0,0.9354331,-41.0,1.0862385,47.0,p15_r-15
0.9712,-18.0,1.0039682,2.0,1.1107383,66.0,0.9969651,-2.0,1.1142285,57.0,1.0858806,59.0,1.0824891,57.0,0.9354331,-41.0,1.0844036,46.0,p15_r-15
0.9712,-18.0,1.0079365,4.0,1.1107383,66.0,0.9969651,-2.0,1.1162325,58.0,1.0800582,55.0,1.0810419,56.0,0.9354331,-41.0,1.0844036,46.0,p15_r-15
0.9744,-16.0,1.0119047,6.0,1.1107383,66.0,0.9969651,-2.0,1.1162325,58.0,1.0800582,55.0,1.0810419,56.0,0.93700784,-40.0,1.0844036,46.0,p15_r-15
0.9776,-14.0,1.0119047,6.0,1.1107383,66.0,0.9969651,-2.0,1.1162325,58.0,1.0800582,55.0,1.0810419,56.0,0.93700784,-40.0,1.0844036,46.0,p15_r-15
0.9744,-16.0,1.0119047,6.0,1.1090604,65.0,0.99241275,-5.0,1.1202404,60.0,1.0756915,52.0,1.0795947,55.0,0.93700784,-40.0,1.0825688,45.0,p15_r-15
0.9712,-18.0,1.0099206,5.0,1.1073825,64.0,0.9908953,-6.0,1.1202404,60.0,1.0756915,52.0,1.0781476,54.0,0.9354331,-41.0,1.0825688,45.0,p15_r-15
0.9664,-21.0,1.0059524,3.0,1.1057047,63.0,0.98937786,-7.0,1.1182364,59.0,1.0742358,51.0,1.0781476,54.0,0.9354331,-41.0,1.0807339,44.0,p15_r-15
0.9664,-21.0,1.0039682,2.0,1.1040268,62.0,0.98937786,-7.0,1.1162325,58.0,1.0713246,49.0,1.0781476,54.0,0.9354331,-41.0,1.0807339,44.0,p15_r-15
0.9632,-23.0,1.0019841,1.0,1.102349,61.0,0.9878604,-8.0,1.1162325,58.0,1.0713246,49.0,1.0767004,53.0,0.9338583,-42.0,1.0807339,44.0,p15_r-15
0.9712,-18.0,1.0099206,5.0,1.1040268,62.0,0.9908953,-6.0,1.1122245,56.0,1.0684134,47.0,1.073806,51.0,0.9354331,-41.0,1.0807339,44.0,p15_r-15
0.968,-20.0,1.0059524,3.0,1.1006712,60.0,0.9878604,-8.0,1.1122245,56.0,1.0684134,47.0,1.073806,51.0,0.9354331,-41.0,1.0752294,41.0,p15_r-15
0.9664,-21.0,1.0039682,2.0,1.0989933,59.0,0.98634297,-9.0,1.1122245,56.0,1.0684134,47.0,1.073806,51.0,0.93228346,-43.0,1.0752294,41.0,p15_r-15
0.9632,-23.0,1.0,0.0,1.0989933,59.0,0.98634297,-9.0,1.1122245,56.0,1.0684134,47.0,1.0723588,50.0,0.92913383,-45.0,1.0752294,41.0,p15_r-15
0.96,-25.0,0.99007934,-5.0,1.0989933,59.0,0.983308,-11.0,1.1122245,56.0,1.0684134,47.0,1.0723588,50.0,0.92913383,-45.0,1.0752294,41.0,p15_r-15
0.96,-25.0,0.99007934,-5.0,1.0989933,59.0,0.98634297,-9.0,1.1122245,56.0,1.0684134,47.0,1.073806,51.0,0.92913383,-45.0,1.0752294,41.0,p15_r-15
0.9616,-24.0,1.0,0.0,1.0989933,59.0,0.98634297,-9.0,1.1142285,57.0,1.0742358,51.0,1.0767004,53.0,0.92913383,-45.0,1.0752294,41.0,p15_r-15
0.9616,-24.0,1.0,0.0,1.0989933,59.0,0.98634297,-9.0,1.1202404,60.0,1.077147,53.0,1.0781476,54.0,0.92913383,-45.0,1.0770643,42.0,p15_r-15
0.9616,-24.0,1.0,0.0,1.0989933,59.0,0.98634297,-9.0,1.1202404,60.0,1.077147,53.0,1.0781476,54.0,0.92913383,-45.0,1.0770643,42.0,p15_r-15
0.9568,-27.0,0.99007934,-5.0,1.0989933,59.0,0.9878604,-8.0,1.1162325,58.0,1.077147,53.0,1.0781476,54.0,0.92913383,-45.0,1.0752294,41.0,p15_r-15
0.9568,-27.0,0.99007934,-5.0,1.0989933,59.0,0.9817906,-12.0,1.1122245,56.0,1.0684134,47.0,1.0767004,53.0,0.92913383,-45.0,1.0752294,41.0,p15_r-15
0.9568,-27.0,0.99007934,-5.0,1.0989933,59.0,0.9817906,-12.0,1.1122245,56.0,1.0684134,47.0,1.0767004,53.0,0.92913383,-45.0,1.0752294,41.0,p15_r-15
0.9536,-29.0,0.984127,-8.0,1.0973154,58.0,0.9817906,-12.0,1.1122245,56.0,1.0684134,47.0,1.0767004,53.0,0.9275591,-46.0,1.0752294,41.0,p15_r-15
0.952,-30.0,0.98214287,-9.0,1.0973154,58.0,0.9817906,-12.0,1.1122245,56.0,1.0684134,47.0,1.0767004,53.0,0.92598426,-47.0,1.0752294,41.0,p15_r-15
0.952,-30.0,0.98214287,-9.0,1.0973154,58.0,0.983308,-11.0,1.1122245,56.0,1.077147,53.0,1.0781476,54.0,0.9275591,-46.0,1.0752294,41.0,p15_r-15
0.9536,-29.0,0.984127,-8.0,1.0973154,58.0,0.98634297,-9.0,1.1122245,56.0,1.077147,53.0,1.0824891,57.0,0.9275591,-46.0,1.0752294,41.0,p15_r-15
0.9568,-27.0,0.99007934,-5.0,1.0973154,58.0,0.98634297,-9.0,1.1122245,56.0,1.077147,53.0,1.0824891,57.0,0.92913383,-45.0,1.0770643,42.0,p15_r-15
0.9584,-26.0,0.99206346,-4.0,1.0989933,59.0,0.9878604,-8.0,1.1122245,56.0,1.077147,53.0,1.0824891,57.0,0.92913383,-45.0,1.0770643,42.0,p15_r-15
0.9632,-23.0,1.0,0.0,1.0989933,59.0,0.98937786,-7.0,1.1102204,55.0,1.0684134,47.0,1.0839363,58.0,0.92913383,-45.0,1.0752294,41.0,p15_r-15
0.9568,-27.0,0.99603176,-2.0,1.0989933,59.0,0.98634297,-9.0,1.1102204,55.0,1.0669578,46.0,1.0781476,54.0,0.92913383,-45.0,1.0733945,40.0,p15_r-15
0.9536,-29.0,0.99206346,-4.0,1.0989933,59.0,0.98634297,-9.0,1.1102204,55.0,1.0640466,44.0,1.0767004,53.0,0.92913383,-45.0,1.0715597,39.0,p15_r-15
