SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.74,-169.0,0.5409556,-269.0,0.5407407,-310.0,0.90580845,-60.0,0.9611231,-18.0,0.2698908,-468.0,0.9010791,-55.0,0.53807944,-279.0,0.90097404,-61.0,6
0.7323077,-174.0,0.5409556,-269.0,0.5377778,-312.0,0.90580845,-60.0,0.9611231,-18.0,0.2698908,-468.0,0.8938849,-59.0,0.53145695,-283.0,0.90097404,-61.0,6
0.7092308,-189.0,0.5392491,-270.0,0.53481483,-314.0,0.90580845,-60.0,0.9546436,-21.0,0.25429016,-478.0,0.89928055,-56.0,0.5298013,-284.0,0.90584415,-58.0,6
0.7092308,-189.0,0.5392491,-270.0,0.5377778,-312.0,0.90580845,-60.0,0.95680344,-20.0,0.2698908,-468.0,0.9010791,-55.0,0.53145695,-283.0,0.91071427,-55.0,6
0.6876923,-203.0,0.5324232,-274.0,0.5377778,-312.0,0.90423864,-61.0,0.9546436,-21.0,0.2698908,-468.0,0.9010791,-55.0,0.5331126,-282.0,0.91233766,-54.0,6
0.67538464,-211.0,0.5221843,-280.0,0.53481483,-314.0,0.9026688,-62.0,0.94600433,-25.0,0.25429016,-478.0,0.9010791,-55.0,0.5215232,-289.0,0.91558444,-52.0,6
0.6738461,-212.0,0.5221843,-280.0,0.522963,-322.0,0.9010989,-63.0,0.94600433,-25.0,0.24180967,-486.0,0.89928055,-56.0,0.51986754,-290.0,0.91558444,-52.0,6
0.67230767,-213.0,0.51877135,-282.0,0.522963,-322.0,0.89952904,-64.0,0.94600433,-25.0,0.24180967,-486.0,0.89928055,-56.0,0.51986754,-290.0,0.91558444,-52.0,6
0.67230767,-213.0,0.51877135,-282.0,0.53481483,-314.0,0.89952904,-64.0,0.94600433,-25.0,0.25429016,-478.0,0.9010791,-55.0,0.5215232,-289.0,0.9220779,-48.0,6
0.67230767,-213.0,0.51877135,-282.0,0.53925925,-311.0,0.89952904,-64.0,0.94600433,-25.0,0.25429016,-478.0,0.9010791,-55.0,0.5231788,-288.0,0.9237013,-47.0,6
0.67230767,-213.0,0.51877135,-282.0,0.5422222,-309.0,0.89952904,-64.0,0.94600433,-25.0,0.26833072,-469.0,0.9010791,-55.0,0.5281457,-285.0,0.9253247,-46.0,6
0.67230767,-213.0,0.51877135,-282.0,0.5451852,-307.0,0.89952904,-64.0,0.950324,-23.0,0.2776911,-463.0,0.9064748,-52.0,0.53642386,-280.0,0.9318182,-42.0,6
0.65076923,-227.0,0.5153584,-284.0,0.54814816,-305.0,0.89481944,-67.0,0.950324,-23.0,0.30577224,-445.0,0.9010791,-55.0,0.53642386,-280.0,0.9318182,-42.0,6
0.6169231,-249.0,0.49829352,-294.0,0.50814813,-332.0,0.9120879,-56.0,0.94816417,-24.0,0.20904836,-507.0,0.93345326,-37.0,0.48178807,-313.0,0.96753246,-20.0,6
0.63384616,-238.0,0.5017065,-292.0,0.50814813,-332.0,0.91522765,-54.0,0.9546436,-21.0,0.20904836,-507.0,0.93345326,-37.0,0.48178807,-313.0,0.96753246,-20.0,6
0.6523077,-226.0,0.50341296,-291.0,0.50814813,-332.0,0.91522765,-54.0,0.9676026,-15.0,0.20904836,-507.0,0.93345326,-37.0,0.48675495,-310.0,0.96753246,-20.0,6
0.6646154,-218.0,0.51194537,-286.0,0.50074077,-337.0,0.9183673,-52.0,0.9546436,-21.0,0.20280811,-511.0,0.93345326,-37.0,0.48675495,-310.0,0.9529221,-29.0,6
0.6646154,-218.0,0.51194537,-286.0,0.49925926,-338.0,0.91679746,-53.0,0.9546436,-21.0,0.19812793,-514.0,0.9316547,-38.0,0.48675495,-310.0,0.9480519,-32.0,6
0.6646154,-218.0,0.51194537,-286.0,0.4962963,-340.0,0.91679746,-53.0,0.9546436,-21.0,0.19656786,-515.0,0.9316547,-38.0,0.48675495,-310.0,0.9480519,-32.0,6
0.6646154,-218.0,0.50511944,-290.0,0.4948148,-341.0,0.91679746,-53.0,0.9546436,-21.0,0.19656786,-515.0,0.9316547,-38.0,0.48675495,-310.0,0.9480519,-32.0,6
0.6523077,-226.0,0.5017065,-292.0,0.4948148,-341.0,0.9120879,-56.0,0.9546436,-21.0,0.19344774,-517.0,0.92805755,-40.0,0.48675495,-310.0,0.9480519,-32.0,6
0.63384616,-238.0,0.47098976,-310.0,0.50074077,-337.0,0.9372057,-40.0,1.036717,17.0,0.18408737,-523.0,0.9352518,-36.0,0.4536424,-330.0,0.9724026,-17.0,6
0.63384616,-238.0,0.47440273,-308.0,0.50666666,-333.0,0.93877554,-39.0,1.036717,17.0,0.21216848,-505.0,0.9352518,-36.0,0.47019866,-320.0,0.97727275,-14.0,6
0.63384616,-238.0,0.4880546,-300.0,0.50814813,-332.0,0.94034535,-38.0,1.036717,17.0,0.23868954,-488.0,0.93705034,-35.0,0.47682118,-316.0,0.9788961,-13.0,6
0.6353846,-237.0,0.48293516,-303.0,0.5096296,-331.0,0.93877554,-39.0,1.0323974,15.0,0.24492979,-484.0,0.9352518,-36.0,0.47682118,-316.0,0.98376626,-10.0,6
0.6353846,-237.0,0.4880546,-300.0,0.51703703,-326.0,0.94034535,-38.0,1.0323974,15.0,0.24492979,-484.0,0.93345326,-37.0,0.47682118,-316.0,0.9853896,-9.0,6
0.6353846,-237.0,0.4880546,-300.0,0.52,-324.0,0.94034535,-38.0,1.036717,17.0,0.24492979,-484.0,0.93345326,-37.0,0.47682118,-316.0,0.9886364,-7.0,6
0.59076923,-266.0,0.43515357,-331.0,0.5051852,-334.0,0.94034535,-38.0,1.0302376,14.0,0.20592824,-509.0,0.9388489,-34.0,0.4254967,-347.0,1.0211039,13.0,6
0.52153844,-311.0,0.4112628,-345.0,0.50666666,-333.0,0.93877554,-39.0,1.0323974,15.0,0.2074883,-508.0,0.9352518,-36.0,0.4271523,-346.0,1.0243506,15.0,6
0.52153844,-311.0,0.4112628,-345.0,0.50666666,-333.0,0.93877554,-39.0,1.0302376,14.0,0.2074883,-508.0,0.9352518,-36.0,0.42384106,-348.0,1.0194805,12.0,6
0.52153844,-311.0,0.4112628,-345.0,0.50666666,-333.0,0.93877554,-39.0,1.0302376,14.0,0.2074883,-508.0,0.9352518,-36.0,0.42384106,-348.0,1.0178572,11.0,6
0.52153844,-311.0,0.4112628,-345.0,0.50666666,-333.0,0.93406594,-42.0,1.0302376,14.0,0.2074883,-508.0,0.93345326,-37.0,0.42384106,-348.0,0.9983766,-1.0,6
0.52153844,-311.0,0.4112628,-345.0,0.50666666,-333.0,0.93406594,-42.0,1.0302376,14.0,0.2074883,-508.0,0.93345326,-37.0,0.42384106,-348.0,0.9983766,-1.0,6
0.52307695,-310.0,0.42320818,-338.0,0.50666666,-333.0,0.93406594,-42.0,1.0323974,15.0,0.21684867,-502.0,0.9352518,-36.0,0.4254967,-347.0,0.9983766,-1.0,6
