SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.5750395,-269.0,0.6201299,-234.0,0.7258883,-162.0,1.0826771,42.0,0.8812095,-55.0,0.73571426,-185.0,1.0071301,4.0,0.6023166,-206.0,1.0608203,43.0,0
0.5671406,-274.0,0.6201299,-234.0,0.71912014,-166.0,1.0826771,42.0,0.8812095,-55.0,0.73571426,-185.0,1.0071301,4.0,0.5945946,-210.0,1.0608203,43.0,0
0.5671406,-274.0,0.6168831,-236.0,0.71912014,-166.0,1.0767716,39.0,0.8812095,-55.0,0.72571427,-192.0,1.0071301,4.0,0.5888031,-213.0,1.0608203,43.0,0
0.5671406,-274.0,0.6168831,-236.0,0.71912014,-166.0,1.0767716,39.0,0.8812095,-55.0,0.72571427,-192.0,1.0071301,4.0,0.5888031,-213.0,1.0622348,44.0,0
0.5671406,-274.0,0.6168831,-236.0,0.71912014,-166.0,1.0767716,39.0,0.8812095,-55.0,0.72571427,-192.0,1.0071301,4.0,0.5888031,-213.0,1.0650636,46.0,0
0.5671406,-274.0,0.6168831,-236.0,0.71912014,-166.0,1.0767716,39.0,0.8812095,-55.0,0.72571427,-192.0,1.0071301,4.0,0.5888031,-213.0,1.0650636,46.0,0
0.5671406,-274.0,0.6168831,-236.0,0.7258883,-162.0,1.0767716,39.0,0.8812095,-55.0,0.72571427,-192.0,1.0071301,4.0,0.5888031,-213.0,1.0707214,50.0,0
0.53238547,-296.0,0.60227275,-245.0,0.7208122,-165.0,1.0767716,39.0,0.8812095,-55.0,0.73,-189.0,1.0089127,5.0,0.5849421,-215.0,1.0707214,50.0,0
0.53238547,-296.0,0.59577924,-249.0,0.7208122,-165.0,1.0767716,39.0,0.8725702,-59.0,0.72571427,-192.0,1.0089127,5.0,0.56177604,-227.0,1.0650636,46.0,0
0.53238547,-296.0,0.59577924,-249.0,0.71912014,-166.0,1.0728346,37.0,0.8725702,-59.0,0.72,-196.0,1.0017825,1.0,0.56177604,-227.0,1.0650636,46.0,0
0.53238547,-296.0,0.59577924,-249.0,0.71912014,-166.0,1.0728346,37.0,0.8725702,-59.0,0.72,-196.0,1.0017825,1.0,0.56177604,-227.0,1.0650636,46.0,0
0.53238547,-296.0,0.59577924,-249.0,0.71912014,-166.0,1.0728346,37.0,0.8725702,-59.0,0.72,-196.0,1.0017825,1.0,0.56177604,-227.0,1.0650636,46.0,0
0.53238547,-296.0,0.59577924,-249.0,0.71912014,-166.0,1.0748031,38.0,0.8725702,-59.0,0.72571427,-192.0,1.0017825,1.0,0.56177604,-227.0,1.0678926,48.0,0
