SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
116.0,438.0,52.0,-602.0,-439.0,313.0,-121.0,448.0,-464.0,9
114.0,422.0,52.0,-599.0,-438.0,310.0,-121.0,448.0,-459.0,9
65.0,383.0,52.0,-583.0,-415.0,298.0,-111.0,448.0,-438.0,9
64.0,381.0,52.0,-583.0,-414.0,299.0,-112.0,448.0,-440.0,9
62.0,380.0,52.0,-585.0,-416.0,298.0,-112.0,448.0,-440.0,9
62.0,375.0,52.0,-585.0,-418.0,298.0,-112.0,448.0,-442.0,9
59.0,371.0,53.0,-585.0,-414.0,298.0,-108.0,448.0,-437.0,9
59.0,374.0,53.0,-585.0,-414.0,300.0,-106.0,448.0,-437.0,9
59.0,378.0,54.0,-585.0,-414.0,300.0,-106.0,448.0,-435.0,9
55.0,376.0,54.0,-588.0,-416.0,299.0,-105.0,448.0,-432.0,9
55.0,376.0,53.0,-588.0,-417.0,299.0,-106.0,448.0,-433.0,9
55.0,376.0,52.0,-589.0,-417.0,299.0,-106.0,448.0,-433.0,9
51.0,376.0,52.0,-590.0,-418.0,299.0,-106.0,448.0,-433.0,9
51.0,374.0,49.0,-589.0,-418.0,293.0,-105.0,448.0,-432.0,9
51.0,374.0,49.0,-589.0,-418.0,293.0,-105.0,448.0,-432.0,9
51.0,374.0,49.0,-588.0,-416.0,294.0,-105.0,448.0,-429.0,9
51.0,374.0,52.0,-588.0,-415.0,296.0,-103.0,448.0,-428.0,9
51.0,376.0,52.0,-587.0,-414.0,296.0,-103.0,448.0,-428.0,9
52.0,376.0,54.0,-587.0,-412.0,296.0,-103.0,448.0,-427.0,9
51.0,376.0,54.0,-585.0,-412.0,296.0,-103.0,448.0,-423.0,9
51.0,374.0,54.0,-587.0,-414.0,294.0,-103.0,448.0,-428.0,9
48.0,373.0,52.0,-587.0,-416.0,293.0,-103.0,448.0,-428.0,9
48.0,371.0,49.0,-589.0,-416.0,292.0,-106.0,448.0,-428.0,9
45.0,370.0,49.0,-591.0,-418.0,292.0,-106.0,448.0,-428.0,9
45.0,370.0,50.0,-589.0,-418.0,292.0,-104.0,448.0,-428.0,9
47.0,370.0,50.0,-589.0,-416.0,293.0,-104.0,448.0,-426.0,9
47.0,370.0,50.0,-589.0,-416.0,293.0,-104.0,448.0,-425.0,9
47.0,371.0,50.0,-587.0,-416.0,293.0,-104.0,448.0,-425.0,9
46.0,371.0,49.0,-588.0,-417.0,292.0,-107.0,448.0,-424.0,9
45.0,371.0,49.0,-588.0,-417.0,291.0,-108.0,448.0,-424.0,9
45.0,370.0,49.0,-588.0,-418.0,286.0,-108.0,448.0,-424.0,9
45.0,369.0,48.0,-588.0,-418.0,286.0,-108.0,448.0,-425.0,9
44.0,368.0,48.0,-589.0,-418.0,286.0,-108.0,448.0,-425.0,9
44.0,368.0,49.0,-588.0,-417.0,286.0,-108.0,448.0,-424.0,9
45.0,368.0,49.0,-587.0,-417.0,287.0,-107.0,448.0,-423.0,9
45.0,368.0,49.0,-587.0,-415.0,287.0,-107.0,448.0,-421.0,9
45.0,368.0,51.0,-585.0,-415.0,290.0,-106.0,448.0,-421.0,9
46.0,367.0,49.0,-584.0,-415.0,287.0,-105.0,448.0,-420.0,9
43.0,367.0,49.0,-584.0,-415.0,287.0,-107.0,448.0,-420.0,9
43.0,365.0,49.0,-587.0,-415.0,287.0,-107.0,448.0,-420.0,9
43.0,365.0,49.0,-587.0,-415.0,287.0,-107.0,448.0,-421.0,9
43.0,364.0,49.0,-587.0,-415.0,287.0,-107.0,448.0,-421.0,9
43.0,365.0,49.0,-584.0,-415.0,288.0,-105.0,448.0,-420.0,9
44.0,365.0,52.0,-584.0,-414.0,288.0,-103.0,448.0,-419.0,9
45.0,367.0,52.0,-580.0,-413.0,288.0,-103.0,448.0,-417.0,9
45.0,367.0,54.0,-580.0,-412.0,289.0,-103.0,448.0,-417.0,9
43.0,365.0,53.0,-581.0,-413.0,288.0,-103.0,448.0,-417.0,9
43.0,365.0,52.0,-581.0,-413.0,286.0,-103.0,448.0,-417.0,9
43.0,365.0,52.0,-582.0,-413.0,285.0,-104.0,448.0,-417.0,9
42.0,364.0,52.0,-583.0,-413.0,285.0,-104.0,448.0,-417.0,9
