SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
66.0,17.0,166.0,83.0,-48.0,-3.0,195.0,84.0,50.0,120
66.0,17.0,168.0,83.0,-46.0,-3.0,195.0,84.0,50.0,120
66.0,17.0,168.0,83.0,-43.0,-3.0,195.0,84.0,50.0,120
68.0,19.0,168.0,84.0,-43.0,-3.0,195.0,84.0,50.0,120
77.0,19.0,168.0,86.0,-43.0,-3.0,195.0,85.0,50.0,120
69.0,9.0,151.0,83.0,-53.0,-16.0,187.0,85.0,43.0,120
69.0,9.0,153.0,84.0,-52.0,-16.0,187.0,85.0,43.0,120
69.0,9.0,153.0,84.0,-52.0,-15.0,188.0,85.0,44.0,120
69.0,9.0,158.0,84.0,-48.0,-14.0,188.0,86.0,45.0,120
69.0,9.0,158.0,84.0,-42.0,-12.0,189.0,86.0,46.0,120
66.0,4.0,158.0,85.0,-42.0,-14.0,188.0,86.0,45.0,120
65.0,2.0,154.0,83.0,-42.0,-14.0,188.0,85.0,44.0,120
65.0,2.0,154.0,83.0,-48.0,-14.0,188.0,85.0,44.0,120
65.0,2.0,154.0,82.0,-48.0,-14.0,188.0,85.0,44.0,120
64.0,0.0,154.0,82.0,-48.0,-14.0,188.0,85.0,43.0,120
65.0,2.0,154.0,83.0,-43.0,-14.0,188.0,85.0,44.0,120
66.0,2.0,154.0,84.0,-43.0,-12.0,188.0,86.0,44.0,120
67.0,4.0,158.0,85.0,-42.0,-12.0,188.0,87.0,45.0,120
68.0,5.0,158.0,86.0,-42.0,-11.0,191.0,87.0,45.0,120
65.0,2.0,156.0,83.0,-46.0,-17.0,188.0,87.0,40.0,120
65.0,2.0,153.0,83.0,-48.0,-20.0,184.0,87.0,39.0,120
65.0,2.0,151.0,83.0,-48.0,-21.0,184.0,85.0,39.0,120
67.0,2.0,151.0,85.0,-48.0,-21.0,184.0,87.0,39.0,120
74.0,4.0,151.0,87.0,-48.0,-21.0,184.0,87.0,39.0,120
74.0,4.0,151.0,87.0,-48.0,-21.0,184.0,87.0,39.0,120
74.0,4.0,151.0,87.0,-46.0,-20.0,188.0,87.0,39.0,120
67.0,2.0,148.0,85.0,-46.0,-21.0,185.0,85.0,38.0,120
67.0,2.0,146.0,85.0,-48.0,-28.0,184.0,85.0,37.0,120
67.0,2.0,144.0,85.0,-48.0,-29.0,183.0,85.0,36.0,120
67.0,2.0,139.0,85.0,-53.0,-31.0,182.0,85.0,35.0,120
79.0,4.0,139.0,88.0,-55.0,-31.0,183.0,92.0,35.0,120
79.0,5.0,136.0,88.0,-55.0,-37.0,183.0,94.0,33.0,120
79.0,5.0,130.0,88.0,-56.0,-41.0,180.0,94.0,30.0,120
79.0,5.0,130.0,88.0,-63.0,-43.0,177.0,92.0,28.0,120
79.0,2.0,129.0,88.0,-64.0,-43.0,177.0,92.0,28.0,120
79.0,2.0,127.0,88.0,-67.0,-43.0,177.0,92.0,28.0,120
79.0,2.0,127.0,88.0,-64.0,-43.0,177.0,92.0,28.0,120
79.0,2.0,127.0,88.0,-64.0,-43.0,177.0,94.0,28.0,120
80.0,3.0,127.0,89.0,-63.0,-43.0,180.0,94.0,28.0,120
81.0,5.0,127.0,91.0,-63.0,-43.0,180.0,95.0,28.0,120
84.0,4.0,129.0,89.0,-56.0,-43.0,181.0,94.0,30.0,120
80.0,4.0,124.0,89.0,-64.0,-45.0,180.0,94.0,28.0,120
80.0,4.0,124.0,88.0,-65.0,-49.0,179.0,94.0,28.0,120
80.0,3.0,124.0,88.0,-66.0,-50.0,177.0,94.0,26.0,120
80.0,3.0,124.0,87.0,-66.0,-50.0,177.0,94.0,26.0,120
80.0,3.0,124.0,87.0,-66.0,-49.0,177.0,94.0,28.0,120
80.0,3.0,124.0,87.0,-65.0,-45.0,179.0,94.0,28.0,120
80.0,3.0,128.0,87.0,-64.0,-43.0,180.0,94.0,29.0,120
80.0,3.0,129.0,87.0,-56.0,-43.0,181.0,94.0,30.0,120
73.0,0.0,128.0,84.0,-46.0,-37.0,181.0,83.0,31.0,120
