SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
106.0,57.0,87.0,127.0,-8.0,-56.0,210.0,94.0,64.0,40
106.0,57.0,87.0,127.0,-8.0,-56.0,210.0,92.0,58.0,40
106.0,57.0,87.0,126.0,-8.0,-56.0,210.0,92.0,58.0,40
105.0,57.0,87.0,125.0,-8.0,-56.0,210.0,91.0,58.0,40
103.0,57.0,87.0,125.0,-8.0,-56.0,210.0,91.0,58.0,40
103.0,57.0,88.0,125.0,-6.0,-48.0,212.0,91.0,63.0,40
103.0,57.0,89.0,125.0,-2.0,-46.0,213.0,91.0,64.0,40
103.0,57.0,94.0,125.0,-2.0,-45.0,213.0,91.0,64.0,40
103.0,57.0,96.0,125.0,-2.0,-41.0,214.0,91.0,64.0,40
98.0,57.0,99.0,125.0,-7.0,-41.0,213.0,91.0,66.0,40
98.0,57.0,99.0,123.0,-8.0,-41.0,213.0,91.0,64.0,40
96.0,54.0,99.0,122.0,-8.0,-41.0,213.0,90.0,64.0,40
94.0,53.0,99.0,122.0,-8.0,-41.0,213.0,89.0,64.0,40
94.0,53.0,99.0,121.0,-9.0,-41.0,213.0,89.0,64.0,40
94.0,54.0,103.0,121.0,-8.0,-35.0,213.0,89.0,66.0,40
94.0,57.0,110.0,121.0,-8.0,-32.0,216.0,89.0,68.0,40
95.0,57.0,112.0,122.0,-7.0,-21.0,216.0,89.0,71.0,40
95.0,59.0,121.0,122.0,-6.0,-19.0,216.0,89.0,71.0,40
95.0,59.0,130.0,122.0,-7.0,-16.0,216.0,86.0,71.0,40
94.0,57.0,118.0,122.0,-7.0,-21.0,216.0,86.0,71.0,40
88.0,57.0,112.0,121.0,-7.0,-21.0,216.0,86.0,71.0,40
87.0,54.0,112.0,121.0,-7.0,-21.0,216.0,85.0,71.0,40
86.0,54.0,112.0,121.0,-7.0,-21.0,216.0,85.0,71.0,40
87.0,56.0,118.0,121.0,-2.0,-16.0,216.0,85.0,74.0,40
88.0,57.0,130.0,121.0,-2.0,-16.0,216.0,86.0,74.0,40
94.0,57.0,132.0,121.0,-2.0,-16.0,218.0,86.0,75.0,40
95.0,58.0,132.0,122.0,-2.0,-16.0,218.0,87.0,75.0,40
97.0,57.0,118.0,122.0,-3.0,-24.0,216.0,88.0,71.0,40
97.0,57.0,105.0,122.0,-3.0,-27.0,213.0,87.0,69.0,40
97.0,56.0,102.0,122.0,-3.0,-36.0,211.0,87.0,66.0,40
97.0,55.0,101.0,122.0,-3.0,-41.0,211.0,87.0,66.0,40
97.0,54.0,95.0,122.0,-7.0,-44.0,209.0,87.0,66.0,40
98.0,54.0,95.0,123.0,-3.0,-44.0,211.0,87.0,66.0,40
98.0,55.0,95.0,127.0,-3.0,-44.0,211.0,88.0,66.0,40
98.0,55.0,95.0,127.0,-2.0,-41.0,211.0,88.0,66.0,40
98.0,55.0,95.0,128.0,0.0,-41.0,212.0,88.0,67.0,40
99.0,52.0,85.0,128.0,0.0,-45.0,211.0,88.0,66.0,40
99.0,49.0,85.0,128.0,0.0,-51.0,210.0,88.0,66.0,40
98.0,46.0,82.0,128.0,0.0,-51.0,208.0,87.0,66.0,40
98.0,45.0,80.0,127.0,0.0,-55.0,207.0,87.0,66.0,40
95.0,43.0,69.0,127.0,0.0,-60.0,207.0,87.0,64.0,40
95.0,43.0,69.0,127.0,1.0,-56.0,207.0,87.0,66.0,40
95.0,43.0,77.0,127.0,5.0,-55.0,208.0,88.0,66.0,40
95.0,43.0,77.0,127.0,6.0,-55.0,208.0,88.0,66.0,40
95.0,43.0,77.0,128.0,8.0,-55.0,208.0,90.0,66.0,40
98.0,38.0,66.0,128.0,13.0,-62.0,207.0,88.0,66.0,40
93.0,37.0,55.0,127.0,13.0,-63.0,206.0,88.0,63.0,40
93.0,34.0,51.0,127.0,12.0,-68.0,204.0,88.0,63.0,40
91.0,33.0,51.0,126.0,12.0,-73.0,194.0,88.0,61.0,40
91.0,33.0,44.0,126.0,6.0,-80.0,193.0,88.0,58.0,40
61.0,22.0,109.0,143.0,-66.0,-61.0,14.0,12.0,64.0,40
62.0,22.0,109.0,144.0,-66.0,-61.0,14.0,13.0,64.0,40
65.0,18.0,97.0,152.0,-79.0,-75.0,7.0,15.0,57.0,40
65.0,12.0,93.0,152.0,-79.0,-77.0,7.0,15.0,53.0,40
