SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.916955,-48.0,0.86634463,-83.0,0.904661,-45.0,0.6491935,-174.0,0.78723407,-130.0,0.81060606,-100.0,0.9627451,-19.0,0.9731993,-16.0,0.83767533,-81.0,9
0.91868514,-47.0,0.8679549,-82.0,0.904661,-45.0,0.6491935,-174.0,0.78723407,-130.0,0.81060606,-100.0,0.9647059,-18.0,0.9731993,-16.0,0.8416834,-79.0,9
0.91868514,-47.0,0.8679549,-82.0,0.9088983,-43.0,0.6491935,-174.0,0.78723407,-130.0,0.81060606,-100.0,0.96862745,-16.0,0.9731993,-16.0,0.8476954,-76.0,9
0.91868514,-47.0,0.8679549,-82.0,0.9088983,-43.0,0.6491935,-174.0,0.78723407,-130.0,0.81060606,-100.0,0.96862745,-16.0,0.9748744,-15.0,0.8496994,-75.0,9
0.9204152,-46.0,0.8695652,-81.0,0.904661,-45.0,0.64314514,-177.0,0.7725041,-139.0,0.7935606,-109.0,0.972549,-14.0,0.9731993,-16.0,0.8557114,-72.0,9
0.9204152,-46.0,0.8695652,-81.0,0.904661,-45.0,0.64314514,-177.0,0.7806874,-134.0,0.7935606,-109.0,0.9745098,-13.0,0.9731993,-16.0,0.8557114,-72.0,9
0.9204152,-46.0,0.8695652,-81.0,0.904661,-45.0,0.64314514,-177.0,0.7806874,-134.0,0.7935606,-109.0,0.9745098,-13.0,0.9731993,-16.0,0.8577154,-71.0,9
0.916955,-48.0,0.8679549,-82.0,0.89830506,-48.0,0.6451613,-176.0,0.7823241,-133.0,0.7973485,-107.0,0.9745098,-13.0,0.96482414,-21.0,0.85971946,-70.0,9
0.9134948,-50.0,0.8647343,-84.0,0.8940678,-50.0,0.6451613,-176.0,0.7823241,-133.0,0.78977275,-111.0,0.9745098,-13.0,0.959799,-24.0,0.85971946,-70.0,9
0.9134948,-50.0,0.8647343,-84.0,0.8940678,-50.0,0.6451613,-176.0,0.7839607,-132.0,0.78977275,-111.0,0.9745098,-13.0,0.959799,-24.0,0.85971946,-70.0,9
0.9134948,-50.0,0.86634463,-83.0,0.8940678,-50.0,0.6451613,-176.0,0.7839607,-132.0,0.79545456,-108.0,0.9764706,-12.0,0.96147406,-23.0,0.85971946,-70.0,9
