SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
-22.0,16.0,44.0,-108.0,-116.0,91.0,55.0,7.0,41.0,3
-31.0,10.0,39.0,-114.0,-127.0,84.0,52.0,4.0,42.0,3
-31.0,10.0,36.0,-118.0,-131.0,79.0,52.0,-1.0,42.0,3
-33.0,9.0,33.0,-122.0,-134.0,73.0,52.0,-1.0,41.0,3
-35.0,8.0,30.0,-122.0,-135.0,70.0,52.0,-2.0,41.0,3
-36.0,7.0,28.0,-124.0,-135.0,69.0,52.0,-5.0,41.0,3
-36.0,7.0,28.0,-123.0,-135.0,70.0,53.0,-5.0,42.0,3
-36.0,7.0,28.0,-122.0,-135.0,70.0,53.0,-5.0,45.0,3
-36.0,8.0,28.0,-122.0,-134.0,72.0,55.0,-3.0,52.0,3
-36.0,8.0,28.0,-122.0,-133.0,72.0,57.0,-3.0,53.0,3
-37.0,5.0,18.0,-122.0,-131.0,73.0,58.0,-2.0,52.0,3
-37.0,4.0,18.0,-123.0,-131.0,70.0,58.0,-4.0,52.0,3
-38.0,4.0,18.0,-123.0,-134.0,70.0,58.0,-4.0,52.0,3
-40.0,0.0,12.0,-123.0,-132.0,71.0,56.0,-6.0,51.0,3
-40.0,0.0,12.0,-122.0,-129.0,72.0,56.0,-6.0,52.0,3
-40.0,0.0,12.0,-122.0,-128.0,72.0,56.0,-6.0,52.0,3
-39.0,0.0,12.0,-121.0,-127.0,73.0,56.0,-6.0,55.0,3
-39.0,1.0,13.0,-121.0,-127.0,74.0,59.0,-6.0,57.0,3
-38.0,2.0,13.0,-120.0,-125.0,75.0,59.0,-5.0,58.0,3
-38.0,2.0,12.0,-120.0,-125.0,75.0,59.0,-5.0,58.0,3
-37.0,7.0,13.0,-119.0,-117.0,83.0,57.0,-1.0,57.0,3
-37.0,6.0,13.0,-119.0,-117.0,83.0,57.0,-1.0,57.0,3
-36.0,7.0,20.0,-117.0,-114.0,83.0,58.0,0.0,57.0,3
-35.0,8.0,21.0,-113.0,-111.0,86.0,61.0,2.0,57.0,3
-31.0,8.0,21.0,-112.0,-108.0,87.0,62.0,2.0,57.0,3
-31.0,9.0,23.0,-112.0,-99.0,96.0,62.0,2.0,57.0,3
-31.0,10.0,26.0,-111.0,-99.0,103.0,63.0,3.0,59.0,3
-36.0,9.0,26.0,-111.0,-101.0,103.0,62.0,3.0,59.0,3
-36.0,9.0,26.0,-111.0,-101.0,95.0,62.0,3.0,57.0,3
-36.0,9.0,26.0,-111.0,-101.0,95.0,61.0,2.0,56.0,3
-32.0,14.0,35.0,-106.0,-98.0,105.0,62.0,4.0,57.0,3
-31.0,16.0,36.0,-108.0,-97.0,107.0,63.0,5.0,56.0,3
-33.0,16.0,36.0,-108.0,-97.0,107.0,61.0,5.0,54.0,3
-33.0,14.0,36.0,-108.0,-97.0,107.0,61.0,4.0,54.0,3
-33.0,14.0,36.0,-108.0,-97.0,107.0,61.0,4.0,52.0,3
-33.0,14.0,36.0,-108.0,-97.0,107.0,61.0,4.0,51.0,3
-31.0,16.0,38.0,-108.0,-93.0,109.0,61.0,5.0,51.0,3
-25.0,16.0,41.0,-108.0,-92.0,111.0,61.0,6.0,51.0,3
-23.0,27.0,51.0,-108.0,-85.0,112.0,61.0,9.0,51.0,3
-23.0,27.0,54.0,-108.0,-85.0,112.0,61.0,9.0,51.0,3
-19.0,31.0,59.0,-111.0,-84.0,112.0,61.0,8.0,31.0,3
-23.0,30.0,61.0,-113.0,-85.0,115.0,56.0,7.0,22.0,3
-27.0,27.0,61.0,-113.0,-85.0,115.0,56.0,7.0,22.0,3
-27.0,27.0,59.0,-113.0,-85.0,115.0,56.0,7.0,20.0,3
-27.0,27.0,61.0,-113.0,-85.0,116.0,56.0,7.0,22.0,3
-27.0,27.0,61.0,-113.0,-85.0,121.0,56.0,7.0,22.0,3
-25.0,27.0,63.0,-113.0,-84.0,121.0,59.0,7.0,22.0,3
-25.0,30.0,64.0,-112.0,-84.0,121.0,59.0,8.0,22.0,3
-24.0,27.0,68.0,-113.0,-79.0,122.0,59.0,8.0,23.0,3
-26.0,27.0,63.0,-113.0,-84.0,121.0,56.0,7.0,23.0,3
