SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
1.2397959,141.0,1.1925373,129.0,0.6926148,-154.0,0.6348074,-256.0,0.39029127,-314.0,0.9058219,-55.0,1.042885,22.0,1.3835821,257.0,0.8304821,-109.0,5
1.2397959,141.0,1.1925373,129.0,0.6926148,-154.0,0.6362339,-255.0,0.392233,-313.0,0.9058219,-55.0,1.0448343,23.0,1.3835821,257.0,0.8320373,-108.0,5
1.2397959,141.0,1.1925373,129.0,0.6926148,-154.0,0.6376605,-254.0,0.39805827,-310.0,0.90753424,-54.0,1.0467836,24.0,1.3835821,257.0,0.83825815,-104.0,5
1.2414966,142.0,1.1895522,127.0,0.6946108,-153.0,0.639087,-253.0,0.4,-309.0,0.9058219,-55.0,1.0506823,26.0,1.3835821,257.0,0.84136856,-102.0,5
1.2397959,141.0,1.1895522,127.0,0.6886228,-156.0,0.639087,-253.0,0.4,-309.0,0.9058219,-55.0,1.0506823,26.0,1.3835821,257.0,0.84136856,-102.0,5
1.2397959,141.0,1.1850746,124.0,0.6886228,-156.0,0.639087,-253.0,0.4,-309.0,0.90068495,-58.0,1.0506823,26.0,1.377612,253.0,0.84136856,-102.0,5
1.2346939,138.0,1.1850746,124.0,0.68063873,-160.0,0.639087,-253.0,0.4,-309.0,0.89726025,-60.0,1.0506823,26.0,1.377612,253.0,0.84136856,-102.0,5
1.2346939,138.0,1.1835821,123.0,0.68063873,-160.0,0.639087,-253.0,0.4,-309.0,0.8921233,-63.0,1.048733,25.0,1.3746269,251.0,0.83670294,-105.0,5
1.2346939,138.0,1.1835821,123.0,0.68063873,-160.0,0.64336663,-250.0,0.41747573,-300.0,0.8938356,-62.0,1.0506823,26.0,1.3746269,251.0,0.84136856,-102.0,5
1.2346939,138.0,1.1835821,123.0,0.68063873,-160.0,0.660485,-238.0,0.4291262,-294.0,0.8938356,-62.0,1.0506823,26.0,1.3746269,251.0,0.8429238,-101.0,5
1.2346939,138.0,1.1835821,123.0,0.68063873,-160.0,0.66191155,-237.0,0.4330097,-292.0,0.8938356,-62.0,1.0526316,27.0,1.3746269,251.0,0.8429238,-101.0,5
1.2363945,139.0,1.1671642,112.0,0.6726547,-164.0,0.6690442,-232.0,0.4213592,-298.0,0.885274,-67.0,1.0604289,31.0,1.358209,240.0,0.85536546,-93.0,5
1.2397959,141.0,1.1671642,112.0,0.6726547,-164.0,0.6690442,-232.0,0.4213592,-298.0,0.885274,-67.0,1.0643275,33.0,1.358209,240.0,0.85692066,-92.0,5
1.2465986,145.0,1.1626866,109.0,0.6706587,-165.0,0.660485,-238.0,0.42330098,-297.0,0.875,-73.0,1.0643275,33.0,1.358209,240.0,0.8600311,-90.0,5
1.2465986,145.0,1.1626866,109.0,0.66866267,-166.0,0.660485,-238.0,0.42330098,-297.0,0.87157536,-75.0,1.0662768,34.0,1.3522388,236.0,0.86158633,-89.0,5
1.244898,144.0,1.1626866,109.0,0.66866267,-166.0,0.6690442,-232.0,0.42330098,-297.0,0.8664383,-78.0,1.0643275,33.0,1.3477612,233.0,0.85536546,-93.0,5
1.2414966,142.0,1.1611941,108.0,0.66866267,-166.0,0.6690442,-232.0,0.42330098,-297.0,0.8664383,-78.0,1.0643275,33.0,1.3447762,231.0,0.85536546,-93.0,5
1.2414966,142.0,1.1611941,108.0,0.66866267,-166.0,0.6690442,-232.0,0.42330098,-297.0,0.864726,-79.0,1.0623782,32.0,1.3402985,228.0,0.85536546,-93.0,5
1.2414966,142.0,1.1611941,108.0,0.66866267,-166.0,0.6690442,-232.0,0.42330098,-297.0,0.864726,-79.0,1.0623782,32.0,1.3402985,228.0,0.85536546,-93.0,5
1.2397959,141.0,1.1597015,107.0,0.66866267,-166.0,0.66619116,-234.0,0.42330098,-297.0,0.864726,-79.0,1.0623782,32.0,1.3402985,228.0,0.85536546,-93.0,5
1.2397959,141.0,1.1597015,107.0,0.66866267,-166.0,0.6690442,-232.0,0.42524272,-296.0,0.8664383,-78.0,1.0623782,32.0,1.3402985,228.0,0.85692066,-92.0,5
1.2397959,141.0,1.1597015,107.0,0.6706587,-165.0,0.6690442,-232.0,0.4291262,-294.0,0.8664383,-78.0,1.0643275,33.0,1.3402985,228.0,0.8584759,-91.0,5
1.2397959,141.0,1.1611941,108.0,0.6706587,-165.0,0.6690442,-232.0,0.4291262,-294.0,0.8664383,-78.0,1.0643275,33.0,1.3432835,230.0,0.8600311,-90.0,5
1.2397959,141.0,1.1611941,108.0,0.6706587,-165.0,0.6690442,-232.0,0.4291262,-294.0,0.8732877,-74.0,1.0662768,34.0,1.3432835,230.0,0.8600311,-90.0,5
1.2312925,136.0,1.1597015,107.0,0.6706587,-165.0,0.66476464,-235.0,0.41941747,-299.0,0.8664383,-78.0,1.0682261,35.0,1.3447762,231.0,0.8600311,-90.0,5
1.2312925,136.0,1.1597015,107.0,0.66866267,-166.0,0.66191155,-237.0,0.41941747,-299.0,0.8664383,-78.0,1.0682261,35.0,1.3447762,231.0,0.8600311,-90.0,5
1.2312925,136.0,1.1567165,105.0,0.66866267,-166.0,0.660485,-238.0,0.41941747,-299.0,0.8664383,-78.0,1.0682261,35.0,1.3447762,231.0,0.8600311,-90.0,5
1.2312925,136.0,1.1567165,105.0,0.66866267,-166.0,0.660485,-238.0,0.41941747,-299.0,0.864726,-79.0,1.0682261,35.0,1.3447762,231.0,0.8600311,-90.0,5
1.2312925,136.0,1.1567165,105.0,0.66467065,-168.0,0.660485,-238.0,0.41941747,-299.0,0.864726,-79.0,1.0682261,35.0,1.3447762,231.0,0.8600311,-90.0,5
