@relation datamerged

@attribute SG_E0 numeric
@attribute SG_D0 numeric
@attribute SG_E1 numeric
@attribute SG_D1 numeric
@attribute SG_E2 numeric
@attribute SG_D2 numeric
@attribute SG_E3 numeric
@attribute SG_D3 numeric
@attribute SG_E4 numeric
@attribute SG_D4 numeric
@attribute SG_E5 numeric
@attribute SG_D5 numeric
@attribute SG_E6 numeric
@attribute SG_D6 numeric
@attribute SG_E7 numeric
@attribute SG_D7 numeric
@attribute SG_E8 numeric
@attribute SG_D8 numeric
@attribute ID {p15_r-15,p15_r0,p15_r15,p15_r45,p15_r90,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p45_r90,p65_r0,p90_r0}

@data
0.689498,-204,0.891122,-65,0.643836,-208,0.935238,-34,1.044883,25,0.88,-84,1.164006,113,0.8944,-66,0.898239,-52,p15_r-15
0.69102,-203,0.892797,-64,0.643836,-208,0.931429,-36,1.041293,23,0.877143,-86,1.162554,112,0.8944,-66,0.900196,-51,p15_r-15
0.69102,-203,0.892797,-64,0.643836,-208,0.931429,-36,1.039497,22,0.875714,-87,1.1582,109,0.8944,-66,0.898239,-52,p15_r-15
0.69102,-203,0.892797,-64,0.642123,-209,0.929524,-37,1.037702,21,0.864286,-95,1.153846,106,0.8944,-66,0.898239,-52,p15_r-15
0.69102,-203,0.892797,-64,0.640411,-210,0.929524,-37,1.037702,21,0.864286,-95,1.149492,103,0.8944,-66,0.896282,-53,p15_r-15
0.69102,-203,0.892797,-64,0.640411,-210,0.929524,-37,1.037702,21,0.864286,-95,1.149492,103,0.8944,-66,0.896282,-53,p15_r-15
0.694064,-201,0.894472,-63,0.640411,-210,0.929524,-37,1.037702,21,0.864286,-95,1.149492,103,0.8976,-64,0.896282,-53,p15_r-15
0.695586,-200,0.904523,-57,0.640411,-210,0.929524,-37,1.037702,21,0.864286,-95,1.149492,103,0.9008,-62,0.896282,-53,p15_r-15
0.695586,-200,0.904523,-57,0.640411,-210,0.929524,-37,1.039497,22,0.864286,-95,1.149492,103,0.9008,-62,0.898239,-52,p15_r-15
0.695586,-200,0.904523,-57,0.640411,-210,0.931429,-36,1.041293,23,0.867143,-93,1.149492,103,0.9008,-62,0.898239,-52,p15_r-15
0.692542,-202,0.901173,-59,0.640411,-210,0.931429,-36,1.041293,23,0.87,-91,1.153846,106,0.9024,-61,0.898239,-52,p15_r-15
0.69102,-203,0.899498,-60,0.640411,-210,0.931429,-36,1.041293,23,0.87,-91,1.153846,106,0.896,-65,0.898239,-52,p15_r-15
0.687976,-205,0.896147,-62,0.638699,-211,0.929524,-37,1.043088,24,0.875714,-87,1.162554,112,0.8928,-67,0.898239,-52,p15_r-15
0.684932,-207,0.887772,-67,0.638699,-211,0.929524,-37,1.044883,25,0.875714,-87,1.164006,113,0.888,-70,0.900196,-51,p15_r-15
0.683409,-208,0.887772,-67,0.638699,-211,0.927619,-38,1.044883,25,0.875714,-87,1.161103,111,0.888,-70,0.900196,-51,p15_r-15
0.683409,-208,0.886097,-68,0.636986,-212,0.927619,-38,1.039497,22,0.875714,-87,1.159652,110,0.888,-70,0.900196,-51,p15_r-15
0.683409,-208,0.886097,-68,0.636986,-212,0.927619,-38,1.037702,21,0.872857,-89,1.1582,109,0.888,-70,0.898239,-52,p15_r-15
0.683409,-208,0.886097,-68,0.636986,-212,0.927619,-38,1.037702,21,0.868571,-92,1.156749,108,0.888,-70,0.896282,-53,p15_r-15
0.69102,-203,0.894472,-63,0.638699,-211,0.921905,-41,1.039497,22,0.862857,-96,1.146589,101,0.8928,-67,0.898239,-52,p15_r-15
