@relation leaveT2datamerged

@attribute SG_D0 numeric
@attribute SG_D1 numeric
@attribute SG_D2 numeric
@attribute SG_D3 numeric
@attribute SG_D4 numeric
@attribute SG_D5 numeric
@attribute SG_D6 numeric
@attribute SG_D7 numeric
@attribute SG_D8 numeric
@attribute ID {p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0}

@data
-104,-116,-44,-125,19,-28,50,-3,25,p15_r-15
-104,-116,-44,-124,19,-28,52,-3,25,p15_r-15
-102,-115,-43,-124,26,-27,52,-3,25,p15_r-15
-102,-114,-42,-124,26,-27,52,-3,25,p15_r-15
-102,-113,-39,-125,26,-27,52,-4,25,p15_r-15
-103,-114,-39,-125,26,-27,52,-6,25,p15_r-15
-103,-114,-39,-125,26,-27,50,-7,25,p15_r-15
-103,-115,-39,-125,26,-29,50,-8,24,p15_r-15
-103,-115,-39,-125,26,-29,50,-8,23,p15_r-15
-103,-114,-36,-125,27,-28,50,-7,24,p15_r-15
-103,-114,-34,-122,27,-28,52,-7,25,p15_r-15
-103,-113,-33,-122,27,-27,52,-7,25,p15_r-15
-103,-113,-32,-122,27,-27,53,-6,25,p15_r-15
-106,-115,-33,-126,25,-28,52,-6,25,p15_r-15
-106,-117,-33,-129,21,-34,54,-8,26,p15_r-15
-106,-119,-33,-129,14,-38,54,-8,27,p15_r-15
-107,-120,-33,-130,14,-40,54,-12,27,p15_r-15
-112,-123,-33,-135,13,-40,54,-12,27,p15_r-15
-115,-125,-36,-135,12,-42,54,-12,26,p15_r-15
-115,-127,-36,-136,11,-42,53,-14,22,p15_r-15
-112,-125,-33,-135,11,-42,53,-14,22,p15_r-15
-109,-124,-33,-135,12,-42,53,-12,22,p15_r-15
-107,-124,-32,-135,12,-42,53,-12,26,p15_r-15
-107,-124,-30,-135,12,-42,54,-12,26,p15_r-15
-111,-126,-32,-141,9,-46,53,-13,26,p15_r-15
-111,-131,-33,-141,0,-47,50,-15,22,p15_r-15
-111,-131,-33,-141,-1,-48,47,-16,22,p15_r-15
-112,-134,-33,-142,-4,-49,46,-16,22,p15_r-15
-113,-134,-33,-142,-4,-49,45,-16,22,p15_r-15
-112,-134,-32,-142,-1,-48,45,-15,22,p15_r-15
-111,-131,-28,-142,-1,-48,45,-15,23,p15_r-15
-111,-128,-26,-142,0,-48,45,-15,23,p15_r-15
-111,-128,-25,-142,0,-47,45,-15,23,p15_r-15
-111,-128,-24,-143,3,-46,43,-16,22,p15_r-15
-111,-134,-26,-145,-1,-48,43,-18,22,p15_r-15
-116,-134,-31,-145,-5,-48,40,-18,22,p15_r-15
-117,-135,-32,-145,-5,-50,39,-20,22,p15_r-15
-121,-136,-33,-145,-5,-50,38,-20,22,p15_r-15
-121,-135,-33,-145,-5,-50,38,-20,22,p15_r-15
-121,-135,-33,-145,-5,-50,38,-20,22,p15_r-15
-121,-135,-33,-145,-5,-50,38,-20,22,p15_r-15
-121,-134,-32,-143,-5,-48,38,-20,22,p15_r-15
-123,-135,-33,-142,-1,-48,38,-25,22,p15_r-15
-124,-135,-33,-142,-5,-50,36,-25,22,p15_r-15
-127,-135,-33,-142,-5,-50,36,-25,18,p15_r-15
-127,-137,-33,-142,-5,-50,35,-26,18,p15_r-15
-127,-137,-34,-142,-5,-51,35,-26,16,p15_r-15
-127,-135,-33,-140,-4,-51,35,-26,18,p15_r-15
-127,-135,-33,-140,-4,-51,35,-26,18,p15_r-15
-127,-135,-33,-140,-4,-51,35,-26,18,p15_r-15
-82,-171,-106,-90,-126,-218,5,-48,-7,p15_r0
-82,-171,-107,-93,-126,-218,4,-49,-7,p15_r0
-83,-172,-107,-102,-126,-218,4,-52,-7,p15_r0
-85,-174,-107,-102,-126,-218,4,-52,-10,p15_r0
-85,-174,-106,-102,-123,-218,5,-49,-7,p15_r0
-85,-172,-105,-102,-122,-218,11,-49,-7,p15_r0
-85,-171,-105,-102,-122,-217,12,-49,-5,p15_r0
-85,-171,-105,-102,-122,-217,13,-49,-5,p15_r0
-88,-171,-102,-105,-118,-217,13,-49,-7,p15_r0
-88,-174,-102,-106,-119,-217,13,-50,-7,p15_r0
-92,-174,-105,-106,-119,-217,13,-50,-7,p15_r0
-92,-174,-105,-107,-119,-217,12,-50,-7,p15_r0
-92,-174,-105,-107,-119,-217,12,-50,-7,p15_r0
-87,-169,-93,-105,-117,-213,15,-46,-2,p15_r0
-89,-169,-93,-105,-117,-213,15,-48,-2,p15_r0
-89,-169,-93,-105,-117,-213,15,-48,-2,p15_r0
-89,-170,-93,-106,-117,-215,15,-48,-2,p15_r0
-90,-174,-93,-107,-118,-215,15,-49,-2,p15_r0
-90,-174,-91,-106,-118,-215,17,-48,0,p15_r0
-90,-174,-91,-106,-118,-215,17,-46,1,p15_r0
-90,-174,-91,-106,-118,-214,19,-46,2,p15_r0
-90,-174,-91,-106,-118,-214,21,-46,2,p15_r0
-89,-174,-91,-108,-117,-216,19,-48,2,p15_r0
-90,-174,-91,-109,-118,-217,19,-48,2,p15_r0
-92,-177,-91,-109,-120,-217,19,-48,2,p15_r0
-92,-177,-92,-109,-121,-219,19,-48,1,p15_r0
-93,-177,-92,-111,-122,-219,19,-48,1,p15_r0
-92,-177,-92,-111,-121,-219,20,-48,1,p15_r0
-92,-175,-91,-111,-121,-219,20,-48,2,p15_r0
-90,-174,-85,-109,-120,-218,20,-48,2,p15_r0
-89,-173,-83,-109,-118,-217,20,-48,2,p15_r0
-88,-172,-83,-109,-118,-217,22,-48,2,p15_r0
-88,-174,-83,-109,-118,-217,22,-48,2,p15_r0
-88,-174,-83,-109,-118,-217,22,-48,2,p15_r0
-88,-174,-83,-109,-118,-217,22,-48,0,p15_r0
-88,-174,-83,-109,-118,-217,22,-48,0,p15_r0
-88,-174,-78,-108,-112,-215,22,-46,2,p15_r0
-85,-174,-77,-108,-108,-215,22,-46,2,p15_r0
-84,-172,-77,-108,-106,-213,23,-45,3,p15_r0
-84,-172,-75,-107,-106,-213,23,-45,3,p15_r0
-84,-172,-77,-108,-110,-215,23,-44,4,p15_r0
-84,-174,-78,-109,-111,-216,23,-44,4,p15_r0
-84,-174,-78,-109,-111,-218,23,-44,4,p15_r0
-84,-176,-78,-110,-112,-218,23,-44,4,p15_r0
-84,-177,-78,-110,-112,-218,23,-44,4,p15_r0
-84,-176,-78,-110,-112,-218,23,-44,6,p15_r0
-83,-174,-78,-110,-112,-218,23,-44,8,p15_r0
-83,-174,-77,-109,-112,-218,25,-44,8,p15_r0
-83,-173,-77,-109,-111,-218,25,-44,8,p15_r0
-83,-173,-76,-109,-111,-218,25,-44,7,p15_r0
-88,-161,-30,-149,-92,-197,72,-41,50,p15_r15
-91,-164,-34,-149,-93,-199,72,-41,44,p15_r15
-88,-161,-30,-149,-92,-197,72,-41,44,p15_r15
-86,-160,-30,-147,-88,-197,72,-41,44,p15_r15
-84,-160,-30,-147,-88,-197,72,-41,44,p15_r15
-83,-160,-30,-147,-88,-197,73,-41,44,p15_r15
-82,-161,-30,-151,-86,-199,72,-41,42,p15_r15
-82,-161,-30,-152,-86,-199,71,-42,37,p15_r15
-82,-161,-30,-152,-86,-199,65,-43,37,p15_r15
-82,-161,-30,-152,-86,-199,65,-46,34,p15_r15
-82,-161,-30,-152,-86,-199,65,-46,34,p15_r15
-82,-161,-26,-152,-81,-199,65,-45,37,p15_r15
-82,-161,-26,-152,-80,-199,71,-43,37,p15_r15
-82,-161,-22,-152,-80,-198,71,-43,38,p15_r15
-82,-161,-21,-151,-80,-198,71,-43,38,p15_r15
-81,-161,-22,-148,-78,-199,70,-47,37,p15_r15
-83,-164,-22,-152,-82,-199,69,-47,37,p15_r15
-83,-164,-22,-152,-82,-199,68,-48,35,p15_r15
-83,-164,-19,-152,-80,-196,70,-45,39,p15_r15
-83,-163,-19,-152,-80,-196,70,-45,39,p15_r15
-81,-161,-17,-152,-78,-197,71,-47,37,p15_r15
-81,-161,-17,-153,-78,-197,71,-47,36,p15_r15
-81,-161,-17,-153,-78,-197,70,-47,35,p15_r15
-81,-161,-17,-153,-78,-197,70,-47,35,p15_r15
-81,-161,-17,-157,-78,-197,70,-47,34,p15_r15
-77,-158,-16,-153,-77,-195,70,-47,34,p15_r15
-77,-156,-13,-153,-76,-192,70,-44,34,p15_r15
-74,-156,-9,-152,-74,-191,71,-43,35,p15_r15
-74,-153,-3,-148,-73,-187,71,-43,35,p15_r15
-67,-152,-3,-146,-62,-186,69,-43,33,p15_r15
-67,-152,-3,-146,-62,-186,68,-45,31,p15_r15
-67,-152,-3,-149,-62,-186,68,-45,30,p15_r15
-72,-152,-3,-149,-62,-186,68,-45,29,p15_r15
-72,-152,-3,-149,-62,-186,68,-45,28,p15_r15
-67,-146,1,-147,-57,-186,68,-45,29,p15_r15
-67,-146,7,-147,-57,-185,68,-45,29,p15_r15
-67,-146,9,-147,-57,-185,68,-45,30,p15_r15
-67,-146,9,-147,-57,-185,69,-44,31,p15_r15
-69,-146,8,-148,-57,-181,69,-44,31,p15_r15
-69,-152,5,-149,-59,-186,69,-44,31,p15_r15
-70,-154,1,-149,-62,-186,69,-44,31,p15_r15
-72,-154,1,-152,-71,-191,69,-44,31,p15_r15
-72,-156,1,-152,-71,-191,69,-44,31,p15_r15
-72,-156,1,-152,-71,-191,70,-43,32,p15_r15
-72,-154,1,-152,-70,-188,71,-42,35,p15_r15
-72,-154,1,-152,-70,-188,73,-41,36,p15_r15
-71,-154,3,-152,-69,-188,74,-40,36,p15_r15
-70,-154,5,-154,-63,-186,73,-41,36,p15_r15
-70,-154,5,-154,-63,-186,73,-43,34,p15_r15
-70,-154,5,-154,-63,-186,71,-43,32,p15_r15
-60,-65,431,-193,70,42,116,-20,157,p15_r45
-54,-62,431,-193,71,49,117,-20,157,p15_r45
-54,-61,431,-191,79,50,117,-20,157,p15_r45
-47,-55,431,-187,86,54,117,-20,159,p15_r45
-49,-51,431,-191,97,57,112,-18,161,p15_r45
-54,-61,431,-193,79,50,112,-18,161,p15_r45
-59,-61,431,-195,70,42,112,-18,161,p15_r45
-60,-65,431,-196,57,42,111,-19,161,p15_r45
-60,-65,431,-197,57,42,111,-20,161,p15_r45
-59,-63,431,-196,61,47,112,-19,161,p15_r45
-49,-56,431,-194,78,56,115,-17,164,p15_r45
-49,-53,431,-193,79,57,115,-15,163,p15_r45
-49,-53,431,-193,79,57,113,-15,161,p15_r45
-49,-53,431,-193,79,57,112,-15,160,p15_r45
-49,-53,431,-193,79,57,111,-15,158,p15_r45
-49,-53,431,-194,79,57,110,-15,158,p15_r45
-42,-51,431,-193,88,60,110,-15,158,p15_r45
-41,-41,431,-190,101,65,110,-15,158,p15_r45
-38,-39,431,-189,107,68,110,-15,158,p15_r45
-35,-34,431,-188,107,69,110,-15,158,p15_r45
-35,-33,431,-187,116,71,106,-15,158,p15_r45
-38,-37,431,-189,107,69,104,-17,158,p15_r45
-38,-39,431,-189,107,69,103,-17,155,p15_r45
-38,-39,431,-189,107,68,103,-18,155,p15_r45
-38,-39,431,-189,107,68,103,-18,155,p15_r45
-38,-37,431,-187,107,69,103,-18,155,p15_r45
-38,-37,431,-187,107,69,103,-18,158,p15_r45
-36,-35,431,-187,107,70,103,-18,161,p15_r45
-36,-35,431,-187,107,70,103,-17,161,p15_r45
-38,-39,431,-189,100,71,102,-17,164,p15_r45
-38,-39,431,-189,100,71,102,-17,161,p15_r45
-38,-39,431,-189,99,71,102,-18,161,p15_r45
-39,-39,431,-191,99,68,102,-18,161,p15_r45
-41,-40,431,-191,94,68,102,-18,161,p15_r45
-41,-40,431,-191,94,68,102,-18,164,p15_r45
-39,-39,431,-191,94,68,102,-18,166,p15_r45
-39,-39,431,-191,94,68,105,-17,167,p15_r45
-39,-39,431,-191,94,71,105,-17,168,p15_r45
-45,-39,431,-193,88,68,106,-17,171,p15_r45
-45,-39,431,-193,86,64,105,-17,171,p15_r45
-45,-39,431,-193,86,64,104,-19,171,p15_r45
-45,-39,431,-193,86,64,102,-19,171,p15_r45
-45,-40,431,-193,86,64,102,-19,171,p15_r45
-45,-39,431,-193,88,68,102,-19,172,p15_r45
-45,-39,431,-193,98,70,104,-19,174,p15_r45
-45,-38,431,-191,98,70,104,-19,175,p15_r45
-45,-38,431,-190,98,70,104,-17,175,p15_r45
-46,-38,431,-191,97,70,104,-17,176,p15_r45
-46,-38,431,-191,97,70,104,-17,176,p15_r45
-47,-38,431,-191,97,68,104,-17,176,p15_r45
9,-119,4,-12,-47,-40,45,-26,-21,p25_r0
9,-119,6,-12,-46,-39,45,-28,-22,p25_r0
9,-119,4,-12,-46,-39,43,-28,-24,p25_r0
7,-120,4,-15,-46,-39,43,-28,-25,p25_r0
7,-120,4,-15,-46,-39,43,-28,-27,p25_r0
7,-121,4,-15,-46,-39,41,-28,-27,p25_r0
7,-120,4,-15,-39,-35,43,-28,-25,p25_r0
9,-119,5,-15,-30,-33,43,-26,-24,p25_r0
9,-117,5,-13,-28,-33,45,-24,-23,p25_r0
10,-115,6,-13,-25,-32,48,-22,-22,p25_r0
10,-114,9,-15,-26,-31,50,-22,-19,p25_r0
21,-106,23,-20,-24,-25,54,-16,-16,p25_r0
21,-109,24,-21,-27,-26,55,-17,-15,p25_r0
20,-110,24,-23,-27,-28,55,-17,-18,p25_r0
20,-113,22,-23,-28,-30,55,-17,-18,p25_r0
18,-114,22,-27,-26,-29,63,-14,-9,p25_r0
19,-120,22,-37,-26,-28,67,-13,-7,p25_r0
15,-121,22,-40,-27,-30,67,-14,-7,p25_r0
13,-123,22,-42,-28,-30,67,-14,-9,p25_r0
13,-123,22,-44,-28,-31,67,-17,-9,p25_r0
13,-123,22,-44,-28,-31,67,-17,-9,p25_r0
13,-123,22,-44,-28,-30,67,-15,-9,p25_r0
13,-123,24,-44,-28,-30,68,-15,-7,p25_r0
15,-123,25,-44,-28,-30,68,-15,-7,p25_r0
16,-123,28,-44,-28,-30,68,-15,-7,p25_r0
15,-123,25,-48,-30,-32,66,-17,-9,p25_r0
15,-123,25,-48,-30,-32,65,-18,-11,p25_r0
15,-123,25,-48,-30,-32,63,-19,-12,p25_r0
15,-124,25,-48,-30,-32,63,-19,-13,p25_r0
11,-123,30,-48,-34,-34,63,-20,-16,p25_r0
7,-125,29,-48,-35,-34,60,-21,-16,p25_r0
6,-128,28,-50,-37,-34,60,-24,-18,p25_r0
5,-129,27,-50,-39,-36,60,-24,-18,p25_r0
5,-129,27,-50,-39,-36,60,-24,-16,p25_r0
5,-129,27,-50,-39,-36,60,-24,-16,p25_r0
5,-129,27,-48,-39,-36,60,-24,-15,p25_r0
5,-129,27,-48,-39,-36,60,-24,-15,p25_r0
-6,-138,17,-50,-54,-47,60,-26,-16,p25_r0
-8,-139,11,-52,-60,-47,60,-26,-16,p25_r0
-10,-141,3,-52,-65,-54,59,-26,-17,p25_r0
-10,-141,2,-52,-65,-55,59,-27,-20,p25_r0
-10,-141,2,-53,-65,-55,59,-27,-21,p25_r0
-8,-139,3,-53,-64,-55,59,-27,-20,p25_r0
-8,-139,3,-53,-60,-54,59,-27,-20,p25_r0
-7,-138,6,-53,-59,-54,60,-27,-20,p25_r0
-7,-135,6,-52,-59,-54,60,-27,-20,p25_r0
-7,-135,9,-52,-57,-54,59,-28,-22,p25_r0
-9,-135,6,-52,-59,-55,58,-28,-22,p25_r0
-9,-135,3,-52,-59,-55,58,-28,-22,p25_r0
-9,-135,3,-52,-59,-58,58,-31,-22,p25_r0
-19,-116,-32,-47,2,-54,4,-45,-86,p45_r-15
-15,-115,-32,-47,7,-51,4,-45,-86,p45_r-15
-13,-112,-31,-47,13,-49,6,-45,-86,p45_r-15
-13,-112,-31,-47,15,-49,6,-44,-85,p45_r-15
-13,-112,-29,-47,15,-49,7,-43,-83,p45_r-15
