@relation U11merged

@attribute SG_E0 numeric
@attribute SG_D0 numeric
@attribute SG_E1 numeric
@attribute SG_D1 numeric
@attribute SG_E2 numeric
@attribute SG_D2 numeric
@attribute SG_E3 numeric
@attribute SG_D3 numeric
@attribute SG_E4 numeric
@attribute SG_D4 numeric
@attribute SG_E5 numeric
@attribute SG_D5 numeric
@attribute SG_E6 numeric
@attribute SG_D6 numeric
@attribute SG_E7 numeric
@attribute SG_D7 numeric
@attribute SG_E8 numeric
@attribute SG_D8 numeric
@attribute ID {p15_r-15,p15_r0,p15_r15,p15_r45,p15_r90,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p45_r90,p65_r0,p90_r0}

@data
1.093704,64,1.121643,77,0.610902,-207,1.051282,30,0.735178,-67,0.964337,-25,1.346154,234,0.830509,-90,1.126365,81,p15_r-15
1.093704,64,1.120063,76,0.609023,-208,1.051282,30,0.735178,-67,0.964337,-25,1.346154,234,0.828625,-91,1.126365,81,p15_r-15
1.089312,61,1.120063,76,0.609023,-208,1.051282,30,0.735178,-67,0.961484,-27,1.346154,234,0.828625,-91,1.126365,81,p15_r-15
1.089312,61,1.120063,76,0.609023,-208,1.051282,30,0.735178,-67,0.960057,-28,1.346154,234,0.828625,-91,1.126365,81,p15_r-15
1.093704,64,1.120063,76,0.609023,-208,1.051282,30,0.735178,-67,0.960057,-28,1.352071,238,0.830509,-90,1.127925,82,p15_r-15
1.093704,64,1.121643,77,0.609023,-208,1.051282,30,0.735178,-67,0.960057,-28,1.35355,239,0.832392,-89,1.127925,82,p15_r-15
1.095168,65,1.121643,77,0.610902,-207,1.052992,31,0.735178,-67,0.960057,-28,1.357988,242,0.834275,-88,1.127925,82,p15_r-15
1.095168,65,1.124803,79,0.610902,-207,1.052992,31,0.735178,-67,0.960057,-28,1.357988,242,0.834275,-88,1.127925,82,p15_r-15
1.098097,67,1.132701,84,0.609023,-208,1.052992,31,0.735178,-67,0.955777,-31,1.352071,238,0.838041,-86,1.127925,82,p15_r-15
1.096633,66,1.123223,78,0.609023,-208,1.052992,31,0.735178,-67,0.955777,-31,1.344675,233,0.834275,-88,1.127925,82,p15_r-15
1.096633,66,1.123223,78,0.609023,-208,1.052992,31,0.735178,-67,0.951498,-34,1.344675,233,0.834275,-88,1.127925,82,p15_r-15
1.095168,65,1.123223,78,0.607143,-209,1.052992,31,0.731225,-68,0.951498,-34,1.344675,233,0.834275,-88,1.127925,82,p15_r-15
1.095168,65,1.123223,78,0.607143,-209,1.052992,31,0.70751,-74,0.950071,-35,1.337278,228,0.834275,-88,1.126365,81,p15_r-15
1.096633,66,1.123223,78,0.609023,-208,1.052992,31,0.70751,-74,0.951498,-34,1.337278,228,0.838041,-86,1.126365,81,p15_r-15
1.096633,66,1.132701,84,0.609023,-208,1.05641,33,0.719368,-71,0.955777,-31,1.338757,229,0.843691,-83,1.127925,82,p15_r-15
1.096633,66,1.132701,84,0.609023,-208,1.05641,33,0.731225,-68,0.957204,-30,1.344675,233,0.843691,-83,1.129485,83,p15_r-15
1.098097,67,1.132701,84,0.609023,-208,1.05641,33,0.731225,-68,0.960057,-28,1.344675,233,0.843691,-83,1.129485,83,p15_r-15
1.098097,67,1.123223,78,0.609023,-208,1.052992,31,0.735178,-67,0.957204,-30,1.346154,234,0.839925,-85,1.129485,83,p15_r-15
1.096633,66,1.121643,77,0.609023,-208,1.052992,31,0.735178,-67,0.957204,-30,1.344675,233,0.834275,-88,1.129485,83,p15_r-15
1.096633,66,1.121643,77,0.609023,-208,1.052992,31,0.735178,-67,0.957204,-30,1.338757,229,0.832392,-89,1.129485,83,p15_r-15
1.096633,66,1.121643,77,0.603384,-211,1.052992,31,0.735178,-67,0.957204,-30,1.343195,232,0.832392,-89,1.129485,83,p15_r-15
1.098097,67,1.123223,78,0.603384,-211,1.052992,31,0.735178,-67,0.957204,-30,1.344675,233,0.834275,-88,1.129485,83,p15_r-15
1.098097,67,1.124803,79,0.603384,-211,1.052992,31,0.735178,-67,0.957204,-30,1.344675,233,0.834275,-88,1.129485,83,p15_r-15
1.098097,67,1.129542,82,0.603384,-211,1.052992,31,0.735178,-67,0.957204,-30,1.346154,234,0.838041,-86,1.131045,84,p15_r-15
1.099561,68,1.131122,83,0.601504,-212,1.047863,28,0.715415,-72,0.947218,-37,1.349112,236,0.839925,-85,1.132605,85,p15_r-15
1.099561,68,1.131122,83,0.601504,-212,1.046154,27,0.711462,-73,0.947218,-37,1.344675,233,0.839925,-85,1.132605,85,p15_r-15
1.096633,66,1.131122,83,0.601504,-212,1.046154,27,0.703557,-75,0.947218,-37,1.344675,233,0.834275,-88,1.132605,85,p15_r-15
1.096633,66,1.131122,83,0.601504,-212,1.046154,27,0.703557,-75,0.947218,-37,1.341716,231,0.834275,-88,1.129485,83,p15_r-15
1.095168,65,1.131122,83,0.597744,-214,1.046154,27,0.699605,-76,0.947218,-37,1.340237,230,0.834275,-88,1.129485,83,p15_r-15
1.095168,65,1.131122,83,0.597744,-214,1.047863,28,0.699605,-76,0.957204,-30,1.341716,231,0.836158,-87,1.132605,85,p15_r-15
1.095168,65,1.131122,83,0.597744,-214,1.047863,28,0.703557,-75,0.961484,-27,1.344675,233,0.836158,-87,1.132605,85,p15_r-15
1.096633,66,1.131122,83,0.597744,-214,1.049573,29,0.711462,-73,0.96291,-26,1.346154,234,0.836158,-87,1.134165,86,p15_r-15
1.096633,66,1.132701,84,0.597744,-214,1.049573,29,0.711462,-73,0.96291,-26,1.349112,236,0.838041,-86,1.134165,86,p15_r-15
1.099561,68,1.131122,83,0.595865,-215,1.049573,29,0.699605,-76,0.957204,-30,1.350592,237,0.839925,-85,1.132605,85,p15_r-15
1.099561,68,1.131122,83,0.592105,-217,1.047863,28,0.656127,-87,0.952924,-33,1.350592,237,0.839925,-85,1.129485,83,p15_r-15
1.095168,65,1.131122,83,0.590226,-218,1.047863,28,0.656127,-87,0.952924,-33,1.349112,236,0.836158,-87,1.129485,83,p15_r-15
1.093704,64,1.129542,82,0.586466,-220,1.046154,27,0.656127,-87,0.952924,-33,1.349112,236,0.836158,-87,1.127925,82,p15_r-15
1.093704,64,1.129542,82,0.586466,-220,1.044444,26,0.656127,-87,0.945792,-38,1.349112,236,0.836158,-87,1.127925,82,p15_r-15
1.095168,65,1.131122,83,0.586466,-220,1.046154,27,0.656127,-87,0.952924,-33,1.349112,236,0.836158,-87,1.127925,82,p15_r-15
1.095168,65,1.131122,83,0.588346,-219,1.047863,28,0.664032,-85,0.952924,-33,1.349112,236,0.836158,-87,1.127925,82,p15_r-15
1.096633,66,1.131122,83,0.590226,-218,1.047863,28,0.6917,-78,0.952924,-33,1.349112,236,0.836158,-87,1.127925,82,p15_r-15
1.099561,68,1.131122,83,0.590226,-218,1.047863,28,0.699605,-76,0.957204,-30,1.349112,236,0.836158,-87,1.127925,82,p15_r-15
1.096633,66,1.126382,80,0.586466,-220,1.049573,29,0.762846,-60,0.960057,-28,1.331361,224,0.832392,-89,1.127925,82,p15_r-15
1.093704,64,1.126382,80,0.580827,-223,1.049573,29,0.719368,-71,0.957204,-30,1.331361,224,0.832392,-89,1.126365,81,p15_r-15
1.093704,64,1.126382,80,0.580827,-223,1.049573,29,0.73913,-66,0.958631,-29,1.331361,224,0.832392,-89,1.126365,81,p15_r-15
1.090776,62,1.124803,79,0.573308,-227,1.049573,29,0.762846,-60,0.960057,-28,1.331361,224,0.822976,-94,1.120125,77,p15_r-15
1.089312,61,1.116904,74,0.573308,-227,1.046154,27,0.762846,-60,0.960057,-28,1.331361,224,0.815443,-98,1.120125,77,p15_r-15
1.089312,61,1.112164,71,0.554511,-237,1.039316,23,0.762846,-60,0.957204,-30,1.331361,224,0.815443,-98,1.118565,76,p15_r-15
1.081991,56,1.110585,70,0.554511,-237,1.02906,17,0.762846,-60,0.957204,-30,1.328402,222,0.815443,-98,1.118565,76,p15_r-15
1.081991,56,1.110585,70,0.554511,-237,1.02906,17,0.762846,-60,0.952924,-33,1.323965,219,0.811676,-100,1.118565,76,p15_r-15
0.710031,-185,0.841772,-100,0.918462,-53,0.373418,-396,0.820205,-105,0.916667,-45,1.573269,356,0.447806,-365,1.104895,60,p15_r-15
0.710031,-185,0.841772,-100,0.915385,-55,0.370253,-398,0.820205,-105,0.914815,-46,1.573269,356,0.447806,-365,1.104895,60,p15_r-15
0.710031,-185,0.841772,-100,0.915385,-55,0.370253,-398,0.816781,-107,0.914815,-46,1.573269,356,0.447806,-365,1.104895,60,p15_r-15
0.711599,-184,0.841772,-100,0.915385,-55,0.373418,-396,0.816781,-107,0.914815,-46,1.589372,366,0.447806,-365,1.106643,61,p15_r-15
0.711599,-184,0.841772,-100,0.915385,-55,0.373418,-396,0.820205,-105,0.914815,-46,1.602254,374,0.450832,-363,1.106643,61,p15_r-15
0.711599,-184,0.841772,-100,0.915385,-55,0.373418,-396,0.820205,-105,0.916667,-45,1.602254,374,0.453858,-361,1.108392,62,p15_r-15
0.713166,-183,0.841772,-100,0.915385,-55,0.375,-395,0.820205,-105,0.918519,-44,1.602254,374,0.453858,-361,1.108392,62,p15_r-15
0.713166,-183,0.841772,-100,0.918462,-53,0.373418,-396,0.816781,-107,0.916667,-45,1.618358,384,0.447806,-365,1.108392,62,p15_r-15
0.713166,-183,0.841772,-100,0.915385,-55,0.371835,-397,0.816781,-107,0.916667,-45,1.618358,384,0.446294,-366,1.108392,62,p15_r-15
0.713166,-183,0.841772,-100,0.915385,-55,0.370253,-398,0.815069,-108,0.916667,-45,1.618358,384,0.443268,-368,1.108392,62,p15_r-15
0.713166,-183,0.84019,-101,0.915385,-55,0.367089,-400,0.813356,-109,0.914815,-46,1.618358,384,0.443268,-368,1.108392,62,p15_r-15
0.711599,-184,0.84019,-101,0.913846,-56,0.365506,-401,0.813356,-109,0.914815,-46,1.618358,384,0.440242,-370,1.108392,62,p15_r-15
0.713166,-183,0.84019,-101,0.915385,-55,0.365506,-401,0.813356,-109,0.914815,-46,1.63124,392,0.440242,-370,1.108392,62,p15_r-15
0.716301,-181,0.84019,-101,0.915385,-55,0.365506,-401,0.813356,-109,0.914815,-46,1.63124,392,0.440242,-370,1.11014,63,p15_r-15
0.717868,-180,0.841772,-100,0.915385,-55,0.365506,-401,0.813356,-109,0.914815,-46,1.63124,392,0.443268,-368,1.11014,63,p15_r-15
0.717868,-180,0.841772,-100,0.915385,-55,0.365506,-401,0.813356,-109,0.914815,-46,1.63124,392,0.443268,-368,1.11014,63,p15_r-15
0.717868,-180,0.837025,-103,0.910769,-58,0.362342,-403,0.811644,-110,0.909259,-49,1.63124,392,0.440242,-370,1.111888,64,p15_r-15
0.717868,-180,0.835443,-104,0.910769,-58,0.362342,-403,0.809932,-111,0.905556,-51,1.63124,392,0.440242,-370,1.111888,64,p15_r-15
0.713166,-183,0.833861,-105,0.910769,-58,0.36076,-404,0.809932,-111,0.905556,-51,1.63124,392,0.437216,-372,1.11014,63,p15_r-15
0.713166,-183,0.832279,-106,0.910769,-58,0.36076,-404,0.809932,-111,0.905556,-51,1.63124,392,0.437216,-372,1.11014,63,p15_r-15
0.713166,-183,0.832279,-106,0.910769,-58,0.359177,-405,0.809932,-111,0.905556,-51,1.63124,392,0.434191,-374,1.11014,63,p15_r-15
0.717868,-180,0.832279,-106,0.910769,-58,0.359177,-405,0.809932,-111,0.905556,-51,1.63124,392,0.434191,-374,1.111888,64,p15_r-15
0.719436,-179,0.832279,-106,0.916923,-54,0.359177,-405,0.809932,-111,0.905556,-51,1.63124,392,0.434191,-374,1.111888,64,p15_r-15
0.719436,-179,0.832279,-106,0.918462,-53,0.359177,-405,0.809932,-111,0.905556,-51,1.63124,392,0.434191,-374,1.111888,64,p15_r-15
0.719436,-179,0.832279,-106,0.92,-52,0.359177,-405,0.811644,-110,0.905556,-51,1.63124,392,0.437216,-372,1.111888,64,p15_r-15
0.717868,-180,0.832279,-106,0.918462,-53,0.356013,-407,0.811644,-110,0.907407,-50,1.63124,392,0.437216,-372,1.108392,62,p15_r-15
0.713166,-183,0.832279,-106,0.910769,-58,0.356013,-407,0.811644,-110,0.905556,-51,1.63124,392,0.437216,-372,1.106643,61,p15_r-15
0.706897,-187,0.832279,-106,0.910769,-58,0.356013,-407,0.809932,-111,0.905556,-51,1.603865,375,0.437216,-372,1.106643,61,p15_r-15
0.702194,-190,0.832279,-106,0.910769,-58,0.356013,-407,0.809932,-111,0.903704,-52,1.603865,375,0.434191,-374,1.106643,61,p15_r-15
0.702194,-190,0.829114,-108,0.910769,-58,0.356013,-407,0.809932,-111,0.903704,-52,1.603865,375,0.434191,-374,1.104895,60,p15_r-15
0.706897,-187,0.832279,-106,0.915385,-55,0.362342,-403,0.809932,-111,0.903704,-52,1.63124,392,0.437216,-372,1.106643,61,p15_r-15
0.713166,-183,0.832279,-106,0.918462,-53,0.362342,-403,0.809932,-111,0.905556,-51,1.63124,392,0.440242,-370,1.106643,61,p15_r-15
0.713166,-183,0.833861,-105,0.92,-52,0.363924,-402,0.811644,-110,0.905556,-51,1.63124,392,0.440242,-370,1.106643,61,p15_r-15
0.708464,-186,0.832279,-106,0.92,-52,0.359177,-405,0.811644,-110,0.909259,-49,1.603865,375,0.432678,-375,1.09965,57,p15_r-15
0.708464,-186,0.832279,-106,0.921539,-51,0.36076,-404,0.811644,-110,0.909259,-49,1.628019,390,0.432678,-375,1.103147,59,p15_r-15
0.711599,-184,0.824367,-111,0.918462,-53,0.348101,-412,0.806507,-113,0.903704,-52,1.63124,392,0.417549,-385,1.131119,75,p15_r-15
0.713166,-183,0.824367,-111,0.918462,-53,0.348101,-412,0.806507,-113,0.903704,-52,1.63124,392,0.417549,-385,1.134615,77,p15_r-15
0.714734,-182,0.824367,-111,0.92,-52,0.348101,-412,0.806507,-113,0.905556,-51,1.63124,392,0.417549,-385,1.138112,79,p15_r-15
0.716301,-181,0.824367,-111,0.923077,-50,0.346519,-413,0.804795,-114,0.903704,-52,1.63124,392,0.413011,-388,1.13986,80,p15_r-15
0.716301,-181,0.824367,-111,0.923077,-50,0.343354,-415,0.804795,-114,0.903704,-52,1.63124,392,0.413011,-388,1.134615,77,p15_r-15
0.713166,-183,0.824367,-111,0.923077,-50,0.343354,-415,0.804795,-114,0.903704,-52,1.63124,392,0.413011,-388,1.131119,75,p15_r-15
0.711599,-184,0.824367,-111,0.923077,-50,0.343354,-415,0.804795,-114,0.903704,-52,1.63124,392,0.416036,-386,1.120629,69,p15_r-15
0.711599,-184,0.824367,-111,0.923077,-50,0.343354,-415,0.806507,-113,0.905556,-51,1.63124,392,0.420575,-383,1.120629,69,p15_r-15
0.711599,-184,0.824367,-111,0.924615,-49,0.343354,-415,0.808219,-112,0.907407,-50,1.63124,392,0.422088,-382,1.129371,74,p15_r-15
0.711599,-184,0.827532,-109,0.924615,-49,0.343354,-415,0.808219,-112,0.907407,-50,1.63124,392,0.425113,-380,1.131119,75,p15_r-15
0.713166,-183,0.824367,-111,0.927692,-47,0.341772,-416,0.806507,-113,0.911111,-48,1.63124,392,0.422088,-382,1.131119,75,p15_r-15
0.713166,-183,0.824367,-111,0.926154,-48,0.341772,-416,0.804795,-114,0.909259,-49,1.63124,392,0.416036,-386,1.131119,75,p15_r-15
0.713166,-183,0.824367,-111,0.924615,-49,0.341772,-416,0.804795,-114,0.907407,-50,1.63124,392,0.416036,-386,1.131119,75,p15_r-15
0.711599,-184,0.824367,-111,0.923077,-50,0.34019,-417,0.804795,-114,0.907407,-50,1.63124,392,0.416036,-386,1.131119,75,p15_r-15
0.711599,-184,0.824367,-111,0.923077,-50,0.34019,-417,0.804795,-114,0.903704,-52,1.63124,392,0.416036,-386,1.129371,74,p15_r-15
0.984507,-11,1.302026,164,0.758095,-127,0.909361,-61,0.964527,-21,0.730935,-187,1.274074,185,1.090909,46,1.181672,113,p15_r-15
0.987324,-9,1.302026,164,0.758095,-127,0.912333,-59,0.966216,-20,0.730935,-187,1.274074,185,1.090909,46,1.181672,113,p15_r-15
0.987324,-9,1.302026,164,0.758095,-127,0.912333,-59,0.966216,-20,0.730935,-187,1.274074,185,1.092885,47,1.181672,113,p15_r-15
0.987324,-9,1.302026,164,0.758095,-127,0.912333,-59,0.966216,-20,0.732374,-186,1.274074,185,1.092885,47,1.181672,113,p15_r-15
0.984507,-11,1.289134,157,0.76,-126,0.913819,-58,0.966216,-20,0.730935,-187,1.26963,182,1.090909,46,1.176849,110,p15_r-15
0.984507,-11,1.287293,156,0.758095,-127,0.909361,-61,0.962838,-22,0.730935,-187,1.26963,182,1.090909,46,1.176849,110,p15_r-15
