SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
1.0544,34.0,1.27349,163.0,0.91053677,-45.0,0.98239434,-10.0,0.89167976,-69.0,1.045045,30.0,1.101549,59.0,0.92543024,-39.0,1.0324427,17.0,p65_r0
1.0544,34.0,1.27349,163.0,0.90656066,-47.0,0.98239434,-10.0,0.88854,-71.0,1.045045,30.0,1.0998279,58.0,0.91969407,-42.0,1.028626,15.0,p65_r0
1.0544,34.0,1.27349,163.0,0.90656066,-47.0,0.9806338,-11.0,0.8838304,-74.0,1.0435436,29.0,1.0981067,57.0,0.91969407,-42.0,1.028626,15.0,p65_r0
1.0544,34.0,1.2718121,162.0,0.90656066,-47.0,0.9753521,-14.0,0.8838304,-74.0,1.0435436,29.0,1.0981067,57.0,0.91969407,-42.0,1.0267175,14.0,p65_r0
1.064,40.0,1.2751678,164.0,0.9025845,-49.0,0.9753521,-14.0,0.8901099,-70.0,1.045045,30.0,1.1101549,64.0,0.9216061,-41.0,1.009542,5.0,p65_r0
1.064,40.0,1.2751678,164.0,0.8986083,-51.0,0.9753521,-14.0,0.8838304,-74.0,1.045045,30.0,1.1067126,62.0,0.9216061,-41.0,1.009542,5.0,p65_r0
1.064,40.0,1.2751678,164.0,0.8986083,-51.0,0.9753521,-14.0,0.877551,-78.0,1.045045,30.0,1.1067126,62.0,0.91969407,-42.0,1.009542,5.0,p65_r0
1.064,40.0,1.2751678,164.0,0.8946322,-53.0,0.97183096,-16.0,0.877551,-78.0,1.045045,30.0,1.1067126,62.0,0.91969407,-42.0,1.0076336,4.0,p65_r0
1.064,40.0,1.2751678,164.0,0.8946322,-53.0,0.9700704,-17.0,0.877551,-78.0,1.045045,30.0,1.1067126,62.0,0.91969407,-42.0,1.0076336,4.0,p65_r0
1.064,40.0,1.2768457,165.0,0.8986083,-51.0,0.97183096,-16.0,0.877551,-78.0,1.0465466,31.0,1.1101549,64.0,0.9216061,-41.0,1.0076336,4.0,p65_r0
1.0704,44.0,1.283557,169.0,0.9025845,-49.0,0.97183096,-16.0,0.877551,-78.0,1.048048,32.0,1.1118761,65.0,0.9216061,-41.0,1.009542,5.0,p65_r0
1.0752,47.0,1.295302,176.0,0.9025845,-49.0,0.9753521,-14.0,0.877551,-78.0,1.048048,32.0,1.1118761,65.0,0.9216061,-41.0,1.009542,5.0,p65_r0
1.0752,47.0,1.295302,176.0,0.90457255,-48.0,0.9753521,-14.0,0.8822606,-75.0,1.048048,32.0,1.1118761,65.0,0.9235182,-40.0,1.0114504,6.0,p65_r0
1.0752,47.0,1.2969799,177.0,0.9025845,-49.0,0.9700704,-17.0,0.877551,-78.0,1.048048,32.0,1.1153184,67.0,0.9216061,-41.0,1.0133588,7.0,p65_r0
