SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.7050611,-169.0,0.6269165,-219.0,0.7909516,-134.0,0.6660617,-184.0,0.6267716,-237.0,0.57824427,-221.0,0.9535354,-23.0,0.7838284,-131.0,0.7546362,-172.0,p15_r-15
0.70331585,-170.0,0.6269165,-219.0,0.7909516,-134.0,0.6660617,-184.0,0.6267716,-237.0,0.57824427,-221.0,0.9535354,-23.0,0.7838284,-131.0,0.7546362,-172.0,p15_r-15
0.70331585,-170.0,0.6269165,-219.0,0.7909516,-134.0,0.6660617,-184.0,0.6267716,-237.0,0.57824427,-221.0,0.9535354,-23.0,0.7838284,-131.0,0.7532097,-173.0,p15_r-15
0.7050611,-169.0,0.6269165,-219.0,0.7909516,-134.0,0.6678766,-183.0,0.63464564,-232.0,0.5801527,-220.0,0.9535354,-23.0,0.78547853,-130.0,0.7532097,-173.0,p15_r-15
0.7050611,-169.0,0.6286201,-218.0,0.7909516,-134.0,0.66969144,-182.0,0.63464564,-232.0,0.5801527,-220.0,0.95757574,-21.0,0.78547853,-130.0,0.7546362,-172.0,p15_r-15
0.7050611,-169.0,0.63202727,-216.0,0.7925117,-133.0,0.6751361,-179.0,0.6409449,-228.0,0.58778626,-216.0,0.959596,-20.0,0.7871287,-129.0,0.75606275,-171.0,p15_r-15
0.7068063,-168.0,0.63202727,-216.0,0.7925117,-133.0,0.6787659,-177.0,0.6472441,-224.0,0.58778626,-216.0,0.959596,-20.0,0.7887789,-128.0,0.75606275,-171.0,p15_r-15
0.7068063,-168.0,0.63202727,-216.0,0.7925117,-133.0,0.6787659,-177.0,0.6535433,-220.0,0.59160304,-214.0,0.959596,-20.0,0.7887789,-128.0,0.75891584,-169.0,p15_r-15
0.7068063,-168.0,0.63202727,-216.0,0.7925117,-133.0,0.6787659,-177.0,0.6535433,-220.0,0.59160304,-214.0,0.959596,-20.0,0.7887789,-128.0,0.7532097,-173.0,p15_r-15
0.7050611,-169.0,0.63202727,-216.0,0.7925117,-133.0,0.6787659,-177.0,0.6503937,-222.0,0.59160304,-214.0,0.959596,-20.0,0.7887789,-128.0,0.7532097,-173.0,p15_r-15
0.7050611,-169.0,0.63202727,-216.0,0.7909516,-134.0,0.6787659,-177.0,0.6503937,-222.0,0.59160304,-214.0,0.959596,-20.0,0.7887789,-128.0,0.7532097,-173.0,p15_r-15
0.7050611,-169.0,0.6303237,-217.0,0.7909516,-134.0,0.6787659,-177.0,0.6503937,-222.0,0.58778626,-216.0,0.959596,-20.0,0.7887789,-128.0,0.7532097,-173.0,p15_r-15
0.7050611,-169.0,0.6303237,-217.0,0.7909516,-134.0,0.68421054,-174.0,0.6503937,-222.0,0.5896947,-215.0,0.959596,-20.0,0.7887789,-128.0,0.7546362,-172.0,p15_r-15
0.7050611,-169.0,0.6303237,-217.0,0.7909516,-134.0,0.69147,-170.0,0.6503937,-222.0,0.59160304,-214.0,0.959596,-20.0,0.7887789,-128.0,0.75606275,-171.0,p15_r-15
0.7050611,-169.0,0.63202727,-216.0,0.7909516,-134.0,0.69147,-170.0,0.65826774,-217.0,0.5954198,-212.0,0.96363634,-18.0,0.7920792,-126.0,0.75606275,-171.0,p15_r-15
0.7050611,-169.0,0.6269165,-219.0,0.7909516,-134.0,0.6896552,-171.0,0.65826774,-217.0,0.5954198,-212.0,0.96363634,-18.0,0.7887789,-128.0,0.7532097,-173.0,p15_r-15
0.7050611,-169.0,0.6269165,-219.0,0.7909516,-134.0,0.68421054,-174.0,0.6535433,-220.0,0.59160304,-214.0,0.959596,-20.0,0.78547853,-130.0,0.7517832,-174.0,p15_r-15
0.7050611,-169.0,0.6269165,-219.0,0.7893916,-135.0,0.6751361,-179.0,0.6503937,-222.0,0.5896947,-215.0,0.959596,-20.0,0.7838284,-131.0,0.7503566,-175.0,p15_r-15
