@relation T2datamerged

@attribute SG_E0 numeric
@attribute SG_D0 numeric
@attribute SG_E1 numeric
@attribute SG_D1 numeric
@attribute SG_E2 numeric
@attribute SG_D2 numeric
@attribute SG_E3 numeric
@attribute SG_D3 numeric
@attribute SG_E4 numeric
@attribute SG_D4 numeric
@attribute SG_E5 numeric
@attribute SG_D5 numeric
@attribute SG_E6 numeric
@attribute SG_D6 numeric
@attribute SG_E7 numeric
@attribute SG_D7 numeric
@attribute SG_E8 numeric
@attribute SG_D8 numeric
@attribute ID {p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0}

@data
0.7968,-127,0.828859,-102,0.775348,-113,0.816901,-104,0.717425,-180,0.741742,-172,1.049914,29,0.760994,-125,0.778626,-116,p15_r-15
0.7952,-128,0.825503,-104,0.775348,-113,0.816901,-104,0.715856,-181,0.741742,-172,1.049914,29,0.759082,-126,0.774809,-118,p15_r-15
0.7952,-128,0.82047,-107,0.775348,-113,0.816901,-104,0.715856,-181,0.741742,-172,1.049914,29,0.759082,-126,0.774809,-118,p15_r-15
0.7952,-128,0.818792,-108,0.775348,-113,0.816901,-104,0.715856,-181,0.741742,-172,1.048193,28,0.759082,-126,0.774809,-118,p15_r-15
0.7952,-128,0.82047,-107,0.775348,-113,0.816901,-104,0.717425,-180,0.741742,-172,1.049914,29,0.759082,-126,0.774809,-118,p15_r-15
0.7952,-128,0.82047,-107,0.779324,-111,0.816901,-104,0.717425,-180,0.741742,-172,1.049914,29,0.759082,-126,0.776718,-117,p15_r-15
0.7952,-128,0.822148,-106,0.779324,-111,0.816901,-104,0.722135,-177,0.744745,-170,1.049914,29,0.760994,-125,0.776718,-117,p15_r-15
0.7952,-128,0.825503,-104,0.779324,-111,0.816901,-104,0.723705,-176,0.744745,-170,1.056799,33,0.760994,-125,0.776718,-117,p15_r-15
0.7968,-127,0.825503,-104,0.781312,-110,0.820423,-102,0.729984,-172,0.744745,-170,1.056799,33,0.762906,-124,0.774809,-118,p15_r-15
0.7968,-127,0.825503,-104,0.781312,-110,0.816901,-104,0.729984,-172,0.744745,-170,1.056799,33,0.762906,-124,0.774809,-118,p15_r-15
0.7936,-129,0.825503,-104,0.781312,-110,0.816901,-104,0.729984,-172,0.744745,-170,1.055077,32,0.762906,-124,0.772901,-119,p15_r-15
0.7936,-129,0.822148,-106,0.781312,-110,0.816901,-104,0.729984,-172,0.744745,-170,1.055077,32,0.760994,-125,0.772901,-119,p15_r-15
0.7936,-129,0.822148,-106,0.779324,-111,0.816901,-104,0.729984,-172,0.744745,-170,1.055077,32,0.760994,-125,0.772901,-119,p15_r-15
