SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.9423077,-33.0,0.8329854,-80.0,0.84181815,-87.0,0.8059299,-144.0,0.6303419,-173.0,0.6868217,-202.0,0.90208334,-47.0,0.87426037,-85.0,0.75263953,-164.0,p15_r-15
0.9423077,-33.0,0.8329854,-80.0,0.84181815,-87.0,0.8018868,-147.0,0.6303419,-173.0,0.68217057,-205.0,0.90208334,-47.0,0.87278104,-86.0,0.75263953,-164.0,p15_r-15
0.9423077,-33.0,0.8329854,-80.0,0.84,-88.0,0.7978437,-150.0,0.62393165,-176.0,0.68217057,-205.0,0.90208334,-47.0,0.87278104,-86.0,0.75113124,-165.0,p15_r-15
0.9370629,-36.0,0.8329854,-80.0,0.84,-88.0,0.796496,-151.0,0.6217949,-177.0,0.67906976,-207.0,0.9,-48.0,0.87278104,-86.0,0.75113124,-165.0,p15_r-15
0.9370629,-36.0,0.8329854,-80.0,0.84,-88.0,0.796496,-151.0,0.6217949,-177.0,0.67906976,-207.0,0.90208334,-47.0,0.87426037,-85.0,0.75263953,-164.0,p15_r-15
0.9370629,-36.0,0.8329854,-80.0,0.84,-88.0,0.796496,-151.0,0.6217949,-177.0,0.67906976,-207.0,0.90208334,-47.0,0.87426037,-85.0,0.75263953,-164.0,p15_r-15
0.9370629,-36.0,0.8329854,-80.0,0.84,-88.0,0.796496,-151.0,0.6217949,-177.0,0.68217057,-205.0,0.90208334,-47.0,0.87721896,-83.0,0.7556561,-162.0,p15_r-15
0.9370629,-36.0,0.8329854,-80.0,0.84181815,-87.0,0.796496,-151.0,0.62393165,-176.0,0.68217057,-205.0,0.90208334,-47.0,0.87721896,-83.0,0.7631976,-157.0,p15_r-15
0.9423077,-33.0,0.8204593,-86.0,0.84,-88.0,0.7978437,-150.0,0.6303419,-173.0,0.6868217,-202.0,0.90208334,-47.0,0.87721896,-83.0,0.7647059,-156.0,p15_r-15
0.9300699,-40.0,0.8183716,-87.0,0.84,-88.0,0.7911051,-155.0,0.6303419,-173.0,0.6868217,-202.0,0.90208334,-47.0,0.87721896,-83.0,0.7631976,-157.0,p15_r-15
