@relation T3datamerged

@attribute SG_E0 numeric
@attribute SG_D0 numeric
@attribute SG_E1 numeric
@attribute SG_D1 numeric
@attribute SG_E2 numeric
@attribute SG_D2 numeric
@attribute SG_E3 numeric
@attribute SG_D3 numeric
@attribute SG_E4 numeric
@attribute SG_D4 numeric
@attribute SG_E5 numeric
@attribute SG_D5 numeric
@attribute SG_E6 numeric
@attribute SG_D6 numeric
@attribute SG_E7 numeric
@attribute SG_D7 numeric
@attribute SG_E8 numeric
@attribute SG_D8 numeric
@attribute ID {p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0}

@data
0.905882,-64,0.958796,-26,0.925311,-54,0.716946,-152,0.928125,-46,0.917415,-46,0.925101,-37,0.919694,-42,0.882122,-60,p15_r-15
0.905882,-64,0.958796,-26,0.925311,-54,0.716946,-152,0.928125,-46,0.917415,-46,0.925101,-37,0.919694,-42,0.882122,-60,p15_r-15
0.907353,-63,0.96038,-25,0.921162,-57,0.715084,-153,0.898438,-65,0.872531,-71,0.925101,-37,0.91587,-44,0.862475,-70,p15_r-15
0.907353,-63,0.954041,-29,0.919779,-58,0.715084,-153,0.895313,-67,0.868941,-73,0.925101,-37,0.912046,-46,0.850688,-76,p15_r-15
0.907353,-63,0.954041,-29,0.919779,-58,0.709497,-156,0.892188,-69,0.86535,-75,0.923077,-38,0.910134,-47,0.850688,-76,p15_r-15
0.907353,-63,0.954041,-29,0.918396,-59,0.707635,-157,0.892188,-69,0.858169,-79,0.923077,-38,0.908222,-48,0.850688,-76,p15_r-15
0.907353,-63,0.954041,-29,0.918396,-59,0.703911,-159,0.892188,-69,0.854578,-81,0.921053,-39,0.908222,-48,0.850688,-76,p15_r-15
0.910294,-61,0.954041,-29,0.918396,-59,0.703911,-159,0.892188,-69,0.854578,-81,0.923077,-38,0.908222,-48,0.850688,-76,p15_r-15
0.910294,-61,0.954041,-29,0.918396,-59,0.703911,-159,0.892188,-69,0.854578,-81,0.925101,-37,0.908222,-48,0.850688,-76,p15_r-15
0.913235,-59,0.954041,-29,0.918396,-59,0.703911,-159,0.892188,-69,0.854578,-81,0.925101,-37,0.910134,-47,0.852652,-75,p15_r-15
0.914706,-58,0.954041,-29,0.919779,-58,0.703911,-159,0.892188,-69,0.854578,-81,0.925101,-37,0.910134,-47,0.852652,-75,p15_r-15
0.914706,-58,0.949287,-32,0.918396,-59,0.702048,-160,0.884375,-74,0.850987,-83,0.927126,-36,0.910134,-47,0.852652,-75,p15_r-15
0.914706,-58,0.947702,-33,0.918396,-59,0.702048,-160,0.884375,-74,0.847397,-85,0.927126,-36,0.908222,-48,0.850688,-76,p15_r-15
0.913235,-59,0.947702,-33,0.918396,-59,0.698324,-162,0.884375,-74,0.847397,-85,0.927126,-36,0.908222,-48,0.848723,-77,p15_r-15
0.913235,-59,0.946117,-34,0.918396,-59,0.698324,-162,0.884375,-74,0.845601,-86,0.927126,-36,0.90631,-49,0.848723,-77,p15_r-15
0.910294,-61,0.946117,-34,0.917012,-60,0.6946,-164,0.882813,-75,0.845601,-86,0.927126,-36,0.90631,-49,0.848723,-77,p15_r-15
0.913235,-59,0.946117,-34,0.918396,-59,0.6946,-164,0.884375,-74,0.845601,-86,0.931174,-34,0.90631,-49,0.848723,-77,p15_r-15
0.913235,-59,0.946117,-34,0.918396,-59,0.698324,-162,0.884375,-74,0.847397,-85,0.931174,-34,0.908222,-48,0.848723,-77,p15_r-15
0.914706,-58,0.946117,-34,0.918396,-59,0.698324,-162,0.884375,-74,0.847397,-85,0.931174,-34,0.908222,-48,0.850688,-76,p15_r-15
0.916177,-57,0.946117,-34,0.918396,-59,0.698324,-162,0.884375,-74,0.847397,-85,0.931174,-34,0.908222,-48,0.850688,-76,p15_r-15
0.919118,-55,0.946117,-34,0.917012,-60,0.698324,-162,0.882813,-75,0.847397,-85,0.931174,-34,0.908222,-48,0.848723,-77,p15_r-15
0.916177,-57,0.944533,-35,0.915629,-61,0.690875,-166,0.873438,-81,0.843806,-87,0.92915,-35,0.900574,-52,0.844794,-79,p15_r-15
0.916177,-57,0.942948,-36,0.912863,-63,0.67784,-173,0.870313,-83,0.840215,-89,0.92915,-35,0.900574,-52,0.842829,-80,p15_r-15
0.914706,-58,0.941363,-37,0.91148,-64,0.674116,-175,0.85625,-92,0.829443,-95,0.92915,-35,0.894838,-55,0.833006,-85,p15_r-15
0.914706,-58,0.936609,-40,0.91148,-64,0.664804,-180,0.853125,-94,0.820467,-100,0.927126,-36,0.892925,-56,0.833006,-85,p15_r-15
