SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
1.006993,4.0,0.9394572,-29.0,0.9381818,-34.0,0.9407008,-44.0,0.8717949,-60.0,0.9054264,-61.0,0.96875,-15.0,0.94526625,-37.0,0.8989442,-67.0,p15_r-15
1.0052447,3.0,0.9352818,-31.0,0.93636364,-35.0,0.9245283,-56.0,0.85470086,-68.0,0.8852713,-74.0,0.9604167,-19.0,0.93786985,-42.0,0.8627451,-91.0,p15_r-15
0.9895105,-6.0,0.91858035,-39.0,0.9109091,-49.0,0.8773585,-91.0,0.76282054,-111.0,0.80930233,-123.0,0.93125,-33.0,0.9142012,-58.0,0.8310709,-112.0,p15_r-15
0.9895105,-6.0,0.91858035,-39.0,0.9109091,-49.0,0.8814016,-88.0,0.767094,-109.0,0.8170543,-118.0,0.93125,-33.0,0.91568047,-57.0,0.8371041,-108.0,p15_r-15
0.9807692,-11.0,0.908142,-44.0,0.90909094,-50.0,0.88409704,-86.0,0.77991456,-103.0,0.8170543,-118.0,0.9270833,-35.0,0.9142012,-58.0,0.8325792,-111.0,p15_r-15
0.97727275,-13.0,0.9039666,-46.0,0.90727276,-51.0,0.88409704,-86.0,0.77991456,-103.0,0.8170543,-118.0,0.9270833,-35.0,0.9142012,-58.0,0.8310709,-112.0,p15_r-15
0.97727275,-13.0,0.9018789,-47.0,0.90363634,-53.0,0.88409704,-86.0,0.77991456,-103.0,0.8170543,-118.0,0.9270833,-35.0,0.9127219,-59.0,0.8295626,-113.0,p15_r-15
0.9807692,-11.0,0.9018789,-47.0,0.90363634,-53.0,0.8867925,-84.0,0.7863248,-100.0,0.82790697,-111.0,0.9270833,-35.0,0.9142012,-58.0,0.8295626,-113.0,p15_r-15
0.9807692,-11.0,0.9018789,-47.0,0.90363634,-53.0,0.8908356,-81.0,0.8034188,-92.0,0.82790697,-111.0,0.9270833,-35.0,0.91568047,-57.0,0.8295626,-113.0,p15_r-15
0.9807692,-11.0,0.9018789,-47.0,0.90363634,-53.0,0.893531,-79.0,0.8055556,-91.0,0.83255816,-108.0,0.9270833,-35.0,0.91568047,-57.0,0.8295626,-113.0,p15_r-15
0.9807692,-11.0,0.9018789,-47.0,0.9054545,-52.0,0.893531,-79.0,0.8055556,-91.0,0.83255816,-108.0,0.9270833,-35.0,0.91568047,-57.0,0.8295626,-113.0,p15_r-15
0.97727275,-13.0,0.89979124,-48.0,0.90363634,-53.0,0.88814014,-83.0,0.7970086,-95.0,0.82790697,-111.0,0.9270833,-35.0,0.91715974,-56.0,0.8295626,-113.0,p15_r-15
0.97727275,-13.0,0.8956159,-50.0,0.90363634,-53.0,0.8867925,-84.0,0.7863248,-100.0,0.8248062,-113.0,0.9270833,-35.0,0.91568047,-57.0,0.8295626,-113.0,p15_r-15
0.97727275,-13.0,0.89352816,-51.0,0.90363634,-53.0,0.88544476,-85.0,0.7777778,-104.0,0.8155039,-119.0,0.9270833,-35.0,0.91568047,-57.0,0.826546,-115.0,p15_r-15
0.97727275,-13.0,0.8914405,-52.0,0.90363634,-53.0,0.88544476,-85.0,0.7777778,-104.0,0.81395346,-120.0,0.9270833,-35.0,0.91568047,-57.0,0.826546,-115.0,p15_r-15
0.97727275,-13.0,0.8914405,-52.0,0.90181816,-54.0,0.8814016,-88.0,0.77350426,-106.0,0.81395346,-120.0,0.925,-36.0,0.91568047,-57.0,0.826546,-115.0,p15_r-15
0.97727275,-13.0,0.8914405,-52.0,0.90363634,-53.0,0.8814016,-88.0,0.77350426,-106.0,0.81395346,-120.0,0.9270833,-35.0,0.91568047,-57.0,0.8295626,-113.0,p15_r-15
0.97727275,-13.0,0.89352816,-51.0,0.90363634,-53.0,0.88544476,-85.0,0.77350426,-106.0,0.81395346,-120.0,0.9270833,-35.0,0.91568047,-57.0,0.8295626,-113.0,p15_r-15
0.97727275,-13.0,0.89352816,-51.0,0.90363634,-53.0,0.88544476,-85.0,0.7777778,-104.0,0.81395346,-120.0,0.9270833,-35.0,0.91568047,-57.0,0.8310709,-112.0,p15_r-15
0.97727275,-13.0,0.8956159,-50.0,0.90363634,-53.0,0.88544476,-85.0,0.7777778,-104.0,0.81395346,-120.0,0.9270833,-35.0,0.91568047,-57.0,0.8310709,-112.0,p15_r-15
0.97727275,-13.0,0.89352816,-51.0,0.90363634,-53.0,0.88409704,-86.0,0.77136755,-107.0,0.8062016,-125.0,0.925,-36.0,0.91568047,-57.0,0.8325792,-111.0,p15_r-15
0.97727275,-13.0,0.8893528,-53.0,0.90181816,-54.0,0.88409704,-86.0,0.77136755,-107.0,0.8062016,-125.0,0.92083335,-38.0,0.91568047,-57.0,0.8295626,-113.0,p15_r-15
0.97727275,-13.0,0.8893528,-53.0,0.90181816,-54.0,0.88409704,-86.0,0.77136755,-107.0,0.8062016,-125.0,0.92083335,-38.0,0.91568047,-57.0,0.8280543,-114.0,p15_r-15
0.9755245,-14.0,0.8893528,-53.0,0.90181816,-54.0,0.88409704,-86.0,0.77136755,-107.0,0.8062016,-125.0,0.92083335,-38.0,0.9142012,-58.0,0.8280543,-114.0,p15_r-15
0.9737762,-15.0,0.88517743,-55.0,0.90181816,-54.0,0.88409704,-86.0,0.77136755,-107.0,0.8062016,-125.0,0.91875,-39.0,0.9142012,-58.0,0.8280543,-114.0,p15_r-15
0.9737762,-15.0,0.88517743,-55.0,0.90181816,-54.0,0.88409704,-86.0,0.77136755,-107.0,0.80775195,-124.0,0.91875,-39.0,0.91568047,-57.0,0.8280543,-114.0,p15_r-15
0.9667832,-19.0,0.8768267,-59.0,0.9,-55.0,0.88544476,-85.0,0.7905983,-98.0,0.82325584,-114.0,0.92083335,-38.0,0.9142012,-58.0,0.826546,-115.0,p15_r-15
0.9667832,-19.0,0.8768267,-59.0,0.9,-55.0,0.88544476,-85.0,0.7905983,-98.0,0.82325584,-114.0,0.92083335,-38.0,0.9142012,-58.0,0.826546,-115.0,p15_r-15
0.9667832,-19.0,0.8768267,-59.0,0.9,-55.0,0.88544476,-85.0,0.7948718,-96.0,0.82325584,-114.0,0.92083335,-38.0,0.9142012,-58.0,0.8280543,-114.0,p15_r-15
0.9702797,-17.0,0.8768267,-59.0,0.9,-55.0,0.8867925,-84.0,0.7970086,-95.0,0.82325584,-114.0,0.92083335,-38.0,0.9142012,-58.0,0.826546,-115.0,p15_r-15
0.9702797,-17.0,0.8768267,-59.0,0.9,-55.0,0.88544476,-85.0,0.7970086,-95.0,0.820155,-116.0,0.92083335,-38.0,0.9127219,-59.0,0.826546,-115.0,p15_r-15
0.96503496,-20.0,0.8768267,-59.0,0.89454544,-58.0,0.88544476,-85.0,0.7905983,-98.0,0.820155,-116.0,0.9166667,-40.0,0.9127219,-59.0,0.826546,-115.0,p15_r-15
